Player,REV Give Or Take,REV Rationale,REV Points Given,REV Points Taken,REV Player Richer Than Passive Partner?,DICT Give,DICT Give Rationale,PG Keep,PG Keep Rationale,Diversity Survey Taxation Preference,Gender,Parental Income,Rich Poor,Radio Left Right Political Spectrum,Political Party,Religious Practice,Spiritual Religious,Economics Major,Law School,Volunteer Hours,Volunteer Organizations
TEMP1069,"","","","","",90,The ,10,Yeh,progressive taxation,male,>$250K,upper middle-class,L3,indep lib,medium,religious but not spiritual,yes,no,0-1,0
bluecat3,"","","","","","","","","",progressive taxation,female,$50K-$100K,middle-class,L6,democrat,high,spiritual but not religious,no,maybe,1-10,1-5
Cool Kat,-100,"They have points to spare, I benefit from this more than them",0,95,no,50,Let's be fair to each other,"","",progressive taxation,male,$50K-$100K,poor,L5,democrat,high,both spiritual and religious,no,yes,0-1,0
butterfly queen,"","","","","",50,I'd like to split evenly and share. I wish that someone would do the same for me if it came down to it. ,"","",progressive taxation,female,$50K-$100K,lower middle-class,L7,democrat,high,religious but not spiritual,no,yes,0-1,0
Broadway,-100,I should take all their points to maximize my gain and lower the median.,0,103,no,0,There is no motive to share points. To maximize my points I should keep them all.,5,I can contribute to the public pool but I ensure that I secure myself if no one else does.,confiscatory taxation,male,>$250K,upper middle-class,L2,indep lib,low,neither spiritual nor religious,no,maybe,0-1,0
TEMP1066,56,"Giving opponent this amount of points allows them to grow, while still not reaching the amount of point I'm starting with",57,0,yes,50,This choice benefits both people in this pair,5,"By keeping 5 and giving 5, I would boost the points all my teammates get, while still ensuring I have a padding of points",progressive taxation,female,$100K-$250K,middle-class,L8,democrat,zero,neither spiritual nor religious,no,no,10+,1-5
kslender,"","","","","",50,"I like giving others the benefit of the doubt, if they're smart, they should give 50 and we ""win"", if not then losing is not on me. ",5,"If everyone pitches in half everyone gets the same amount multiplied and split within their group, the most equitable way.",progressive taxation,female,<$50K,poor,L8,democrat,low,religious but not spiritual,no,yes,0-1,1-5
TEMP1061,-100,I take an egoist approach.,0,105,no,0,Keeping all 100 points guarantees the maximum payoff for me.,10,I kept all 10 points because it gives me the most benefit no matter what others decide to do.,flat tax,female,>$250K,upper middle-class,L3,indep lib,zero,neither spiritual nor religious,no,yes,0-1,1-5
King Milton,-100,"I am taking all because I expect the other person to take points if given the chance, so this choice protects my score",0,98,no,50,It’s fair. ,0,I chose to give 10 because it creates the biggest total benefit for the whole group.,progressive taxation,female,>$250K,upper middle-class,L5,indep lib,low,both spiritual and religious,no,yes,1-10,1-5
Pepper Angel,-100,I don't think they will give because they have lower points.,0,95,yes,0,I think they will keep 100.,10,"If I keep my points and receive more, it's in my benefit.",progressive taxation,female,$100K-$250K,middle-class,L5,democrat,low,spiritual but not religious,no,yes,0-1,0
poetic justice,100,Since golden retriever is struggling i would give all plus it looks like I’m doing pretty well,97,0,yes,0,Even though it is counterintuitive without the possibility of multiplying I would keep my points. ,0,It would make the most sense if we all gave the 10 and then it multiplied. ,progressive taxation,male,$50K-$100K,lower middle-class,L7,democrat,low,both spiritual and religious,no,yes,1-10,1-5
Feathers Mcgraw,0,We're both in a very similar boat - I just want to let us be.,0,0,yes,50,This most obviously the equal choice and therefore the most fair to my fellow student.,0,I trust my fellow students to pitch in and 10 multiplied will accumulate the most points.,progressive taxation,female,>$250K,upper middle-class,L8,democrat,low,neither spiritual nor religious,no,yes,0-1,0
Anthony Marcus,"","","","","",50,"Equal sharing promotes fairness, cooperation, and mutual trust while minimizing resentment and conflict",0,Allocating all points leads to the maximization of total group benefits via multiplication and equal distribution.,flat tax,male,<$50K,middle-class,R1,indep cons,medium,religious but not spiritual,no,yes,1-10,1-5
King CDub,"","","","","","","",0,Because teamwork benefits everyone the most.,progressive taxation,male,$50K-$100K,middle-class,L5,democrat,low,religious but not spiritual,no,no,1-10,1-5
TEMP1063,"","","","","",50,50/50 just makes sense; no one should be jaded because the other person got more.,"","",progressive taxation,female,<$50K,lower middle-class,L5,democrat,low,spiritual but not religious,no,yes,0-1,0
TEMP1064,"","","","","","","",10,I chose to keep all 10 points because variation in others’ strategies makes securing the guaranteed payoff optimal.,flat tax,male,<$50K,lower middle-class,R1,indep lib,medium,neither spiritual nor religious,no,maybe,1-10,1-5
Random Bobby,"","","","","","","","","",flat tax,male,$100K-$250K,middle-class,R2,indep cons,zero,neither spiritual nor religious,no,maybe,0-1,0
GamerWorld3,-100,Top Dawg,0,111,no,30,Better to give 30 than none.,5,"I would like to distribute some points out to people because if I started out with all ten, I would like to hand it out.",flat tax,female,<$50K,poor,R1,indep cons,medium,both spiritual and religious,no,yes,0-1,1-5
REDROVER21,-100,it makes the most sense,0,105,no,20,i want to have the most i can but am willing to give up some,5,its the most realistic ,no taxation,male,>$250K,upper middle-class,R10,republican,low,religious but not spiritual,no,no,0-1,1-5
goldenretriever31,100,"You're welcome, Eric Cartman. ",38,0,no,0,Obviously I'm keeping all of them... but I feel like there might be a catch.,0,"I will give my points to the group hoping everyone will do the same, resulting in 50 points per person(more than 10).",progressive taxation,female,>$250K,upper middle-class,R2,indep lib,high,religious but not spiritual,no,maybe,0-1,1-5
SilverSlay,-100,"Even if my partner chooses to take 100% of my points, I will still gain 9 points because I am guaranteed to gain 50 from them.",0,100,no,10,"With the hope that they may give me something back, I'll give 10% of my points which is relatively low risk.",5,"Assuming my group mates pick this too, this is the best possible outcome for all.",progressive taxation,male,$100K-$250K,middle-class,L3,democrat,medium,both spiritual and religious,no,yes,0-1,0

