Sample,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Acid digest T (°C),Temperature,Acid correction factor,Reference
HY-k1-2c,-6.25 ,-10.85 ,/,0.681 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-2c,-6.21 ,-10.77 ,/,0.683 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-2c-1,-4.15 ,-8.49 ,/,0.753 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-2c-1,-4.17 ,-8.45 ,/,0.714 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-2c-1,-4.18 ,-8.42 ,/,0.767 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-3c,-4.83 ,-12.16 ,/,0.719 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-3c,-4.85 ,-12.08 ,/,0.702 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
HY-k1-3c,-4.83 ,-12.05 ,/,0.691 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
LT-4,-8.10 ,-8.90 ,/,0.660 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
LT-4,-8.21 ,-8.77 ,/,0.707 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
LT-4,-8.19 ,-8.79 ,/,0.676 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
SM-J3a-4,-3.65 ,-11.72 ,/,0.606 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
SM-J3a-4,-3.74 ,-11.75 ,/,0.622 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
YA-J3a-3,2.99 ,-2.51 ,/,0.596 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
YA-J3a-3,2.94 ,-2.55 ,/,0.627 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
YA-J3a-4,-12.41 ,-12.46 ,/,0.628 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
YA-J3a-4,-12.43 ,-12.48 ,/,0.597 ,90,,0.088,"Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
2015TX38Ga,-6.06 ,,/,0.636 ,26,,,"Xu, Q., Ding, L., Cao, Y., Cai, F.L., Li, S., Tan, X.C., Kershaw, S., Tang, H., 2023. Late Cretaceous-early Paleogene rise of the Gangdese magmatic arc (south Tibet) from sea level to high mountains. Geological Society of America Bulletin 135, 1939-1954."
2015TX38Gb,-6.20 ,,/,0.658 ,26,,,"Xu, Q., Ding, L., Cao, Y., Cai, F.L., Li, S., Tan, X.C., Kershaw, S., Tang, H., 2023. Late Cretaceous-early Paleogene rise of the Gangdese magmatic arc (south Tibet) from sea level to high mountains. Geological Society of America Bulletin 135, 1939-1954."
2015TX38Gc,-5.95 ,,/,0.648 ,26,,,"Xu, Q., Ding, L., Cao, Y., Cai, F.L., Li, S., Tan, X.C., Kershaw, S., Tang, H., 2023. Late Cretaceous-early Paleogene rise of the Gangdese magmatic arc (south Tibet) from sea level to high mountains. Geological Society of America Bulletin 135, 1939-1954."
12 EK 096a(1),,,/,0.670 ,90,31.75 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
12 EK 096a(2),,,/,0.676 ,90,29.55 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
12 EK 096a(3),,,/,0.669 ,90,32.12 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
12 EK 096a(4),,,/,0.650 ,90,39.43 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
12 EK 096a(5),,,/,0.662 ,90,34.75 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 172a（1）,,,/,0.687 ,90,25.64 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 172a（2）,,,/,0.667 ,90,32.86 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 172a（3）,,,/,0.678 ,90,28.83 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 172a（4）,,,/,0.682 ,90,27.40 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 172a（5）,,,/,0.671 ,90,31.38 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 192b（1）,,,/,0.675 ,90,29.91 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 192b（2）,,,/,0.695 ,90,22.90 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 192b（3）,,,/,0.660 ,90,35.51 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 192b（4）,,,/,0.670 ,90,31.75 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
18 EK 192b（5）,,,/,0.651 ,90,39.03 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 961（1）,,,/,0.641 ,90,42.67 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 961（2）,,,/,0.670 ,90,31.75 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 961（3）,,,/,0.652 ,90,39.00 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 961（4）,,,/,0.649 ,90,39.83 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 965b（1）,,,/,0.677 ,90,29.19 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 965b（2）,,,/,0.649 ,90,39.83 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 965b（3）,,,/,0.658 ,90,35.90 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
MC 965b（4）,,,/,0.681 ,90,27.75 ,0.088,"Emilija, K., Katharina, M., Marion, C., Svetlana, B., G., M.S., A., E.T., Oliver, K., Jens, F., Fritz, S., Andreas, M., 2021. Miocene high elevation in the Central Alps. Solid Earth 12, 2615-2631."
2015TL108-1,-3.89 ,-8.03 ,/,0.712 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL108-2,-4.03 ,-8.18 ,/,0.711 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL108-3,-3.96 ,-7.73 ,/,0.684 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL119-1,-7.64 ,-17.91 ,/,0.725 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL119-2,-7.67 ,-18.14 ,/,0.729 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL119-3,-7.68 ,-18.12 ,/,0.731 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL119-4,-7.69 ,-18.15 ,/,0.741 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL33-1,-1.27 ,-4.84 ,/,0.742 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL33-2,-1.28 ,-4.86 ,/,0.728 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL33-3,-1.28 ,-4.92 ,/,0.740 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL86-1,-6.00 ,-15.62 ,/,0.744 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL86-2,-5.99 ,-15.01 ,/,0.731 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2017TX27-1,-5.41 ,-17.76 ,/,0.731 ,26,,,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL28-1,-4.52 ,-12.97 ,/,0.667 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL28-2,-4.52 ,-13.00 ,/,0.690 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL74-1,1.63 ,-4.65 ,/,0.668 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL74-2,1.65 ,-4.62 ,/,0.663 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL76-1,-1.87 ,-5.64 ,/,0.708 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2015TL76-2,-1.88 ,-5.62 ,/,0.727 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL01-1,-4.23 ,-7.59 ,/,0.694 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL01-2,-4.24 ,-7.59 ,/,0.699 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL01-3,-4.22 ,-7.56 ,/,0.723 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL02-1,-4.23 ,-7.59 ,/,0.696 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL02-2,-4.23 ,-7.58 ,/,0.706 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL02-3,-4.23 ,-7.60 ,/,0.686 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL03-1,-4.23 ,-7.59 ,/,0.725 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL03-2,-4.23 ,-7.60 ,/,0.721 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL03-3,-4.23 ,-7.58 ,/,0.679 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL04-1,-4.23 ,-7.59 ,/,0.691 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL04-2,-4.23 ,-7.60 ,/,0.700 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
2021TL04-3,-4.24 ,-7.61 ,/,0.690 ,90,,0.088,"Xiong, Z.Y., Liu, X.H., Ding, L., Farnsworth, A., Spicer, R.A., Xu, Q., Valdes, P., He, S.L., Zeng, D., Wang, C., Li, Z.Y., Guo, X.D., Su, T., Zhao, C.Y., Wang, H.Q., Yue, Y.H., 2022. The rise and demise of the Paleogene Central Tibetan Valley. Science Advances 8."
CBFL,0.60 ,-0.59 ,/,0.701 ,70,21.00 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
CBFL,1.09 ,-1.06 ,/,0.698 ,70,21.93 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
CBFL,0.76 ,-1.18 ,/,0.691 ,70,24.37 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
CBFL,1.21 ,-0.71 ,/,0.694 ,70,23.44 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
CBFL,1.55 ,-0.84 ,/,0.680 ,70,28.10 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
CBFL,1.63 ,-0.73 ,/,0.684 ,70,26.85 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Miami,1.15 ,-0.81 ,/,0.701 ,70,21.13 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Miami,1.31 ,-1.10 ,/,0.680 ,70,28.05 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Miami,0.99 ,-1.66 ,/,0.682 ,70,27.70 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Miami,0.99 ,-0.58 ,/,0.700 ,70,21.33 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
Jamaica,1.02 ,-1.58 ,/,0.680 ,70,28.18 ,0.072,"Zhang, J.Z., Petersen, S.V., 2023. Clumped and oxygen isotope sclerochronology methods tested in the bivalve Lucina pensylvanica. Chemical Geology 620."
