期号 ,前区1,前区2,前区3,前区4,前区5,后区1,后区2,开奖日期
22035,9,11,13,23,31,5,8,4/2/2022
22034,2,10,24,27,28,6,7,3/30/2022
22033,8,15,16,19,33,3,4,3/28/2022
22032,5,9,18,31,32,1,5,3/26/2022
22031,7,14,16,20,28,4,8,3/23/2022
22030,12,14,15,21,30,1,9,3/21/2022
22029,7,8,10,14,17,10,12,3/19/2022
22028,4,9,16,17,35,1,7,3/16/2022
22027,3,6,11,31,32,5,12,3/14/2022
22026,11,14,22,23,27,8,10,3/12/2022
22025,4,7,22,24,29,1,7,3/9/2022
22024,1,2,11,30,35,1,12,3/7/2022
22023,4,5,18,20,25,11,12,3/5/2022
22022,1,5,14,17,28,6,7,3/2/2022
22021,11,15,16,18,35,6,9,2/28/2022
22020,16,17,30,31,35,8,9,2/26/2022
22019,1,4,7,17,21,1,2,2/23/2022
22018,16,21,29,31,34,6,9,2/21/2022
22017,10,14,18,23,25,7,11,2/19/2022
22016,1,7,17,26,32,1,9,2/16/2022
22015,1,2,8,12,30,5,12,2/14/2022
22014,1,4,10,18,32,1,9,2/12/2022
22013,4,9,16,25,32,5,6,2/9/2022
22012,3,5,10,33,34,7,10,1/26/2022
22011,3,5,17,24,32,5,12,1/24/2022
22010,4,19,25,31,35,2,11,1/22/2022
22009,13,14,18,31,33,7,10,1/19/2022
22008,1,2,13,18,34,6,7,1/17/2022
22007,5,22,23,25,35,3,11,1/15/2022
22006,1,5,7,17,20,5,12,1/12/2022
22005,2,13,17,19,34,5,9,1/10/2022
22004,7,20,27,30,33,3,4,1/8/2022
22003,2,18,24,25,34,8,12,1/5/2022
22002,4,6,7,9,24,4,12,1/3/2022
22001,8,11,19,22,29,3,11,1/1/2022
21150,4,10,11,23,26,7,10,12/29/2021
21149,20,26,28,30,35,10,11,12/27/2021
21148,1,4,12,16,29,4,8,12/25/2021
21147,1,2,8,12,26,1,7,12/22/2021
21146,3,5,8,18,20,9,11,12/20/2021
21145,3,8,25,29,30,1,6,12/18/2021
21144,3,20,25,30,34,2,9,12/15/2021
21143,9,17,19,29,34,4,11,12/13/2021
21142,11,13,17,19,25,2,9,12/11/2021
21141,2,8,16,29,34,5,12,12/8/2021
21140,5,24,26,33,35,9,12,12/6/2021
21139,5,13,18,23,34,8,9,12/4/2021
21138,9,11,12,15,31,5,11,12/1/2021
21137,2,7,13,14,19,4,5,11/29/2021
21136,8,12,19,27,33,2,5,11/27/2021
21135,4,7,17,29,31,5,6,11/24/2021
21134,2,6,14,19,28,1,6,11/22/2021
21133,8,9,17,26,28,6,8,11/20/2021
21132,4,21,28,29,33,3,11,11/17/2021
21131,6,8,16,34,35,5,6,11/15/2021
21130,2,3,14,27,28,5,10,11/13/2021
21129,2,16,17,18,34,4,10,11/10/2021
21128,14,17,18,23,27,5,8,11/8/2021
21127,1,2,15,17,26,2,11,11/6/2021
21126,1,11,12,34,35,9,12,11/3/2021
21125,17,19,21,27,31,4,9,11/1/2021
21124,10,17,22,25,35,7,9,10/30/2021
21123,8,23,26,27,33,8,9,10/27/2021
21122,14,15,26,27,29,4,5,10/25/2021
21121,2,15,19,29,30,2,9,10/23/2021
21120,5,10,21,25,31,5,11,10/20/2021
21119,1,2,9,16,30,9,10,10/18/2021
21118,14,17,18,28,34,2,3,10/16/2021
21117,11,18,21,22,33,5,6,10/13/2021
21116,4,25,28,29,35,3,11,10/11/2021
21115,8,13,19,20,29,6,10,10/9/2021
21114,8,9,13,29,30,1,11,10/6/2021
21113,17,18,25,27,28,4,8,9/29/2021
21112,18,21,22,23,35,11,12,9/27/2021
21111,7,8,15,19,28,8,9,9/25/2021
21110,11,14,29,31,32,11,12,9/22/2021
21109,3,4,7,27,31,6,9,9/20/2021
21108,5,19,22,26,35,2,6,9/18/2021
21107,3,5,13,20,25,7,11,9/15/2021
21106,2,13,14,32,34,2,12,9/13/2021
21105,7,10,11,17,18,4,9,9/11/2021
21104,23,25,26,30,33,3,11,9/8/2021
21103,4,10,23,30,31,5,11,9/6/2021
21102,2,8,11,16,23,2,7,9/4/2021
21101,13,18,19,27,32,6,11,9/1/2021
21100,7,11,23,26,28,2,7,8/30/2021
21099,15,19,27,28,30,3,4,8/28/2021
21098,2,7,21,27,33,7,9,8/25/2021
21097,11,26,30,31,33,3,10,8/23/2021
21096,7,8,10,20,21,1,5,8/21/2021
21095,10,15,19,20,30,11,12,8/18/2021
21094,5,6,24,27,33,5,12,8/16/2021
21093,20,25,27,28,31,8,11,8/14/2021
21092,12,14,27,28,34,3,7,8/11/2021
21091,1,4,10,21,29,3,5,8/9/2021
21090,6,7,19,26,32,6,12,8/7/2021
21089,1,17,24,28,35,10,12,8/4/2021
21088,2,14,31,34,35,1,7,8/2/2021
21087,10,14,15,25,28,3,10,7/31/2021
21086,2,3,7,16,17,6,10,7/28/2021
21085,1,12,15,26,35,10,11,7/26/2021
21084,2,10,14,30,33,6,9,7/24/2021
21083,7,9,11,26,35,1,8,7/21/2021
21082,1,14,22,29,33,3,10,7/19/2021
21081,5,13,24,29,35,7,8,7/17/2021
21080,15,16,20,29,30,6,10,7/14/2021
21079,6,14,19,26,33,8,11,7/12/2021
21078,2,8,17,19,25,1,5,7/10/2021
21077,2,6,9,21,25,6,8,7/7/2021
21076,6,13,22,25,26,2,4,7/5/2021
21075,6,14,15,17,20,1,5,7/3/2021
21074,11,14,18,20,25,3,7,6/30/2021
21073,8,12,14,20,24,6,10,6/28/2021
21072,2,3,15,22,26,3,11,6/26/2021
21071,8,11,16,29,35,1,4,6/23/2021
21070,3,20,21,22,24,6,12,6/21/2021
21069,1,3,24,32,33,4,6,6/19/2021
21068,2,20,21,26,30,2,10,6/16/2021
21067,1,4,22,23,34,8,9,6/14/2021
21066,24,26,29,34,35,9,11,6/12/2021
21065,23,25,30,31,35,7,8,6/9/2021
21064,1,17,19,32,34,6,10,6/7/2021
21063,5,9,14,29,30,9,11,6/5/2021
21062,4,6,23,32,34,5,7,6/2/2021
21061,15,19,20,26,32,4,7,5/31/2021
21060,9,13,25,31,33,3,7,5/29/2021
21059,4,16,27,28,35,2,9,5/26/2021
21058,13,15,17,23,34,1,11,5/24/2021
21057,5,7,19,20,28,5,7,5/22/2021
21056,3,11,16,21,26,9,10,5/19/2021
21055,3,6,10,11,24,10,11,5/17/2021
21054,3,6,17,20,25,3,9,5/15/2021
21053,3,6,15,17,35,7,11,5/12/2021
21052,2,11,13,14,30,9,12,5/10/2021
21051,1,4,14,16,19,3,4,5/8/2021
21050,9,22,32,33,35,5,10,5/5/2021
21049,1,10,22,23,25,2,12,5/3/2021
21048,4,7,17,21,27,10,12,5/1/2021
21047,1,6,9,25,33,4,8,4/28/2021
21046,6,8,12,14,18,6,8,4/26/2021
21045,1,4,6,11,19,7,9,4/24/2021
21044,6,18,31,33,35,10,11,4/21/2021
21043,7,12,17,19,34,1,10,4/19/2021
21042,9,15,20,23,29,4,5,4/17/2021
21041,2,5,9,11,32,4,9,4/14/2021
21040,2,3,9,16,19,3,7,4/12/2021
21039,4,12,14,21,35,2,11,4/10/2021
21038,9,11,20,29,32,1,7,4/7/2021
21037,10,21,27,29,33,4,12,4/5/2021
21036,8,17,25,28,33,7,11,4/3/2021
21035,5,11,16,30,32,3,4,3/31/2021
21034,8,10,14,25,34,7,8,3/29/2021
21033,1,3,5,30,32,1,5,3/27/2021
21032,1,11,14,34,35,7,10,3/24/2021
21031,1,4,19,20,34,3,5,3/22/2021
21030,18,23,25,26,32,2,7,3/20/2021
21029,2,6,10,32,33,4,7,3/17/2021
21028,2,3,5,17,29,4,10,3/15/2021
21027,9,21,22,26,30,4,12,3/13/2021
21026,7,11,20,24,27,1,11,3/10/2021
21025,17,18,23,30,31,10,12,3/8/2021
21024,11,14,21,24,31,2,10,3/6/2021
21023,7,9,13,16,32,2,9,3/3/2021
21022,2,12,22,30,33,2,4,3/1/2021
21021,16,18,29,33,35,9,12,2/27/2021
21020,7,21,22,30,33,4,6,2/24/2021
21019,1,12,13,28,29,3,4,2/22/2021
21018,2,20,23,26,34,5,10,2/20/2021
21017,17,21,26,29,32,2,7,2/8/2021
21016,8,9,10,19,34,1,2,2/6/2021
21015,4,8,17,19,25,1,7,2/3/2021
21014,7,13,20,27,29,4,9,2/1/2021
21013,21,27,28,30,34,8,11,1/30/2021
21012,6,12,20,23,33,1,9,1/27/2021
21011,6,9,11,14,21,1,3,1/25/2021
21010,1,5,16,22,34,8,11,1/23/2021
21009,1,3,20,29,32,5,12,1/20/2021
21008,5,19,20,27,33,3,8,1/18/2021
21007,5,23,30,34,35,8,10,1/16/2021
21006,4,22,25,28,35,4,5,1/13/2021
21005,3,7,10,12,35,3,5,1/11/2021
21004,5,10,17,23,28,2,8,1/9/2021
21003,7,21,28,31,35,4,10,1/6/2021
21002,2,16,26,31,34,9,11,1/4/2021
21001,2,6,12,19,33,8,9,1/2/2021
20134,8,11,13,22,25,4,7,12/30/2020
20133,11,24,26,33,35,8,9,12/28/2020
20132,3,15,16,17,21,7,10,12/26/2020
20131,8,25,27,29,35,2,3,12/23/2020
20130,16,17,23,26,32,2,12,12/21/2020
20129,10,22,27,33,34,1,11,12/19/2020
20128,9,12,13,26,33,4,10,12/16/2020
20127,1,4,17,18,26,3,10,12/14/2020
20126,1,4,9,22,28,4,12,12/12/2020
20125,1,2,3,8,22,1,4,12/9/2020
20124,11,15,24,26,35,4,5,12/7/2020
20123,1,7,11,15,21,4,11,12/5/2020
20122,8,19,29,34,35,6,11,12/2/2020
20121,9,17,27,28,35,3,8,11/30/2020
20120,5,25,26,30,35,4,10,11/28/2020
20119,14,22,24,28,32,7,8,11/25/2020
20118,1,9,15,30,33,4,9,11/23/2020
20117,7,19,20,23,24,5,10,11/21/2020
20116,8,10,12,16,22,3,9,11/18/2020
20115,1,9,18,19,23,1,9,11/16/2020
20114,10,12,21,24,30,3,7,11/14/2020
20113,6,14,18,28,33,2,5,11/11/2020
20112,8,11,13,30,32,2,6,11/9/2020
20111,5,7,9,20,28,2,7,11/7/2020
20110,11,16,20,21,28,5,11,11/4/2020
20109,2,20,21,23,32,6,12,11/2/2020
20108,2,3,6,7,33,8,9,10/31/2020
20107,1,4,13,17,28,3,7,10/28/2020
20106,2,3,11,14,27,4,10,10/26/2020
20105,3,8,12,13,22,4,12,10/24/2020
20104,3,12,23,26,30,4,7,10/21/2020
20103,7,12,13,19,23,2,8,10/19/2020
20102,7,11,18,20,29,9,12,10/17/2020
20101,3,4,5,9,34,7,9,10/14/2020
20100,4,5,8,22,33,7,10,10/12/2020
20099,2,3,11,15,27,4,12,10/10/2020
20098,4,9,15,24,35,4,10,10/7/2020
20097,5,25,27,30,34,6,12,10/5/2020
20096,7,8,10,25,28,3,11,9/30/2020
20095,2,18,25,26,32,2,7,9/28/2020
20094,4,6,7,8,16,2,8,9/26/2020
20093,6,14,25,27,28,4,11,9/23/2020
20092,8,11,17,31,35,7,11,9/21/2020
20091,12,16,20,23,31,5,12,9/19/2020
20090,5,6,27,28,29,11,12,9/16/2020
20089,13,16,20,22,27,1,2,9/14/2020
20088,2,7,23,26,35,1,12,9/12/2020
20087,1,4,20,23,29,4,8,9/9/2020
20086,8,11,15,20,28,4,10,9/7/2020
20085,3,4,11,15,28,2,3,9/5/2020
20084,2,10,20,24,31,6,12,9/2/2020
20083,1,2,17,32,34,4,9,8/31/2020
20082,2,11,12,21,34,4,8,8/29/2020
20081,1,13,15,32,35,8,10,8/26/2020
20080,3,6,22,24,25,9,10,8/24/2020
20079,4,16,24,29,35,2,12,8/22/2020
20078,14,18,20,28,34,10,11,8/19/2020
20077,17,23,28,29,32,1,3,8/17/2020
20076,1,8,18,28,30,10,12,8/15/2020
20075,2,9,10,21,35,1,7,8/12/2020
20074,3,9,10,12,21,4,11,8/10/2020
20073,4,10,12,23,27,8,9,8/8/2020
20072,11,15,18,20,27,5,6,8/5/2020
20071,1,12,16,28,33,3,12,8/3/2020
20070,1,22,30,31,32,4,12,8/1/2020
20069,5,7,26,30,31,7,10,7/29/2020
20068,15,20,23,26,33,2,8,7/27/2020
20067,1,8,14,16,28,4,10,7/25/2020
20066,6,14,21,34,35,3,10,7/22/2020
20065,13,15,26,32,33,5,7,7/20/2020
20064,5,10,23,34,35,1,11,7/18/2020
20063,11,18,20,21,33,6,7,7/15/2020
20062,1,5,14,23,31,2,7,7/13/2020
20061,7,8,12,21,26,1,6,7/11/2020
20060,12,14,25,34,35,3,12,7/8/2020
20059,1,15,22,28,32,3,11,7/6/2020
20058,1,15,19,26,27,5,10,7/4/2020
20057,17,20,21,22,31,2,8,7/1/2020
20056,3,11,25,29,34,3,6,6/29/2020
20055,3,4,12,18,34,10,12,6/27/2020
20054,11,14,15,19,20,3,7,6/24/2020
20053,2,15,18,21,27,3,6,6/22/2020
20052,9,11,26,28,35,6,7,6/20/2020
20051,2,7,9,19,33,1,7,6/17/2020
20050,3,14,16,22,34,2,6,6/15/2020
20049,3,11,15,22,30,8,10,6/13/2020
20048,3,9,10,15,16,7,9,6/10/2020
20047,4,18,27,28,30,3,10,6/8/2020
20046,15,24,27,30,34,4,12,6/6/2020
20045,2,9,16,23,27,3,8,6/3/2020
20044,1,3,22,28,30,2,5,6/1/2020
20043,12,13,17,31,32,1,6,5/30/2020
20042,3,4,5,11,22,5,6,5/27/2020
20041,7,13,20,29,34,4,7,5/25/2020
20040,2,17,20,28,29,1,7,5/23/2020
20039,1,5,15,22,31,2,9,5/20/2020
20038,4,15,20,22,24,1,9,5/18/2020
20037,1,4,10,11,14,2,5,5/16/2020
20036,1,5,11,12,26,2,7,5/13/2020
20035,10,11,22,26,28,2,4,5/11/2020
20034,11,13,20,27,31,2,4,5/9/2020
20033,7,19,20,31,34,5,8,5/6/2020
20032,2,3,9,16,32,3,4,5/4/2020
20031,1,2,5,15,21,4,5,5/2/2020
20030,1,8,17,27,30,5,6,4/29/2020
20029,11,14,17,22,30,7,9,4/27/2020
20028,4,5,28,34,35,1,8,4/25/2020
20027,4,7,20,25,32,3,9,4/22/2020
20026,3,15,26,32,34,8,12,4/20/2020
20025,2,14,21,22,26,5,7,4/18/2020
20024,3,5,6,24,30,3,7,4/15/2020
20023,4,11,23,26,30,1,6,4/13/2020
20022,4,14,20,28,35,2,3,4/11/2020
20021,10,12,24,31,33,4,9,4/8/2020
20020,8,10,12,26,32,5,9,4/6/2020
20019,1,12,22,23,33,1,12,4/4/2020
20018,9,14,16,24,26,4,12,4/1/2020
20017,1,6,7,9,10,2,11,3/30/2020
20016,4,8,19,31,35,1,2,3/28/2020
20015,1,7,23,24,26,3,7,3/25/2020
20014,3,7,9,17,21,3,6,3/23/2020
20013,1,4,5,11,35,3,9,3/21/2020
20012,1,6,18,32,34,1,3,3/18/2020
20011,2,13,19,22,23,2,7,3/16/2020
20010,1,8,13,24,32,2,9,3/14/2020
20009,19,29,31,34,35,6,10,1/20/2020
20008,14,17,19,24,32,1,6,1/18/2020
20007,2,10,19,24,30,5,8,1/15/2020
20006,9,22,25,31,32,8,12,1/13/2020
20005,6,10,33,34,35,1,3,1/11/2020
20004,17,20,21,29,30,5,9,1/8/2020
20003,23,25,26,30,34,3,7,1/6/2020
20002,3,7,18,25,30,2,7,1/4/2020
20001,17,25,26,32,34,4,7,1/1/2020
19150,7,11,12,16,33,5,7,12/30/2019
19149,1,2,7,33,35,6,10,12/28/2019
19148,3,4,7,11,30,8,9,12/25/2019
19147,9,12,19,22,33,7,8,12/23/2019
19146,10,11,26,33,34,1,6,12/21/2019
19145,5,9,19,22,32,3,5,12/18/2019
19144,2,5,20,28,31,2,11,12/16/2019
19143,4,22,23,24,32,6,12,12/14/2019
19142,3,4,26,29,33,6,7,12/11/2019
19141,2,10,20,21,35,1,12,12/9/2019
19140,3,7,8,25,27,3,5,12/7/2019
19139,1,5,7,8,11,6,10,12/4/2019
19138,4,6,7,20,29,2,4,12/2/2019
19137,3,5,12,13,26,7,12,11/30/2019
19136,3,16,20,26,29,3,9,11/27/2019
19135,4,5,19,25,26,1,11,11/25/2019
19134,5,6,7,14,17,10,11,11/23/2019
19133,3,12,24,27,34,1,12,11/20/2019
19132,3,5,6,13,18,10,12,11/18/2019
19131,5,6,14,27,29,6,10,11/16/2019
19130,1,13,20,21,26,4,10,11/13/2019
19129,10,13,18,23,30,6,12,11/11/2019
19128,20,21,25,34,35,3,12,11/9/2019
19127,4,7,8,11,16,9,11,11/6/2019
19126,5,9,16,18,30,4,7,11/4/2019
19125,5,8,9,14,34,2,5,11/2/2019
19124,7,17,26,27,30,6,12,10/30/2019
19123,3,13,15,26,30,5,12,10/28/2019
19122,5,19,25,31,33,10,11,10/26/2019
19121,1,2,3,7,17,4,10,10/23/2019
19120,6,15,17,22,25,1,9,10/21/2019
19119,3,6,9,23,34,2,11,10/19/2019
19118,2,3,13,19,26,2,3,10/16/2019
19117,1,18,21,25,35,7,8,10/14/2019
19116,2,10,16,21,23,2,12,10/12/2019
19115,1,18,21,28,32,5,12,10/9/2019
19114,3,5,7,20,23,4,11,9/30/2019
19113,3,11,27,34,35,1,2,9/28/2019
19112,3,10,16,21,33,5,6,9/25/2019
19111,6,15,20,23,27,8,10,9/23/2019
19110,1,19,23,24,30,4,5,9/21/2019
19109,2,7,8,20,25,11,12,9/18/2019
19108,24,27,28,31,34,4,8,9/16/2019
19107,5,9,19,27,35,2,3,9/14/2019
19106,5,8,10,32,35,2,10,9/11/2019
19105,1,4,9,14,17,1,6,9/9/2019
19104,2,7,19,22,28,3,5,9/7/2019
19103,5,12,22,27,32,4,7,9/4/2019
19102,5,10,15,19,31,3,6,9/2/2019
19101,5,11,18,19,27,5,6,8/31/2019
19100,5,8,12,19,21,6,11,8/28/2019
19099,4,6,18,27,33,7,9,8/26/2019
19098,13,15,17,19,22,3,4,8/24/2019
19097,10,17,20,30,35,10,12,8/21/2019
19096,2,12,22,23,27,2,6,8/19/2019
19095,3,12,17,19,31,2,6,8/17/2019
19094,1,12,14,26,27,7,9,8/14/2019
19093,16,17,26,29,35,1,7,8/12/2019
19092,2,11,15,27,30,2,5,8/10/2019
19091,4,13,20,26,28,3,12,8/7/2019
19090,13,19,28,30,33,2,12,8/5/2019
19089,9,14,18,33,34,3,12,8/3/2019
19088,1,5,18,27,33,6,8,7/31/2019
19087,5,6,18,19,27,7,12,7/29/2019
19086,5,15,16,28,31,2,7,7/27/2019
19085,4,5,6,15,26,8,11,7/24/2019
19084,12,23,25,34,35,1,7,7/22/2019
19083,17,24,26,28,32,7,9,7/20/2019
19082,6,18,20,21,31,3,4,7/17/2019
19081,6,24,26,30,33,2,7,7/15/2019
19080,5,13,18,19,24,2,7,7/13/2019
19079,10,13,16,28,35,4,5,7/10/2019
19078,5,10,21,26,30,1,7,7/8/2019
19077,1,15,17,21,33,7,10,7/6/2019
19076,1,6,11,23,29,1,11,7/3/2019
19075,5,6,7,11,16,2,11,7/1/2019
19074,8,9,13,14,34,5,7,6/29/2019
19073,4,11,19,20,24,8,11,6/26/2019
19072,2,4,6,9,18,7,10,6/24/2019
19071,7,13,14,15,22,7,11,6/22/2019
19070,2,13,15,22,34,2,12,6/19/2019
19069,8,22,23,33,34,4,6,6/17/2019
19068,4,5,8,17,27,6,11,6/15/2019
19067,3,8,11,15,16,2,10,6/12/2019
19066,4,10,11,18,31,5,8,6/10/2019
19065,3,8,10,23,27,2,12,6/8/2019
19064,7,8,13,19,29,11,12,6/5/2019
19063,5,8,15,18,21,4,8,6/3/2019
19062,5,16,23,25,28,1,12,6/1/2019
19061,1,2,13,14,26,5,11,5/29/2019
19060,1,11,12,18,21,8,10,5/27/2019
19059,7,8,15,27,32,8,12,5/25/2019
19058,3,10,13,14,32,7,11,5/22/2019
19057,8,14,16,34,35,6,12,5/20/2019
19056,1,7,10,12,23,6,8,5/18/2019
19055,2,4,6,19,22,2,6,5/15/2019
19054,2,18,23,27,30,5,10,5/13/2019
19053,1,11,19,26,35,11,12,5/11/2019
19052,4,10,15,20,24,7,11,5/8/2019
19051,11,15,16,20,29,4,8,5/6/2019
19050,4,15,16,20,35,3,12,5/4/2019
19049,10,16,22,26,27,7,11,5/1/2019
19048,6,10,16,29,33,5,11,4/29/2019
19047,3,4,10,16,32,4,9,4/27/2019
19046,2,8,14,15,35,10,12,4/24/2019
19045,1,4,16,19,33,3,12,4/22/2019
19044,3,6,10,12,31,1,2,4/20/2019
19043,2,6,7,12,15,6,12,4/17/2019
19042,4,10,13,28,33,11,12,4/15/2019
19041,12,19,20,22,28,2,6,4/13/2019
19040,1,3,31,32,34,1,3,4/10/2019
19039,1,12,18,26,35,6,12,4/8/2019
19038,5,11,16,18,27,7,12,4/6/2019
19037,6,16,26,33,35,4,8,4/3/2019
19036,3,9,21,28,30,1,12,4/1/2019
19035,1,3,5,7,18,8,9,3/30/2019
19034,8,12,15,27,30,1,2,3/27/2019
19033,1,2,4,16,24,7,9,3/25/2019
19032,1,4,7,11,30,7,8,3/23/2019
19031,3,8,21,26,33,4,5,3/20/2019
19030,7,9,13,14,33,2,4,3/18/2019
19029,1,4,18,24,28,2,3,3/16/2019
19028,6,22,28,29,33,2,7,3/13/2019
19027,16,18,24,25,27,2,7,3/11/2019
19026,10,12,15,17,19,2,3,3/9/2019
19025,6,13,16,19,29,3,7,3/6/2019
19024,11,17,19,29,33,8,9,3/4/2019
19023,1,3,14,26,30,6,11,3/2/2019
19022,1,4,14,15,21,1,5,2/27/2019
19021,7,13,17,24,33,1,10,2/25/2019
19020,1,8,16,27,34,3,12,2/23/2019
19019,4,11,19,25,32,1,2,2/20/2019
19018,3,18,19,26,34,6,12,2/18/2019
19017,1,5,7,22,25,3,4,2/16/2019
19016,3,5,13,16,28,2,6,2/13/2019
19015,2,5,10,13,30,4,6,2/11/2019
19014,12,14,20,28,31,9,11,2/2/2019
19013,8,10,15,17,18,1,8,1/30/2019
19012,5,9,17,18,19,7,10,1/28/2019
19011,4,12,13,16,17,4,9,1/26/2019
19010,3,7,24,25,27,2,12,1/23/2019
19009,3,9,15,18,26,6,12,1/21/2019
19008,3,8,17,20,24,6,11,1/19/2019
19007,3,12,16,29,32,1,5,1/16/2019
19006,14,17,19,25,30,4,8,1/14/2019
19005,21,26,27,29,34,5,6,1/12/2019
19004,15,16,17,31,32,3,9,1/9/2019
19003,4,8,18,20,32,10,12,1/7/2019
19002,2,7,14,22,31,1,7,1/5/2019
19001,6,18,23,26,28,3,12,1/2/2019
18154,14,22,23,26,30,3,5,12/31/2018
18153,3,6,7,8,21,1,8,12/29/2018
18152,2,4,5,12,28,8,11,12/26/2018
18151,4,8,18,29,30,3,7,12/24/2018
18150,5,12,13,31,34,10,12,12/22/2018
18149,1,7,10,11,20,3,6,12/19/2018
18148,2,6,24,33,34,2,3,12/17/2018
18147,1,11,26,33,35,2,10,12/15/2018
18146,3,8,9,13,33,1,2,12/12/2018
18145,9,18,29,31,33,6,11,12/10/2018
18144,6,17,18,24,31,7,11,12/8/2018
18143,4,7,20,22,33,1,2,12/5/2018
18142,19,24,28,29,34,10,11,12/3/2018
18141,3,7,23,26,33,4,9,12/1/2018
18140,1,6,8,12,15,3,4,11/28/2018
18139,5,11,16,28,35,6,9,11/26/2018
18138,1,23,24,28,33,4,5,11/24/2018
18137,7,10,22,23,33,8,11,11/21/2018
18136,3,11,12,19,21,5,11,11/19/2018
18135,14,19,23,27,34,6,12,11/17/2018
18134,4,5,19,31,35,2,12,11/14/2018
18133,8,12,14,15,19,1,10,11/12/2018
18132,3,16,22,23,27,1,4,11/10/2018
18131,12,14,21,32,33,2,11,11/7/2018
18130,3,4,16,18,25,1,11,11/5/2018
18129,4,7,21,22,29,3,6,11/3/2018
18128,11,12,14,16,26,8,9,10/31/2018
18127,1,3,4,11,29,8,12,10/29/2018
18126,11,13,15,21,27,5,6,10/27/2018
18125,7,16,20,21,34,4,6,10/24/2018
18124,8,10,12,19,20,10,11,10/22/2018
18123,6,9,29,32,35,2,4,10/20/2018
18122,8,9,21,30,31,5,12,10/17/2018
18121,6,7,21,29,30,1,10,10/15/2018
18120,21,22,25,27,30,8,9,10/13/2018
18119,6,9,11,16,35,2,5,10/10/2018
18118,4,5,14,21,34,6,9,10/8/2018
18117,7,11,13,22,29,3,8,10/6/2018
18116,1,14,17,21,33,7,10,10/3/2018
18115,2,6,13,18,25,1,2,10/1/2018
18114,12,18,26,28,29,5,6,9/29/2018
18113,8,12,27,31,33,4,8,9/26/2018
18112,3,7,8,9,29,9,10,9/24/2018
18111,3,16,27,28,32,4,5,9/22/2018
18110,6,19,21,27,28,3,11,9/19/2018
18109,10,16,23,25,34,2,5,9/17/2018
18108,9,10,24,31,32,7,12,9/15/2018
18107,7,8,9,10,22,3,4,9/12/2018
18106,4,14,17,24,31,1,4,9/10/2018
18105,1,16,19,20,31,2,7,9/8/2018
18104,1,13,14,26,28,7,11,9/5/2018
18103,14,24,26,28,35,2,3,9/3/2018
18102,6,7,13,22,24,10,12,9/1/2018
18101,3,14,15,23,29,4,5,8/29/2018
18100,6,20,21,26,30,6,9,8/27/2018
18099,12,13,16,20,21,1,7,8/25/2018
18098,2,15,18,25,27,5,7,8/22/2018
18097,10,12,14,18,23,1,4,8/20/2018
18096,13,14,20,28,34,6,10,8/18/2018
18095,7,14,18,29,35,5,12,8/15/2018
18094,11,16,25,30,34,8,10,8/13/2018
18093,3,11,16,18,33,3,11,8/11/2018
18092,5,7,14,18,19,4,10,8/8/2018
18091,6,22,26,28,31,1,7,8/6/2018
18090,6,20,24,33,34,4,11,8/4/2018
18089,26,27,28,32,34,6,10,8/1/2018
18088,8,9,21,25,33,1,8,7/30/2018
18087,3,14,19,23,25,1,4,7/28/2018
18086,16,22,24,29,31,4,5,7/25/2018
18085,1,2,14,25,31,5,7,7/23/2018
18084,6,11,17,22,35,11,12,7/21/2018
18083,7,12,25,27,28,10,11,7/18/2018
18082,1,2,14,17,18,8,10,7/16/2018
18081,2,10,13,21,35,1,12,7/14/2018
18080,7,16,24,26,31,10,11,7/11/2018
18079,3,4,10,27,29,1,5,7/9/2018
18078,7,11,12,22,30,3,6,7/7/2018
18077,1,6,9,15,26,8,9,7/4/2018
18076,7,18,28,29,32,6,8,7/2/2018
18075,1,6,12,20,34,4,12,6/30/2018
18074,3,9,12,28,30,4,12,6/27/2018
18073,13,19,24,25,29,2,8,6/25/2018
18072,5,12,17,24,26,1,2,6/23/2018
18071,2,5,23,30,31,3,9,6/20/2018
18070,2,5,10,16,30,4,7,6/18/2018
18069,1,8,13,21,24,2,11,6/16/2018
18068,8,12,16,26,33,5,6,6/13/2018
18067,3,7,12,18,31,7,10,6/11/2018
18066,1,20,23,32,33,1,4,6/9/2018
18065,7,10,28,31,32,8,10,6/6/2018
18064,1,3,4,11,29,2,4,6/4/2018
18063,5,14,15,32,34,3,10,6/2/2018
18062,12,14,19,23,35,2,7,5/30/2018
18061,4,10,12,28,31,8,11,5/28/2018
18060,4,22,27,29,31,2,10,5/26/2018
18059,1,9,10,27,35,6,11,5/23/2018
18058,9,11,12,26,32,4,10,5/21/2018
18057,13,19,22,27,28,5,6,5/19/2018
18056,2,4,16,28,34,5,7,5/16/2018
18055,3,7,20,33,34,9,10,5/14/2018
18054,9,10,12,20,30,1,7,5/12/2018
18053,11,16,21,23,25,2,12,5/9/2018
18052,5,16,18,19,25,2,7,5/7/2018
18051,9,18,28,29,35,3,11,5/5/2018
18050,22,24,26,34,35,6,12,5/2/2018
18049,4,7,9,10,13,6,12,4/30/2018
18048,2,3,11,20,25,2,7,4/28/2018
18047,3,8,10,14,20,4,8,4/25/2018
18046,10,20,22,29,32,5,10,4/23/2018
18045,2,5,20,30,35,5,9,4/21/2018
18044,2,4,6,18,21,5,8,4/18/2018
18043,3,6,13,28,33,4,11,4/16/2018
