From,To,Distance,Duration
ning-bo-DC,hang-zhou-shi,168,155
chong-qing-DC,hang-zhou-shi,1641,1178
cheng-du-DC,he-fei-shi,1515,1023
dong-guan-DC,he-fei-shi,1228,844
guang-zhou-DC,he-fei-shi,1216,859
nei-lu-CDC,he-fei-shi,1010,756
nan-jing-DC,he-fei-shi,177,179
qing-dao-DC,he-fei-shi,715,546
gang-kou-CDC,he-fei-shi,1066,781
shang-hai-DC,he-fei-shi,464,377
shen-zhen-DC,he-fei-shi,1245,862
tian-jin-DC,he-fei-shi,959,735
xi-an-DC,he-fei-shi,933,705
chang-sha-DC,he-fei-shi,728,549
zheng-zhou-DC,he-fei-shi,568,393
hang-zhou-DC,he-fei-shi,416,373
wu-han-DC,he-fei-shi,385,314
da-lian-DC,he-fei-shi,1765,1232
ha-er-bin-DC,he-fei-shi,2167,1411
bei-jing-DC,he-fei-shi,1039,770
ning-bo-DC,he-fei-shi,576,435
chong-qing-DC,he-fei-shi,1290,917
cheng-du-DC,he-ze-shi,1429,1069
dong-guan-DC,he-ze-shi,1624,1066
guang-zhou-DC,he-ze-shi,1613,1076
nei-lu-CDC,he-ze-shi,579,430
nan-jing-DC,he-ze-shi,566,424
qing-dao-DC,he-ze-shi,534,436
gang-kou-CDC,he-ze-shi,1492,1030
shang-hai-DC,he-ze-shi,849,664
shen-zhen-DC,he-ze-shi,1642,1084
tian-jin-DC,he-ze-shi,566,441
xi-an-DC,he-ze-shi,668,521
chang-sha-DC,he-ze-shi,954,729
zheng-zhou-DC,he-ze-shi,214,185
hang-zhou-DC,he-ze-shi,845,654
wu-han-DC,he-ze-shi,624,469
da-lian-DC,he-ze-shi,1340,1021
ha-er-bin-DC,he-ze-shi,1742,1188
bei-jing-DC,he-ze-shi,601,445
ning-bo-DC,he-ze-shi,1002,720
chong-qing-DC,he-ze-shi,1309,969
cheng-du-DC,heng-yang-shi,1247,899
dong-guan-DC,heng-yang-shi,573,428
guang-zhou-DC,heng-yang-shi,532,399
nei-lu-CDC,heng-yang-shi,1617,1117
nan-jing-DC,heng-yang-shi,1063,828
qing-dao-DC,heng-yang-shi,1610,1116
gang-kou-CDC,heng-yang-shi,793,571
shang-hai-DC,heng-yang-shi,1192,862
shen-zhen-DC,heng-yang-shi,639,498
tian-jin-DC,heng-yang-shi,1623,1138
xi-an-DC,heng-yang-shi,1150,892
chang-sha-DC,heng-yang-shi,190,167
zheng-zhou-DC,heng-yang-shi,981,784
hang-zhou-DC,heng-yang-shi,1007,718
wu-han-DC,heng-yang-shi,511,396
da-lian-DC,heng-yang-shi,2441,1591
ha-er-bin-DC,heng-yang-shi,2843,1776
bei-jing-DC,heng-yang-shi,1638,1135
ning-bo-DC,heng-yang-shi,1109,779
chong-qing-DC,heng-yang-shi,932,724
cheng-du-DC,hu-he-hao-te-shi,1741,1240
dong-guan-DC,hu-he-hao-te-shi,2369,1574
guang-zhou-DC,hu-he-hao-te-shi,2358,1557
nei-lu-CDC,hu-he-hao-te-shi,591,485
nan-jing-DC,hu-he-hao-te-shi,1493,1046
qing-dao-DC,hu-he-hao-te-shi,1148,912
gang-kou-CDC,hu-he-hao-te-shi,2465,1574
shang-hai-DC,hu-he-hao-te-shi,1703,1208
shen-zhen-DC,hu-he-hao-te-shi,2536,1598
tian-jin-DC,hu-he-hao-te-shi,626,542
xi-an-DC,hu-he-hao-te-shi,967,752
chang-sha-DC,hu-he-hao-te-shi,1691,1232
zheng-zhou-DC,hu-he-hao-te-shi,902,762
hang-zhou-DC,hu-he-hao-te-shi,1772,1217
wu-han-DC,hu-he-hao-te-shi,1495,1067
da-lian-DC,hu-he-hao-te-shi,1338,1022
ha-er-bin-DC,hu-he-hao-te-shi,1689,1162
bei-jing-DC,hu-he-hao-te-shi,491,384
ning-bo-DC,hu-he-hao-te-shi,1872,1247
chong-qing-DC,hu-he-hao-te-shi,1668,1194
cheng-du-DC,hu-zhou-shi,1824,1209
dong-guan-DC,hu-zhou-shi,1332,947
guang-zhou-DC,hu-zhou-shi,1340,958
nei-lu-CDC,hu-zhou-shi,1151,878
nan-jing-DC,hu-zhou-shi,202,170
qing-dao-DC,hu-zhou-shi,745,567
gang-kou-CDC,hu-zhou-shi,981,741
shang-hai-DC,hu-zhou-shi,150,172
shen-zhen-DC,hu-zhou-shi,1342,956
tian-jin-DC,hu-zhou-shi,1075,828
xi-an-DC,hu-zhou-shi,1267,918
chang-sha-DC,hu-zhou-shi,972,728
zheng-zhou-DC,hu-zhou-shi,854,602
hang-zhou-DC,hu-zhou-shi,105,132
wu-han-DC,hu-zhou-shi,697,521
da-lian-DC,hu-zhou-shi,1882,1329
ha-er-bin-DC,hu-zhou-shi,2284,1491
bei-jing-DC,hu-zhou-shi,1221,866
ning-bo-DC,hu-zhou-shi,249,193
chong-qing-DC,hu-zhou-shi,1579,1131
cheng-du-DC,huai-an-shi,1798,1200
dong-guan-DC,huai-an-shi,1549,1032
guang-zhou-DC,huai-an-shi,1538,1040
nei-lu-CDC,huai-an-shi,814,654
nan-jing-DC,huai-an-shi,197,172
qing-dao-DC,huai-an-shi,384,318
gang-kou-CDC,huai-an-shi,1351,955
shang-hai-DC,huai-an-shi,419,354
shen-zhen-DC,huai-an-shi,1567,1048
tian-jin-DC,huai-an-shi,739,597
xi-an-DC,huai-an-shi,1015,758
chang-sha-DC,huai-an-shi,1049,790
zheng-zhou-DC,huai-an-shi,543,390
hang-zhou-DC,huai-an-shi,480,379
wu-han-DC,huai-an-shi,705,531
da-lian-DC,huai-an-shi,1546,1133
ha-er-bin-DC,huai-an-shi,1948,1295
bei-jing-DC,huai-an-shi,887,672
ning-bo-DC,huai-an-shi,571,415
chong-qing-DC,huai-an-shi,1611,1110
cheng-du-DC,hui-zhou-shi,1704,1147
dong-guan-DC,hui-zhou-shi,92,114
guang-zhou-DC,hui-zhou-shi,164,158
nei-lu-CDC,hui-zhou-shi,2061,1365
nan-jing-DC,hui-zhou-shi,1281,952
qing-dao-DC,hui-zhou-shi,1848,1262
gang-kou-CDC,hui-zhou-shi,527,371
shang-hai-DC,hui-zhou-shi,1357,991
shen-zhen-DC,hui-zhou-shi,88,106
tian-jin-DC,hui-zhou-shi,2067,1392
xi-an-DC,hui-zhou-shi,1684,1220
chang-sha-DC,hui-zhou-shi,740,554
zheng-zhou-DC,hui-zhou-shi,1494,1071
hang-zhou-DC,hui-zhou-shi,1173,863
wu-han-DC,hui-zhou-shi,994,784
da-lian-DC,hui-zhou-shi,2883,1833
ha-er-bin-DC,hui-zhou-shi,3287,2030
bei-jing-DC,hui-zhou-shi,2083,1389
ning-bo-DC,hui-zhou-shi,1274,908
chong-qing-DC,hui-zhou-shi,1431,1015
cheng-du-DC,ji-lin-shi,2917,1846
dong-guan-DC,ji-lin-shi,3197,1905
guang-zhou-DC,ji-lin-shi,3185,1907
nei-lu-CDC,ji-lin-shi,1078,831
nan-jing-DC,ji-lin-shi,1975,1288
qing-dao-DC,ji-lin-shi,1573,1121
gang-kou-CDC,ji-lin-shi,3043,1860
shang-hai-DC,ji-lin-shi,2127,1405
shen-zhen-DC,ji-lin-shi,3214,1919
tian-jin-DC,ji-lin-shi,1065,823
xi-an-DC,ji-lin-shi,2147,1410
chang-sha-DC,ji-lin-shi,2527,1595
zheng-zhou-DC,ji-lin-shi,1744,1175
hang-zhou-DC,ji-lin-shi,2249,1434
wu-han-DC,ji-lin-shi,2196,1390
da-lian-DC,ji-lin-shi,788,569
ha-er-bin-DC,ji-lin-shi,285,268
bei-jing-DC,ji-lin-shi,1083,835
ning-bo-DC,ji-lin-shi,2296,1442
chong-qing-DC,ji-lin-shi,2827,1805
cheng-du-DC,ji-nan-shi,1682,1206
dong-guan-DC,ji-nan-shi,1855,1197
guang-zhou-DC,ji-nan-shi,1844,1205
nei-lu-CDC,ji-nan-shi,387,296
nan-jing-DC,ji-nan-shi,684,497
qing-dao-DC,ji-nan-shi,361,297
gang-kou-CDC,ji-nan-shi,1719,1150
shang-hai-DC,ji-nan-shi,849,678
shen-zhen-DC,ji-nan-shi,1873,1201
tian-jin-DC,ji-nan-shi,335,274
xi-an-DC,ji-nan-shi,933,767
chang-sha-DC,ji-nan-shi,1188,877
zheng-zhou-DC,ji-nan-shi,455,373
hang-zhou-DC,ji-nan-shi,970,726
wu-han-DC,ji-nan-shi,855,649
da-lian-DC,ji-nan-shi,1142,904
ha-er-bin-DC,ji-nan-shi,1544,1076
bei-jing-DC,ji-nan-shi,416,314
ning-bo-DC,ji-nan-shi,1018,735
chong-qing-DC,ji-nan-shi,1562,1116
cheng-du-DC,ji-ning-shi,1555,1149
dong-guan-DC,ji-ning-shi,1710,1118
guang-zhou-DC,ji-ning-shi,1699,1132
nei-lu-CDC,ji-ning-shi,575,444
nan-jing-DC,ji-ning-shi,513,386
qing-dao-DC,ji-ning-shi,431,365
gang-kou-CDC,ji-ning-shi,1549,1068
shang-hai-DC,ji-ning-shi,770,626
shen-zhen-DC,ji-ning-shi,1728,1129
tian-jin-DC,ji-ning-shi,523,433
xi-an-DC,ji-ning-shi,795,661
chang-sha-DC,ji-ning-shi,1062,823
zheng-zhou-DC,ji-ning-shi,340,309
hang-zhou-DC,ji-ning-shi,792,616
wu-han-DC,ji-ning-shi,728,575
da-lian-DC,ji-ning-shi,1323,1002
ha-er-bin-DC,ji-ning-shi,1727,1186
bei-jing-DC,ji-ning-shi,598,478
ning-bo-DC,ji-ning-shi,931,670
chong-qing-DC,ji-ning-shi,1435,1058
cheng-du-DC,jia-xing-shi,1907,1255
dong-guan-DC,jia-xing-shi,1337,930
guang-zhou-DC,jia-xing-shi,1344,939
nei-lu-CDC,jia-xing-shi,1190,898
nan-jing-DC,jia-xing-shi,284,230
qing-dao-DC,jia-xing-shi,759,568
gang-kou-CDC,jia-xing-shi,941,708
shang-hai-DC,jia-xing-shi,107,154
shen-zhen-DC,jia-xing-shi,1347,941
tian-jin-DC,jia-xing-shi,1115,839
xi-an-DC,jia-xing-shi,1349,966
chang-sha-DC,jia-xing-shi,991,716
zheng-zhou-DC,jia-xing-shi,936,650
hang-zhou-DC,jia-xing-shi,91,118
wu-han-DC,jia-xing-shi,779,579
da-lian-DC,jia-xing-shi,1919,1310
ha-er-bin-DC,jia-xing-shi,2323,1495
bei-jing-DC,jia-xing-shi,1240,924
ning-bo-DC,jia-xing-shi,162,138
chong-qing-DC,jia-xing-shi,1661,1178
cheng-du-DC,jiang-men-shi,1608,1091
dong-guan-DC,jiang-men-shi,120,130
guang-zhou-DC,jiang-men-shi,82,103
nei-lu-CDC,jiang-men-shi,2206,1437
nan-jing-DC,jiang-men-shi,1445,1023
qing-dao-DC,jiang-men-shi,2005,1337
gang-kou-CDC,jiang-men-shi,693,478
shang-hai-DC,jiang-men-shi,1521,1076
shen-zhen-DC,jiang-men-shi,164,159
tian-jin-DC,jiang-men-shi,2212,1447
xi-an-DC,jiang-men-shi,1740,1215
chang-sha-DC,jiang-men-shi,784,566
zheng-zhou-DC,jiang-men-shi,1571,1110
hang-zhou-DC,jiang-men-shi,1337,946
wu-han-DC,jiang-men-shi,1098,816
da-lian-DC,jiang-men-shi,3030,1908
ha-er-bin-DC,jiang-men-shi,3432,2100
bei-jing-DC,jiang-men-shi,2228,1452
ning-bo-DC,jiang-men-shi,1438,991
chong-qing-DC,jiang-men-shi,1335,938
cheng-du-DC,jie-yang-shi,1924,1261
dong-guan-DC,jie-yang-shi,325,245
guang-zhou-DC,jie-yang-shi,375,271
nei-lu-CDC,jie-yang-shi,2052,1371
nan-jing-DC,jie-yang-shi,1167,878
qing-dao-DC,jie-yang-shi,1735,1205
gang-kou-CDC,jie-yang-shi,272,230
shang-hai-DC,jie-yang-shi,1244,925
shen-zhen-DC,jie-yang-shi,317,234
tian-jin-DC,jie-yang-shi,2024,1374
xi-an-DC,jie-yang-shi,1785,1245
chang-sha-DC,jie-yang-shi,839,658
zheng-zhou-DC,jie-yang-shi,1535,1073
hang-zhou-DC,jie-yang-shi,1059,786
wu-han-DC,jie-yang-shi,1040,788
da-lian-DC,jie-yang-shi,2831,1851
ha-er-bin-DC,jie-yang-shi,3233,2028
bei-jing-DC,jie-yang-shi,2074,1401
ning-bo-DC,jie-yang-shi,1063,800
chong-qing-DC,jie-yang-shi,1651,1113
cheng-du-DC,jin-hua-shi,1790,1258
dong-guan-DC,jin-hua-shi,1112,796
guang-zhou-DC,jin-hua-shi,1119,817
nei-lu-CDC,jin-hua-shi,1426,1027
nan-jing-DC,jin-hua-shi,453,336
qing-dao-DC,jin-hua-shi,996,737
gang-kou-CDC,jin-hua-shi,801,591
shang-hai-DC,jin-hua-shi,326,286
shen-zhen-DC,jin-hua-shi,1122,824
tian-jin-DC,jin-hua-shi,1351,977
xi-an-DC,jin-hua-shi,1455,1050
chang-sha-DC,jin-hua-shi,773,575
zheng-zhou-DC,jin-hua-shi,1105,789
hang-zhou-DC,jin-hua-shi,181,164
wu-han-DC,jin-hua-shi,687,538
da-lian-DC,jin-hua-shi,2157,1464
ha-er-bin-DC,jin-hua-shi,2560,1628
bei-jing-DC,jin-hua-shi,1476,1043
ning-bo-DC,jin-hua-shi,243,187
chong-qing-DC,jin-hua-shi,1542,1138
cheng-du-DC,jiu-jiang-shi,1376,1011
dong-guan-DC,jiu-jiang-shi,934,638
guang-zhou-DC,jiu-jiang-shi,923,646
nei-lu-CDC,jiu-jiang-shi,1305,926
nan-jing-DC,jiu-jiang-shi,449,358
qing-dao-DC,jiu-jiang-shi,1016,781
gang-kou-CDC,jiu-jiang-shi,813,579
shang-hai-DC,jiu-jiang-shi,652,517
shen-zhen-DC,jiu-jiang-shi,951,653
tian-jin-DC,jiu-jiang-shi,1240,932
xi-an-DC,jiu-jiang-shi,1002,784
chang-sha-DC,jiu-jiang-shi,454,357
zheng-zhou-DC,jiu-jiang-shi,752,561
hang-zhou-DC,jiu-jiang-shi,518,379
wu-han-DC,jiu-jiang-shi,257,227
da-lian-DC,jiu-jiang-shi,2046,1413
ha-er-bin-DC,jiu-jiang-shi,2448,1591
bei-jing-DC,jiu-jiang-shi,1326,951
ning-bo-DC,jiu-jiang-shi,649,461
chong-qing-DC,jiu-jiang-shi,1128,897
cheng-du-DC,kun-ming-shi,860,702
dong-guan-DC,kun-ming-shi,1406,1002
guang-zhou-DC,kun-ming-shi,1344,950
nei-lu-CDC,kun-ming-shi,2584,1698
nan-jing-DC,kun-ming-shi,2112,1450
qing-dao-DC,kun-ming-shi,2633,1742
gang-kou-CDC,kun-ming-shi,1979,1311
shang-hai-DC,kun-ming-shi,2334,1569
shen-zhen-DC,kun-ming-shi,1450,1023
tian-jin-DC,kun-ming-shi,2590,1715
xi-an-DC,kun-ming-shi,1499,1149
chang-sha-DC,kun-ming-shi,1324,1013
zheng-zhou-DC,kun-ming-shi,1949,1368
hang-zhou-DC,kun-ming-shi,2183,1451
wu-han-DC,kun-ming-shi,1570,1155
da-lian-DC,kun-ming-shi,3406,2174
ha-er-bin-DC,kun-ming-shi,3810,2379
bei-jing-DC,kun-ming-shi,2606,1726
ning-bo-DC,kun-ming-shi,2284,1494
chong-qing-DC,kun-ming-shi,858,673
cheng-du-DC,lan-zhou-shi,970,819
dong-guan-DC,lan-zhou-shi,2331,1537
guang-zhou-DC,lan-zhou-shi,2320,1528
nei-lu-CDC,lan-zhou-shi,1428,1067
nan-jing-DC,lan-zhou-shi,1724,1169
qing-dao-DC,lan-zhou-shi,1798,1269
gang-kou-CDC,lan-zhou-shi,2435,1585
shang-hai-DC,lan-zhou-shi,1993,1361
shen-zhen-DC,lan-zhou-shi,2397,1585
tian-jin-DC,lan-zhou-shi,1498,1097
xi-an-DC,lan-zhou-shi,625,524
chang-sha-DC,lan-zhou-shi,1654,1191
zheng-zhou-DC,lan-zhou-shi,1099,882
hang-zhou-DC,lan-zhou-shi,1946,1349
wu-han-DC,lan-zhou-shi,1398,1031
da-lian-DC,lan-zhou-shi,2252,1548
ha-er-bin-DC,lan-zhou-shi,2654,1734
bei-jing-DC,lan-zhou-shi,1435,1078
ning-bo-DC,lan-zhou-shi,2114,1400
chong-qing-DC,lan-zhou-shi,1080,848
cheng-du-DC,lian-yun-gang-shi,1814,1214
dong-guan-DC,lian-yun-gang-shi,1682,1104
guang-zhou-DC,lian-yun-gang-shi,1671,1111
nei-lu-CDC,lian-yun-gang-shi,685,570
nan-jing-DC,lian-yun-gang-shi,330,245
qing-dao-DC,lian-yun-gang-shi,255,235
gang-kou-CDC,lian-yun-gang-shi,1456,1000
shang-hai-DC,lian-yun-gang-shi,485,410
shen-zhen-DC,lian-yun-gang-shi,1700,1119
tian-jin-DC,lian-yun-gang-shi,610,493
xi-an-DC,lian-yun-gang-shi,1031,778
chang-sha-DC,lian-yun-gang-shi,1204,874
zheng-zhou-DC,lian-yun-gang-shi,559,396
hang-zhou-DC,lian-yun-gang-shi,586,452
wu-han-DC,lian-yun-gang-shi,839,607
da-lian-DC,lian-yun-gang-shi,1417,1053
ha-er-bin-DC,lian-yun-gang-shi,1819,1218
bei-jing-DC,lian-yun-gang-shi,736,611
ning-bo-DC,lian-yun-gang-shi,654,459
chong-qing-DC,lian-yun-gang-shi,1626,1119
cheng-du-DC,liao-cheng-shi,1555,1142
dong-guan-DC,liao-cheng-shi,1769,1155
guang-zhou-DC,liao-cheng-shi,1757,1157
nei-lu-CDC,liao-cheng-shi,424,325
nan-jing-DC,liao-cheng-shi,655,478
qing-dao-DC,liao-cheng-shi,473,378
gang-kou-CDC,liao-cheng-shi,1636,1105
shang-hai-DC,liao-cheng-shi,912,719
shen-zhen-DC,liao-cheng-shi,1786,1159
tian-jin-DC,liao-cheng-shi,415,332
xi-an-DC,liao-cheng-shi,795,631
chang-sha-DC,liao-cheng-shi,1102,834
zheng-zhou-DC,liao-cheng-shi,338,288
hang-zhou-DC,liao-cheng-shi,934,711
wu-han-DC,liao-cheng-shi,768,587
da-lian-DC,liao-cheng-shi,1185,939
ha-er-bin-DC,liao-cheng-shi,1587,1119
bei-jing-DC,liao-cheng-shi,446,349
ning-bo-DC,liao-cheng-shi,1072,764
chong-qing-DC,liao-cheng-shi,1464,1058
cheng-du-DC,lin-fen-shi,1128,875
dong-guan-DC,lin-fen-shi,1771,1200
guang-zhou-DC,lin-fen-shi,1760,1180
nei-lu-CDC,lin-fen-shi,730,567
nan-jing-DC,lin-fen-shi,1009,747
qing-dao-DC,lin-fen-shi,924,774
gang-kou-CDC,lin-fen-shi,1855,1232
shang-hai-DC,lin-fen-shi,1292,936
shen-zhen-DC,lin-fen-shi,1836,1233
tian-jin-DC,lin-fen-shi,772,613
xi-an-DC,lin-fen-shi,357,267
chang-sha-DC,lin-fen-shi,1093,859
zheng-zhou-DC,lin-fen-shi,370,308
hang-zhou-DC,lin-fen-shi,1288,938
wu-han-DC,lin-fen-shi,827,659
da-lian-DC,lin-fen-shi,1554,1130
ha-er-bin-DC,lin-fen-shi,1956,1319
bei-jing-DC,lin-fen-shi,737,569
ning-bo-DC,lin-fen-shi,1444,989
chong-qing-DC,lin-fen-shi,1038,821
cheng-du-DC,lin-yi-shi,1743,1262
dong-guan-DC,lin-yi-shi,1733,1146
guang-zhou-DC,lin-yi-shi,1722,1155
nei-lu-CDC,lin-yi-shi,591,517
nan-jing-DC,lin-yi-shi,432,353
qing-dao-DC,lin-yi-shi,290,273
gang-kou-CDC,lin-yi-shi,1555,1086
shang-hai-DC,lin-yi-shi,584,507
shen-zhen-DC,lin-yi-shi,1751,1161
tian-jin-DC,lin-yi-shi,516,431
xi-an-DC,lin-yi-shi,982,791
chang-sha-DC,lin-yi-shi,1200,896
zheng-zhou-DC,lin-yi-shi,516,443
hang-zhou-DC,lin-yi-shi,705,553
wu-han-DC,lin-yi-shi,837,666
da-lian-DC,lin-yi-shi,1322,1029
ha-er-bin-DC,lin-yi-shi,1724,1198
bei-jing-DC,lin-yi-shi,641,550
ning-bo-DC,lin-yi-shi,753,559
chong-qing-DC,lin-yi-shi,1623,1145
cheng-du-DC,lu-an-shi,1437,984
dong-guan-DC,lu-an-shi,1224,854
guang-zhou-DC,lu-an-shi,1212,867
nei-lu-CDC,lu-an-shi,988,744
nan-jing-DC,lu-an-shi,260,239
qing-dao-DC,lu-an-shi,795,582
gang-kou-CDC,lu-an-shi,1087,800
shang-hai-DC,lu-an-shi,547,429
shen-zhen-DC,lu-an-shi,1241,866
tian-jin-DC,lu-an-shi,943,727
xi-an-DC,lu-an-shi,855,662
chang-sha-DC,lu-an-shi,658,519
zheng-zhou-DC,lu-an-shi,512,376
hang-zhou-DC,lu-an-shi,499,428
wu-han-DC,lu-an-shi,307,266
da-lian-DC,lu-an-shi,1749,1232
ha-er-bin-DC,lu-an-shi,2151,1408
bei-jing-DC,lu-an-shi,1010,743
ning-bo-DC,lu-an-shi,667,494
chong-qing-DC,lu-an-shi,1212,890
cheng-du-DC,luo-yang-shi,1127,910
dong-guan-DC,luo-yang-shi,1519,1038
guang-zhou-DC,luo-yang-shi,1508,1048
nei-lu-CDC,luo-yang-shi,788,563
nan-jing-DC,luo-yang-shi,759,529
qing-dao-DC,luo-yang-shi,841,667
gang-kou-CDC,luo-yang-shi,1603,1075
shang-hai-DC,luo-yang-shi,1036,771
shen-zhen-DC,luo-yang-shi,1585,1091
tian-jin-DC,luo-yang-shi,806,610
xi-an-DC,luo-yang-shi,408,343
chang-sha-DC,luo-yang-shi,842,673
zheng-zhou-DC,luo-yang-shi,139,143
hang-zhou-DC,luo-yang-shi,1039,768
wu-han-DC,luo-yang-shi,576,455
da-lian-DC,luo-yang-shi,1610,1105
ha-er-bin-DC,luo-yang-shi,2013,1311
bei-jing-DC,luo-yang-shi,794,603
ning-bo-DC,luo-yang-shi,1188,827
chong-qing-DC,luo-yang-shi,1037,855
cheng-du-DC,mian-yang-shi,147,138
dong-guan-DC,mian-yang-shi,1706,1153
guang-zhou-DC,mian-yang-shi,1627,1120
nei-lu-CDC,mian-yang-shi,1670,1210
nan-jing-DC,mian-yang-shi,1630,1145
qing-dao-DC,mian-yang-shi,1781,1302
gang-kou-CDC,mian-yang-shi,2033,1357
shang-hai-DC,mian-yang-shi,1900,1324
shen-zhen-DC,mian-yang-shi,1765,1202
tian-jin-DC,mian-yang-shi,1711,1240
xi-an-DC,mian-yang-shi,612,549
chang-sha-DC,mian-yang-shi,1153,884
zheng-zhou-DC,mian-yang-shi,1083,885
hang-zhou-DC,mian-yang-shi,1846,1293
wu-han-DC,mian-yang-shi,1117,833
da-lian-DC,mian-yang-shi,2494,1711
ha-er-bin-DC,mian-yang-shi,2896,1893
bei-jing-DC,mian-yang-shi,1676,1210
ning-bo-DC,mian-yang-shi,2006,1346
chong-qing-DC,mian-yang-shi,344,273
cheng-du-DC,nan-chang-shi,1465,1078
dong-guan-DC,nan-chang-shi,798,540
guang-zhou-DC,nan-chang-shi,787,564
nei-lu-CDC,nan-chang-shi,1410,1003
nan-jing-DC,nan-chang-shi,584,460
qing-dao-DC,nan-chang-shi,1135,851
gang-kou-CDC,nan-chang-shi,688,500
shang-hai-DC,nan-chang-shi,724,548
shen-zhen-DC,nan-chang-shi,815,559
tian-jin-DC,nan-chang-shi,1345,1015
xi-an-DC,nan-chang-shi,1107,856
chang-sha-DC,nan-chang-shi,350,279
zheng-zhou-DC,nan-chang-shi,857,648
hang-zhou-DC,nan-chang-shi,538,384
wu-han-DC,nan-chang-shi,362,304
da-lian-DC,nan-chang-shi,2151,1476
ha-er-bin-DC,nan-chang-shi,2553,1650
bei-jing-DC,nan-chang-shi,1431,1021
ning-bo-DC,nan-chang-shi,669,471
chong-qing-DC,nan-chang-shi,1217,956
nei-lu-CDC,nan-jing-DC,999,738
gang-kou-CDC,nan-jing-DC,1160,852
cheng-du-DC,nan-jing-shi,1665,1135
dong-guan-DC,nan-jing-shi,1348,954
guang-zhou-DC,nan-jing-shi,1355,965
nei-lu-CDC,nan-jing-shi,999,738
nan-jing-DC,nan-jing-shi,0,0
qing-dao-DC,nan-jing-shi,573,445
gang-kou-CDC,nan-jing-shi,1160,852
shang-hai-DC,nan-jing-shi,296,263
shen-zhen-DC,nan-jing-shi,1358,970
tian-jin-DC,nan-jing-shi,929,725
xi-an-DC,nan-jing-shi,1108,814
chang-sha-DC,nan-jing-shi,880,677
zheng-zhou-DC,nan-jing-shi,660,461
hang-zhou-DC,nan-jing-shi,288,263
wu-han-DC,nan-jing-shi,535,440
da-lian-DC,nan-jing-shi,1735,1234
ha-er-bin-DC,nan-jing-shi,2137,1405
bei-jing-DC,nan-jing-shi,1027,772
ning-bo-DC,nan-jing-shi,449,318
chong-qing-DC,nan-jing-shi,1440,1028
cheng-du-DC,nan-ning-shi,1228,856
dong-guan-DC,nan-ning-shi,626,459
guang-zhou-DC,nan-ning-shi,564,409
nei-lu-CDC,nan-ning-shi,2301,1479
nan-jing-DC,nan-ning-shi,1747,1195
qing-dao-DC,nan-ning-shi,2294,1487
gang-kou-CDC,nan-ning-shi,1199,824
shang-hai-DC,nan-ning-shi,1891,1242
shen-zhen-DC,nan-ning-shi,670,476
tian-jin-DC,nan-ning-shi,2307,1507
xi-an-DC,nan-ning-shi,1641,1200
chang-sha-DC,nan-ning-shi,878,653
zheng-zhou-DC,nan-ning-shi,1665,1170
hang-zhou-DC,nan-ning-shi,1707,1125
wu-han-DC,nan-ning-shi,1192,877
da-lian-DC,nan-ning-shi,3124,1956
ha-er-bin-DC,nan-ning-shi,3526,2147
bei-jing-DC,nan-ning-shi,2322,1494
ning-bo-DC,nan-ning-shi,1808,1169
chong-qing-DC,nan-ning-shi,940,734
cheng-du-DC,nan-tong-shi,1906,1257
dong-guan-DC,nan-tong-shi,1514,1040
guang-zhou-DC,nan-tong-shi,1522,1042
nei-lu-CDC,nan-tong-shi,1034,801
nan-jing-DC,nan-tong-shi,237,198
qing-dao-DC,nan-tong-shi,603,456
gang-kou-CDC,nan-tong-shi,1119,838
shang-hai-DC,nan-tong-shi,133,202
shen-zhen-DC,nan-tong-shi,1524,1055
tian-jin-DC,nan-tong-shi,958,729
xi-an-DC,nan-tong-shi,1306,936
chang-sha-DC,nan-tong-shi,1136,845
zheng-zhou-DC,nan-tong-shi,837,581
hang-zhou-DC,nan-tong-shi,269,241
wu-han-DC,nan-tong-shi,776,589
da-lian-DC,nan-tong-shi,1765,1240
ha-er-bin-DC,nan-tong-shi,2167,1404
bei-jing-DC,nan-tong-shi,1084,842
ning-bo-DC,nan-tong-shi,316,246
chong-qing-DC,nan-tong-shi,1681,1155
cheng-du-DC,nan-yang-shi,1106,851
dong-guan-DC,nan-yang-shi,1341,957
guang-zhou-DC,nan-yang-shi,1330,943
nei-lu-CDC,nan-yang-shi,912,671
nan-jing-DC,nan-yang-shi,694,476
qing-dao-DC,nan-yang-shi,959,712
gang-kou-CDC,nan-yang-shi,1424,969
shang-hai-DC,nan-yang-shi,964,723
shen-zhen-DC,nan-yang-shi,1406,1000
tian-jin-DC,nan-yang-shi,918,710
xi-an-DC,nan-yang-shi,430,364
chang-sha-DC,nan-yang-shi,663,533
zheng-zhou-DC,nan-yang-shi,269,245
hang-zhou-DC,nan-yang-shi,916,712
wu-han-DC,nan-yang-shi,397,316
da-lian-DC,nan-yang-shi,1735,1194
ha-er-bin-DC,nan-yang-shi,2137,1381
bei-jing-DC,nan-yang-shi,933,693
ning-bo-DC,nan-yang-shi,1084,786
chong-qing-DC,nan-yang-shi,918,743
nei-lu-CDC,nei-lu-CDC,0,0
gang-kou-CDC,nei-lu-CDC,2046,1305
cheng-du-DC,nei-lu-CDC-suo-zai-cheng-shi,1855,1289
dong-guan-DC,nei-lu-CDC-suo-zai-cheng-shi,2135,1334
guang-zhou-DC,nei-lu-CDC-suo-zai-cheng-shi,2123,1343
