country,country_type,eu_member,eurozone_member,year,quarter_num,quarter,price_index,quarterly_change_pct,yearly_change_pct,price_change_since_2015_pct,data_quality
Latvia,Individual,Yes,Yes,2022,4,2022-Q4,186.61,-0.6,8.6,86.61,Complete
Latvia,Individual,Yes,Yes,2023,1,2023-Q1,186.4,-0.1,5.9,86.4,Complete
Latvia,Individual,Yes,Yes,2023,2,2023-Q2,195.54,4.9,5.4,95.54,Complete
Latvia,Individual,Yes,Yes,2023,3,2023-Q3,193.46,-1.1,3.0,93.46,Complete
Latvia,Individual,Yes,Yes,2023,4,2023-Q4,188.14,-2.7,0.8,88.14,Complete
Latvia,Individual,Yes,Yes,2024,1,2024-Q1,193.14,2.7,3.6,93.14,Complete
Latvia,Individual,Yes,Yes,2024,2,2024-Q2,196.94,2.0,0.7,96.94,Complete
Latvia,Individual,Yes,Yes,2024,3,2024-Q3,203.62,3.4,5.3,103.62,Complete
Latvia,Individual,Yes,Yes,2024,4,2024-Q4,201.9,-0.8,7.3,101.9,Complete
Latvia,Individual,Yes,Yes,2025,1,2025-Q1,203.64,0.9,5.4,103.64,Complete
Latvia,Individual,Yes,Yes,2025,2,2025-Q2,209.67,3.0,6.5,109.67,Complete
Latvia,Individual,Yes,Yes,2025,3,2025-Q3,220.67,5.2,8.4,120.67,Complete
Lithuania,Individual,Yes,Yes,2022,4,2022-Q4,203.46,1.9,16.0,103.46,Complete
Lithuania,Individual,Yes,Yes,2023,1,2023-Q1,207.18,1.8,13.1,107.18,Complete
Lithuania,Individual,Yes,Yes,2023,2,2023-Q2,212.05,2.4,9.4,112.05,Complete
Lithuania,Individual,Yes,Yes,2023,3,2023-Q3,217.15,2.4,8.7,117.15,Complete
Lithuania,Individual,Yes,Yes,2023,4,2023-Q4,220.4,1.5,8.3,120.4,Complete
Lithuania,Individual,Yes,Yes,2024,1,2024-Q1,227.7,3.3,9.9,127.7,Complete
Lithuania,Individual,Yes,Yes,2024,2,2024-Q2,234.01,2.8,10.4,134.01,Complete
Lithuania,Individual,Yes,Yes,2024,3,2024-Q3,236.4,1.0,8.9,136.4,Complete
Lithuania,Individual,Yes,Yes,2024,4,2024-Q4,241.98,2.4,9.8,141.98,Complete
Lithuania,Individual,Yes,Yes,2025,1,2025-Q1,247.69,2.4,8.8,147.69,Complete
Lithuania,Individual,Yes,Yes,2025,2,2025-Q2,254.53,2.8,8.8,154.53,Complete
Lithuania,Individual,Yes,Yes,2025,3,2025-Q3,262.01,2.9,10.8,162.01,Complete
Luxembourg,Individual,Yes,Yes,2022,4,2022-Q4,189.35,-1.5,5.5,89.35,Complete
Luxembourg,Individual,Yes,Yes,2023,1,2023-Q1,181.2,-4.3,-1.7,81.2,Complete
Luxembourg,Individual,Yes,Yes,2023,2,2023-Q2,177.25,-2.2,-5.9,77.25,Complete
Luxembourg,Individual,Yes,Yes,2023,3,2023-Q3,165.52,-6.6,-13.9,65.52,Complete
Luxembourg,Individual,Yes,Yes,2023,4,2023-Q4,161.96,-2.2,-14.5,61.96,Complete
Luxembourg,Individual,Yes,Yes,2024,1,2024-Q1,160.9,-0.7,-11.2,60.9,Complete
Luxembourg,Individual,Yes,Yes,2024,2,2024-Q2,162.41,0.9,-8.4,62.41,Complete
Luxembourg,Individual,Yes,Yes,2024,3,2024-Q3,162.44,0.0,-1.9,62.44,Complete
Luxembourg,Individual,Yes,Yes,2024,4,2024-Q4,164.25,1.1,1.4,64.25,Complete
Luxembourg,Individual,Yes,Yes,2025,1,2025-Q1,162.54,-1.0,1.0,62.54,Complete
Luxembourg,Individual,Yes,Yes,2025,2,2025-Q2,169.75,4.4,4.5,69.75,Complete
Luxembourg,Individual,Yes,Yes,2025,3,2025-Q3,164.42,-3.1,1.2,64.42,Complete
Malta,Individual,Yes,Yes,2022,4,2022-Q4,147.24,0.7,5.9,47.24,Complete
Malta,Individual,Yes,Yes,2023,1,2023-Q1,149.89,1.8,7.3,49.89,Complete
Malta,Individual,Yes,Yes,2023,2,2023-Q2,152.24,1.6,5.3,52.24,Complete
Malta,Individual,Yes,Yes,2023,3,2023-Q3,154.51,1.5,5.7,54.51,Complete
Malta,Individual,Yes,Yes,2023,4,2023-Q4,157.05,1.6,6.7,57.05,Complete
Malta,Individual,Yes,Yes,2024,1,2024-Q1,159.98,1.9,6.7,59.98,Complete
Malta,Individual,Yes,Yes,2024,2,2024-Q2,162.74,1.7,6.9,62.74,Complete
Malta,Individual,Yes,Yes,2024,3,2024-Q3,165.26,1.5,7.0,65.26,Complete
Malta,Individual,Yes,Yes,2024,4,2024-Q4,166.96,1.0,6.3,66.96,Complete
Malta,Individual,Yes,Yes,2025,1,2025-Q1,169.36,1.4,5.9,69.36,Complete
Malta,Individual,Yes,Yes,2025,2,2025-Q2,171.84,1.5,5.6,71.84,Complete
Malta,Individual,Yes,Yes,2025,3,2025-Q3,174.63,1.6,5.7,74.63,Complete
Netherlands,Individual,Yes,Yes,2022,4,2022-Q4,185.89,-2.1,5.7,85.89,Complete
Netherlands,Individual,Yes,Yes,2023,1,2023-Q1,183.14,-1.5,0.1,83.14,Complete
Netherlands,Individual,Yes,Yes,2023,2,2023-Q2,180.92,-1.2,-4.1,80.92,Complete
Netherlands,Individual,Yes,Yes,2023,3,2023-Q3,182.91,1.1,-3.7,82.91,Complete
Netherlands,Individual,Yes,Yes,2023,4,2023-Q4,186.07,1.7,0.1,86.07,Complete
Netherlands,Individual,Yes,Yes,2024,1,2024-Q1,189.87,2.0,3.7,89.87,Complete
Netherlands,Individual,Yes,Yes,2024,2,2024-Q2,194.81,2.6,7.7,94.81,Complete
Netherlands,Individual,Yes,Yes,2024,3,2024-Q3,201.98,3.7,10.4,101.98,Complete
Netherlands,Individual,Yes,Yes,2024,4,2024-Q4,206.31,2.1,10.9,106.31,Complete
Netherlands,Individual,Yes,Yes,2025,1,2025-Q1,210.27,1.9,10.7,110.27,Complete
Netherlands,Individual,Yes,Yes,2025,2,2025-Q2,213.35,1.5,9.5,113.35,Complete
Netherlands,Individual,Yes,Yes,2025,3,2025-Q3,217.61,2.0,7.7,117.61,Complete
Norway,Individual,No,No,2022,4,2022-Q4,142.62,-3.6,3.0,42.62,Complete
Norway,Individual,No,No,2023,1,2023-Q1,147.07,3.1,1.7,47.07,Complete
Norway,Individual,No,No,2023,2,2023-Q2,150.5,2.3,1.9,50.5,Complete
Norway,Individual,No,No,2023,3,2023-Q3,147.25,-2.2,-0.5,47.25,Complete
Norway,Individual,No,No,2023,4,2023-Q4,145.68,-1.1,2.1,45.68,Complete
Norway,Individual,No,No,2024,1,2024-Q1,149.75,2.8,1.8,49.75,Complete
Norway,Individual,No,No,2024,2,2024-Q2,154.96,3.5,3.0,54.96,Complete
Norway,Individual,No,No,2024,3,2024-Q3,154.35,-0.4,4.8,54.35,Complete
Norway,Individual,No,No,2024,4,2024-Q4,152.59,-1.1,4.7,52.59,Complete
Norway,Individual,No,No,2025,1,2025-Q1,159.86,4.8,6.8,59.86,Complete
Norway,Individual,No,No,2025,2,2025-Q2,163.15,2.1,5.3,63.15,Complete
Norway,Individual,No,No,2025,3,2025-Q3,162.28,-0.5,5.1,62.28,Complete
Poland,Individual,Yes,No,2022,4,2022-Q4,169.64,1.4,9.3,69.64,Complete
Poland,Individual,Yes,No,2023,1,2023-Q1,169.52,-0.1,5.8,69.52,Complete
Poland,Individual,Yes,No,2023,2,2023-Q2,175.0,3.2,7.0,75.0,Complete
Poland,Individual,Yes,No,2023,3,2023-Q3,182.88,4.5,9.3,82.88,Complete
Poland,Individual,Yes,No,2023,4,2023-Q4,191.72,4.8,13.0,91.72,Complete
Poland,Individual,Yes,No,2024,1,2024-Q1,200.04,4.3,18.0,100.04,Complete
Poland,Individual,Yes,No,2024,2,2024-Q2,205.92,2.9,17.7,105.92,Complete
Poland,Individual,Yes,No,2024,3,2024-Q3,209.2,1.6,14.4,109.2,Complete
Poland,Individual,Yes,No,2024,4,2024-Q4,211.65,1.2,10.4,111.65,Complete
Poland,Individual,Yes,No,2025,1,2025-Q1,213.2,0.7,6.6,113.2,Complete
Poland,Individual,Yes,No,2025,2,2025-Q2,215.66,1.2,4.7,115.66,Complete
Poland,Individual,Yes,No,2025,3,2025-Q3,217.54,0.9,4.0,117.54,Complete
Portugal,Individual,Yes,Yes,2022,4,2022-Q4,195.91,1.1,11.3,95.91,Complete
Portugal,Individual,Yes,Yes,2023,1,2023-Q1,198.55,1.3,8.7,98.55,Complete
Portugal,Individual,Yes,Yes,2023,2,2023-Q2,204.74,3.1,8.7,104.74,Complete
Portugal,Individual,Yes,Yes,2023,3,2023-Q3,208.48,1.8,7.6,108.48,Complete
Portugal,Individual,Yes,Yes,2023,4,2023-Q4,211.27,1.3,7.8,111.27,Complete
Portugal,Individual,Yes,Yes,2024,1,2024-Q1,212.45,0.6,7.0,112.45,Complete
Portugal,Individual,Yes,Yes,2024,2,2024-Q2,220.74,3.9,7.8,120.74,Complete
Portugal,Individual,Yes,Yes,2024,3,2024-Q3,228.89,3.7,9.8,128.89,Complete
Portugal,Individual,Yes,Yes,2024,4,2024-Q4,235.68,3.0,11.6,135.68,Complete
Portugal,Individual,Yes,Yes,2025,1,2025-Q1,247.05,4.8,16.3,147.05,Complete
Portugal,Individual,Yes,Yes,2025,2,2025-Q2,258.78,4.7,17.2,158.78,Complete
Portugal,Individual,Yes,Yes,2025,3,2025-Q3,269.35,4.1,17.7,169.35,Complete
Romania,Individual,Yes,No,2022,4,2022-Q4,146.83,2.5,6.8,46.83,Complete
Romania,Individual,Yes,No,2023,1,2023-Q1,146.28,-0.4,4.6,46.28,Complete
Romania,Individual,Yes,No,2023,2,2023-Q2,145.14,-0.8,0.1,45.14,Complete
Romania,Individual,Yes,No,2023,3,2023-Q3,150.02,3.4,4.8,50.02,Complete
Romania,Individual,Yes,No,2023,4,2023-Q4,152.28,1.5,3.7,52.28,Complete
Romania,Individual,Yes,No,2024,1,2024-Q1,154.26,1.3,5.5,54.26,Complete
Romania,Individual,Yes,No,2024,2,2024-Q2,155.06,0.5,6.8,55.06,Complete
Romania,Individual,Yes,No,2024,3,2024-Q3,155.86,0.5,3.9,55.86,Complete
Romania,Individual,Yes,No,2024,4,2024-Q4,158.36,1.6,4.0,58.36,Complete
Romania,Individual,Yes,No,2025,1,2025-Q1,161.75,2.1,4.9,61.75,Complete
Romania,Individual,Yes,No,2025,2,2025-Q2,162.38,0.4,4.7,62.38,Complete
Romania,Individual,Yes,No,2025,3,2025-Q3,166.14,2.3,6.6,66.14,Complete
Slovakia,Individual,Yes,Yes,2022,4,2022-Q4,179.07,-0.8,9.7,79.07,Complete
Slovakia,Individual,Yes,Yes,2023,1,2023-Q1,178.82,-0.1,7.5,78.82,Complete
Slovakia,Individual,Yes,Yes,2023,2,2023-Q2,171.75,-4.0,-2.2,71.75,Complete
Slovakia,Individual,Yes,Yes,2023,3,2023-Q3,173.2,0.8,-4.1,73.2,Complete
Slovakia,Individual,Yes,Yes,2023,4,2023-Q4,176.56,1.9,-1.4,76.56,Complete
Slovakia,Individual,Yes,Yes,2024,1,2024-Q1,173.51,-1.7,-3.0,73.51,Complete
Slovakia,Individual,Yes,Yes,2024,2,2024-Q2,178.7,3.0,4.0,78.7,Complete
Slovakia,Individual,Yes,Yes,2024,3,2024-Q3,183.88,2.9,6.2,83.88,Complete
Slovakia,Individual,Yes,Yes,2024,4,2024-Q4,190.58,3.6,7.9,90.58,Complete
Slovakia,Individual,Yes,Yes,2025,1,2025-Q1,194.6,2.1,12.2,94.6,Complete
Slovakia,Individual,Yes,Yes,2025,2,2025-Q2,198.85,2.2,11.3,98.85,Complete
Slovakia,Individual,Yes,Yes,2025,3,2025-Q3,208.52,4.9,13.4,108.52,Complete
Slovenia,Individual,Yes,Yes,2022,4,2022-Q4,178.83,1.4,11.6,78.83,Complete
Slovenia,Individual,Yes,Yes,2023,1,2023-Q1,181.96,1.8,9.0,81.96,Complete
Slovenia,Individual,Yes,Yes,2023,2,2023-Q2,185.39,1.9,7.5,85.39,Complete
Slovenia,Individual,Yes,Yes,2023,3,2023-Q3,186.33,0.5,5.6,86.33,Complete
Slovenia,Individual,Yes,Yes,2023,4,2023-Q4,191.19,2.6,6.9,91.19,Complete
Slovenia,Individual,Yes,Yes,2024,1,2024-Q1,195.44,2.2,7.4,95.44,Complete
Slovenia,Individual,Yes,Yes,2024,2,2024-Q2,198.33,1.5,7.0,98.33,Complete
Slovenia,Individual,Yes,Yes,2024,3,2024-Q3,201.54,1.6,8.2,101.54,Complete
Slovenia,Individual,Yes,Yes,2024,4,2024-Q4,205.71,2.1,7.6,105.71,Complete
Slovenia,Individual,Yes,Yes,2025,1,2025-Q1,201.66,-2.0,3.2,101.66,Complete
Slovenia,Individual,Yes,Yes,2025,2,2025-Q2,209.31,3.8,5.5,109.31,Complete
Slovenia,Individual,Yes,Yes,2025,3,2025-Q3,207.03,-1.1,2.7,107.03,Complete
Spain,Individual,Yes,Yes,2022,4,2022-Q4,142.99,-0.8,5.5,42.99,Complete
Spain,Individual,Yes,Yes,2023,1,2023-Q1,143.98,0.7,3.5,43.98,Complete
Spain,Individual,Yes,Yes,2023,2,2023-Q2,146.97,2.1,3.7,46.97,Complete
Spain,Individual,Yes,Yes,2023,3,2023-Q3,150.68,2.5,4.5,50.68,Complete
Spain,Individual,Yes,Yes,2023,4,2023-Q4,149.13,-1.0,4.3,49.13,Complete
Spain,Individual,Yes,Yes,2024,1,2024-Q1,153.18,2.7,6.4,53.18,Complete
Spain,Individual,Yes,Yes,2024,2,2024-Q2,158.63,3.6,7.9,58.63,Complete
Spain,Individual,Yes,Yes,2024,3,2024-Q3,163.12,2.8,8.3,63.12,Complete
Spain,Individual,Yes,Yes,2024,4,2024-Q4,166.07,1.8,11.4,66.07,Complete
Spain,Individual,Yes,Yes,2025,1,2025-Q1,172.0,3.6,12.3,72.0,Complete
Spain,Individual,Yes,Yes,2025,2,2025-Q2,178.89,4.0,12.8,78.89,Complete
Spain,Individual,Yes,Yes,2025,3,2025-Q3,184.06,2.9,12.8,84.06,Complete
Sweden,Individual,Yes,No,2022,4,2022-Q4,133.49,-3.6,-3.7,33.49,Complete
Sweden,Individual,Yes,No,2023,1,2023-Q1,132.37,-0.8,-6.9,32.37,Complete
Sweden,Individual,Yes,No,2023,2,2023-Q2,133.15,0.6,-6.8,33.15,Complete
Sweden,Individual,Yes,No,2023,3,2023-Q3,132.61,-0.4,-4.2,32.61,Complete
Sweden,Individual,Yes,No,2023,4,2023-Q4,129.59,-2.3,-2.9,29.59,Complete
Sweden,Individual,Yes,No,2024,1,2024-Q1,130.3,0.5,-1.6,30.3,Complete
Sweden,Individual,Yes,No,2024,2,2024-Q2,132.13,1.4,-0.8,32.13,Complete
Sweden,Individual,Yes,No,2024,3,2024-Q3,133.0,0.7,0.3,33.0,Complete
Sweden,Individual,Yes,No,2024,4,2024-Q4,132.64,-0.3,2.4,32.64,Complete
Sweden,Individual,Yes,No,2025,1,2025-Q1,132.73,0.1,1.9,32.73,Complete
Sweden,Individual,Yes,No,2025,2,2025-Q2,133.01,0.2,0.7,33.01,Complete
Sweden,Individual,Yes,No,2025,3,2025-Q3,133.67,0.5,0.5,33.67,Complete
Switzerland,Individual,No,No,2022,4,2022-Q4,,1.2,4.8,,Missing Price Index
Switzerland,Individual,No,No,2023,1,2023-Q1,,-1.2,3.9,,Missing Price Index
Switzerland,Individual,No,No,2023,2,2023-Q2,,1.2,2.4,,Missing Price Index
Switzerland,Individual,No,No,2023,3,2023-Q3,,0.2,1.3,,Missing Price Index
Switzerland,Individual,No,No,2023,4,2023-Q4,,1.1,1.3,,Missing Price Index
Switzerland,Individual,No,No,2024,1,2024-Q1,,-1.0,1.5,,Missing Price Index
Switzerland,Individual,No,No,2024,2,2024-Q2,,1.1,1.4,,Missing Price Index
Switzerland,Individual,No,No,2024,3,2024-Q3,,0.5,1.7,,Missing Price Index
Switzerland,Individual,No,No,2024,4,2024-Q4,,1.8,2.4,,Missing Price Index
Switzerland,Individual,No,No,2025,1,2025-Q1,,0.7,4.1,,Missing Price Index
Switzerland,Individual,No,No,2025,2,2025-Q2,,1.9,5.0,,Missing Price Index
Switzerland,Individual,No,No,2025,3,2025-Q3,,0.8,5.2,,Missing Price Index
Türkiye,Individual,No,No,2022,4,2022-Q4,783.05,14.4,170.5,683.05,Complete
Türkiye,Individual,No,No,2023,1,2023-Q1,960.71,22.7,142.7,860.71,Complete
Türkiye,Individual,No,No,2023,2,2023-Q2,1112.22,15.8,91.0,1012.22,Complete
Türkiye,Individual,No,No,2023,3,2023-Q3,1325.85,19.2,93.8,1225.85,Complete
Türkiye,Individual,No,No,2023,4,2023-Q4,1466.37,10.6,87.3,1366.37,Complete
Türkiye,Individual,No,No,2024,1,2024-Q1,1569.31,7.0,63.3,1469.31,Complete
Türkiye,Individual,No,No,2024,2,2024-Q2,1664.83,6.1,49.7,1564.83,Complete
Türkiye,Individual,No,No,2024,3,2024-Q3,1767.04,6.1,33.3,1667.04,Complete
Türkiye,Individual,No,No,2024,4,2024-Q4,1884.94,6.7,28.5,1784.94,Complete
