下单数量,购买时间,昨日销售数量,过去七天平均销售数量,过去30天平均销售数量,昨日退回数量,过去七天平均退回数量,过去30天平均退回数量,昨日返利金额,过去七天平均返利金额,过去30天平均返利金额,昨日折扣金额,过去七天平均折扣金额,过去30天平均折扣金额,过去七天平均特批数量,过去30天平均特批数量,过去七天平均特批价格,一周的第几天,距离五一多少日,距离十一多少日,距离双11多少日,距离内购会多少日,距离春节多少日,距离奥运会多少日,距离世界杯多少日,过去7天客户价变动次数,过去7天价格里使用的固定折扣点值
29337,2019-03-01,21487.0,19644.0,13080.0,90.0,157.0,157.0,214040.0,62891.0,67865.0,0.0,0.0,29.0,2530.0,1108.0,689620.0,5,61,214,255,186,25,875,1361,229.0,4.7619999999999925
50505,2019-03-02,29337.0,20496.0,11717.0,128.0,175.0,161.0,268828.9,100432.0,69008.0,0.0,0.0,0.0,2459.0,1182.0,772585.0,6,60,213,254,185,26,874,1360,236.0,5.073999999999991
8813,2019-03-03,50505.0,25523.0,12983.0,59.0,182.0,143.0,81786.0,106949.0,39883.0,0.0,0.0,0.0,2522.0,1253.0,739457.0,7,59,212,253,184,27,873,1359,156.0,5.109999999999991
1588,2019-03-04,8813.0,25268.0,13359.0,3.0,183.0,144.0,24007.0,108683.0,39254.0,0.0,0.0,0.0,2496.0,1273.0,718388.0,1,58,211,252,183,28,872,1358,152.0,3.7899999999999903
42561,2019-03-05,1588.0,22940.0,13424.0,6.0,184.0,144.0,83028.0,120247.0,42511.0,0.0,0.0,0.0,2507.0,1311.0,676440.0,2,57,210,251,182,29,871,1357,159.0,3.9329999999999914
24892,2019-03-06,42561.0,25991.0,15273.0,2.0,178.0,144.0,6001.0,118411.0,42772.0,0.0,0.0,0.0,2607.0,1414.0,700256.0,3,56,209,250,181,30,870,1356,162.0,3.3899999999999904
19,2019-03-07,24892.0,25598.0,15674.0,1330.0,231.0,193.0,4776.0,97495.0,41189.0,0.0,0.0,0.0,2206.0,1414.0,674651.0,4,55,208,249,180,31,869,1355,125.0,2.6679999999999904
86089,2019-03-11,0.0,17265.0,15048.0,0.0,334.0,186.0,0.0,23451.0,39541.0,0.0,0.0,0.0,1176.0,1357.0,353059.0,1,51,204,245,176,35,865,1351,195.0,5.246999999999992
93315,2019-03-12,86089.0,38390.0,18491.0,275.0,402.0,197.0,53654.0,16108.0,41687.0,0.0,0.0,0.0,2414.0,1591.0,693269.0,2,50,203,244,175,36,864,1350,243.0,4.891999999999992
82652,2019-03-13,93315.0,51079.0,21369.0,61.0,416.0,191.0,92973.0,37851.0,43660.0,0.0,0.0,0.0,2629.0,1655.0,1120685.0,3,49,202,243,174,37,863,1349,280.0,5.5519999999999925
84627,2019-03-14,82652.0,65519.0,23639.0,510.0,212.0,203.0,118081.0,66177.0,46416.0,0.0,0.0,0.0,3050.0,1708.0,1284628.0,4,48,201,242,173,38,862,1348,314.0,6.263999999999991
10867,2019-03-15,84627.0,86671.0,26773.0,53.0,225.0,205.0,11452.5,69040.0,46840.0,0.0,0.0,0.0,3527.0,1779.0,1549357.0,5,47,200,241,172,39,861,1347,367.0,6.263999999999991
17516,2019-03-16,10867.0,71510.0,27175.0,44.0,189.0,207.0,26999.0,60632.0,47805.0,0.0,0.0,0.0,3094.0,1830.0,1356938.0,6,46,199,240,171,40,860,1346,465.0,6.180999999999992
3917,2019-03-17,17516.0,62511.0,27772.0,7.0,158.0,207.0,71104.82,62377.0,50438.0,0.0,0.0,0.0,2824.0,1883.0,1279039.0,7,45,198,239,170,41,859,1345,473.0,5.972999999999992
16099,2019-03-18,3917.0,54140.0,27844.0,1.0,136.0,207.0,0.0,53466.0,50256.0,0.0,0.0,0.0,2592.0,1912.0,1211830.0,1,44,197,238,169,42,858,1344,508.0,6.052999999999992
65394,2019-03-19,16099.0,44142.0,28368.0,0.0,97.0,207.0,14515.0,47875.0,50632.0,0.0,0.0,0.0,2346.0,2046.0,1030813.0,2,43,196,237,168,43,857,1343,653.0,3.3719999999999914
72329,2019-03-20,65394.0,40153.0,30412.0,330.0,135.0,200.0,135433.0,53941.0,54248.0,0.0,0.0,0.0,2203.0,2121.0,796634.0,3,42,195,236,167,44,856,1342,587.0,2.9599999999999915
26256,2019-03-21,72329.0,38678.0,33050.0,7981.0,1202.0,496.0,13208.0,38959.0,54738.0,0.0,0.0,0.0,2007.0,2178.0,759684.0,4,41,194,235,166,45,855,1341,814.0,1.9199999999999924
40707,2019-03-22,26256.0,30340.0,33779.0,654.0,1288.0,520.0,538850.7,114302.0,74527.0,0.0,0.0,0.0,2013.0,2235.0,715577.0,5,40,193,234,165,46,854,1340,1008.0,1.6079999999999923
54115,2019-03-23,40707.0,34603.0,34396.0,78.0,1293.0,522.0,488981.6,180299.0,91779.0,0.0,0.0,0.0,2049.0,2240.0,810986.0,6,39,192,233,164,47,853,1339,1025.0,2.3279999999999923
9967,2019-03-24,54115.0,39831.0,35152.0,1.0,1292.0,468.0,29653.0,174377.0,92725.0,0.0,0.0,0.0,7275.0,3568.0,831100.0,7,38,191,232,163,48,852,1338,982.0,2.127999999999992
3659,2019-03-25,9967.0,40695.0,34656.0,3.0,1292.0,468.0,67988.0,184090.0,95019.0,0.0,0.0,0.0,7435.0,3543.0,782388.0,1,37,190,231,162,49,851,1337,976.0,2.4179999999999917
22516,2019-03-26,3659.0,38918.0,34224.0,6.0,1293.0,467.0,6729.0,182978.0,93929.0,0.0,0.0,0.0,7065.0,3504.0,831904.0,2,36,189,230,161,50,850,1336,1027.0,2.8259999999999916
37796,2019-03-27,22516.0,32793.0,34665.0,137.0,1266.0,473.0,61163.42,172368.0,95754.0,0.0,0.0,0.0,6977.0,3538.0,874296.0,3,35,188,229,160,51,849,1335,952.0,2.771999999999992
39191,2019-03-28,37796.0,27859.0,35403.0,74.0,136.0,475.0,226328.0,202813.0,104060.0,0.0,0.0,0.0,7223.0,3636.0,983706.0,4,34,187,228,159,52,848,1334,1027.0,2.771999999999992
115512,2019-03-29,39191.0,29707.0,36069.0,15.0,45.0,474.0,133290.8,144876.0,108298.0,0.0,0.0,0.0,7506.0,3719.0,1124928.0,5,33,186,227,158,53,847,1333,852.0,3.2299999999999915
74302,2019-03-30,115512.0,40394.0,39323.0,0.0,34.0,439.0,122539.0,92527.0,107237.0,0.0,0.0,0.0,8441.0,3865.0,1168159.0,6,32,185,226,157,54,846,1332,746.0,2.7099999999999915
13960,2019-03-31,74302.0,43278.0,41279.0,0.0,34.0,435.0,282136.0,128596.0,109760.0,0.0,0.0,0.0,3561.0,3835.0,1143215.0,7,31,184,225,156,55,845,1331,690.0,1.989999999999992
2584,2019-04-01,13960.0,43848.0,40710.0,736.0,138.0,458.0,16696.65,121269.0,100421.0,0.0,0.0,0.0,3419.0,3792.0,1106635.0,1,30,183,224,155,56,844,1330,736.0,2.049999999999992
5751,2019-04-02,2584.0,43694.0,38935.0,0.0,137.0,456.0,125629.0,138255.0,102045.0,0.0,0.0,0.0,3373.0,3724.0,1043586.0,2,29,182,223,154,57,843,1329,746.0,1.7599999999999918
4575,2019-04-03,5751.0,41299.0,38822.0,1604.0,347.0,515.0,106958.0,144797.0,105117.0,0.0,0.0,0.0,3307.0,3748.0,965305.0,3,28,181,222,153,58,842,1328,672.0,2.023999999999992
52011,2019-04-04,4575.0,36554.0,38932.0,2.0,337.0,515.0,4832.0,113154.0,102221.0,0.0,0.0,0.0,3072.0,3783.0,806002.0,4,27,180,221,152,59,841,1327,535.0,1.6779999999999915
46224,2019-04-05,52011.0,38385.0,39282.0,124.0,352.0,519.0,10122.0,95559.0,102374.0,0.0,0.0,0.0,2860.0,3785.0,783191.0,5,26,179,220,151,60,840,1326,500.0,2.0509999999999917
10973,2019-04-06,46224.0,28487.0,40072.0,78.0,363.0,473.0,27064.0,81920.0,103199.0,0.0,0.0,0.0,2089.0,3834.0,631306.0,6,25,178,219,150,61,839,1325,429.0,1.8429999999999915
16359,2019-04-07,10973.0,19440.0,40478.0,51.0,371.0,475.0,11804.0,43301.0,103636.0,0.0,0.0,0.0,1641.0,3862.0,543574.0,7,24,177,218,149,62,838,1324,364.0,1.7829999999999917
11440,2019-04-08,16359.0,19782.0,39617.0,0.0,266.0,458.0,2225.0,41233.0,100015.0,0.0,0.0,0.0,1610.0,3764.0,543382.0,1,23,176,217,148,63,837,1323,386.0,2.437999999999992
63638,2019-04-09,11440.0,21048.0,38645.0,1.0,266.0,442.0,0.0,23286.0,96566.0,29.7,4.0,1.0,1850.0,3734.0,559261.0,2,22,175,216,147,64,836,1322,454.0,3.767999999999992
54321,2019-04-10,63638.0,29317.0,39478.0,65.0,46.0,430.0,13776.0,9975.0,93806.0,0.0,4.0,1.0,2063.0,3698.0,643752.0,3,21,174,215,146,65,835,1321,520.0,6.015999999999992
99186,2019-04-11,54321.0,36424.0,38419.0,2.0,46.0,421.0,50428.1,16488.0,93699.0,0.0,4.0,1.0,2176.0,3590.0,693215.0,4,20,173,214,145,66,834,1320,611.0,5.723999999999991
86678,2019-04-12,99186.0,43163.0,38615.0,58.0,36.0,420.0,38284.0,20512.0,91876.0,0.0,4.0,1.0,2042.0,3532.0,600574.0,5,19,172,213,144,67,833,1319,666.0,6.0089999999999915
39683,2019-04-13,86678.0,48942.0,38749.0,31.0,30.0,405.0,39490.49999999999,22287.0,89256.0,0.0,4.0,1.0,1871.0,3481.0,638708.0,6,18,171,212,143,68,832,1318,691.0,5.887999999999992
9984,2019-04-14,39683.0,53044.0,37251.0,10.0,24.0,403.0,37169.0,25910.0,90113.0,0.0,4.0,1.0,2219.0,3524.0,770335.0,7,17,170,211,142,69,831,1317,691.0,5.497999999999993
17222,2019-04-15,9984.0,52133.0,37221.0,1.0,24.0,402.0,3274.0,26060.0,89322.0,0.0,4.0,1.0,2143.0,3498.0,759398.0,1,16,169,210,141,70,830,1316,730.0,5.9379999999999935
21180,2019-04-16,17222.0,52959.0,37212.0,20.0,27.0,402.0,39123.5,31649.0,88256.0,0.0,0.0,1.0,1964.0,3503.0,764618.0,2,15,168,209,140,71,829,1315,722.0,5.282999999999993
40793,2019-04-17,21180.0,46893.0,37787.0,50.0,25.0,404.0,19875.0,32521.0,88919.0,0.0,0.0,1.0,2067.0,3575.0,729454.0,3,14,167,208,139,72,828,1314,648.0,4.372999999999993
33934,2019-04-18,40793.0,44961.0,38610.0,97.0,38.0,407.0,218342.95000000004,56508.0,95713.0,0.0,0.0,1.0,2141.0,3542.0,739089.0,4,13,166,207,138,73,827,1313,618.0,2.2249999999999917
18387,2019-04-19,33934.0,35639.0,37562.0,39.0,35.0,397.0,45505.40000000001,57540.0,92716.0,0.0,0.0,1.0,2247.0,3543.0,681563.0,5,12,165,206,137,74,826,1312,619.0,4.4299999999999935
27415,2019-04-20,18387.0,25883.0,35763.0,22.0,34.0,132.0,102017.0,66472.0,95676.0,72.0,10.0,3.0,2611.0,3622.0,698194.0,6,11,164,205,136,75,825,1311,635.0,4.204999999999992
12898,2019-04-21,27415.0,24131.0,35802.0,39.0,38.0,111.0,36865.0,66429.0,78943.0,0.0,10.0,3.0,2433.0,3622.0,612823.0,7,10,163,204,135,76,824,1310,599.0,3.7449999999999917
3275,2019-04-22,12898.0,24547.0,34875.0,57.0,46.0,111.0,9670.0,67343.0,62966.0,0.0,10.0,3.0,2548.0,3614.0,641193.0,1,9,162,203,134,77,823,1309,572.0,3.7449999999999917
16591,2019-04-23,3275.0,22555.0,33180.0,50.0,51.0,112.0,0.0,61754.0,61978.0,0.0,10.0,3.0,2339.0,2351.0,586691.0,2,8,161,202,133,78,822,1308,538.0,3.5729999999999915
67059,2019-04-24,16591.0,21899.0,33401.0,1846.0,307.0,174.0,112790.94999999998,75027.0,63471.0,0.0,10.0,3.0,2346.0,2388.0,585720.0,3,7,160,201,132,79,821,1307,709.0,4.964999999999992
35429,2019-04-25,67059.0,25651.0,35515.0,4031.0,869.0,308.0,54382.0,51604.0,65059.0,0.0,10.0,3.0,3209.0,2642.0,750716.0,4,6,159,200,131,80,820,1306,776.0,5.902999999999992
137240,2019-04-28,0.0,27050.0,35763.0,0.0,1208.0,324.0,0.0,44125.0,56242.0,0.0,0.0,4.0,3658.0,2657.0,826998.0,7,3,156,197,128,83,817,1303,1886.0,10.785799999999991
56898,2019-04-29,137240.0,51919.0,36539.0,2288.0,1654.0,406.0,1430758.3,328343.0,102964.0,0.0,0.0,4.0,5842.0,2805.0,1321921.0,1,2,155,196,127,84,816,1302,1931.0,8.768799999999986
58745,2019-04-30,56898.0,62643.0,35917.0,15.0,1647.0,406.0,498892.0,428121.0,110706.0,0.0,0.0,4.0,6305.0,2754.0,1498427.0,2,1,154,195,126,85,815,1301,1975.0,8.708799999999988
288935,2019-05-01,58745.0,71074.0,37517.0,835.0,1445.0,410.0,555613.0,516686.0,129953.0,0.0,0.0,4.0,6762.0,2911.0,1787369.0,3,0,153,194,125,86,814,1300,2086.0,8.768799999999986
9606,2019-05-02,288935.0,115449.0,47744.0,3096.0,1258.0,520.0,31592.4,512128.0,126594.0,0.0,0.0,4.0,5468.0,2964.0,1667497.0,4,1,152,193,124,87,813,1299,2080.0,8.768799999999986
711,2019-05-03,9606.0,110285.0,47881.0,42.0,1255.0,465.0,7819.0,504935.0,123054.0,0.0,0.0,4.0,4987.0,2985.0,1537058.0,5,2,151,192,123,88,812,1298,2028.0,8.794799999999986
5790,2019-05-04,711.0,92022.0,47743.0,0.0,1046.0,464.0,2929.0,421267.0,122986.0,0.0,0.0,4.0,4239.0,2938.0,1307003.0,6,3,150,191,122,89,811,1297,1830.0,7.782799999999987
21998,2019-05-05,5790.0,79704.0,46093.0,0.0,897.0,460.0,0.0,361086.0,122624.0,0.0,0.0,4.0,4071.0,2960.0,1258451.0,7,4,149,190,121,90,810,1296,1662.0,7.2397999999999865
32532,2019-05-06,21998.0,63240.0,45227.0,4.0,570.0,457.0,11072.0,158274.0,122053.0,0.0,0.0,4.0,2715.0,2962.0,959039.0,1,5,148,189,120,91,809,1295,520.0,3.657999999999991
5405,2019-05-07,32532.0,59760.0,45997.0,1622.0,800.0,514.0,406713.0,145105.0,136157.0,0.0,0.0,4.0,2659.0,3009.0,921473.0,2,6,147,188,119,92,808,1294,371.0,3.0099999999999905
136309,2019-05-08,5405.0,52140.0,45606.0,0.0,681.0,514.0,0.0,65732.0,136077.0,0.0,0.0,4.0,1852.0,2971.0,618617.0,3,7,146,187,118,93,807,1293,307.0,4.917999999999991
29047,2019-05-09,136309.0,30336.0,50066.0,2160.0,547.0,591.0,536504.0,137862.0,155238.0,0.0,0.0,3.0,2046.0,3013.0,649869.0,4,8,145,186,117,94,806,1292,127.0,6.690999999999992
37009,2019-05-10,29047.0,33113.0,48830.0,210.0,571.0,596.0,20580.0,139685.0,155481.0,0.0,0.0,3.0,2381.0,3064.0,856889.0,5,9,144,185,116,95,805,1291,124.0,7.302999999999992
35229,2019-05-11,37009.0,38299.0,48212.0,74.0,581.0,598.0,121571.0,156634.0,158022.0,0.0,0.0,3.0,2629.0,3051.0,945099.0,6,10,143,184,115,96,804,1290,124.0,7.188999999999992
13014,2019-05-12,35229.0,42504.0,45928.0,16.0,584.0,597.0,1762.0,156886.0,156718.0,0.0,0.0,3.0,2482.0,3070.0,911423.0,7,11,142,183,114,97,803,1289,122.0,7.007299999999992
17962,2019-05-13,13014.0,41221.0,43297.0,0.0,583.0,596.0,6076.0,156172.0,155524.0,0.0,0.0,3.0,2192.0,3042.0,847628.0,1,12,141,182,113,98,802,1288,127.0,7.135299999999992
22524,2019-05-14,17962.0,39139.0,42521.0,0.0,351.0,595.0,1623.0,98302.0,154255.0,0.0,0.0,3.0,2564.0,3095.0,830145.0,2,13,140,181,112,99,801,1287,102.0,6.300299999999992
24680,2019-05-15,22524.0,41585.0,42969.0,159.0,374.0,601.0,37991.59999999999,103730.0,155495.0,0.0,0.0,3.0,2983.0,3181.0,970899.0,3,14,139,180,111,100,800,1286,112.0,7.391299999999991
25841,2019-05-16,24680.0,25638.0,43236.0,143.0,86.0,605.0,6113.0,27960.0,154316.0,0.0,0.0,3.0,3196.0,3321.0,986683.0,4,15,138,179,110,101,799,1285,72.0,8.797199999999991
18208,2019-05-17,25841.0,25180.0,43402.0,85.0,68.0,607.0,12448.099999999999,26798.0,154051.0,0.0,0.0,3.0,2936.0,3282.0,874955.0,5,16,137,178,109,102,798,1284,87.0,7.304199999999988
124295,2019-05-18,18208.0,22494.0,42595.0,122.0,75.0,608.0,3525.0,9934.0,146378.0,0.0,0.0,3.0,3058.0,3281.0,904180.0,6,17,136,177,108,103,797,1283,92.0,7.634499999999988
29374,2019-05-19,124295.0,35218.0,45823.0,457.0,138.0,622.0,4687.0,10352.0,144921.0,0.0,0.0,3.0,2981.0,3253.0,904156.0,7,18,135,176,107,104,796,1282,105.0,7.514499999999987
11810,2019-05-20,29374.0,37555.0,46215.0,41.0,144.0,623.0,13023.0,11344.0,141742.0,0.0,0.0,0.0,3062.0,3155.0,927723.0,1,19,134,175,106,105,795,1281,107.0,8.068199999999987
36198,2019-05-21,11810.0,36676.0,45658.0,0.0,144.0,622.0,6558.0,12049.0,140660.0,0.0,0.0,0.0,2765.0,3178.0,924040.0,2,20,133,174,105,106,794,1280,159.0,7.680199999999988
36256,2019-05-22,36198.0,38629.0,46490.0,8.0,122.0,620.0,215817.0,37453.0,148022.0,0.0,0.0,0.0,3378.0,3389.0,1033574.0,3,21,132,173,104,107,793,1279,202.0,8.820799999999988
23648,2019-05-23,36256.0,40283.0,47668.0,71.0,112.0,621.0,76721.0,47540.0,150762.0,0.0,0.0,0.0,3035.0,3495.0,944387.0,4,22,131,172,103,108,792,1278,209.0,8.287799999999987
22521,2019-05-24,23648.0,39970.0,47920.0,273.0,139.0,565.0,219755.0,77155.0,154582.0,0.0,0.0,0.0,3085.0,3466.0,967409.0,5,23,130,171,102,109,791,1277,206.0,5.8478999999999886
57209,2019-05-25,22521.0,40586.0,46329.0,19.0,124.0,421.0,20949.0,79644.0,153388.0,0.0,0.0,0.0,3157.0,3268.0,1121036.0,6,24,129,170,101,110,790,1276,282.0,5.715899999999988
25659,2019-05-26,57209.0,31002.0,47107.0,10.0,60.0,420.0,25007.72,82547.0,152718.0,0.0,0.0,0.0,4376.0,3477.0,1103066.0,7,25,128,169,100,111,789,1275,361.0,4.883599999999988
20548,2019-05-27,25659.0,30472.0,46367.0,0.0,54.0,405.0,3669.29,81211.0,147578.0,0.0,0.0,0.0,4288.0,3383.0,1067440.0,1,26,127,168,99,112,788,1274,401.0,5.198599999999988
20845,2019-05-28,20548.0,31720.0,45507.0,1.0,55.0,392.0,0.0,80274.0,142659.0,0.0,0.0,0.0,4158.0,3327.0,1089518.0,2,27,126,167,98,113,787,1273,421.0,4.446599999999989
65415,2019-05-29,20845.0,29527.0,41627.0,458.0,119.0,331.0,6409.0,50359.0,95181.0,0.0,0.0,0.0,3532.0,3013.0,984822.0,3,28,125,166,97,114,786,1272,418.0,4.051599999999989
75961,2019-05-30,65415.0,33692.0,41911.0,291.0,150.0,340.0,14152.4,41420.0,79023.0,0.0,0.0,0.0,3342.0,2991.0,904979.0,4,29,124,165,96,115,785,1271,442.0,3.3529999999999887
29236,2019-05-31,75961.0,41165.0,42485.0,58.0,120.0,314.0,16050.0,12320.0,61037.0,0.0,0.0,0.0,3466.0,2917.0,979149.0,5,30,123,164,95,116,784,1270,491.0,2.9049999999999887
78448,2019-06-01,29236.0,42125.0,33828.0,53.0,124.0,213.0,101397.0,23812.0,63364.0,0.0,0.0,0.0,3452.0,2944.0,810095.0,6,31,122,163,94,117,783,1269,543.0,2.0309999999999886
19969,2019-06-02,78448.0,45159.0,36123.0,3427.0,613.0,325.0,94925.79999999999,33800.0,66268.0,0.0,0.0,0.0,2209.0,2930.0,815424.0,7,32,121,162,93,118,782,1268,459.0,1.8229999999999889
9245,2019-06-03,19969.0,44346.0,36765.0,18.0,615.0,326.0,78717.0,44522.0,68794.0,0.0,0.0,0.0,2228.0,2942.0,815221.0,1,33,120,161,92,119,781,1267,379.0,3.3029999999999893
31188,2019-06-04,9245.0,42731.0,36880.0,3.0,615.0,326.0,791.0,44635.0,68820.0,0.0,0.0,0.0,2323.0,2919.0,817819.0,2,34,119,160,91,120,780,1266,319.0,3.5649999999999893
46461,2019-06-05,31188.0,44209.0,37186.0,46.0,557.0,328.0,69755.0,53684.0,70776.0,0.0,0.0,0.0,2299.0,2916.0,884486.0,3,35,118,159,90,121,779,1265,301.0,3.5649999999999893
27966,2019-06-06,46461.0,41501.0,37650.0,35.0,520.0,275.0,55619.40000000001,59608.0,59073.0,0.0,0.0,0.0,2336.0,2916.0,922874.0,4,36,117,158,89,122,778,1264,256.0,3.4999999999999885
28984,2019-06-07,27966.0,34645.0,38402.0,28.0,516.0,276.0,144063.0,77895.0,63875.0,0.0,0.0,0.0,2324.0,3027.0,810425.0,5,37,116,157,88,123,777,1263,184.0,2.699999999999989
35064,2019-06-08,28984.0,34609.0,34825.0,84.0,520.0,206.0,55162.36,71291.0,47831.0,0.0,0.0,0.0,2145.0,2967.0,832603.0,6,38,115,156,87,124,776,1262,118.0,3.2239999999999887
26973,2019-06-09,35064.0,28411.0,35026.0,0.0,31.0,199.0,7690.0,58828.0,47401.0,0.0,0.0,0.0,2136.0,2873.0,773281.0,7,39,114,155,86,125,775,1261,47.0,4.0239999999999885
25990,2019-06-10,26973.0,29412.0,34691.0,2.0,28.0,197.0,1620.02,47814.0,43403.0,0.0,0.0,0.0,2478.0,2907.0,783328.0,1,40,113,154,85,126,774,1260,39.0,4.382299999999988
21084,2019-06-11,25990.0,31804.0,34383.0,56.0,36.0,198.0,8312.0,48889.0,43621.0,0.0,0.0,0.0,2277.0,2871.0,718767.0,2,41,112,153,84,127,773,1259,37.0,4.285299999999989
45210,2019-06-12,21084.0,30360.0,34652.0,18.0,32.0,199.0,6355.29,39832.0,43630.0,0.0,0.0,0.0,2243.0,2928.0,671977.0,3,42,111,152,83,128,772,1258,34.0,4.208299999999989
17331,2019-06-13,45210.0,30182.0,35560.0,45.0,33.0,200.0,37443.45,37235.0,44824.0,0.0,0.0,0.0,2883.0,2990.0,678926.0,4,43,110,151,82,129,771,1257,35.0,4.673299999999988
28336,2019-06-14,17331.0,28662.0,35387.0,24.0,33.0,196.0,2966.0,17078.0,43657.0,0.0,0.0,0.0,2785.0,2981.0,728021.0,5,44,109,150,81,130,770,1256,21.0,5.738299999999988
25710,2019-06-15,28336.0,28570.0,35509.0,7.0,22.0,191.0,7465.0,10265.0,43702.0,0.0,0.0,0.0,2698.0,2851.0,758387.0,6,45,108,149,80,131,769,1255,19.0,7.326299999999988
39671,2019-06-16,25710.0,27233.0,35505.0,7.0,23.0,189.0,37340.0,14500.0,44532.0,0.0,0.0,0.0,2671.0,2811.0,827588.0,7,46,107,148,79,132,768,1254,19.0,6.938299999999988
4461,2019-06-17,39671.0,29047.0,36220.0,720.0,125.0,209.0,4122.0,14858.0,44551.0,0.0,0.0,0.0,2325.0,2736.0,841775.0,1,47,106,147,78,133,767,1253,15.0,7.6812999999999905
18507,2019-06-18,4461.0,25972.0,32226.0,40.0,123.0,195.0,1598.0,13899.0,44448.0,0.0,0.0,0.0,2388.0,2733.0,878096.0,2,48,105,146,77,134,766,1252,17.0,7.562999999999992
16782,2019-06-19,18507.0,25604.0,31863.0,17.0,123.0,194.0,66472.0,22487.0,46230.0,0.0,0.0,0.0,2915.0,2894.0,783504.0,3,49,104,145,76,135,765,1251,13.0,6.61999999999999
23425,2019-06-20,16782.0,21543.0,32029.0,60.0,125.0,196.0,5621.0,17941.0,46199.0,0.0,0.0,0.0,2299.0,2882.0,728168.0,4,50,103,144,75,136,764,1250,15.0,11.026999999999989
25563,2019-06-21,23425.0,22413.0,31603.0,29.0,126.0,197.0,40188.0,23258.0,40345.0,0.0,0.0,0.0,3307.0,2965.0,740691.0,5,51,102,143,74,137,763,1249,11.0,12.073999999999991
26021,2019-06-22,25563.0,22017.0,31247.0,137.0,144.0,199.0,18231.0,24796.0,38395.0,0.0,0.0,0.0,3508.0,2961.0,900201.0,6,52,101,142,73,138,762,1248,13.0,11.061999999999989
3918,2019-06-23,26021.0,22061.0,31326.0,0.0,143.0,190.0,104795.5,34432.0,34563.0,0.0,0.0,0.0,3693.0,2953.0,980277.0,7,53,100,141,72,139,761,1247,15.0,9.560999999999991
28598,2019-06-24,3918.0,16954.0,30706.0,2.0,41.0,189.0,0.0,33844.0,33865.0,0.0,0.0,0.0,3725.0,2869.0,965162.0,1,54,99,140,71,140,760,1246,19.0,14.804999999999987
18464,2019-06-25,28598.0,20402.0,29752.0,0.0,35.0,189.0,10804.0,35159.0,33391.0,0.0,0.0,0.0,4344.0,2726.0,1091201.0,2,55,98,139,70,141,759,1245,23.0,14.60499999999999
22603,2019-06-26,18464.0,20396.0,29512.0,151.0,54.0,194.0,17193.0,28119.0,33842.0,0.0,0.0,0.0,4041.0,2836.0,1171743.0,3,56,97,138,69,142,758,1244,36.0,16.88499999999999
19321,2019-06-27,22603.0,21227.0,29581.0,6.0,46.0,194.0,659753.0,121566.0,55834.0,0.0,0.0,0.0,4829.0,3038.0,1201908.0,4,57,96,137,68,143,757,1243,33.0,16.542999999999992
57270,2019-06-28,19321.0,20641.0,29530.0,277.0,82.0,188.0,318586.2,161338.0,66240.0,0.0,0.0,0.0,3565.0,2972.0,1069862.0,5,58,95,136,67,144,756,1242,33.0,15.751999999999994
133892,2019-06-29,57270.0,25171.0,29259.0,37.0,68.0,180.0,151007.55,180306.0,70801.0,0.0,0.0,0.0,4214.0,3165.0,995074.0,6,59,94,135,66,145,755,1241,36.0,14.999999999999993
12565,2019-06-30,133892.0,40581.0,31190.0,187.0,94.0,184.0,4399.0,165963.0,70413.0,0.0,0.0,0.0,4208.0,3126.0,915388.0,7,60,93,134,65,146,754,1240,35.0,25.861999999999966
11964,2019-07-01,12565.0,41816.0,30634.0,29.0,98.0,183.0,5797.2,166791.0,67226.0,0.0,0.0,0.0,4383.0,3086.0,1004682.0,1,61,92,133,64,147,753,1239,35.0,26.216999999999967
8786,2019-07-02,11964.0,39440.0,28418.0,6391.0,1011.0,282.0,0.0,165248.0,64062.0,0.0,0.0,0.0,4084.0,3163.0,946926.0,2,62,91,132,63,148,752,1238,31.0,21.526999999999973
4268,2019-07-03,8786.0,38057.0,28045.0,179.0,1015.0,287.0,2221.0,163109.0,61512.0,0.0,0.0,0.0,3939.0,3235.0,951410.0,3,63,90,131,62,149,751,1237,29.0,20.38399999999997
4861,2019-07-04,4268.0,35438.0,27879.0,18.0,1017.0,288.0,2231.0,69177.0,61560.0,311.88,45.0,10.0,3162.0,3234.0,994184.0,4,64,89,130,61,150,750,1236,20.0,18.683999999999973
6309,2019-07-05,4861.0,33372.0,27002.0,11.0,979.0,287.0,0.0,23665.0,59235.0,0.0,45.0,10.0,3444.0,3240.0,1072323.0,5,65,88,129,60,151,749,1235,35.0,19.620999999999974
9656,2019-07-06,6309.0,26092.0,25663.0,1.0,974.0,285.0,0.0,2093.0,57381.0,0.0,45.0,10.0,2875.0,3290.0,1142763.0,6,66,87,128,59,152,748,1234,42.0,15.704999999999973
2413,2019-07-07,9656.0,8344.0,25053.0,8.0,948.0,285.0,623.0,1553.0,52600.0,0.0,45.0,10.0,3408.0,3379.0,1234248.0,7,67,86,127,58,153,747,1233,38.0,15.287999999999974
1673,2019-07-08,2413.0,6894.0,24167.0,8.0,945.0,282.0,0.0,725.0,50761.0,0.0,45.0,10.0,3202.0,3333.0,1132685.0,1,68,85,126,57,154,746,1232,49.0,4.820999999999996
1385,2019-07-09,1673.0,5424.0,23054.0,24.0,36.0,283.0,0.0,725.0,50505.0,442.76,108.0,25.0,2874.0,3335.0,1111425.0,2,69,84,125,56,155,745,1231,48.0,4.170999999999996
