Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Min, X; Zhai, G; Zhou, J; Zhang, XP; Yang, X; Guan, X; ",A Multimodal Saliency Model for Videos with High Audio-Visual Correspondence.,IEEE transactions on image processing,,,,2020,
"Min, X; Zhou, J; Zhai, G; Le Callet, P; Yang, X; Guan, X; ","A Metric for Light Field Reconstruction, Compression, and Display Quality Evaluation.",IEEE transactions on image processing,,,,2020,
"Xu, Ziyi; Wang, Quchao; Li, Duo; Hu, Menghan; Yao, Nan; Zhai, Guangtao; ",Estimating departure time using thermal camera and heat traces tracking technique,Sensors,20,3,782,2020,MDPI
"Li, Duo; Gao, Zhongpai; Zhang, Xiao-Ping; Zhai, Guangtao; Yang, Xiaokang; ",Generative adversarial networks for non-negative matrix factorization in temporal psycho-visual modulation,Digital Signal Processing,100,,102681,2020,Academic Press
"Zhai, Guangtao; Zhang, Xiaoping; ",Probabilistic image quality assessment: An economics point of view,2019 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS),,,1-2,2019,IEEE
"Wang, Yunlu; Hu, Menghan; Li, Qingli; Zhang, Xiao-Ping; Zhai, Guangtao; Yao, Nan; ",Abnormal respiratory patterns classifier may contribute to large-scale screening of people infected with COVID-19 in an accurate and unobtrusive manner,arXiv preprint arXiv:2002.05534,,,,2020,
"Lu, Qiang; Zhai, Guangtao; Min, Xiongkuo; Zhu, Yucheng; ",A reading assistant system for blind people based on hand gesture recognition,International Forum on Digital TV and Wireless Multimedia Communications,,,200-211,2019,Springer Singapore Singapore
"Zhai, Guangtao; Min, Xiongkuo; ",Perceptual Image Quality Assessment: A Survey,SCIENCE CHINA Information Sciences,63,,211301:1–211301:52,2020,Science China Press
"Fang, Yuming; Zhang, Chi; Min, Xiongkuo; Huang, Hanqin; Yi, Yugen; Zhai, Guangtao; Lin, Chia-Wen; ",DevsNet: deep video saliency network using short-term and long-term cues,Pattern Recognition,103,,107294,2020,Pergamon
"Shen, Wang; Bao, Wenbo; Zhai, Guangtao; Chen, Li; Min, Xiongkuo; Gao, Zhiyong; ",Blurry video frame interpolation,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,5114-5123,2020,
"Liu, Yutao; Gu, Ke; Zhai, Guangtao; Liu, Xianming; Zhao, Debin; WenGao; ",Quality assessment for real out-of-focus blurred images,Journal of Visual Communication and Image Representation,46,,70-80,2017,ScienceDirect
"Tang, Chongwu; Hu, Xi; Chen, Li; Zhai, Guangtao; Yang, Xiaokang; ",Sample-based image completion using structure synthesis,Journal of Visual Communication and Image Representation,24,7,1115-1123,2013,ScienceDirect
"Tang, Chongwu; Hu, Xi; Chen, Li; Zhai, Guangtao; Yang, Xiaokang; ",Sample-based image completion using structure synthesis,"Image Processing (ICIP), 2013 20th IEEE International Conference on",,,1336-1340,2013,IEEE
"Jia, Jun; Zhai, Guangtao; Ren, Ping; Zhang, Jiahe; Gao, Zhongpai; Min, Xiongkuo; Yang, Xiaokang; ",Tiny-BDN: An efficient and compact barcode detection network,IEEE Journal of Selected Topics in Signal Processing,14,4,688-699,2020,IEEE
"Zhu, Wenhan; Zhai, Guangtao; Han, Zongxi; Min, Xiongkuo; Wang, Tao; Zhang, Zicheng; Yangand, Xiaokang; ",A multiple attributes image quality database for smartphone camera photo quality assessment,2020 IEEE International Conference on Image Processing (ICIP),,,2990-2994,2020,IEEE
"Nah, Seungjun; Son, Sanghyun; Timofte, Radu; Lee, Kyoung Mu; Siyao, Li; Pan, Ze; Xu, Xiangyu; Sun, Wenxiu; Choi, Myungsub; Kim, Heewon; ",AIM 2019 challenge on video temporal super-resolution: Methods and results,2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),,,3388-3398,2019,IEEE
"Jiang, Zheng; Hu, Menghan; Zhai, Guangtao; ",Portable health screening device of respiratory infections,arXiv preprint arXiv:2004.01479,,,,2020,
"Jiang, Zheng; Hu, Menghan; Fan, Lei; Pan, Yaling; Tang, Wei; Zhai, Guangtao; Lu, Yong; ",Combining visible light and infrared imaging for efficient detection of respiratory infections such as COVID-19 on portable device,arXiv preprint arXiv:2004.06912,,,,2020,
"Zhai, Guangtao; Yin, Ziqing; Li, Lunhao; Song, Xuefei; Zhou, Yixiong; ",Automatic orbital computed tomography coordinating method and quantitative error evaluation based on signed distance field,Acta Radiologica,62,1,87-92,2021,"SAGE Publications Sage UK: London, England"
"Gao, Zhongpai; Yan, Junchi; Zhai, Guangtao; Zhang, Juyong; Yang, Yiyan; Yang, Xiaokang; ",Learning local neighboring structure for robust 3D shape representation,Proceedings of the AAAI conference on artificial intelligence,35,2,1397-1405,2021,
"Min, X; Zhai, G; Zhou, J; Farias, MCQ; Bovik, AC; ",Study of Subjective and Objective Quality Assessment of Audio-Visual Signals.,IEEE Transactions on Image Processing,,,,2020,
"Wang, Yunlu; Hu, Menghan; Zhou, Yuwen; Li, Qingli; Yao, Nan; Zhai, Guangtao; Zhang, Xiao-Ping; Yang, Xiaokang; ",Unobtrusive and automatic classification of multiple people’s abnormal respiratory patterns in real time using deep neural network and depth camera,IEEE Internet of Things Journal,7,9,8559-8571,2020,IEEE
"Huang, Ru; Ma, Lei; Zhai, Guangtao; He, Jianhua; Chu, Xiaoli; Yan, Huaicheng; ",Resilient routing mechanism for wireless sensor networks with deep learning link reliability prediction,IEEE Access,8,,64857-64872,2020,IEEE
"Wang, Xuejin; Jiang, Qiuping; Shao, Feng; Gu, Ke; Zhai, Guangtao; Yang, Xiaokang; ",Exploiting local degradation characteristics and global statistical properties for blind quality assessment of tone-mapped HDR images,IEEE Transactions on Multimedia,23,,692-705,2020,IEEE
"Guangtao, Zhai; Yi, Xu; Xiaokang, Yang; Wenjun, Zhang; Songyu, Yu; ",Unified Artifacts Reduction for Block DCT Compressed Images,,,,,,
"Chen, Qi; Wang, Yao; Qiu, Yage; Wu, Xiaowei; Zhou, Yan; Zhai, Guangtao; ",A deep learning-based model for classification of different subtypes of subcortical vascular cognitive impairment with FLAIR,Frontiers in neuroscience,14,,557,2020,Frontiers Media SA
"Gao, Zhongpai; Zhai, Guangtao; Yan, Junchi; Yang, Xiaokang; ",Pai-Conv: Permutable anisotropic convolutional networks for learning on point clouds,arXiv preprint arXiv:2005.13135,,,,2020,
"Zhang, Weixia; Ma, Kede; Zhai, Guangtao; Yang, Xiaokang; ",Uncertainty-aware blind image quality assessment in the laboratory and wild,IEEE Transactions on Image Processing,30,,3474-3486,2021,IEEE
"Wang, Ziying; Wang, Guodong; Pan, Zhenkuan; Zhang, Jiahua; Zhai, Guangtao; ",Fast stripe noise removal from hyperspectral image via multi-scale dilated unidirectional convolution,Multimedia Tools and Applications,79,31,23007-23022,2020,Springer US New York
"Liang, Yangwen; Ranade, Rohit; Wang, Shuangquan; Bai, Dongwoon; Lee, Jungwon; ","The"" Vertigo Effect"" on Your Smartphone: Dolly Zoom via Single Shot View Synthesis",Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,,344-345,2020,
"Song, Kaihua; Liu, Ning; Gao, Zhongpai; Zhang, Jiahe; Zhai, Guangtao; Zhang, Xiao-Ping; ",Deep restoration of invisible QR code from TPVM display,2020 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,1-6,2020,IEEE
"Zhu, Dandan; Chen, Yongqing; Min, Xiongkuo; Zhu, Yucheng; Zhang, Guokai; Zhou, Qiangqiang; Zhai, Guangtao; Yang, Xiaokang; ",RANSP: Ranking attention network for saliency prediction on omnidirectional images,Neurocomputing,461,,118-128,2021,Elsevier
"Yan, Jiebin; Fang, Yuming; Huang, Liping; Min, Xiongkuo; Yao, Yiru; Zhai, Guangtao; ",Blind stereoscopic image quality assessment by deep neural network of multi-level feature fusion,2020 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2020,IEEE
"Gao, Zhongpai; Zhang, Juyong; Guo, Yudong; Ma, Chao; Zhai, Guangtao; Yang, Xiaokang; ",Semi-supervised 3D face representation learning from unconstrained photo collections,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition workshops,,,348-349,2020,
"Liu, Hang; Hu, Menghan; Li, Guodong; Li, Qingli; Zhou, Xiaofeng; Zhang, Jian; Zhai, Guangtao; ",Calligraphy navigation system for blind people based on visual prosthesis on waist belt,2020 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,1-2,2020,IEEE
"Han, Junwei; Zhai, Guang-Tao; Cai, Weidong; Borges, Paulo; Li, Houqiang; Taubman, David; Li, Hongdong; Peixoto, Eduardo; Zhang, Chongyang; Mrak, Marta; ",Special Session Chairs,,,,,,
"Gao, Zhongpai; Zhang, Juyong; Guo, Yudong; Ma, Chao; Zhai, Guangtao; Yang, Xiaokang; ",Semi-supervised 3D Face Reconstruction with Nonlinear Disentangled Representations,,,,,,
"Zhang, Weixia; Ma, Kede; Zhai, Guangtao; Yang, Xiaokang; ",Learning to blindly assess image quality in the laboratory and wild,2020 IEEE International Conference on Image Processing (ICIP),,,111-115,2020,IEEE
"Jiang, Zheng; Hu, Menghan; Gao, Zhongpai; Fan, Lei; Dai, Ranran; Pan, Yaling; Tang, Wei; Zhai, Guangtao; Lu, Yong; ",Detection of respiratory infections using RGB-infrared sensors on portable device,IEEE Sensors Journal,20,22,13674-13681,2020,IEEE
"Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; Gu, Ke; Ma, Siwei; Yang, Xiaokang; ",Dynamic backlight scaling considering ambient luminance for mobile videos on LCD displays,IEEE Transactions on Mobile Computing,21,1,110-124,2020,IEEE
"Sharif, Adnan; Zhai, Guangtao; Jia, Jun; Min, Xiongkuo; Zhu, Xiangyang; Zhang, Jiahe; ",An accurate and efficient 1-D barcode detector for medium of deployment in IoT systems,IEEE Internet of Things Journal,8,2,889-900,2020,IEEE
"Yingyi, LI; Kairan, LIU; ","Video displaying method, video displaying apparatus, and computer-program product",,,,,2021,"US Patent 10,911,713"
"Tian, Yuan; Che, Zhaohui; Bao, Wenbo; Zhai, Guangtao; Gao, Zhiyong; ",Self-supervised Motion Representation via Scattering Local Motion Cues,ECCV 2020,,,,2020,
"Ai, Jin; Hu, Menghan; Zhai, Guangtao; Zhang, Xiao-Ping; Wang, Yunlu; Cai, Liming; Li, Qingli; Sun, Wendell Q; ",Rapidly developing human heat residue model under various conditions based on Fluent and thermal video,Infrared Physics & Technology,110,,103468,2020,Pergamon
"Zhang, Shenghai; Song, Mengfan; Zhao, Yuanshen; Xu, Shuaishuai; Sun, Qiuchang; Zhai, Guangtao; Liang, Dong; Wu, Guangyu; Li, Zhi-Cheng; ",Radiomics nomogram for preoperative prediction of progression-free survival using diffusion-weighted imaging in patients with muscle-invasive bladder cancer,European journal of radiology,131,,109219,2020,Elsevier
"Chen, Kang; Yi, Fuwang; Jia, Jun; Zhai, Guangtao; ",Real time robust Invisible Hyperlinks in Physical Photographs based on embodied AI platform,2020 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),,,271-274,2020,IEEE
"Sun, Wenjie; Zhai, Guangtao; Gao, Zhongpai; Chen, Tingzhu; Zhu, Yucheng; Wang, Zhaodi; ",Dual-view oracle bone script recognition system via temporal-spatial psychovisual modulation,2020 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),,,193-198,2020,IEEE
"Shi, Fangyu; Wang, Zhaodi; Hu, Menghan; Zhai, Guangtao; ",Active learning plus deep learning can establish cost-effective and robust model for multichannel image: A case on hyperspectral image classification,Sensors,20,17,4975,2020,MDPI
"Chen, Lushuang; Hu, Menghan; Liu, Ning; Zhai, Guangtao; Yang, Simon X; ",Collaborative use of RGB and thermal imaging for remote breathing rate measurement under realistic conditions,Infrared Physics & Technology,111,,103504,2020,Pergamon
"Gao, Zhongpai; Zhai, Guangtao; Deng, Hongwei; Yang, Xiaokang; ",Extended geometric models for stereoscopic 3D with vertical screen disparity,Displays,65,,101972,2020,Elsevier
"Sharif, Adnan; Jia, Jun; Zhang, Jiahe; Zhai, Guangtao; ",Joint barcode and text orientation detection model for unmanned retail system,2020 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2020,IEEE
"Yu, Yichen; Fan, Lei; Wang, Tianjiao; Hu, Lianghao; Zhai, Guangtao; ",A Respiratory Monitoring System in Surgical Environment Based on Fiducial Markers Tracking,2020 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2020,IEEE
"Sun, Wenjie; Gao, Zhongpai; Zhai, Guangtao; Zhang, Jiahe; Wang, Zhaodi; Zhu, Yucheng; ",An improved algorithm for real-time dual-view display,2020 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2020,IEEE
"Lu, Qiang; Zhai, Guangtao; Zhu, Wenhan; Zhu, Yucheng; Min, Xiongkuo; Zhang, Xiao-Ping; Yang, Hua; ",Automatic region selection for objective sharpness assessment of mobile device photos,2020 IEEE International Conference on Image Processing (ICIP),,,106-110,2020,IEEE
"Fang, Yi; Duan, Huiyu; Shi, Fangyu; Min, Xiongkuo; Zhai, Guangtao; ",Identifying children with autism spectrum disorder based on gaze-following,2020 IEEE International Conference on Image Processing (ICIP),,,423-427,2020,IEEE
"Chen, Yuzhen; Hu, Menghan; Hua, Chunjun; Zhai, Guangtao; Zhang, Jian; Li, Qingli; Yang, Simon X; ",Face mask assistant: Detection of face mask service stage based on mobile phone,IEEE Sensors Journal,21,9,11084-11093,2021,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Yang, Xiaokang; ",Stereoscopic 3D geometric distortions analyzed from the viewer’s point of view,PloS one,15,10,e0240661,2020,"Public Library of Science San Francisco, CA USA"
"Sun, Mingjun; Yang, Hua; Zhai, Guangtao; ",Weakly Supervised Pedestrian Attribute Recognition with Attention in Latent Space,Chinese Conference on Pattern Recognition and Computer Vision (PRCV),,,316-327,2020,Springer International Publishing Cham
"Wang, Yunlu; Yang, Cheng; Hu, Menghan; Zhang, Jian; Li, Qingli; Zhai, Guangtao; Zhang, Xiao-Ping; ",Identification of deep breath while moving forward based on multiple body regions and graph signal analysis,"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,7958-7962,2021,IEEE
"Wu, Chongruo; Liaqat, Sidrah; Duan, Huiyu; Ozonoff, Sally; Chuah, Chen-Nee; Zhai, Guangtao; Cheung, Sen-ching Samson; ",Machine-Learning Based Autism Diagnosis Using Gaze Fixations on Natural Images,INSAR 2020 Virtual Meeting,,,,2020,
"Zhai, Guangtao; Zhu, Yucheng; Min, Xiongkuo; ",Comparative perceptual assessment of visual signals using free energy features,IEEE Transactions on Multimedia,23,,3700-3713,2020,IEEE
"Li, Teng; Min, Xiongkuo; Zhao, Heng; Zhai, Guangtao; Xu, Yiling; Zhang, Wenjun; ",Subjective and objective quality assessment of compressed screen content videos,IEEE Transactions on Broadcasting,67,2,438-449,2020,IEEE
"Song, Xuefei; Liu, Zijia; Li, Lunhao; Gao, Zhongpai; Fan, Xianqun; Zhai, Guangtao; Zhou, Huifang; ",Artificial intelligence CT screening model for thyroid-associated ophthalmopathy and tests under clinical conditions,International journal of computer assisted radiology and surgery,16,2,323-330,2021,Springer International Publishing Cham
"Zhang, Jiahe; Min, Xiongkuo; Zhu, Yucheng; Zhai, Guangtao; Zhou, Jiantao; Yang, Xiaokang; Zhang, Wenjun; ",HazDesNet: An end-to-end network for haze density prediction,IEEE transactions on intelligent transportation systems,23,4,3087-3102,2020,IEEE
"Shen, Wang; Bao, Wenbo; Zhai, Guangtao; Chen, Li; Min, Xiongkuo; Gao, Zhiyong; ",Video Frame Interpolation and Enhancement via Pyramid Recurrent Framework.,IEEE Transactions on Image Processing,,,,2020,
"Che, Zhaohui; Borji, Ali; Zhai, Guangtao; Ling, Suiyi; Li, Jing; Min, Xiongkuo; Guo, Guodong; Le Callet, Patrick; ",SMGEA: A new ensemble adversarial attack powered by long-term gradient memories,IEEE Transactions on Neural Networks and Learning Systems,33,3,1051-1065,2020,IEEE
"Jia, Jun; Gao, Zhongpai; Chen, Kang; Hu, Menghan; Min, Xiongkuo; Zhai, Guangtao; Yang, Xiaokang; ",RIHOOP: Robust Invisible Hyperlinks in Offline and Online Photographs,IEEE Transactions on Cybernetics,,,,2020,
"Zhu, Yucheng; Zhai, Guangtao; Min, Xiongkuo; Zhou, Jiantao; ",Learning a deep agent to predict head movement in 360-degree images,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",16,4,1-23,2020,"ACM New York, NY, USA"
"Gutiérrez, Jesús; Che, Zhaohui; Zhai, Guangtao; Le Callet, Patrick; ","Saliency4ASD: Challenge, dataset and tools for visual attention modeling for autism spectrum disorder",Signal Processing: Image Communication,92,,116092,2021,Elsevier
"Tang, Jingyu; Hu, Menghan; Li, Guodong; Li, Qingli; Zhang, Jian; Zhou, Xiaofeng; Zhai, Guangtao; ",Special cane with visual odometry for real-time indoor navigation of blind people,2020 IEEE International Conference on Visual Communications and Image Processing (VCIP),,,255-255,2020,IEEE
"Ai, Jin; Hu, Menghan; Li, Guodong; Zhai, Guangtao; Zhang, Jian; Li, Qingli; Sun, Wendell Q; ",Wearable visually assistive device for blind people to appreciate real-world scene and screen image,2020 IEEE international conference on visual communications and image processing (VCIP),,,258-258,2020,IEEE
"Ding, Lianghui; Xu, Xin; Cao, Yuan; Zhai, Guangtao; Yang, Feng; Qian, Liang; ",Detection and tracking of infrared small target by jointly using SSD and pipeline filter,Digital signal processing,110,,102949,2021,Academic Press
"Hwang, Y; Cho, S; Myung, S; Yang, K; Luo, H; Zhang, Y; Huang, LK; Cosmas, J; Aggoun, A; Qian, L; ",Clipping Noise Elimination for OFDM Systems by Compressed Sensing With Partially Aware Support........................,,,,,,
"Zhu, Wen-Han; Sun, Wei; Min, Xiong-Kuo; Zhai, Guang-Tao; Yang, Xiao-Kang; ",Structured computational modeling of human visual system for no-reference image quality assessment,International Journal of Automation and Computing,18,2,204-218,2021,"Institute of Automation, Chinese Academy of Sciences Beijing"
"Zhao, Yuanshen; Liu, Guiqin; Sun, Qiuchang; Zhai, Guangtao; Wu, Guangyu; Li, Zhi-Cheng; ",Validation of CT radiomics for prediction of distant metastasis after surgical resection in patients with clear cell renal cell carcinoma: exploring the underlying signaling pathways,European Radiology,,,1-9,2021,Springer Berlin Heidelberg
"Che, Z.; Borji, A.; Zhai, G.; Ling, S.; Li, J.; Tian, Y.; Guo, G.; Callet, P. Le; ",Adversarial Attack Against Deep Saliency Models Powered by Non-Redundant Priors,IEEE Transactions on Image Processing,30,1,1973-1988,2021,IEEE
"Zhu, Dandan; Chen, Yongqing; Zhao, Defang; Zhu, Yucheng; Zhou, Qiangqiang; Zhai, Guangtao; Yang, Xiaokang; ",Multi-scale Brain-Like Neural Network for Saliency Prediction on Omnidirectional Images,IEEE Transactions on Cognitive and Developmental Systems,,,,2021,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Yan, Junchi; Yang, Xiaokang; ",Permutation matters: Anisotropic convolutional layer for learning on point clouds,arXiv preprint arXiv:2005.13135,,,,2020,
"Zhu, Yucheng; Min, Xiongkuo; Zhu, DanDan; Gu, Ke; Zhou, Jiantao; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Toward better understanding of saliency prediction in augmented 360 degree videos,arXiv preprint arXiv:1912.05971,,,,2019,
"Zhu, Zehao; Zhai, Guangtao; Zhang, Jiahe; Jia, Jun; Yi, Fuwang; ",A Large-Scale VR Panoramic Dataset of QR Code and Improved Detecting Algorithm,International Conference on VR/AR and 3D Displays,,,137-148,2020,Springer Singapore Singapore
"Jiang, Jinghui; Zhai, Guangtao; Jiang, Zheng; ",Modeling the self-navigation behavior of patients with Alzheimer’s disease in virtual reality,International Conference on VR/AR and 3D Displays,,,121-136,2020,Springer Singapore Singapore
"Fan, Lei; Cao, Wei; Du, Yasong; Chen, Jing; Zhou, Jiantao; Zhai, Guangtao; ",Virtual Reality App for ASD Child Early Training,International Conference on VR/AR and 3D Displays,,,89-102,2020,Springer Singapore Singapore
"Liu, Zijia; Liu, Jiannan; Zhou, Zijie; Zhang, Qiaoyu; Wu, Hao; Zhai, Guangtao; Han, Jing; ",Differential diagnosis of ameloblastoma and odontogenic keratocyst by machine learning of panoramic radiographs,International Journal of Computer Assisted Radiology and Surgery,16,3,415-422,2021,Springer International Publishing Cham
"Liu, Ning; Gao, Zhongpai; Wang, Jia; Zhai, Guangtao; ",Psycho-visual modulation based information display: introduction and survey,Frontiers of Computer Science,15,3,153703,2021,Higher Education Press Beijing
"Zhang, Weixia; Li, Dingquan; Ma, Chao; Zhai, Guangtao; Yang, Xiaokang; Ma, Kede; ",Continual learning for blind image quality assessment,IEEE Transactions on Pattern Analysis and Machine Intelligence,45,3,2864-2878,2022,IEEE
"Fan, Lei; Cao, Wei; Duan, Huiyu; Du, Yasong; Chen, Jing; Hou, Siqian; Zhu, Hong; Xu, Na; Zhou, Jiantao; Zhai, Guangtao; ",Screening of autism spectrum disorder using novel biological motion stimuli,International Forum on Digital TV and Wireless Multimedia Communications,,,371-384,2020,Springer Singapore Singapore
"Deng, Yi; Jia, Jun; Zhu, Dandan; Yang, Hua; Zhai, Guangtao; ",FaceCode: An artistic face image with invisible hyperlink,International Forum on Digital TV and Wireless Multimedia Communications,,,63-72,2020,Springer Singapore Singapore
"Shen, Wang; Bao, Wenbo; Zhai, Guangtao; Wang, Charlie L; Hu, Jerry W; Gao, Zhiyong; ",Prediction-assistant frame super-resolution for video streaming,arXiv preprint arXiv:2103.09455,,,,2021,
"Shi, Fangyu; Sun, Wei; Duan, Huiyu; Liu, Xiaotian; Hu, Menghan; Wang, Wei; Zhai, Guangtao; ",Drawing reveals hallmarks of children with autism,Displays,67,,102000,2021,Elsevier
"Song, Xuefei; Tong, Weilin; Lei, Chaoyu; Huang, Jingxuan; Fan, Xianqun; Zhai, Guangtao; Zhou, Huifang; ",A clinical decision model based on machine learning for ptosis,BMC ophthalmology,21,1,169,2021,BioMed Central London
"Wang, Yunlu; Hu, Menghan; Yang, Chaohua; Li, Na; Zhang, Jian; Li, Qingli; Zhai, Guangtao; Yang, Simon X; Zhang, Xiao-Ping; Yang, Xiaokang; ",Respiratory consultant by your side: Affordable and remote intelligent respiratory rate and respiratory pattern monitoring system,IEEE Internet of Things Journal,8,19,14999-15009,2021,IEEE
"Wang, Yunlu; Hu, Menghan; Yang, Chaohua; Li, Na; Zhang, Jian; Li, Qingli; Zhai, Guangtao; Yang, Simon X; ",Low-cost and unobtrusive respiratory condition monitoring based on raspberry pi and recurrent neural network,2021 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2021,IEEE
"Zhu, Wenhan; Zhai, Guangtao; Min, Xiongkuo; Yang, Xiaokang; Zhang, Xiao-Ping; ",Perceptual quality assessment for recognizing true and pseudo 4K content,"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,2190-2194,2021,IEEE
"Lu, Yuri; Hu, Menghan; Zhai, Guangtao; Yang, Simon X; ",LSNet: Identification of copper and stainless steel using laser speckle imaging in dismal surroundings,International Journal of Robotics and Automation,36,4,256,2021,
"Sharif, Adnan; Zhai, Guangtao; Min, Xiongkuo; Jia, Jun; Munir, Kashif; ",Enhancing decoding rate of barcode decoders in complex scenes for IoT systems,IEEE Internet of Things Journal,8,24,17495-17507,2021,IEEE
"Sun, Wei; Min, Xiongkuo; Tu, Danyang; Ma, Siwei; Zhai, Guangtao; ",Blind quality assessment for in-the-wild images via hierarchical feature fusion and iterative mixed database training,IEEE Journal of Selected Topics in Signal Processing,17,6,1178-1192,2023,IEEE
"Yang, Cheng; Cheung, Gene; Zhai, Guangtao; ",Projection-free Graph-based Classifier Learning using Gershgorin Disc Perfect Alignment,arXiv preprint arXiv:2106.01642,,,,2021,
"Sun, Wei; Wang, Tao; Min, Xiongkuo; Yi, Fuwang; Zhai, Guangtao; ",Deep learning based full-reference and no-reference quality assessment models for compressed ugc videos,2021 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,1-6,2021,IEEE
"Zhu, Dandan; Zhao, Defang; Min, Xiongkuo; Han, Tian; Zhou, Qiangqiang; Yu, Shaobo; Chen, Yongqing; Zhai, Guangtao; Yang, Xiaokang; ",Lavs: A lightweight audio-visual saliency prediction model,2021 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2021,IEEE Computer Society
"Fu, J; Chen, Z; Chen, X; Li, W; Paudyal, P; Battisti, F; Le Callet, P; Gutiérrez, J; Carli, M; Jiang, Z; ","Effects of Motion Picture Frame Rate on Material and Texture Appearance............ RS Allison, Y. Fujii, and LM Wilcox 360 Lightweight Image Super-Resolution by Multi-Scale Aggregation................. J. Wan, H. Yin, Z. Liu, A. Chong, and Y. Liu 372 Sequential Reinforced 360-Degree Video Adaptive Streaming With Cross-User Attentive Network............................",,,,,,
"Zhang, Zicheng; Sun, Wei; Min, Xiongkuo; Zhu, Wenhan; Wang, Tao; Lu, Wei; Zhai, Guangtao; ",A No-Reference Evaluation Metric for Low-Light Image Enhancement.,ICME,,,1-6,2021,
"Su, Yuting; Zhang, Jiaqi; Liu, Jing; Zhai, Guangtao; ",Key facial components guided micro-expression recognition based on first & second-order motion,2021 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2021,IEEE Computer Society
"Zhu, Dandan; Chen, Yongqing; Zhao, Defang; Min, Xiongkuo; Zhou, Qiangqiang; Yu, Shaobo; Zhai, Guangtao; Yang, Xiaokang; ",A lightweight saliency prediction model for omnidirectional images,2021 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2021,IEEE
"Teng, Long; Zhai, Guangtao; Wu, Yongpeng; Min, Xiongkuo; Zhang, Wenjun; Ding, Zhi; Xiao, Chengshang; ",QoE Driven VR 360 Video Massive MIMO Transmission,IEEE Transactions on Wireless Communications,,,,2021,
"Fang, Yi; Tang, Jiapeng; Shen, Wang; Shen, Wei; Gu, Xiao; Song, Li; Zhai, Guangtao; ",Dual attention guided gaze target detection in the wild,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,11390-11399,2021,
"Zhang, Zicheng; Sun, Wei; Min, Xiongkuo; Wang, Tao; Lu, Wei; Zhu, Wenhan; Zhai, Guangtao; ",A no-reference visual quality metric for 3d color meshes,2021 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,1-6,2021,IEEE
"Chen, Yuzhen; Xu, Ziyi; Tang, Wencheng; Hu, Menghan; Tang, Douning; Zhai, Guangtao; Li, Qingli; ",Identification of various food residuals on denim based on hyperspectral imaging system and combination optimal strategy,Artificial Intelligence in Agriculture,5,,125-132,2021,Elsevier
"Tian, Yuan; Zhai, Guangtao; Gao, Zhiyong; ",Perceptron Synthesis Network: Rethinking the Action Scale Variances in Videos,arXiv preprint arXiv:2007.11460,,,,2020,
"Gao, Zhongpai; Zhang, Juyong; Guo, Yudong; Ma, Chao; Zhai, Guangtao; Yang, Xiaokang; ",CVPR 2020 DYNAVIS Best Paper Award,,,,,2020,
"Tian, Yuan; Yan, Yichao; Zhai, Guangtao; Guo, Guodong; Gao, Zhiyong; ",EAN: event adaptive network for enhanced action recognition,International Journal of Computer Vision,130,10,2453-2471,2022,Springer US
"Liu, Hang; Hu, Menghan; Chen, Yuzhen; Li, Qingli; Zhai, Guangtao; Yang, Simon X; Zhang, Xiao-Ping; Yang, Xiaokang; ",Angel’s girl for blind painters: an efficient painting navigation system validated by multimodal evaluation approach,IEEE Transactions on Multimedia,25,,2415-2429,2022,IEEE
"Tian, Yuan; Lu, Guo; Min, Xiongkuo; Che, Zhaohui; Zhai, Guangtao; Guo, Guodong; Gao, Zhiyong; ",Self-conditioned probabilistic learning of video rescaling,Proceedings of the IEEE/CVF international conference on computer vision,,,4490-4499,2021,
