customer_id,country,age_range,signup_date
826,Portugal,26-35,2025-05-07
827,France,46-55,2025-04-21
828,France,16-25,2025-03-08
829,Portugal,26-35,2025-04-15
830,Italy,56-65,2025-02-26
831,Germany,36-45,2025-04-21
832,Italy,16-25,2025-03-04
833,Portugal,56-65,2025-03-07
834,Netherlands,26-35,2025-04-19
835,Portugal,46-55,2025-04-26
836,Germany,56-65,2025-05-20
837,Germany,46-55,2025-03-02
838,Spain,46-55,2025-03-27
839,Germany,36-45,2025-01-29
840,Germany,36-45,2025-04-18
841,Spain,56-65,2025-03-03
842,Italy,46-55,2025-02-17
843,France,16-25,2025-03-24
844,Netherlands,16-25,2024-04-22
845,Germany,26-35,2025-02-23
846,Portugal,46-55,2025-02-25
847,Spain,56-65,2024-04-13
848,Netherlands,36-45,2024-12-05
849,Italy,56-65,2025-05-25
850,Netherlands,16-25,2024-09-10
851,France,46-55,2025-03-21
852,Portugal,46-55,2025-03-24
853,Germany,26-35,2024-08-14
854,Portugal,36-45,2025-02-24
855,Spain,16-25,2025-03-12
856,France,46-55,2024-04-21
857,Germany,36-45,2025-04-21
858,Germany,16-25,2025-04-10
859,France,56-65,2024-04-08
860,Germany,26-35,2024-06-01
861,Portugal,26-35,2025-02-19
862,France,36-45,2024-12-14
863,Germany,16-25,2025-03-07
864,Netherlands,36-45,2025-03-27
865,Netherlands,16-25,2025-02-05
866,Spain,36-45,2025-01-18
867,France,46-55,2025-03-27
868,Portugal,16-25,2024-12-31
869,Netherlands,56-65,2025-03-09
870,Italy,36-45,2024-12-03
871,Netherlands,26-35,2025-04-08
872,Netherlands,26-35,2025-02-07
873,France,16-25,2025-04-01
874,Spain,16-25,2024-07-12
875,Italy,36-45,2024-11-05
876,Italy,46-55,2025-03-10
877,France,26-35,2025-05-13
878,Germany,26-35,2025-03-29
879,Netherlands,46-55,2025-05-21
880,Portugal,16-25,2025-01-07
881,Portugal,36-45,2025-03-03
882,Spain,56-65,2024-06-11
883,Italy,56-65,2025-03-29
884,Spain,26-35,2025-04-13
885,Spain,56-65,2025-04-10
886,Italy,36-45,2024-07-26
887,Italy,16-25,2025-03-20
888,Spain,16-25,2024-06-17
889,Germany,26-35,2024-06-09
890,Italy,16-25,2024-03-08
891,Portugal,46-55,2025-03-28
892,Germany,46-55,2025-03-16
893,Netherlands,46-55,2024-10-15
894,Netherlands,36-45,2025-02-01
895,France,26-35,2025-04-28
896,Portugal,46-55,2025-04-10
897,France,56-65,2025-03-18
898,Italy,36-45,2025-02-28
899,Germany,26-35,2024-10-03
900,Germany,36-45,2025-03-04
901,Spain,26-35,2024-10-30
902,Italy,16-25,2025-02-07
903,Spain,16-25,2025-04-04
904,Germany,26-35,2025-01-18
905,Spain,36-45,2025-01-26
906,Netherlands,46-55,2025-05-03
907,Spain,46-55,2025-03-11
908,Germany,16-25,2025-02-13
909,France,16-25,2024-05-14
910,Portugal,46-55,2024-07-13
911,Spain,36-45,2025-02-04
912,Germany,56-65,2025-02-24
913,Portugal,26-35,2025-01-27
914,Spain,26-35,2025-03-29
915,Spain,56-65,2025-03-18
916,Spain,36-45,2025-04-25
917,Germany,26-35,2024-05-07
918,France,16-25,2024-02-02
919,Spain,36-45,2024-06-24
920,Spain,16-25,2025-02-22
921,Italy,46-55,2025-05-03
922,Spain,16-25,2025-04-25
923,Italy,46-55,2025-03-18
924,France,56-65,2025-01-05
925,France,16-25,2025-01-09
926,France,56-65,2024-01-22
927,Portugal,56-65,2024-08-25
928,Netherlands,36-45,2025-03-24
929,Netherlands,26-35,2025-01-11
930,Netherlands,46-55,2025-02-15
931,France,46-55,2024-06-06
932,France,26-35,2025-03-12
933,Italy,36-45,2024-02-07
934,Portugal,26-35,2024-08-17
935,Italy,46-55,2025-01-14
936,Netherlands,26-35,2025-02-12
937,France,46-55,2024-12-30
938,France,26-35,2024-02-20
939,Netherlands,56-65,2025-03-13
940,Italy,46-55,2024-09-20
941,Italy,56-65,2024-10-09
942,Italy,36-45,2024-01-27
943,Italy,56-65,2025-03-02
944,Spain,16-25,2024-08-13
945,Germany,16-25,2024-10-03
946,France,16-25,2025-04-03
947,Netherlands,16-25,2024-10-12
948,Spain,26-35,2025-01-25
949,Spain,56-65,2024-04-06
950,Italy,26-35,2024-10-10
951,Portugal,26-35,2025-02-19
952,Italy,16-25,2025-03-14
953,France,16-25,2025-03-02
954,Portugal,26-35,2025-02-19
955,Portugal,26-35,2025-04-14
956,Portugal,46-55,2025-04-02
957,France,16-25,2025-01-18
958,Germany,56-65,2025-02-23
959,Spain,26-35,2025-04-02
960,Germany,56-65,2025-01-13
961,Germany,56-65,2025-03-24
962,Portugal,56-65,2025-04-04
963,Germany,46-55,2025-03-25
964,Spain,26-35,2025-01-01
965,Italy,46-55,2025-03-23
966,France,46-55,2025-03-28
967,Italy,26-35,2024-11-12
968,Italy,16-25,2025-04-16
969,Portugal,16-25,2024-10-30
970,Germany,56-65,2025-04-18
971,France,16-25,2024-05-26
972,France,26-35,2025-03-11
973,Italy,56-65,2025-03-22
974,Italy,26-35,2025-06-02
975,Netherlands,46-55,2025-04-19
976,Italy,26-35,2025-04-30
977,Italy,56-65,2024-01-04
978,France,36-45,2025-04-10
979,Spain,16-25,2024-02-04
980,Italy,26-35,2024-07-10
981,Spain,26-35,2025-04-29
982,Italy,56-65,2025-01-27
983,Germany,36-45,2025-04-21
984,Netherlands,16-25,2024-02-18
985,Germany,46-55,2024-01-17
986,Netherlands,16-25,2025-03-24
987,Portugal,46-55,2025-04-24
988,Portugal,16-25,2025-02-23
989,Spain,46-55,2024-06-20
990,Spain,46-55,2025-02-27
991,Netherlands,46-55,2024-08-07
992,Italy,36-45,2025-05-14
993,Germany,16-25,2025-04-17
994,Spain,26-35,2024-06-06
995,Germany,56-65,2024-02-15
996,Germany,16-25,2025-05-08
997,Italy,56-65,2025-03-29
998,France,36-45,2025-01-07
999,Germany,56-65,2025-02-21
1000,Spain,56-65,2024-01-06
