,,,成分,,,,,工艺,,,,,,可以不用预测,性能,,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-10Gd-6Y-1.6Zn-0.6Zr,81.8,10,6,1.6,0.6,525,10,400,10,200,64,473,542,8,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-9Gd-4Y0.5Zr,86.5,9,4,0,0.5,525,10,400,11,200,60,400,508,8,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-8.2Gd-3.8Y-1Zn-0.4Zr,86.6,8.2,3.8,1,0.4,510,12,400,8,200,48,395,470,8,
"Chi 等 - 2013 - Effect of ageing treatment on the microstructure, texture and mechanical properties of extruded Mg–8.txt",10.1016/j.msea.2012.11.097,Mg–8.2Gd–3.8Y–1Zn–0.4Zr,86.6,8.2,3.8,1,0.4,510,12,400,8,200,48,395,470,8,~7 µm (peak-aged)
,,,86.50 ,9,4,0,0.5,525,10,400,11,200,92,400,508,8,
,,,86.50 ,9,4,0,0.5,525,10,400,11,200,36,400,508,8,
,,,86.60 ,8.2,3.8,1,0.4,510,12,400,8,200,48,395,470,8,
,,,86.50 ,8,4,1,0.5,520,14,430,21.8,0,0,327,380,8,
,,,96.47 ,0.94,1.05,1.54,0,0,0,430,11,0,0,198,327,8,
,,,97.21 ,0.99,1.02,0.78,0,500,24,430,11,0,0,260,362,7.9,
Liu 等 - 2016 - Effects of extrusion speed on the microstructure and mechanical properties of Mg9Gd3Y1.5Zn0.8Zr allo.txt,10.1016/j.jmst.2015.12.004,Mg-9Gd-3Y-1.5Zn-0.8Zr,85.7,9,3,1.5,0.8,530,5,350,15,0,0,267,343,7.8,
,,,92.50 ,3,4,0,0.5,480,10,0,0,200,28,132,224,7.8,
,,,86.00 ,10.5,2,1,0.5,0,0,0,0,0,0,150,197,7.7,
,,,83.08,11.71,4.9,0,0.31,520,48,450,20,0,0,402,336,7.6,
2018 - Microstructure evolution and mechanical properties of as-extruded Mg-Gd-Y-Zr alloy with Zn and Nd ad.txt,10.1016/j.msea.2017.12.070,Mg-11.5Gd-4.5Y-0.3Zr,83.7,11.5,4.5,0,0.3,520,48,450,20,0,0,336,402,7.6,
Li 等 - 2013 - Enhanced strength and ductility of Mg–Gd–Y–Zr alloys by secondary extrusion.txt,10.1016/j.jma.2013.02.006,Mg-12Gd-3Y-0.6Zr,84.4,12,3,0,0.6,525,10,0,0,0,0,195,253,7.6,60 µm
,,,82.29 ,11.49,4.31,1.53,0.38,520,48,450,10,0,0,356,420,7.6,
,,,83.08 ,11.71,4.9,0,0.31,520,48,450,20,0,0,336,402,7.6,
,,,88.60 ,8,3,0,0.4,500,8,0,0,200,80,222,362,7.6,
,,,96.44,0,0.88,2.68,0,400,24,300,14,0,0,306.1,271,7.53,
,,,86.20037978,0,8.933357352,4.866262867,0,540,4,0,0,0,0,210,100,7.5,
,,,83.08 ,11.71,4.9,0,0.31,520,48,450,10,0,0,346,412,7.5,
,,,96.06 ,0.97,0.99,1.98,0,500,24,430,11,0,0,213,334,7.5,
,,,93.56,0,0,5.97,0.47,0,0,305,18,200,38,391,372,7.4,
Liu 等 - 2016 - Effects of extrusion speed on the microstructure and mechanical properties of Mg9Gd3Y1.5Zn0.8Zr allo.txt,10.1016/j.jmst.2015.12.004,Mg–9Gd–3Y–1.5Zn–0.8Zr,85.7,9,3,1.5,0.8,530,5,350,15,0,0,295,357,7.4,
,,,96.53,0.94,0,2.53,0,400,24,280,14,0,0,304.9,268.9,7.3,
Liu 等 - 2010 - Effect of ageing treatment on the microstructures and mechanical properties of the extruded Mg–7Y–4G.txt,10.1016/j.msea.2009.10.031,Mg–7Y–4Gd–1.5Zn–0.4Zr,87.1,4,7,1.5,0.4,500,10,410,16,0,0,228,331,7.3,
,,,82.80 ,10,5,1.8,0.4,520,12,370,37,0,0,333,391,7.3,
,,,86.50 ,10,2,1,0.5,0,0,0,0,0,0,180,223,7.3,
,,,87.00 ,10.5,1,1,0.5,0,0,0,0,0,0,158,210,7.3,
,,,86.50 ,10,2,1,0.5,460,12,0,0,0,0,160,198,7.3,
,,,82.29,11.49,4.31,1.53,0.38,520,48,450,20,0,0,424,371,7.2,
,,,91.79,1.81,0,5.87,0.53,0,0,360,18,0,0,366,331,7.2,
,,,96.7901,0,1.549,1.217,0.4439,0,0,0,0,0,0,122,78,7.2,
2018 - Microstructure evolution and mechanical properties of as-extruded Mg-Gd-Y-Zr alloy with Zn and Nd ad.txt,10.1016/j.msea.2017.12.070,Mg-11.5Gd-4.5Y-1.5Zn-0.3Zr,82.2,11.5,4.5,1.5,0.3,520,48,450,20,0,0,371,424,7.2,
Cui 等 - 2018 - Effect of Zn addition on microstructure and mechanical properties of Mg–9Gd–3Y–0.5Zr alloy.txt,10.1557/jmr.2017.458,Mg–9Gd–3Y–1.5Zn–0.5Zr,86,9,3,1.5,0.5,0,0,0,0,0,0,154,248,7.2,29.0 µm
Cui 等 - 2018 - Effect of Zn addition on microstructure and mechanical properties of Mg–9Gd–3Y–0.5Zr alloy.txt,10.1557/jmr.2017.458,Mg–9Gd–3Y–0.5Zn–0.5Zr,87,9,3,0.5,0.5,0,0,0,0,0,0,158,248,7.2,25.2 μm
,,,82.29 ,11.49,4.31,1.53,0.38,520,48,450,20,0,0,371,424,7.2,
,,,84.91 ,9.5,3.28,1.83,0.48,520,10,0,0,0,0,154,248,7.2,
,,,86.35 ,9.44,3.1,0.64,0.47,500,6,0,0,0,0,158,248,7.2,
,,,90.64926643,0,6.836869155,2.513864416,0,0,0,0,0,0,0,218.4,135.8,7.1,
,,,96.06 ,0.97,0.99,1.98,0,0,0,430,11,0,0,205,323,7.1,
,,,90.64926713,0,6.836868439,2.513864435,0,500,10,350,10,0,0,405.5,377,7,
,,,90.64926713,0,6.836868439,2.513864435,0,500,10,350,10,0,0,405,377,7,
,,,89.07572437,0,8.441249214,2.483026418,0,500,10,350,10,0,0,381.5,335.3,7,
,,,87.85,0,5.9,6.25,0,0,0,0,0,0,0,242,149,7,
,,,87,8.8,3.1,0.6,0.5,0,0,0,0,0,0,230,170,7,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-14Gd0.5Zr,85.5,14,0,0,0.5,505,24,505,28,200,36,305,446,7,
Cui 等 - 2018 - Effect of Zn addition on microstructure and mechanical properties of Mg–9Gd–3Y–0.5Zr alloy.txt,10.1557/jmr.2017.458,Mg–9Gd–3Y–1.0Zn–0.5Zr,86.5,9,3,1,0.5,0,0,0,0,0,0,157,247,7,27.9 μm
,,,84.50 ,12,3,0,0.5,0,0,0,0,230,12,426.3,456.3,7,
,,,85.50 ,14,0,0,0.5,505,24,505,28,200,36,305,446,7,
,,,86.25 ,9.15,3.09,1.08,0.43,520,10,0,0,0,0,157,247,7,
Liu 等 - 2016 - Effects of extrusion speed on the microstructure and mechanical properties of Mg9Gd3Y1.5Zn0.8Zr allo.txt,10.1016/j.jmst.2015.12.004,Mg-9Gd-3Y-1.5Zn-0.8Zr,85.7,9,3,1.5,0.8,530,5,350,15,0,0,333,392,6.9,
,,,97.66 ,0.96,0.97,0.41,0,500,24,430,11,0,0,281,379,6.9,
,,,85.90 ,6,5,2.5,0.6,0,0,0,0,0,0,223,230,6.9,
,,,91.50 ,3,4,1,0.5,520,12,0,0,0,0,109,201,6.9,
,,,87.50 ,9,2,1,0.5,0,0,0,0,0,0,122,168,6.9,
,,,87.40 ,6,4,2,0.6,0,0,0,0,0,0,197,212,6.8,
,,,87.00 ,8,4,1,0,0,0,0,0,0,0,164,198,6.8,
,,,88.90 ,6,3,1.5,0.6,0,0,0,0,0,0,192,200,6.7,
,,,90.40 ,6,2,1,0.6,0,0,0,0,0,0,179,192,6.7,
,,,87.50 ,9,2,1,0.5,480,16,0,0,0,0,120,160,6.7,
,,,95.33,4.67,0,0,0,0,0,0,0,0,0,128.468,54.752,6.62,
,,,86.20037978,0,8.933357352,4.866262867,0,400,10,0,0,0,0,220,110,6.5,
,,,97.01 ,1,1.02,0.97,0,500,24,430,11,0,0,262,360,6.5,
,,,92.50 ,3,4,0,0.5,0,0,0,0,0,0,114,189,6.5,
,,,91.50 ,3,4,1,0.5,520,12,0,0,0,0,102,183,6.41,
,,,98.13,1.87,0,0,0,0,0,0,0,0,0,103.73,37.992,6.362,
,,,84.6,12,3,0,0.4,0,0,400,15,0,0,282.5,187.3,6.3,
,,,92.50 ,3,4,0,0.5,480,12,0,0,0,0,116,203,6.3,
,,,88.50 ,9,1,1,0.5,480,16,0,0,200,24,147,182,6.3,
,,,91.4,8,0,0,0.6,0,0,0,0,0,0,141,82,6.2,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-7Y-4Gd-1.5Zn-0.4Zr,87.1,4,7,1.5,0.4,500,10,410,17,220,122,320,418,6.2,
2023 - Research advances of magnesium and magnesium alloys worldwide in 2022.txt,10.1016/j.jma.2021.04.001,Mg-6Gd-3Y-0.5Zr,90.5,6,3,0,0.5,0,0,0,0,0,0,251,340,6.2,Not specified
,,,86.41850009,0,9.930230295,3.651269611,0,500,12,450,9,225,24,358,226,6.1,
,,,90.11,0,6.06,3.83,0,0,0,0,0,0,0,210,127,6.1,
,,,95.8,0,0.6,3,0.6,0,0,0,0,0,0,201.6,120.4,6.04,
,,,91.84177647,0,6.891286722,1.266936812,0,500,10,350,10,0,0,350,320,6,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-6.8Y-2.5Zn,90.7,0,6.8,2.5,0,500,10,350,10,0,0,350,410,6,
2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.047,Mg–10Gd–3Y–0.5Zr-1Zn,85.5,10,3,1,0.5,480,6,400,8,225,48,285,406,6,
Cui 等 - 2018 - Effect of Zn addition on microstructure and mechanical properties of Mg–9Gd–3Y–0.5Zr alloy.txt,10.1557/jmr.2017.458,Mg–9Gd–3Y–0.2Zn–0.5Zr,87.3,9,3,0.2,0.5,0,0,0,0,0,0,155,236,6,28.7 μm
,,,87.00 ,8,4,1,0,520,14,430,21.8,200,35,395,461,6,
,,,90.70 ,0,6.8,2.5,0,500,10,350,10,0,0,350,410,6,
,,,86.68 ,9.41,3.12,0.32,0.47,500,6,0,0,0,0,155,236,6,
,,,90.46 ,5.3,4.11,0,0.13,0,0,430,25,200,72,292.1,392.5,5.92,
Han 等 - 2011 - Effect of precipitates on microstructures and properties of forged Mg–10Gd–2Y–0.5Zn–0.3Zr alloy duri.txt,10.1016/j.jallcom.2011.06.086,Mg–10Gd–2Y–0.5Zn–0.3Zr,87.2,10,2,0.5,0.3,0,0,0,0,0,0,273,406,5.9,11 µm
,,,91.79,1.81,0,5.87,0.53,0,0,340,18,0,0,391,368,5.8,
Liu 等 - 2010 - Effect of ageing treatment on the microstructures and mechanical properties of the extruded Mg–7Y–4G.txt,10.1016/j.msea.2009.10.031,Mg–7Y–4Gd–1.5Zn–0.4Zr,87.1,4,7,1.5,0.4,500,10,410,16,235,60,303,396,5.8,
,,,85.36 ,10.1,4.54,0,0,520,12,450,10,0,0,232,322,5.8,
,,,91.50 ,3,4,1,0.5,480,10,0,0,225,28,206,299,5.8,
,,,83.80 ,9.5,4,2.2,0.5,0,0,520,24,0,0,137,247,5.8,
,,,84.50 ,12,3,0,0.5,525,8,0,0,0,0,197.7,234.8,5.8,
,,,83.86 ,10.8,3.74,1.12,0.48,510,8,400,10,0,0,410,516,5.7,
,,,85.24 ,9.85,2.94,1.57,0.4,0,0,0,0,0,0,151,209,5.7,
Zhen 等 - 2013 - Effect of heat treatment on the microstructures and mechanical properties of the extruded Mg–11Gd–1Z.txt,10.1016/j.jallcom.2012.08.044,Mg–11Gd–1Zn,88,11,0,1,0,0,0,430,0,225,14,203,384,5.6,
,,,91.50 ,3,4,1,0.5,520,12,0,0,0,0,123,215,5.6,
,,,92.50 ,3,4,0,0.5,520,12,0,0,0,0,110,188,5.6,
,,,86.6,8.2,3.8,1,0.4,520,12,0,0,0,0,206,130,5.5,
,,,91,0,3,6,0,0,0,0,0,0,0,186.8,119.5,5.5,
,,,82.80 ,10,5,1.8,0.4,520,12,370,37,200,72,368,444,5.5,
,,,86.00 ,10.5,2,1,0.5,480,16,0,0,0,0,138,171,5.5,
,,,84.50 ,12,3,0,0.5,0,0,0,0,230,4,420.9,432.9,5.4,
,,,85.50 ,11,2,1,0.5,480,16,0,0,0,0,154,192,5.4,
,,,96.44,0,0.88,2.68,0,400,24,400,14,0,0,291.6,247.8,5.38,
,,,91.79,1.81,0,5.87,0.53,0,0,360,18,200,72,375,251,5.3,
,,,83.50 ,14,0,2,0.5,520,12,0,0,200,64,292,404,5.3,
,,,91.50 ,3,4,1,0.5,480,12,0,0,0,0,135,228,5.3,
,,,91.79,1.81,0,5.87,0.53,0,0,290,18,0,0,401,372,5.2,
Ding 等 - 2018 - Microstructure evolution and mechanical properties of Mg–10Gd–3Y–x Zn–0.6Zr alloys.txt,10.1557/jmr.2018.100,Mg–10Gd–3Y–1.5Zn–0.6Zr,84.9,10,3,1.5,0.6,0,0,0,0,0,0,141,223,5.2,34.6±1.1 µm
Ding 等 - 2018 - Microstructure evolution and mechanical properties of Mg–10Gd–3Y–x Zn–0.6Zr alloys.txt,10.1557/jmr.2018.100,Mg–10Gd–3Y–1.0Zn–0.6Zr,85.4,10,3,1,0.6,0,0,0,0,0,0,141,223,5.2,37.2±0.8 µm
Li 等 - 2013 - Enhanced strength and ductility of Mg–Gd–Y–Zr alloys by secondary extrusion.txt,10.1016/j.jma.2013.02.006,Mg-12Gd-3Y-0.6Zr,84.4,12,3,0,0.6,0,0,0,0,0,0,182,214,5.2,60 µm
,,,86.60 ,8,4,1,0.4,520,12,380,17,0,0,329,414,5.2,
,,,86.60 ,7,5,0.6,0.8,520,10,0,0,210,40,187.1,309.9,5.2,
,,,85.78 ,10.1,2.98,0.53,0.61,0,0,0,0,0,0,141,223,5.2,
,,,92.50 ,3,4,0,0.5,500,12,0,0,0,0,116,185,5.2,
,,,91.50 ,3,4,1,0.5,0,0,0,0,0,0,138,223,5.1,
,,,88.31987116,0,6.730570128,4.949558713,0,500,10,350,10,0,0,423,389,5,
Zheng 等 - 2011 - Microstructures and mechanical properties of Mg–10Gd–6Y–2Zn–0.6Zr(wt.%) alloy.txt,10.1016/j.jallcom.2011.06.090,Mg–10Gd–6Y–2Zn–0.6Zr,81.4,10,6,2,0.6,520,16,480,20,200,56,360,432,5,4.7 µm
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-10Gd-6Y-2Zn-0.6Zr,81.4,10,6,2,0.6,520,16,480,16,200,56,360,432,5,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-5.7Y-4.2Zn,90.1,0,5.7,4.2,0,500,10,350,10,0,0,390,420,5,
Liu 等 - 2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.042,Mg–10Gd–3Y–0.5Zr,86.5,10,3,0,0.5,480,6,400,8,200,40,311,397,5,
Zhang 等 - 2015 - Effects of phase composition and content on the microstructures and mechanical properties of high st.txt,10.1016/j.matdes.2015.09.087,Mg–12Y–3Zn–0.6Zr,84.4,0,12,3,0.6,510,16,400,15,0,0,310,380,5,"fine DRXed grains ~2–3 µm, coarse grains 7–10 µm"
,,,86.50 ,8,4,1,0.5,520,14,430,21.8,200,35,380,435,5,
,,,81.40 ,10,6,2,0.6,520,16,480,16,200,56,360,432,5,
,,,86.25 ,9.02,2.83,1.4,0.5,430,12,350,12,225,24,283,392,5,
,,,86.50 ,8,4,1,0.5,0,0,0,0,0,0,196,225,5,
,,,91.50 ,3,4,1,0.5,500,12,0,0,0,0,129,220,5,
,,,87.00 ,8,4,1,0,0,0,0,0,0,0,179,196,5,
,,,92.42,0,1.65,5.26,0.67,0,0,305,32,200,24,396,391,4.9,
Zhang 等 - 2013 - Study of Mg–Gd–Zn–Zr alloys with long period stacking ordered structures.txt,10.1016/j.msea.2013.07.049,Mg-3Gd-1Zn-0.2Zr,95.8,3,0,1,0.2,0,0,0,0,0,0,152,223,4.9,24 μm
,,,84.77 ,10.06,2.98,1.58,0.61,0,0,0,0,0,0,137,218,4.9,
Park 等 - 2014 - Effects of extrusion parameters on the microstructure and mechanical properties of Mg–Zn–(Mn)–CeGd.txt,10.1016/j.msea.2014.01.074,Mg–2Zn–1.5Gd,96.5,1.5,0,2,0,520,12,0,7.35,0,0,256,282,4.8,3.3 µm
,,,96.47 ,0.94,1.05,1.54,0,500,24,430,11,0,0,229,336,4.8,
,,,84.50 ,12,3,0,0.5,500,8,0,0,225,10,245.7,278.4,4.8,
,,,84.50 ,12,3,0,0.5,525,8,0,0,225,10,243.7,256.7,4.8,
,,,88.50 ,9,1,1,0.5,480,16,0,0,0,0,109,138,4.8,
,,,89.99,0,6.93,3.08,0,0,0,0,0,0,0,168,104,4.7,
Zhang 等 - 2013 - Study of Mg–Gd–Zn–Zr alloys with long period stacking ordered structures.txt,10.1016/j.msea.2013.07.049,Mg-3Gd-1Zn-0.1Zr,95.9,3,0,1,0.1,0,0,0,0,0,0,144,190,4.7,"close to spherical, smaller than Zr-free"
Zhang 等 - 2013 - Study of Mg–Gd–Zn–Zr alloys with long period stacking ordered structures.txt,10.1016/j.msea.2013.07.049,Mg-3Gd-1Zn-0.4Zr,95.6,3,0,1,0.4,0,0,0,0,0,0,134,188,4.7,20 μm
,,,87.10 ,8.1,4.5,0,0.3,0,0,400,25,200,62,322,459,4.7,
,,,87.60 ,10,2,0,0.4,490,8,0,0,225,16,239,362,4.7,
,,,84.50 ,12,3,0,0.5,0,0,0,0,0,0,220,246.4,4.6,
,,,88.50 ,9,1,1,0.5,460,12,0,0,0,0,109,139,4.6,
,,,90.64926643,0,6.836869155,2.513864416,0,0,0,350,10,0,0,376.9,324.6,4.5,
Zhang 等 - 2013 - Study of Mg–Gd–Zn–Zr alloys with long period stacking ordered structures.txt,10.1016/j.msea.2013.07.049,Mg-3Gd-1Zn,96,3,0,1,0,0,0,0,0,0,0,108,174,4.5,coarse dendrite (not specified in μm)
Zhang 等 - 2013 - Study of Mg–Gd–Zn–Zr alloys with long period stacking ordered structures.txt,10.1016/j.msea.2013.07.049,Mg-3Gd-1Zn,96,3,0,1,0,0,0,0,0,0,0,108,174,4.5,coarse dendrite (not quantified)
,,,86.50 ,9,4,0,0.5,525,6,0,0,225,24,277,370,4.5,
,,,86.50 ,8,4,1,0.5,520,14,0,0,0,0,186,220,4.5,
,,,87.00 ,8,4,1,0,520,14,0,0,0,0,182,207,4.5,
,,,86.6,10,3,0,0.4,0,0,0,0,0,0,230,151,4.4,
"2016 - Effect of Al addition on microstructure, texture and mechanical properties of Mg-5Gd-2.5Y-2Zn alloy.txt",10.1016/j.jallcom.2016.06.031,Mg-5Gd-2.5Y-2Zn,90.5,5,2.5,2,0,0,0,0,0,0,0,258,297,4.4,~7 µm (as-rolled)
,,,84.50 ,12,3,0,0.5,0,0,0,0,230,16,438.9,477.2,4.4,
,,,84.50 ,12,3,0,0.5,475,8,0,0,225,10,296.6,320.9,4.4,
,,,86.60 ,10,3,0,0.4,0,0,0,0,0,0,151,230,4.4,
,,,92.42,0,1.65,5.26,0.67,0,0,320,18,180,25.5,380,371,4.3,
,,,99.1,0,0.4,0,0.5,0,0,0,0,0,0,119.3,20.9,4.3,
,,,86.60 ,10,3,0,0.4,500,8,0,0,225,16,241,370,4.3,
,,,92.42,0,1.65,5.26,0.67,0,0,305,32,200,38,397,395,4.2,
Liu 等 - 2010 - Effect of ageing treatment on the microstructures and mechanical properties of the extruded Mg–7Y–4G.txt,10.1016/j.msea.2009.10.031,Mg–7Y–4Gd–1.5Zn–0.4Zr,87.1,4,7,1.5,0.4,500,10,0,0,0,0,110,159,4.2,
,,,91.50 ,3,4,1,0.5,480,10,0,0,200,34,215,304,4.2,
,,,85.33 ,10.05,3.05,0.98,0.59,0,0,0,0,0,0,138,220,4.2,
,,,85.54 ,9.53,3.24,1.69,0,0,0,0,0,0,0,131,193,4.2,
,,,88.50 ,9,1,1,0.5,0,0,0,0,0,0,121,155,4.2,
,,,91.79,1.81,0,5.87,0.53,0,0,320,18,0,0,405,375,4.1,
,,,82.60 ,11,4.5,1.5,0.4,535,24,410,13,200,72,373,473,4.1,
,,,86.60 ,10,3,0,0.4,500,8,0,0,225,16,241,370,4.1,
,,,87.18212639,0,6.67865094,6.139222666,0,500,10,350,10,0,0,415,385,4,
,,,92.78,0,1.4,5.15,0.67,0,0,0,0,0,0,220,140,4,
,,,86.20037978,0,8.933357352,4.866262867,0,440,14,0,0,0,0,195,105,4,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-15Gd-1Zn-0.4Zr,83.6,15,0,1,0.4,520,12,490,9,200,32,465,524,4,
Zhang 等 - 2015 - Effects of phase composition and content on the microstructures and mechanical properties of high st.txt,10.1016/j.matdes.2015.09.087,Mg–12Y–5Zn–0.6Zr,82.4,0,12,5,0.6,510,16,400,15,0,0,351,429,4,fine DRXed grains <5 µm
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-10Gd-3Y-1.0Zn-0.5Zr,85.5,10,3,1,0.5,480,6,400,8,200,96,339,428,4,
2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.047,Mg–10Gd–3Y–0.5Zr-1Zn,85.5,10,3,1,0.5,480,6,400,8,200,48,339,428,4,
Liu 等 - 2010 - Effect of ageing treatment on the microstructures and mechanical properties of the extruded Mg–7Y–4G.txt,10.1016/j.msea.2009.10.031,Mg–7Y–4Gd–1.5Zn–0.4Zr,87.1,4,7,1.5,0.4,500,10,410,16,250,35,298,367,4,
Liu 等 - 2010 - Effect of ageing treatment on the microstructures and mechanical properties of the extruded Mg–7Y–4G.txt,10.1016/j.msea.2009.10.031,Mg–7Y–4Gd–1.5Zn–0.4Zr,87.1,4,7,1.5,0.4,500,10,410,16,220,122,298,367,4,
,,,86.60 ,8,4,1,0.4,520,12,380,17,200,72,415,502,4,
,,,85.50 ,10,3,1,0.5,480,6,400,8,200,96,339,428,4,
,,,82.80 ,11,4,1.7,0.5,500,10,0,0,225,10,231,361,4,
,,,83.24 ,11.09,5.67,0,0,520,12,450,10,0,0,275,348,4,
,,,89.50 ,6,4,0,0.5,500,6,0,0,225,16,223,310,4,
,,,85.50 ,11,2,1,0.5,0,0,0,0,0,0,164,196,4,
,,,90.01,0,1.91,8.08,0,0,0,0,0,0,0,189,109,3.9,
,,,86.50 ,11,1,1,0.5,0,0,0,0,0,0,173,195,3.9,
Cui 等 - 2018 - Effect of Zn addition on microstructure and mechanical properties of Mg–9Gd–3Y–0.5Zr alloy.txt,10.1557/jmr.2017.458,Mg–9Gd–3Y–0.5Zr,87.5,9,3,0,0.5,0,0,0,0,0,0,160,229,3.8,29.5 µm
,,,86.78 ,9.38,3.39,0,0.45,500,6,0,0,0,0,160,229,3.8,
,,,86.50 ,11,1,1,0.5,460,12,0,0,0,0,167,192,3.8,
,,,82.29,11.49,4.31,1.53,0.38,520,48,450,20,200,48,480,425,3.7,
,,,82.44770743,0,12.83350945,4.718783117,0,0,0,0,0,0,0,236.2,153.6,3.7,
2018 - Microstructure evolution and mechanical properties of as-extruded Mg-Gd-Y-Zr alloy with Zn and Nd ad.txt,10.1016/j.msea.2017.12.070,Mg-11.5Gd-4.5Y-1.5Zn-0.3Zr,82.2,11.5,4.5,1.5,0.3,520,48,450,20,200,48,425,480,3.7,
,,,82.29 ,11.49,4.31,1.53,0.38,520,48,450,20,200,48,425,480,3.7,
,,,86.00 ,11,2,0,1,525,4,0,0,250,2,224,353,3.7,
,,,91.79,1.81,0,5.87,0.53,0,0,305,18,200,48,404,381,3.6,
,,,92.42,0,1.65,5.26,0.67,0,0,320,18,200,38,383,376,3.6,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-10Gd-6Y-1.6Zn-0.6Zr,81.8,10,6,1.6,0.6,525,10,400,10,0,0,419,461,3.6,
,,,91.7,0,1.5,6,0.8,0,0,0,0,0,0,164.63,105.58,3.49,
,,,92.42,0,1.65,5.26,0.67,0,0,320,18,200,24,397,376,3.4,
,,,83.80 ,9.5,4,2.2,0.5,0,0,0,0,0,0,122,202,3.4,
,,,87.50 ,10,1,1,0.5,0,0,0,0,0,0,126,156,3.4,
,,,86.22 ,10.68,2.12,0.98,0,0,0,0,0,0,0,84.2,181.4,3.3,
,,,91.79,1.81,0,5.87,0.53,0,0,360,18,200,38,371,342,3.2,
,,,86.5,10,3,0,0.5,0,0,0,0,0,0,187,178,3.2,
Ding 等 - 2018 - Microstructure evolution and mechanical properties of Mg–10Gd–3Y–x Zn–0.6Zr alloys.txt,10.1557/jmr.2018.100,Mg–10Gd–3Y–0.5Zn–0.6Zr,85.9,10,3,0.5,0.6,0,0,0,0,0,0,141,223,3.2,39.5±1.3 µm
,,,87.00 ,10.5,1,1,0.5,480,16,0,0,200,24,243,292,3.2,
,,,86.50 ,10,2,1,0.5,480,16,0,0,200,24,251,292,3.2,
,,,86.41850009,0,9.930230295,3.651269611,0,500,12,450,9,0,0,367,231,3,
Yu 等 - 2017 - Microstructure evolution and mechanical properties of a high strength Mg-11.7Gd-4.9Y-0.3Zr (wt%) all.txt,10.1016/j.msea.2017.06.096,Mg-11.7Gd-4.9Y-0.3Zr,83.1,11.7,4.9,0,0.3,520,48,420,0,200,36,446,490,3,1.8 ± 0.6 µm
Liu 等 - 2008 - Effects of ageing treatment on microstructures and properties of Mg–Gd–Y–Zr alloys with and without.txt,10.1016/j.jallcom.2007.10.042,Mg–10Gd–3Y–0.5Zr,86.5,10,3,0,0.5,0,0,0,0,0,0,348,237,3,
Zhen 等 - 2013 - Effect of heat treatment on the microstructures and mechanical properties of the extruded Mg–11Gd–1Z.txt,10.1016/j.jallcom.2012.08.044,Mg–11Gd–1Zn,88,11,0,1,0,0,0,0,0,0,0,159,196,3,
,,,85.50 ,10,4,0,0.5,500,6,0,0,225,80,246,375,3,
,,,96.65 ,1.4,1.2,0.6,0.15,0,0,0,0,0,0,151,194,3,
,,,87.50 ,10,1,1,0.5,480,16,0,0,0,0,122,139,3,
,,,92.42,0,1.65,5.26,0.67,0,0,305,32,180,25.5,396,395,2.8,
,,,91.79,1.81,0,5.87,0.53,0,0,305,18,0,0,392,361,2.8,
,,,82.44770743,0,12.83350945,4.718783117,0,500,12,450,9,0,0,390,246,2.8,
,,,80.70 ,14,3,1.8,0.5,520,10,0,0,225,16,230,366,2.8,
,,,85.50 ,11,2,1,0.5,480,16,0,0,200,24,222,266,2.8,
