产品名称,给药途径,剂型,年份,厂家,规格,终端类型,销售额
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,佛山手心制药,20mg,县级公立,68698
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,哈尔滨松鹤制药,20mg,县级公立,891
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,四川科伦药业,20mg,县级公立,3345994
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,山东方明药业集团,20mg,县级公立,2577193
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,山东益健药业,20mg,县级公立,133329
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,山东罗欣药业集团,20mg,县级公立,10191392
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,山西津华晖星制药,20mg,县级公立,189315
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,常州四药制药,20mg,县级公立,69958243
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,广东逸舒制药,20mg,县级公立,512892
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,康普药业,20mg,县级公立,9896
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,悦康药业集团,20mg,县级公立,4593852
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,成都天台山制药,20mg,县级公立,4307902
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,扬子江药业集团,20mg,县级公立,2367842
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,桂林华信制药,20mg,县级公立,1114391
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,永信药品,20mg,县级公立,516
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,汕头鮀滨制药,20mg,县级公立,196249
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,江苏长江药业,20mg,县级公立,732121
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,江苏鹏鹞药业,20mg,县级公立,60345
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,河北山姆士药业,20mg,县级公立,749155
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,浙江亚太药业,20mg,县级公立,17079837
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,浙江京新药业,20mg,县级公立,58649
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,浙江医药新昌制药,20mg,县级公立,3442493
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,海南海力制药,20mg,县级公立,4834
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,海南海灵化学制药,20mg,县级公立,6577193
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,海南海神同洲制药,20mg,县级公立,10039
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,海南葫芦娃药业集团,20mg,县级公立,1635622
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,海口奇力制药,20mg,县级公立,691543
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,湖南迪诺制药,20mg,县级公立,10989
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,珠海润都制药,20mg,县级公立,773106
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,石药欧意药业,20mg,县级公立,749618
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,苏州二叶制药,20mg,县级公立,1665697
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,蚌埠丰原涂山制药,20mg,县级公立,29006
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,辅仁药业集团,20mg,县级公立,909620
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,金华康恩贝生物制药,20mg,县级公立,175510740
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,锦州九泰药业,20mg,县级公立,151684
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,香港正美药品,20mg,县级公立,67755
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2020,鲁南贝特制药,20mg,县级公立,34569
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,一力制药(罗定),20mg,县级公立,4725
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,万邦德制药集团,20mg,县级公立,262789
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,上海信谊万象药业,20mg,县级公立,6853
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,上海美优制药,20mg,县级公立,286463
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,东北制药沈阳第一制药,20mg,县级公立,95774
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,四川科伦药业,20mg,县级公立,282751
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,山东方明药业集团,20mg,县级公立,1941425
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,山东益健药业,20mg,县级公立,230724
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,山东罗欣药业集团,20mg,县级公立,20263483
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,常州四药制药,20mg,县级公立,21831688
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,广东逸舒制药,20mg,县级公立,40002
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,悦康药业集团,20mg,县级公立,339613
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,成都天台山制药,20mg,县级公立,6078232
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,扬子江药业集团,20mg,县级公立,2587939
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,桂林华信制药,20mg,县级公立,596409
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,永信药品,20mg,县级公立,568
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,汕头鮀滨制药,20mg,县级公立,492476
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,江苏长江药业,20mg,县级公立,119370
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,河北山姆士药业,20mg,县级公立,582709
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,浙江亚太药业,20mg,县级公立,831544
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,浙江京新药业,20mg,县级公立,17484
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,浙江医药新昌制药,20mg,县级公立,1435892
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,海南海灵化学制药,20mg,县级公立,33254647
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,海口奇力制药,20mg,县级公立,66597
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,烟台鲁银药业,20mg,县级公立,121607
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,珠海润都制药,20mg,县级公立,554759
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,石药欧意药业,20mg,县级公立,4
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,苏州二叶制药,20mg,县级公立,230829
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,辅仁药业集团,20mg,县级公立,99304
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,金华康恩贝生物制药,20mg,县级公立,122872799
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,锦州九泰药业,20mg,县级公立,97552
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2021,香港正美药品,20mg,县级公立,74530
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,万邦德制药集团,20mg,县级公立,320000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,东北制药沈阳第一制药,20mg,县级公立,40000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,山东方明药业集团,20mg,县级公立,170000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,山东益健药业,20mg,县级公立,370000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,山东罗欣药业集团,20mg,县级公立,21370000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,常州四药制药,20mg,县级公立,7510000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,广东彼迪药业,20mg,县级公立,100000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,悦康药业集团,20mg,县级公立,30000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,成都天台山制药,20mg,县级公立,60000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,扬子江药业集团,20mg,县级公立,1490000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,江苏飞马药业,20mg,县级公立,150000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,浙江医药新昌制药,20mg,县级公立,120000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,海南海灵化学制药,20mg,县级公立,17350000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,海口奇力制药,20mg,县级公立,40000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,烟台鲁银药业,20mg,县级公立,910000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,金华康恩贝生物制药,20mg,县级公立,111000000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2022,香港正美药品,20mg,县级公立,30000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,万邦德制药集团,20mg,县级公立,370000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,山东方明药业集团,20mg,县级公立,60000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,山东益健药业,20mg,县级公立,330000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,山东罗欣药业集团,20mg,县级公立,24670000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,常州四药制药,20mg,县级公立,3690000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,广东逸舒制药,20mg,县级公立,10000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,悦康药业集团,20mg,县级公立,5040000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,成都天台山制药,20mg,县级公立,210000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,扬子江药业集团,20mg,县级公立,1140000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,桂林华信制药,20mg,县级公立,320000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,江苏飞马药业,20mg,县级公立,170000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,浙江亚太药业,20mg,县级公立,120000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,浙江医药新昌制药,20mg,县级公立,50000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,海南三叶制药,20mg,县级公立,20000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,海南海灵化学制药,20mg,县级公立,17710000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,海口奇力制药,20mg,县级公立,10000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,烟台鲁银药业,20mg,县级公立,1300000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2023,金华康恩贝生物制药,20mg,县级公立,112310000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,万邦德制药集团,20mg,县级公立,100000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,山东方明药业集团,20mg,县级公立,90000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,山东益健药业,20mg,县级公立,840000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,山东罗欣药业集团,20mg,县级公立,25510000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,常州四药制药,20mg,县级公立,2190000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,悦康药业集团,20mg,县级公立,5800000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,成都天台山制药,20mg,县级公立,210000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,扬子江药业集团,20mg,县级公立,720000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,桂林华信制药,20mg,县级公立,730000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,江苏飞马药业,20mg,县级公立,30000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,浙江亚太药业,20mg,县级公立,270000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,浙江医药新昌制药,20mg,县级公立,30000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,海南三叶制药,20mg,县级公立,30000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,海南海灵化学制药,20mg,县级公立,35080000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,烟台鲁银药业,20mg,县级公立,2390000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2024,金华康恩贝生物制药,20mg,县级公立,68350000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,万邦德制药集团,20mg,县级公立,40000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,山东方明药业集团,20mg,县级公立,40000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,山东益健药业,20mg,县级公立,310000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,山东罗欣药业集团,20mg,县级公立,15530000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,常州四药制药,20mg,县级公立,1670000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,悦康药业集团,20mg,县级公立,2670000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,成都天台山制药,20mg,县级公立,110000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,扬子江药业集团,20mg,县级公立,270000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,桂林华信制药,20mg,县级公立,430000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,江苏飞马药业,20mg,县级公立,20000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,浙江亚太药业,20mg,县级公立,110000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,浙江医药新昌制药,20mg,县级公立,20000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,海南三叶制药,20mg,县级公立,20000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,海南海灵化学制药,20mg,县级公立,13910000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,烟台鲁银药业,20mg,县级公立,1150000
奥美拉唑肠溶胶囊,口服,肠溶胶囊,2025 H1,金华康恩贝生物制药,20mg,县级公立,39840000
奥美拉唑钠肠溶片,口服,肠溶片,2017,北京康蒂尼药业,20mg,县级公立,1919601
奥美拉唑钠肠溶片,口服,肠溶片,2017,苏州中化药品,20mg,县级公立,5638440
奥美拉唑钠肠溶片,口服,肠溶片,2018,北京康蒂尼药业,20mg,县级公立,1703524
奥美拉唑钠肠溶片,口服,肠溶片,2018,苏州中化药品,20mg,县级公立,2988684
奥美拉唑钠肠溶片,口服,肠溶片,2019,北京康蒂尼药业,20mg,县级公立,1363598
奥美拉唑钠肠溶片,口服,肠溶片,2019,苏州中化药品,20mg,县级公立,1924970
奥美拉唑钠肠溶片,口服,肠溶片,2020,苏州中化药品,20mg,县级公立,2428253
奥美拉唑钠肠溶片,口服,肠溶片,2021,苏州中化药品,20mg,县级公立,725345
奥美拉唑钠肠溶片,口服,肠溶片,2022,苏州中化药品,20mg,县级公立,100000
奥美拉唑镁肠溶片,口服,肠溶片,2017,许昌高新制药,20mg,县级公立,6113590
奥美拉唑镁肠溶片,口服,肠溶片,2017,阿斯利康,20mg,县级公立,57374366
奥美拉唑镁肠溶片,口服,肠溶片,2018,许昌高新制药,20mg,县级公立,8454013
奥美拉唑镁肠溶片,口服,肠溶片,2018,阿斯利康,20mg,县级公立,60654810
奥美拉唑镁肠溶片,口服,肠溶片,2019,许昌高新制药,20mg,县级公立,10160028
奥美拉唑镁肠溶片,口服,肠溶片,2019,阿斯利康,20mg,县级公立,55321276
奥美拉唑镁肠溶片,口服,肠溶片,2020,许昌高新制药,20mg,县级公立,8621853
奥美拉唑镁肠溶片,口服,肠溶片,2020,阿斯利康,20mg,县级公立,55900531
奥美拉唑镁肠溶片,口服,肠溶片,2021,许昌高新制药,20mg,县级公立,4314249
奥美拉唑镁肠溶片,口服,肠溶片,2021,阿斯利康,20mg,县级公立,28453812
奥美拉唑镁肠溶片,口服,肠溶片,2022,许昌高新制药,20mg,县级公立,6070000
奥美拉唑镁肠溶片,口服,肠溶片,2022,阿斯利康,20mg,县级公立,22320000
奥美拉唑镁肠溶片,口服,肠溶片,2023,许昌高新制药,20mg,县级公立,4450000
奥美拉唑镁肠溶片,口服,肠溶片,2023,阿斯利康,20mg,县级公立,15600000
奥美拉唑镁肠溶片,口服,肠溶片,2024,修正药业天汉药业,20mg,县级公立,4400000
奥美拉唑镁肠溶片,口服,肠溶片,2024,阿斯利康,20mg,县级公立,2670000
奥美拉唑镁肠溶片,口服,肠溶片,2025 H1,修正药业天汉药业,20mg,县级公立,2130000
奥美拉唑镁肠溶片,口服,肠溶片,2025 H1,阿斯利康,20mg,县级公立,850000
注射用右兰索拉唑,注射,粉针,2024,南京博德生物制药,20mg,县级公立,190000
注射用右兰索拉唑,注射,粉针,2025 H1,南京博德生物制药,20mg,县级公立,90000
注射用奥美拉唑钠,注射,粉针,2017,山东北大高科华泰制药,20mg,县级公立,11999325
注射用奥美拉唑钠,注射,粉针,2017,山东罗欣药业集团,20mg,县级公立,150798302
注射用奥美拉唑钠,注射,粉针,2017,广东众生药业,20mg,县级公立,8850091
注射用奥美拉唑钠,注射,粉针,2017,广州一品红制药,20mg,县级公立,101757
注射用奥美拉唑钠,注射,粉针,2017,朗天药业(湖北),20mg,县级公立,3682087
注射用奥美拉唑钠,注射,粉针,2017,江苏奥赛康药业,20mg,县级公立,289818173
注射用奥美拉唑钠,注射,粉针,2017,海南灵康制药,20mg,县级公立,166292532
注射用奥美拉唑钠,注射,粉针,2017,青海晨菲制药,20mg,县级公立,3363329
注射用奥美拉唑钠,注射,粉针,2018,山东北大高科华泰制药,20mg,县级公立,15001484
注射用奥美拉唑钠,注射,粉针,2018,山东罗欣药业集团,20mg,县级公立,110700429
注射用奥美拉唑钠,注射,粉针,2018,广东众生药业,20mg,县级公立,10993427
注射用奥美拉唑钠,注射,粉针,2018,广州一品红制药,20mg,县级公立,2956
注射用奥美拉唑钠,注射,粉针,2018,朗天药业(湖北),20mg,县级公立,8908044
注射用奥美拉唑钠,注射,粉针,2018,江苏奥赛康药业,20mg,县级公立,260619164
注射用奥美拉唑钠,注射,粉针,2018,海南灵康制药,20mg,县级公立,181754761
注射用奥美拉唑钠,注射,粉针,2018,青海晨菲制药,20mg,县级公立,4361441
注射用奥美拉唑钠,注射,粉针,2019,山东北大高科华泰制药,20mg,县级公立,10215548
注射用奥美拉唑钠,注射,粉针,2019,山东罗欣药业集团,20mg,县级公立,99783460
注射用奥美拉唑钠,注射,粉针,2019,广东众生药业,20mg,县级公立,9853563
注射用奥美拉唑钠,注射,粉针,2019,晋城海斯制药,20mg,县级公立,9463369
注射用奥美拉唑钠,注射,粉针,2019,朗天药业(湖北),20mg,县级公立,10479573
注射用奥美拉唑钠,注射,粉针,2019,江苏奥赛康药业,20mg,县级公立,282530275
注射用奥美拉唑钠,注射,粉针,2019,海南灵康制药,20mg,县级公立,162603722
注射用奥美拉唑钠,注射,粉针,2019,青海晨菲制药,20mg,县级公立,8536444
注射用奥美拉唑钠,注射,粉针,2020,山东北大高科华泰制药,20mg,县级公立,5712333
注射用奥美拉唑钠,注射,粉针,2020,山东罗欣药业集团,20mg,县级公立,14903195
注射用奥美拉唑钠,注射,粉针,2020,广东众生药业,20mg,县级公立,5872918
注射用奥美拉唑钠,注射,粉针,2020,广州一品红制药,20mg,县级公立,878368
注射用奥美拉唑钠,注射,粉针,2020,晋城海斯制药,20mg,县级公立,7664492
注射用奥美拉唑钠,注射,粉针,2020,朗天药业(湖北),20mg,县级公立,3440657
注射用奥美拉唑钠,注射,粉针,2020,江苏奥赛康药业,20mg,县级公立,183912195
注射用奥美拉唑钠,注射,粉针,2020,海南灵康制药,20mg,县级公立,134212771
注射用奥美拉唑钠,注射,粉针,2020,青海晨菲制药,20mg,县级公立,3388923
注射用奥美拉唑钠,注射,粉针,2021,山东北大高科华泰制药,20mg,县级公立,2784390
注射用奥美拉唑钠,注射,粉针,2021,山东罗欣药业集团,20mg,县级公立,9514657
注射用奥美拉唑钠,注射,粉针,2021,广东众生药业,20mg,县级公立,3149800
注射用奥美拉唑钠,注射,粉针,2021,广州一品红制药,20mg,县级公立,828361
注射用奥美拉唑钠,注射,粉针,2021,晋城海斯制药,20mg,县级公立,9481950
注射用奥美拉唑钠,注射,粉针,2021,朗天药业(湖北),20mg,县级公立,491428
注射用奥美拉唑钠,注射,粉针,2021,江苏奥赛康药业,20mg,县级公立,87911558
注射用奥美拉唑钠,注射,粉针,2021,海南灵康制药,20mg,县级公立,74560787
注射用奥美拉唑钠,注射,粉针,2021,青海晨菲制药,20mg,县级公立,1438396
注射用奥美拉唑钠,注射,粉针,2022,山东北大高科华泰制药,20mg,县级公立,1140000
注射用奥美拉唑钠,注射,粉针,2022,山东裕欣药业,20mg,县级公立,25870000
注射用奥美拉唑钠,注射,粉针,2022,广东众生药业,20mg,县级公立,2560000
注射用奥美拉唑钠,注射,粉针,2022,晋城海斯制药,20mg,县级公立,450000
注射用奥美拉唑钠,注射,粉针,2022,朗天药业(湖北),20mg,县级公立,30000
注射用奥美拉唑钠,注射,粉针,2022,江苏奥赛康药业,20mg,县级公立,47800000
注射用奥美拉唑钠,注射,粉针,2022,海南灵康制药,20mg,县级公立,27680000
注射用奥美拉唑钠,注射,粉针,2022,青海晨菲制药,20mg,县级公立,1010000
注射用奥美拉唑钠,注射,粉针,2023,山东北大高科华泰制药,20mg,县级公立,1270000
注射用奥美拉唑钠,注射,粉针,2023,山东裕欣药业,20mg,县级公立,23830000
注射用奥美拉唑钠,注射,粉针,2023,广东众生药业,20mg,县级公立,1220000
注射用奥美拉唑钠,注射,粉针,2023,江苏奥赛康药业,20mg,县级公立,17230000
注射用奥美拉唑钠,注射,粉针,2023,海南灵康制药,20mg,县级公立,14310000
注射用奥美拉唑钠,注射,粉针,2023,青海晨菲制药,20mg,县级公立,330000
注射用奥美拉唑钠,注射,粉针,2024,山东北大高科华泰制药,20mg,县级公立,1500000
注射用奥美拉唑钠,注射,粉针,2024,广东众生药业,20mg,县级公立,1230000
注射用奥美拉唑钠,注射,粉针,2024,广州一品红制药,20mg,县级公立,220000
注射用奥美拉唑钠,注射,粉针,2024,青海晨菲制药,20mg,县级公立,310000
注射用奥美拉唑钠,注射,粉针,2025 H1,山东北大高科华泰制药,20mg,县级公立,590000
注射用奥美拉唑钠,注射,粉针,2025 H1,广东众生药业,20mg,县级公立,620000
注射用奥美拉唑钠,注射,粉针,2025 H1,广州一品红制药,20mg,县级公立,70000
注射用奥美拉唑钠,注射,粉针,2025 H1,青海晨菲制药,20mg,县级公立,210000
注射用艾司奥美拉唑钠,注射,粉针,2017,正大天晴药业集团,20mg,县级公立,25779155
注射用艾司奥美拉唑钠,注射,粉针,2018,朗天药业(湖北),20mg,县级公立,483614
注射用艾司奥美拉唑钠,注射,粉针,2018,正大天晴药业集团,20mg,县级公立,67342463
注射用艾司奥美拉唑钠,注射,粉针,2018,江苏奥赛康药业,20mg,县级公立,4841580
注射用艾司奥美拉唑钠,注射,粉针,2019,朗天药业(湖北),20mg,县级公立,17077189
注射用艾司奥美拉唑钠,注射,粉针,2019,正大天晴药业集团,20mg,县级公立,113680165
注射用艾司奥美拉唑钠,注射,粉针,2019,江苏奥赛康药业,20mg,县级公立,15461027
注射用艾司奥美拉唑钠,注射,粉针,2020,宜昌东阳光长江药业,20mg,县级公立,9422849
注射用艾司奥美拉唑钠,注射,粉针,2020,朗天药业(湖北),20mg,县级公立,28547730
注射用艾司奥美拉唑钠,注射,粉针,2020,正大天晴药业集团,20mg,县级公立,105808492
注射用艾司奥美拉唑钠,注射,粉针,2020,江苏奥赛康药业,20mg,县级公立,35986894
注射用艾司奥美拉唑钠,注射,粉针,2021,宜昌东阳光长江药业,20mg,县级公立,4361909
注射用艾司奥美拉唑钠,注射,粉针,2021,朗天药业(湖北),20mg,县级公立,23623858
注射用艾司奥美拉唑钠,注射,粉针,2021,正大天晴药业集团,20mg,县级公立,76725598
注射用艾司奥美拉唑钠,注射,粉针,2021,江苏奥赛康药业,20mg,县级公立,40698858
注射用艾司奥美拉唑钠,注射,粉针,2021,海南中玉药业,20mg,县级公立,508741
注射用艾司奥美拉唑钠,注射,粉针,2021,辽宁海思科制药,20mg,县级公立,35090
注射用艾司奥美拉唑钠,注射,粉针,2022,宜昌东阳光长江药业,20mg,县级公立,620000
注射用艾司奥美拉唑钠,注射,粉针,2022,朗天药业(湖北),20mg,县级公立,7320000
注射用艾司奥美拉唑钠,注射,粉针,2022,正大天晴药业集团,20mg,县级公立,1850000
注射用艾司奥美拉唑钠,注射,粉针,2022,江苏奥赛康药业,20mg,县级公立,6100000
注射用艾司奥美拉唑钠,注射,粉针,2022,海南中玉药业,20mg,县级公立,2860000
注射用艾司奥美拉唑钠,注射,粉针,2022,辽宁海思科制药,20mg,县级公立,50000
注射用艾司奥美拉唑钠,注射,粉针,2023,朗天药业(湖北),20mg,县级公立,5070000
注射用艾司奥美拉唑钠,注射,粉针,2023,正大天晴药业集团,20mg,县级公立,1320000
注射用艾司奥美拉唑钠,注射,粉针,2023,江苏奥赛康药业,20mg,县级公立,6080000
注射用艾司奥美拉唑钠,注射,粉针,2023,海南中玉药业,20mg,县级公立,3190000
注射用艾司奥美拉唑钠,注射,粉针,2023,辽宁海思科制药,20mg,县级公立,310000
注射用艾司奥美拉唑钠,注射,粉针,2024,朗天药业(湖北),20mg,县级公立,2140000
注射用艾司奥美拉唑钠,注射,粉针,2024,江苏奥赛康药业,20mg,县级公立,6340000
注射用艾司奥美拉唑钠,注射,粉针,2024,海南中玉药业,20mg,县级公立,840000
注射用艾司奥美拉唑钠,注射,粉针,2024,辽宁海思科制药,20mg,县级公立,140000
注射用艾司奥美拉唑钠,注射,粉针,2025 H1,朗天药业(湖北),20mg,县级公立,1030000
注射用艾司奥美拉唑钠,注射,粉针,2025 H1,江苏奥赛康药业,20mg,县级公立,2200000
注射用艾司奥美拉唑钠,注射,粉针,2025 H1,海南中玉药业,20mg,县级公立,590000
注射用艾司奥美拉唑钠,注射,粉针,2025 H1,辽宁海思科制药,20mg,县级公立,40000
注射用雷贝拉唑钠,注射,粉针,2017,南京长澳制药,20mg,县级公立,11267978
注射用雷贝拉唑钠,注射,粉针,2017,山东罗欣药业集团,20mg,县级公立,16235869
注射用雷贝拉唑钠,注射,粉针,2017,江苏奥赛康药业,20mg,县级公立,9245192
注射用雷贝拉唑钠,注射,粉针,2018,南京长澳制药,20mg,县级公立,55680644
注射用雷贝拉唑钠,注射,粉针,2018,山东罗欣药业集团,20mg,县级公立,42198378
注射用雷贝拉唑钠,注射,粉针,2018,江苏奥赛康药业,20mg,县级公立,96018138
注射用雷贝拉唑钠,注射,粉针,2019,南京长澳制药,20mg,县级公立,88972787
注射用雷贝拉唑钠,注射,粉针,2019,山东罗欣药业集团,20mg,县级公立,59910620
注射用雷贝拉唑钠,注射,粉针,2019,江苏奥赛康药业,20mg,县级公立,103340726
注射用雷贝拉唑钠,注射,粉针,2020,南京长澳制药,20mg,县级公立,114277652
注射用雷贝拉唑钠,注射,粉针,2020,山东罗欣药业集团,20mg,县级公立,52309176
注射用雷贝拉唑钠,注射,粉针,2020,江苏奥赛康药业,20mg,县级公立,118537673
注射用雷贝拉唑钠,注射,粉针,2021,南京长澳制药,20mg,县级公立,96825039
注射用雷贝拉唑钠,注射,粉针,2021,山东罗欣药业集团,20mg,县级公立,50014055
注射用雷贝拉唑钠,注射,粉针,2021,江苏奥赛康药业,20mg,县级公立,123739012
