,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
2529,1912,Stockholm,Rowing,Rowing,Julius Beresford,GBR,Men,Four-Oared Shell With Coxswain (4-),Silver,United Kingdom
2530,1912,Stockholm,Rowing,Rowing,Geoffrey Carr,GBR,Men,Four-Oared Shell With Coxswain (4-),Silver,United Kingdom
2531,1912,Stockholm,Rowing,Rowing,Herbert Bruce Logan,GBR,Men,Four-Oared Shell With Coxswain (4-),Silver,United Kingdom
2532,1912,Stockholm,Rowing,Rowing,Charles Gardner Rought,GBR,Men,Four-Oared Shell With Coxswain (4-),Silver,United Kingdom
2533,1912,Stockholm,Rowing,Rowing,Karl Vernon,GBR,Men,Four-Oared Shell With Coxswain (4-),Silver,United Kingdom
2534,1912,Stockholm,Rowing,Rowing,Everard Burnside Butler,CAN,Men,Single Sculls (1X),Bronze,Canada
2535,1912,Stockholm,Rowing,Rowing,Mikhaïl Maksimilian Kusik,RU1,Men,Single Sculls (1X),Bronze,
2536,1912,Stockholm,Rowing,Rowing,William Duthie Kinnear,GBR,Men,Single Sculls (1X),Gold,United Kingdom
2537,1912,Stockholm,Rowing,Rowing,Polydore Veirman,BEL,Men,Single Sculls (1X),Silver,Belgium
2538,1912,Stockholm,Sailing,Sailing,Esper Konstantinovich Beloselsky-Belozersky,RU1,Men,10M,Bronze,
2539,1912,Stockholm,Sailing,Sailing,Ernest Brasche,RU1,Men,10M,Bronze,
2540,1912,Stockholm,Sailing,Sailing,Karl Lindblom,RU1,Men,10M,Bronze,
2541,1912,Stockholm,Sailing,Sailing,Nikolaï Puschnitsky,RU1,Men,10M,Bronze,
2542,1912,Stockholm,Sailing,Sailing,Aleksandr Rodionov,RU1,Men,10M,Bronze,
2543,1912,Stockholm,Sailing,Sailing,Iossif Schomaker,RU1,Men,10M,Bronze,
2544,1912,Stockholm,Sailing,Sailing,Filip Strauch,RU1,Men,10M,Bronze,
2545,1912,Stockholm,Sailing,Sailing,Filip Ericsson,SWE,Men,10M,Gold,Sweden
2546,1912,Stockholm,Sailing,Sailing,Carl Ludwig Hellström,SWE,Men,10M,Gold,Sweden
2547,1912,Stockholm,Sailing,Sailing,Paul Isberg,SWE,Men,10M,Gold,Sweden
2548,1912,Stockholm,Sailing,Sailing,Humbert Lunden,SWE,Men,10M,Gold,Sweden
2549,1912,Stockholm,Sailing,Sailing,Herman Nyberg,SWE,Men,10M,Gold,Sweden
2550,1912,Stockholm,Sailing,Sailing,Harry Rosenwärd,SWE,Men,10M,Gold,Sweden
2551,1912,Stockholm,Sailing,Sailing,Eric G. Wallerius,SWE,Men,10M,Gold,Sweden
2552,1912,Stockholm,Sailing,Sailing,Harald Wallin,SWE,Men,10M,Gold,Sweden
2553,1912,Stockholm,Sailing,Sailing,Waldemar Björksten,FIN,Men,10M,Silver,Finland
2554,1912,Stockholm,Sailing,Sailing,Jacob Karl Björnström,FIN,Men,10M,Silver,Finland
2555,1912,Stockholm,Sailing,Sailing,Bror Benedikt Brenner,FIN,Men,10M,Silver,Finland
2556,1912,Stockholm,Sailing,Sailing,Allan Franck,FIN,Men,10M,Silver,Finland
2557,1912,Stockholm,Sailing,Sailing,Erik Lindh,FIN,Men,10M,Silver,Finland
2558,1912,Stockholm,Sailing,Sailing,Adolf Aarne Pekkalainen,FIN,Men,10M,Silver,Finland
2559,1912,Stockholm,Sailing,Sailing,Harry Wahl,FIN,Men,10M,Silver,Finland
2560,1912,Stockholm,Sailing,Sailing,Max Alfthan,FIN,Men,12M,Bronze,Finland
2561,1912,Stockholm,Sailing,Sailing,Erik Hartvall,FIN,Men,12M,Bronze,Finland
2562,1912,Stockholm,Sailing,Sailing,Jarl Hullden,FIN,Men,12M,Bronze,Finland
2563,1912,Stockholm,Sailing,Sailing,Sigurd Juslen,FIN,Men,12M,Bronze,Finland
2564,1912,Stockholm,Sailing,Sailing,Ernest Edvard Krogius,FIN,Men,12M,Bronze,Finland
2565,1912,Stockholm,Sailing,Sailing,Eino Sandelin,FIN,Men,12M,Bronze,Finland
2566,1912,Stockholm,Sailing,Sailing,John Silen,FIN,Men,12M,Bronze,Finland
2567,1912,Stockholm,Sailing,Sailing,Johan August Anker,NOR,Men,12M,Gold,Norway
2568,1912,Stockholm,Sailing,Sailing,Nils Bertelsen,NOR,Men,12M,Gold,Norway
2569,1912,Stockholm,Sailing,Sailing,Eilert Falch-Lund,NOR,Men,12M,Gold,Norway
2570,1912,Stockholm,Sailing,Sailing,Halfdan Hansen,NOR,Men,12M,Gold,Norway
2571,1912,Stockholm,Sailing,Sailing,Arnfinn Kolbjörn Heje,NOR,Men,12M,Gold,Norway
2572,1912,Stockholm,Sailing,Sailing,Magnus Konow,NOR,Men,12M,Gold,Norway
2573,1912,Stockholm,Sailing,Sailing,Alfred Larsen,NOR,Men,12M,Gold,Norway
2574,1912,Stockholm,Sailing,Sailing,Petter Andreas Larsen,NOR,Men,12M,Gold,Norway
2575,1912,Stockholm,Sailing,Sailing,Christian Frederik Staib,NOR,Men,12M,Gold,Norway
2576,1912,Stockholm,Sailing,Sailing,Carl Gustav Thaulow,NOR,Men,12M,Gold,Norway
2577,1912,Stockholm,Sailing,Sailing,Per Bergman,SWE,Men,12M,Silver,Sweden
2578,1912,Stockholm,Sailing,Sailing,Dick Bergström,SWE,Men,12M,Silver,Sweden
2579,1912,Stockholm,Sailing,Sailing,Kurt Bergström,SWE,Men,12M,Silver,Sweden
2580,1912,Stockholm,Sailing,Sailing,Hugo Clason,SWE,Men,12M,Silver,Sweden
2581,1912,Stockholm,Sailing,Sailing,Folke Johnson,SWE,Men,12M,Silver,Sweden
2582,1912,Stockholm,Sailing,Sailing,Sigurd Kander,SWE,Men,12M,Silver,Sweden
2583,1912,Stockholm,Sailing,Sailing,Nils Lamby,SWE,Men,12M,Silver,Sweden
2584,1912,Stockholm,Sailing,Sailing,Erik Lindqvist,SWE,Men,12M,Silver,Sweden
2585,1912,Stockholm,Sailing,Sailing,Nils Persson,SWE,Men,12M,Silver,Sweden
2586,1912,Stockholm,Sailing,Sailing,Richard Sällström,SWE,Men,12M,Silver,Sweden
2587,1912,Stockholm,Sailing,Sailing,Otto Aust,SWE,Men,6M,Bronze,Sweden
2588,1912,Stockholm,Sailing,Sailing,Erik Sandberg,SWE,Men,6M,Bronze,Sweden
2589,1912,Stockholm,Sailing,Sailing,Harald Sandberg,SWE,Men,6M,Bronze,Sweden
2590,1912,Stockholm,Sailing,Sailing,Amédé Thube,FRA,Men,6M,Gold,France
2591,1912,Stockholm,Sailing,Sailing,Gaston Thube,FRA,Men,6M,Gold,France
2592,1912,Stockholm,Sailing,Sailing,Jacques Thube,FRA,Men,6M,Gold,France
2593,1912,Stockholm,Sailing,Sailing,Steen Herschend,DEN,Men,6M,Silver,Denmark
2594,1912,Stockholm,Sailing,Sailing,Hans Meulengracht-Madsen,DEN,Men,6M,Silver,Denmark
2595,1912,Stockholm,Sailing,Sailing,Sven Bernth Thomsen,DEN,Men,6M,Silver,Denmark
2596,1912,Stockholm,Sailing,Sailing,Arthur Ahnger,FIN,Men,8M,Bronze,Finland
2597,1912,Stockholm,Sailing,Sailing,Emil Lindh,FIN,Men,8M,Bronze,Finland
2598,1912,Stockholm,Sailing,Sailing,Bertil Tallberg,FIN,Men,8M,Bronze,Finland
2599,1912,Stockholm,Sailing,Sailing,Gunnar Tallberg,FIN,Men,8M,Bronze,Finland
2600,1912,Stockholm,Sailing,Sailing,Georg Westling,FIN,Men,8M,Bronze,Finland
2601,1912,Stockholm,Sailing,Sailing,Thomas Valentin Aas,NOR,Men,8M,Gold,Norway
2602,1912,Stockholm,Sailing,Sailing,Andreas Bang Brecke,NOR,Men,8M,Gold,Norway
2603,1912,Stockholm,Sailing,Sailing,Torleiv Schibsted Cornelius,NOR,Men,8M,Gold,Norway
2604,1912,Stockholm,Sailing,Sailing,Thoralf Glad,NOR,Men,8M,Gold,Norway
2605,1912,Stockholm,Sailing,Sailing,Christian Fredrik Jebe,NOR,Men,8M,Gold,Norway
2606,1912,Stockholm,Sailing,Sailing,Emil Henriques,SWE,Men,8M,Silver,Sweden
2607,1912,Stockholm,Sailing,Sailing,Bengt Heyman,SWE,Men,8M,Silver,Sweden
2608,1912,Stockholm,Sailing,Sailing,Alvar Thiel,SWE,Men,8M,Silver,Sweden
2609,1912,Stockholm,Sailing,Sailing,Herbert Westermark,SWE,Men,8M,Silver,Sweden
2610,1912,Stockholm,Sailing,Sailing,Nils Westermark,SWE,Men,8M,Silver,Sweden
2611,1912,Stockholm,Shooting,Shooting,Oscar Swahn,SWE,Men,"100M Running Deer, Double Shots",Bronze,Sweden
2612,1912,Stockholm,Shooting,Shooting,Ake Lundeberg,SWE,Men,"100M Running Deer, Double Shots",Gold,Sweden
2613,1912,Stockholm,Shooting,Shooting,Edward Benedicks,SWE,Men,"100M Running Deer, Double Shots",Silver,Sweden
2614,1912,Stockholm,Shooting,Shooting,Nestori Toivonen,FIN,Men,"100M Running Deer, Single Shots",Bronze,Finland
2615,1912,Stockholm,Shooting,Shooting,Alfred Swahn,SWE,Men,"100M Running Deer, Single Shots",Gold,Sweden
2616,1912,Stockholm,Shooting,Shooting,Ake Lundeberg,SWE,Men,"100M Running Deer, Single Shots",Silver,Sweden
2617,1912,Stockholm,Shooting,Shooting,Axel Fredrik Londen,FIN,Men,"100M Running Deer, Single Shots, Team",Bronze,Finland
2618,1912,Stockholm,Shooting,Shooting,Ernst Edvard Rosenquist,FIN,Men,"100M Running Deer, Single Shots, Team",Bronze,Finland
2619,1912,Stockholm,Shooting,Shooting,Nestori Toivonen,FIN,Men,"100M Running Deer, Single Shots, Team",Bronze,Finland
2620,1912,Stockholm,Shooting,Shooting,Tivo Wäänänen,FIN,Men,"100M Running Deer, Single Shots, Team",Bronze,Finland
2621,1912,Stockholm,Shooting,Shooting,Per Olof Arvidsson,SWE,Men,"100M Running Deer, Single Shots, Team",Gold,Sweden
2622,1912,Stockholm,Shooting,Shooting,Ake Lundeberg,SWE,Men,"100M Running Deer, Single Shots, Team",Gold,Sweden
2623,1912,Stockholm,Shooting,Shooting,Alfred Swahn,SWE,Men,"100M Running Deer, Single Shots, Team",Gold,Sweden
2624,1912,Stockholm,Shooting,Shooting,Oscar Swahn,SWE,Men,"100M Running Deer, Single Shots, Team",Gold,Sweden
2625,1912,Stockholm,Shooting,Shooting,William F. Leushner,USA,Men,"100M Running Deer, Single Shots, Team",Silver,United States
2626,1912,Stockholm,Shooting,Shooting,William Libbey,USA,Men,"100M Running Deer, Single Shots, Team",Silver,United States
2627,1912,Stockholm,Shooting,Shooting,William Neil Mcdonnell,USA,Men,"100M Running Deer, Single Shots, Team",Silver,United States
2628,1912,Stockholm,Shooting,Shooting,Walter Winans,USA,Men,"100M Running Deer, Single Shots, Team",Silver,United States
2629,1912,Stockholm,Shooting,Shooting,Johan Hübner Von Holst,SWE,Men,25M Rapid Fire Pistol (60 Shots),Bronze,Sweden
2630,1912,Stockholm,Shooting,Shooting,Alfred P. Lane,USA,Men,25M Rapid Fire Pistol (60 Shots),Gold,United States
2631,1912,Stockholm,Shooting,Shooting,Paul Palen,SWE,Men,25M Rapid Fire Pistol (60 Shots),Silver,Sweden
2632,1912,Stockholm,Shooting,Shooting,Frederick S. Hird,USA,Men,"25M Small Bore Rifle, Team",Bronze,United States
2633,1912,Stockholm,Shooting,Shooting,William F. Leushner,USA,Men,"25M Small Bore Rifle, Team",Bronze,United States
2634,1912,Stockholm,Shooting,Shooting,William Neil Mcdonnell,USA,Men,"25M Small Bore Rifle, Team",Bronze,United States
2635,1912,Stockholm,Shooting,Shooting,Warren A. Sprout,USA,Men,"25M Small Bore Rifle, Team",Bronze,United States
2636,1912,Stockholm,Shooting,Shooting,Gustav Boivie,SWE,Men,"25M Small Bore Rifle, Team",Gold,Sweden
2637,1912,Stockholm,Shooting,Shooting,Eric Carlberg,SWE,Men,"25M Small Bore Rifle, Team",Gold,Sweden
2638,1912,Stockholm,Shooting,Shooting,G. Vilhelm Carlberg,SWE,Men,"25M Small Bore Rifle, Team",Gold,Sweden
2639,1912,Stockholm,Shooting,Shooting,Johan Hübner Von Holst,SWE,Men,"25M Small Bore Rifle, Team",Gold,Sweden
2640,1912,Stockholm,Shooting,Shooting,William Milne,GBR,Men,"25M Small Bore Rifle, Team",Silver,United Kingdom
2641,1912,Stockholm,Shooting,Shooting,Joseph Pepe,GBR,Men,"25M Small Bore Rifle, Team",Silver,United Kingdom
2642,1912,Stockholm,Shooting,Shooting,William Edwin Pimm,GBR,Men,"25M Small Bore Rifle, Team",Silver,United Kingdom
2643,1912,Stockholm,Shooting,Shooting,William Kensett Styles,GBR,Men,"25M Small Bore Rifle, Team",Silver,United Kingdom
2644,1912,Stockholm,Shooting,Shooting,Gideon Ericsson,SWE,Men,25M Small Rifle,Bronze,Sweden
2645,1912,Stockholm,Shooting,Shooting,G. Vilhelm Carlberg,SWE,Men,25M Small Rifle,Gold,Sweden
2646,1912,Stockholm,Shooting,Shooting,Johan Hübner Von Holst,SWE,Men,25M Small Rifle,Silver,Sweden
2647,1912,Stockholm,Shooting,Shooting,Niels Hansen Ditlev Larsen,DEN,Men,300M Free Rifle 3 Positions (3X40 Shots),Bronze,Denmark
2648,1912,Stockholm,Shooting,Shooting,Paul René Colas,FRA,Men,300M Free Rifle 3 Positions (3X40 Shots),Gold,France
2649,1912,Stockholm,Shooting,Shooting,Lars Jörgen Madsen,DEN,Men,300M Free Rifle 3 Positions (3X40 Shots),Silver,Denmark
2650,1912,Stockholm,Shooting,Shooting,Hugh Durant,GBR,Men,"30M Army Pistol, Team",Bronze,United Kingdom
2651,1912,Stockholm,Shooting,Shooting,Albert Joseph Kempster,GBR,Men,"30M Army Pistol, Team",Bronze,United Kingdom
2652,1912,Stockholm,Shooting,Shooting,Horatio Orlando Poulter,GBR,Men,"30M Army Pistol, Team",Bronze,United Kingdom
2653,1912,Stockholm,Shooting,Shooting,Charles Edward Stewart,GBR,Men,"30M Army Pistol, Team",Bronze,United Kingdom
2654,1912,Stockholm,Shooting,Shooting,Eric Carlberg,SWE,Men,"30M Army Pistol, Team",Gold,Sweden
2655,1912,Stockholm,Shooting,Shooting,G. Vilhelm Carlberg,SWE,Men,"30M Army Pistol, Team",Gold,Sweden
2656,1912,Stockholm,Shooting,Shooting,Paul Palen,SWE,Men,"30M Army Pistol, Team",Gold,Sweden
2657,1912,Stockholm,Shooting,Shooting,Johan Hübner Von Holst,SWE,Men,"30M Army Pistol, Team",Gold,Sweden
2658,1912,Stockholm,Shooting,Shooting,Amos De Kache,RU1,Men,"30M Army Pistol, Team",Silver,
2659,1912,Stockholm,Shooting,Shooting,Nikolaï De Melnitsky,RU1,Men,"30M Army Pistol, Team",Silver,
2660,1912,Stockholm,Shooting,Shooting,Georgi De Panteleymonoff,RU1,Men,"30M Army Pistol, Team",Silver,
2661,1912,Stockholm,Shooting,Shooting,Pavel De Weylochnikoff,RU1,Men,"30M Army Pistol, Team",Silver,
2662,1912,Stockholm,Shooting,Shooting,Hugh Durant,GBR,Men,"50M Army Pistol, Team",Bronze,United Kingdom
2663,1912,Stockholm,Shooting,Shooting,Albert Joseph Kempster,GBR,Men,"50M Army Pistol, Team",Bronze,United Kingdom
2664,1912,Stockholm,Shooting,Shooting,Horatio Orlando Poulter,GBR,Men,"50M Army Pistol, Team",Bronze,United Kingdom
2665,1912,Stockholm,Shooting,Shooting,Charles Edward Stewart,GBR,Men,"50M Army Pistol, Team",Bronze,United Kingdom
2666,1912,Stockholm,Shooting,Shooting,John A. Dietz,USA,Men,"50M Army Pistol, Team",Gold,United States
2667,1912,Stockholm,Shooting,Shooting,Peter J. Dolfen,USA,Men,"50M Army Pistol, Team",Gold,United States
2668,1912,Stockholm,Shooting,Shooting,Alfred P. Lane,USA,Men,"50M Army Pistol, Team",Gold,United States
2669,1912,Stockholm,Shooting,Shooting,Henry Francis Sears,USA,Men,"50M Army Pistol, Team",Gold,United States
2670,1912,Stockholm,Shooting,Shooting,Erik Boström,SWE,Men,"50M Army Pistol, Team",Silver,Sweden
2671,1912,Stockholm,Shooting,Shooting,Eric Carlberg,SWE,Men,"50M Army Pistol, Team",Silver,Sweden
2672,1912,Stockholm,Shooting,Shooting,G. Vilhelm Carlberg,SWE,Men,"50M Army Pistol, Team",Silver,Sweden
2673,1912,Stockholm,Shooting,Shooting,Georg De Laval,SWE,Men,"50M Army Pistol, Team",Silver,Sweden
2674,1912,Stockholm,Shooting,Shooting,Charles Edward Stewart,GBR,Men,50M Pistol (60 Shots),Bronze,United Kingdom
2675,1912,Stockholm,Shooting,Shooting,Alfred P. Lane,USA,Men,50M Pistol (60 Shots),Gold,United States
2676,1912,Stockholm,Shooting,Shooting,Peter J. Dolfen,USA,Men,50M Pistol (60 Shots),Silver,United States
2677,1912,Stockholm,Shooting,Shooting,Harold Burt,GBR,Men,50M Rifle Prone (60 Shots),Bronze,United Kingdom
2678,1912,Stockholm,Shooting,Shooting,Frederick S. Hird,USA,Men,50M Rifle Prone (60 Shots),Gold,United States
2679,1912,Stockholm,Shooting,Shooting,William Milne,GBR,Men,50M Rifle Prone (60 Shots),Silver,United Kingdom
2680,1912,Stockholm,Shooting,Shooting,Frederick S. Hird,USA,Men,"50M Small Bore Rifle, Team",Bronze,United States
2681,1912,Stockholm,Shooting,Shooting,William F. Leushner,USA,Men,"50M Small Bore Rifle, Team",Bronze,United States
2682,1912,Stockholm,Shooting,Shooting,Carl Townsend Osburn,USA,Men,"50M Small Bore Rifle, Team",Bronze,United States
2683,1912,Stockholm,Shooting,Shooting,Warren A. Sprout,USA,Men,"50M Small Bore Rifle, Team",Bronze,United States
2684,1912,Stockholm,Shooting,Shooting,Edward John Lessimore,GBR,Men,"50M Small Bore Rifle, Team",Gold,United Kingdom
2685,1912,Stockholm,Shooting,Shooting,Robert Cook Murray,GBR,Men,"50M Small Bore Rifle, Team",Gold,United Kingdom
2686,1912,Stockholm,Shooting,Shooting,Joseph Pepe,GBR,Men,"50M Small Bore Rifle, Team",Gold,United Kingdom
2687,1912,Stockholm,Shooting,Shooting,William Edwin Pimm,GBR,Men,"50M Small Bore Rifle, Team",Gold,United Kingdom
2688,1912,Stockholm,Shooting,Shooting,Eric Carlberg,SWE,Men,"50M Small Bore Rifle, Team",Silver,Sweden
2689,1912,Stockholm,Shooting,Shooting,G. Vilhelm Carlberg,SWE,Men,"50M Small Bore Rifle, Team",Silver,Sweden
2690,1912,Stockholm,Shooting,Shooting,Arthur Nordenswan,SWE,Men,"50M Small Bore Rifle, Team",Silver,Sweden
2691,1912,Stockholm,Shooting,Shooting,Ruben Örtegren,SWE,Men,"50M Small Bore Rifle, Team",Silver,Sweden
2692,1912,Stockholm,Shooting,Shooting,John E. Jackson,USA,Men,600M Free Rifle,Bronze,United States
2693,1912,Stockholm,Shooting,Shooting,Paul René Colas,FRA,Men,600M Free Rifle,Gold,France
2694,1912,Stockholm,Shooting,Shooting,Carl Townsend Osburn,USA,Men,600M Free Rifle,Silver,United States
2695,1912,Stockholm,Shooting,Shooting,Engebret Skogen,NOR,Men,"Army Rifle, 300M, 3 Positions",Bronze,Norway
2696,1912,Stockholm,Shooting,Shooting,Sandor Prokopp,HUN,Men,"Army Rifle, 300M, 3 Positions",Gold,Hungary
2697,1912,Stockholm,Shooting,Shooting,Carl Townsend Osburn,USA,Men,"Army Rifle, 300M, 3 Positions",Silver,United States
2698,1912,Stockholm,Shooting,Shooting,Alfred Goeldel,GER,Men,"Clay Pigeons, Team",Bronze,Germany
2699,1912,Stockholm,Shooting,Shooting,Horst Goeldel,GER,Men,"Clay Pigeons, Team",Bronze,Germany
2700,1912,Stockholm,Shooting,Shooting,Erich Graf Von Bernstorff,GER,Men,"Clay Pigeons, Team",Bronze,Germany
2701,1912,Stockholm,Shooting,Shooting,Erland Koch,GER,Men,"Clay Pigeons, Team",Bronze,Germany
2702,1912,Stockholm,Shooting,Shooting,Albert Preuss,GER,Men,"Clay Pigeons, Team",Bronze,Germany
2703,1912,Stockholm,Shooting,Shooting,Franz Freiherr Von Zeidlitz Und Leipe,GER,Men,"Clay Pigeons, Team",Bronze,Germany
2704,1912,Stockholm,Shooting,Shooting,Charles W. Billings,USA,Men,"Clay Pigeons, Team",Gold,United States
2705,1912,Stockholm,Shooting,Shooting,Edward Francis Gleason,USA,Men,"Clay Pigeons, Team",Gold,United States
2706,1912,Stockholm,Shooting,Shooting,James R. Graham,USA,Men,"Clay Pigeons, Team",Gold,United States
2707,1912,Stockholm,Shooting,Shooting,Frank Hall,USA,Men,"Clay Pigeons, Team",Gold,United States
2708,1912,Stockholm,Shooting,Shooting,John H. Hendrickson,USA,Men,"Clay Pigeons, Team",Gold,United States
2709,1912,Stockholm,Shooting,Shooting,Ralph Lewis Spotts,USA,Men,"Clay Pigeons, Team",Gold,United States
2710,1912,Stockholm,Shooting,Shooting,John Hurst Butt,GBR,Men,"Clay Pigeons, Team",Silver,United Kingdom
2711,1912,Stockholm,Shooting,Shooting,William Percy Grosvenor,GBR,Men,"Clay Pigeons, Team",Silver,United Kingdom
2712,1912,Stockholm,Shooting,Shooting,Harry Robinson Humby,GBR,Men,"Clay Pigeons, Team",Silver,United Kingdom
2713,1912,Stockholm,Shooting,Shooting,Alexander Maunder,GBR,Men,"Clay Pigeons, Team",Silver,United Kingdom
2714,1912,Stockholm,Shooting,Shooting,Charles Palmer,GBR,Men,"Clay Pigeons, Team",Silver,United Kingdom
2715,1912,Stockholm,Shooting,Shooting,George Whitaker,GBR,Men,"Clay Pigeons, Team",Silver,United Kingdom
2716,1912,Stockholm,Shooting,Shooting,Niels Andersen,DEN,Men,"Free Rifle, Team",Bronze,Denmark
2717,1912,Stockholm,Shooting,Shooting,Jens Madsen Hajslund,DEN,Men,"Free Rifle, Team",Bronze,Denmark
2718,1912,Stockholm,Shooting,Shooting,Laurits Teodor Christian Larsen,DEN,Men,"Free Rifle, Team",Bronze,Denmark
2719,1912,Stockholm,Shooting,Shooting,Niels Hansen Ditlev Larsen,DEN,Men,"Free Rifle, Team",Bronze,Denmark
2720,1912,Stockholm,Shooting,Shooting,Lars Jörgen Madsen,DEN,Men,"Free Rifle, Team",Bronze,Denmark
2721,1912,Stockholm,Shooting,Shooting,Ole Olsen,DEN,Men,"Free Rifle, Team",Bronze,Denmark
2722,1912,Stockholm,Shooting,Shooting,Carl Björkman,SWE,Men,"Free Rifle, Team",Gold,Sweden
2723,1912,Stockholm,Shooting,Shooting,Erik Blomqvist,SWE,Men,"Free Rifle, Team",Gold,Sweden
2724,1912,Stockholm,Shooting,Shooting,Mauritz Eriksson,SWE,Men,"Free Rifle, Team",Gold,Sweden
2725,1912,Stockholm,Shooting,Shooting,Carl Hugo Johansson,SWE,Men,"Free Rifle, Team",Gold,Sweden
2726,1912,Stockholm,Shooting,Shooting,Gustaf Adolf Jonsson,SWE,Men,"Free Rifle, Team",Gold,Sweden
2727,1912,Stockholm,Shooting,Shooting,Bernhard Larsson,SWE,Men,"Free Rifle, Team",Gold,Sweden
2728,1912,Stockholm,Shooting,Shooting,Albert Helgerud,NOR,Men,"Free Rifle, Team",Silver,Norway
2729,1912,Stockholm,Shooting,Shooting,Einar Liberg,NOR,Men,"Free Rifle, Team",Silver,Norway
2730,1912,Stockholm,Shooting,Shooting,Östen Östensen,NOR,Men,"Free Rifle, Team",Silver,Norway
2731,1912,Stockholm,Shooting,Shooting,Olaf Saether,NOR,Men,"Free Rifle, Team",Silver,Norway
2732,1912,Stockholm,Shooting,Shooting,Ole Andreas Saether,NOR,Men,"Free Rifle, Team",Silver,Norway
2733,1912,Stockholm,Shooting,Shooting,Gudbrand Gudbrandsen Skatteboe,NOR,Men,"Free Rifle, Team",Silver,Norway
2734,1912,Stockholm,Shooting,Shooting,Carl Björkman,SWE,Men,"Rifle, Team",Bronze,Sweden
2735,1912,Stockholm,Shooting,Shooting,Tönnes Björkman,SWE,Men,"Rifle, Team",Bronze,Sweden
2736,1912,Stockholm,Shooting,Shooting,Mauritz Eriksson,SWE,Men,"Rifle, Team",Bronze,Sweden
2737,1912,Stockholm,Shooting,Shooting,Verner Jernström,SWE,Men,"Rifle, Team",Bronze,Sweden
2738,1912,Stockholm,Shooting,Shooting,Carl Hugo Johansson,SWE,Men,"Rifle, Team",Bronze,Sweden
2739,1912,Stockholm,Shooting,Shooting,Bernhard Larsson,SWE,Men,"Rifle, Team",Bronze,Sweden
2740,1912,Stockholm,Shooting,Shooting,Harry Loren Adams,USA,Men,"Rifle, Team",Gold,United States
2741,1912,Stockholm,Shooting,Shooting,Allan Lindsay Briggs,USA,Men,"Rifle, Team",Gold,United States
2742,1912,Stockholm,Shooting,Shooting,Cornelius L. Burdette,USA,Men,"Rifle, Team",Gold,United States
2743,1912,Stockholm,Shooting,Shooting,John E. Jackson,USA,Men,"Rifle, Team",Gold,United States
2744,1912,Stockholm,Shooting,Shooting,Carl Townsend Osburn,USA,Men,"Rifle, Team",Gold,United States
2745,1912,Stockholm,Shooting,Shooting,Warren A. Sprout,USA,Men,"Rifle, Team",Gold,United States
2746,1912,Stockholm,Shooting,Shooting,Henry Goerge Burr,GBR,Men,"Rifle, Team",Silver,United Kingdom
2747,1912,Stockholm,Shooting,Shooting,Arthur George Fulton,GBR,Men,"Rifle, Team",Silver,United Kingdom
2748,1912,Stockholm,Shooting,Shooting,Harcourt Ommundsen,GBR,Men,"Rifle, Team",Silver,United Kingdom
2749,1912,Stockholm,Shooting,Shooting,Edward Louis Parnell,GBR,Men,"Rifle, Team",Silver,United Kingdom
2750,1912,Stockholm,Shooting,Shooting,James Reid,GBR,Men,"Rifle, Team",Silver,United Kingdom
2751,1912,Stockholm,Shooting,Shooting,Edward Skilton,GBR,Men,"Rifle, Team",Silver,United Kingdom
2752,1912,Stockholm,Shooting,Shooting,Harry Blau,RU1,Men,Trap (125 Targets),Bronze,
2753,1912,Stockholm,Shooting,Shooting,James R. Graham,USA,Men,Trap (125 Targets),Gold,United States
2754,1912,Stockholm,Shooting,Shooting,Alfred Goeldel,GER,Men,Trap (125 Targets),Silver,Germany
2755,1912,Stockholm,Tennis,Tennis,Albert Henri Canet,FRA,Men,Doubles,Bronze,France
2756,1912,Stockholm,Tennis,Tennis,Edouard Marie Marc Meny De Marangue,FRA,Men,Doubles,Bronze,France
2757,1912,Stockholm,Tennis,Tennis,Harry Austin Kitson,RSA,Men,Doubles,Gold,South Africa
2758,1912,Stockholm,Tennis,Tennis,Charles Lyndhurst Winslow,RSA,Men,Doubles,Gold,South Africa
2759,1912,Stockholm,Tennis,Tennis,Fritz Felix Pipes,AUT,Men,Doubles,Silver,Austria
2760,1912,Stockholm,Tennis,Tennis,Arthur Zborzil,AUT,Men,Doubles,Silver,Austria
2761,1912,Stockholm,Tennis,Tennis,Alfred Ernest Beamish,GBR,Men,Doubles Indoor,Bronze,United Kingdom
2762,1912,Stockholm,Tennis,Tennis,Charles Percy Dixon,GBR,Men,Doubles Indoor,Bronze,United Kingdom
2763,1912,Stockholm,Tennis,Tennis,Maurice Germot,FRA,Men,Doubles Indoor,Gold,France
2764,1912,Stockholm,Tennis,Tennis,André Henri Gobert,FRA,Men,Doubles Indoor,Gold,France
2765,1912,Stockholm,Tennis,Tennis,Carl Kempe,SWE,Men,Doubles Indoor,Silver,Sweden
2766,1912,Stockholm,Tennis,Tennis,Gunnar Setterwall,SWE,Men,Doubles Indoor,Silver,Sweden
2767,1912,Stockholm,Tennis,Tennis,Albert Henri Canet,FRA,Men,Mixed Doubles,Bronze,France
2768,1912,Stockholm,Tennis,Tennis,Heinrich Schomburgk,GER,Men,Mixed Doubles,Gold,Germany
2769,1912,Stockholm,Tennis,Tennis,Gunnar Setterwall,SWE,Men,Mixed Doubles,Silver,Sweden
