Rank,Company,Industry,Revenue ($), City ,State,Zip,Website,Employees,CEO
223,General Mills,Food Consumer Products,"19,160,000,000", Minneapolis ,Minnesota,55426,generalmills.com,"34,000",Jeffrey Harmening
224,Dollar Tree,Specialty Retailers: Other,"18,960,000,000", Chesapeake ,Virginia,23320,dollartree.com,"139,572","Michael Creedon, Jr."
225,Cheniere Energy,Pipelines,"18,940,000,000", Houston ,Texas,77002,cheniere.com,"1,714",Jack Fusco
226,Cleveland-Cliffs,Metals,"18,620,000,000", Cleveland ,Ohio,44114,clevelandcliffs.com,"30,000",Lourenco Goncalves
227,Ameriprise Financial,Diversified Financials,"18,510,000,000", Minneapolis ,Minnesota,55474,ameriprise.com,"13,600",James Cracchiolo
228,Aramark,Diversified Outsourcing Services,"18,510,000,000", Philadelphia ,Pennsylvania,19103,aramark.com,"266,680",John Zillmer
229,Lincoln National,"Insurance: Life, Health (Stock)","18,430,000,000", Radnor ,Pennsylvania,19087,lincolnfinancial.com,"9,783",Ellen Cooper
230,Corebridge Financial,Diversified Financials,"18,340,000,000", Houston ,Texas,77019,corebridgefinancial.com,"5,200",Kevin Hogan
231,Goodyear Tire & Rubber,Motor Vehicles & Parts,"18,310,000,000", Akron ,Ohio,44316,goodyear.com,"68,000",Mark Stewart
232,Truist Financial,Commercial Banks,"18,280,000,000", Charlotte ,North Carolina,28202,truist.com,"37,552",William Rogers Jr.
233,Loews,Insurance: Property and Casualty (Stock),"18,270,000,000", New York ,New York,10019,loews.com,"13,000",Benjamin Tisch
234,Carvana,"Automotive Retailing, Services","18,270,000,000", Tempe ,Arizona,85281,carvana.com,"17,400",Ernest Garcia III
235,Global Partners,Energy,"18,100,000,000", Waltham ,Massachusetts,2453,globalp.com,"3,833",Eric Slifka
236,Edison International,Utilities: Gas and Electric,"18,090,000,000", Rosemead ,California,91770,edisoninvestor.com,"14,013",Pedro Pizarro
237,Emerson Electric,Industrial Machinery,"18,020,000,000", St. Louis ,Missouri,63136,emerson.com,"73,000",Karsanbhai
238,Asbury Automotive,"Automotive Retailing, Services","17,830,000,000", Duluth ,Georgia,30097,asburyauto.com,"15,000",David Hult
239,W.W. Grainger,Wholesalers: Diversified,"17,750,000,000", Lake Forest ,Illinois,60045,grainger.com,"25,000",Macpherson
240,Aflac,"Insurance: Life, Health (Stock)","17,700,000,000", Columbus ,Georgia,31999,aflac.com,"12,694",Daniel Amos
241,Manpower,Diversified Outsourcing Services,"17,640,000,000", Milwaukee ,Wisconsin,53212,manpowergroup.com,"26,700",Jonas Prising
242,Steel Dynamics,Metals,"17,630,000,000", Fort Wayne ,Indiana,46804,steeldynamics.com,"13,000",Mark Millett
243,Pulte,Homebuilders,"17,620,000,000", Atlanta ,Georgia,30326,pultegroupinc.com,"6,793",Ryan Marshall
244,Discover Financial,Diversified Financials,"17,500,000,000", Riverwoods ,Illinois,60015,discover.com,"21,000",Michael Shepherd
245,Corteva,Food Production,"17,470,000,000", Indianapolis ,Indiana,46268,corteva.com,"22,000",Charles Magro
246,O'Reilly Automotive,Specialty Retailers: Other,"17,460,000,000", Springfield ,Missouri,65802,oreillyauto.com,"85,579",Brad Beckham
247,Targa Resources,Pipelines,"17,380,000,000", Houston ,Texas,77002,targaresources.com,"3,370",Matthew Meloy
248,Leidos,Information Technology Services,"17,330,000,000", Reston ,Virginia,20190,leidos.com,"48,000",Thomas Bell
249,MGM Resorts International,"Hotels, Casinos, Resorts","17,280,000,000", Las Vegas ,Nevada,89109,mgmresorts.com,"69,000",William Hornbuckle
250,Texas Instruments,Semiconductors and Other Electronic Components,"17,270,000,000", Dallas ,Texas,75243,ti.com,"34,000",Haviv Ilan
251,Vistra,Energy,"17,190,000,000", Irving ,Texas,75039,vistracorp.com,"6,850",James Burke
252,Murphy USA,Specialty Retailers: Other,"17,010,000,000", El Dorado ,Arkansas,71730,murphyusa.com,"11,550",Andrew Clyde
253,Universal Health Services,Health Care: Medical Facilities,"16,990,000,000", King of Prussia ,Pennsylvania,19406,uhs.com,"87,500",Marc Miller
254,Casey's General Stores,Specialty Retailers: Other,"16,970,000,000", Ankeny ,Iowa,50021,caseys.com,"33,147",Darren Rebelez
255,Peter Kiewit Sons',Engineering & Construction,"16,838,000,000", Omaha ,Nebraska,68102,kiewit.com,"31,800",Rick Lanoha
256,Consolidated Edison,Utilities: Gas and Electric,"16,590,000,000", New York ,New York,10003,conedison.com,"15,097",Timothy Cawley
257,Devon Energy,"Mining, Crude-Oil Production","16,550,000,000", Oklahoma City ,Oklahoma,73102,devonenergy.com,"2,300",Clay Gaspar
258,C.H. Robinson Worldwide,Transportation and Logistics,"16,500,000,000", Eden Prairie ,Minnesota,55347,chrobinson.com,"13,781",David Bozeman
259,Republic Services,Waste Management,"16,500,000,000", Phoenix ,Arizona,85054,republicservices.com,"42,000",Jon Vander Ark
260,Guardian Life,"Insurance: Life, Health (Mutual)","16,471,000,000", New York ,New York,10001,guardianlife.com,"7,472",Andrew McMahon
261,Fox,Entertainment,"16,470,000,000", New York ,New York,10036,foxcorporation.com,"10,200",Lachlan Murdoch
262,Kinder Morgan,Pipelines,"16,420,000,000", Houston ,Texas,77002,kindermorgan.com,"10,933",Kimberly Dang
263,Edward Jones,Securities,"16,257,000,000", Des Peres ,Missouri,63131,edwardjones.com,"55,000",Penny Pennington
264,EMCOR,Engineering & Construction,"16,240,000,000", Norwalk ,Connecticut,6851,emcorgroup.com,"40,400",Anthony Guzzi
265,Markel,Insurance: Property and Casualty (Stock),"16,210,000,000", Glen Allen ,Virginia,23060,mklgroup.com,"22,000",Thomas Gayner
266,Land O'Lakes,Food Consumer Products,"16,207,000,000", Arden Hills ,Minnesota,55126,landolakesinc.com,"9,000",Beth Ford
267,Keurig Dr Pepper,Beverages,"16,170,000,000", Burlington ,Massachusetts,1803,keurigdrpepper.com,"29,400",Timothy Cofer
268,AECOM,Engineering & Construction,"16,140,000,000", Dallas ,Texas,75240,aecom.com,"51,000",Troy Rudd
269,Omnicom,"Advertising, Marketing","16,070,000,000", New York ,New York,10017,omnicomgroup.com,"74,900",John Wren
270,United Rentals,Specialty Retailers: Other,"15,990,000,000", Stamford ,Connecticut,6902,unitedrentals.com,"27,900",Matthew Flannery
271,IQVIA,Health Care: Pharmacy and Other Services,"15,900,000,000", Durham ,North Carolina,27703,iqvia.com,"88,000",Ari Bousbib
272,Ecolab,Chemicals,"15,890,000,000", St. Paul ,Minnesota,55102,ecolab.com,"48,000",Christophe Beck
273,Illinois Tool Works,Industrial Machinery,"15,880,000,000", Glenview ,Illinois,60025,itw.com,"44,000",Christopher O'Herlihy
274,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),"15,839,000,000", Lansing ,Michigan,48917,auto-owners.com,"7,329",Jamie Whisnant
275,Pacific Life,"Insurance: Life, Health (Stock)","15,827,000,000", Newport Beach ,California,92660,pacificlife.com,"4,334",Darryl Button
276,Dominion Energy,Utilities: Gas and Electric,"15,810,000,000", Richmond ,Virginia,23219,dominionenergy.com,"14,700",Robert Blue
277,Principal Financial,"Insurance: Life, Health (Stock)","15,800,000,000", Des Moines ,Iowa,50392,principal.com,"19,700",Deanna Strable-Soethout
278,Kohl's,General Merchandisers,"15,750,000,000", Menomonee Falls ,Wisconsin,53051,kohls.com,"60,000",Michael Bender
279,PPG Industries,Chemicals,"15,690,000,000", Pittsburgh ,Pennsylvania,15272,ppg.com,"46,000",Timothy Knavish
280,Builders FirstSource,"Building Materials, Glass","15,650,000,000", Irving ,Texas,75039,bldr.com,"29,000",Peter Jackson
281,Fluor,Engineering & Construction,"15,590,000,000", Irving ,Texas,75039,fluor.com,"26,866",James Breuer
282,Whirlpool,"Electronics, Electrical Equip.","15,560,000,000", Benton Harbor ,Michigan,49022,whirlpoolcorp.com,"44,000",Marc Bitzer
283,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),"15,456,000,000", Woodland Hills ,California,91367,farmers.com,"9,909",Raul Nicholas Vargas Ochoa
284,Tractor Supply,Specialty Retailers: Other,"15,400,000,000", Brentwood ,Tennessee,37027,tractorsupply.com,"39,000",Harry Lawton III
285,Gap,Specialty Retailers: Apparel,"15,280,000,000", San Francisco ,California,94105,gapinc.com,"82,000",Richard Dickson
286,EchoStar,Telecommunications,"15,180,000,000", Englewood ,Colorado,80112,echostar.com,"13,700",Hamid Akhavan
287,Sonic Automotive,"Automotive Retailing, Services","15,180,000,000", Charlotte ,North Carolina,28211,sonicautomotive.com,"10,800",David Bruton Smith
288,Stanley Black & Decker,Industrial Machinery,"15,170,000,000", New Britain ,Connecticut,6053,stanleyblackanddecker.com,"48,500",Donald Allan Jr.
289,LPL Financial,Securities,"15,160,000,000", San Diego ,California,92121,lpl.com,"9,000",Rich Steinmeier
290,Kyndryl,Information Technology Services,"15,010,000,000", New York ,New York,10017,kyndryl.com,"80,000",Martin Schroeter
291,Kenvue,Household and Personal Products,"15,010,000,000", Summit ,New Jersey,7901,kenvue.com,"22,000",Thibaut Mongon
292,S&P Global,Financial Data Services,"15,010,000,000", New York ,New York,10041,spglobal.com,"42,350",Martina Cheung
293,Corning,"Electronics, Electrical Equip.","14,920,000,000", Corning ,New York,14831,corning.com,"56,300",Wendell Weeks
294,Dick's Sporting Goods,Specialty Retailers: Other,"14,880,000,000", Coraopolis ,Pennsylvania,15108,dickssportinggoods.com,"37,350",Lauren Hobart
295,DTE Energy,Utilities: Gas and Electric,"14,820,000,000", Detroit ,Michigan,48226,dteenergy.com,"9,500",Gerardo Norcia
296,W.R. Berkley,Insurance: Property and Casualty (Stock),"14,650,000,000", Greenwich ,Connecticut,6830,berkley.com,"8,606",Robert Berkley Jr.
297,Diamondback Energy,"Mining, Crude-Oil Production","14,630,000,000", Midland ,Texas,79701,diamondbackenergy.com,"1,983",Kaes Vanât Hof
298,Mutual of Omaha Insurance,"Insurance: Life, Health (Mutual)","14,622,000,000", Omaha ,Nebraska,68175,mutualofomaha.com,"6,532",James Blackledge
299,Nordstrom,General Merchandisers,"14,500,000,000", Seattle ,Washington,98101,nordstrom.com,"41,000",Erik Nordstrom
300,EstÃ©e Lauder,Household and Personal Products,"14,450,000,000", New York ,New York,10153,elcompanies.com,"53,010",StÃ©phane de La Faverie
301,Expedia,Internet Services and Retailing,"14,370,000,000", Seattle ,Washington,98119,expediagroup.com,"16,500",Ariane Gorin
302,Otis Worldwide,Industrial Machinery,"14,310,000,000", Farmington ,Connecticut,6032,otis.com,"72,000",Judith Marks
303,FirstEnergy,Utilities: Gas and Electric,"14,280,000,000", Akron ,Ohio,44308,firstenergycorp.com,"12,294",Brian Tierney
304,Regeneron Pharmaceuticals,Pharmaceuticals,"14,250,000,000", Tarrytown ,New York,10591,regeneron.com,"15,106",Leonard Schleifer
305,Textron,Aerospace & Defense,"14,240,000,000", Providence ,Rhode Island,2903,textron.com,"34,000",Scott Donnelly
306,Xcel Energy,Utilities: Gas and Electric,"14,230,000,000", Minneapolis ,Minnesota,55401,xcelenergy.com,"11,380",Robert Frenzel
307,BorgWarner,Motor Vehicles & Parts,"14,180,000,000", Auburn Hills ,Michigan,48326,borgwarner.com,"38,300",Joseph Fadool
308,Alaska Air,Airlines,"14,140,000,000", Seattle ,Washington,98188,alaskaair.com,"32,074",Benito Minicucci
309,Viatris,Pharmaceuticals,"14,120,000,000", Canonsburg ,Pennsylvania,15317,viatris.com,"32,000",Scott Smith
310,CSX,Railroads,"14,120,000,000", Jacksonville ,Florida,32202,csx.com,"23,536",Joseph Hinrichs
311,LKQ,Wholesalers: Diversified,"14,100,000,000", Antioch ,Tennessee,37013,lkqcorp.com,"47,000",Justin Jude
312,Fidelity National Financial,Insurance: Property and Casualty (Stock),"14,060,000,000", Jacksonville ,Florida,32204,fnf.com,"23,533",Michael Nolan
313,Raymond James Financial,Securities,"14,020,000,000", St. Petersburg ,Florida,33716,raymondjames.com,"19,000",Paul Shoukry
314,Reliance,Metals,"13,920,000,000", Scottsdale ,Arizona,85254,reliance.com,"16,050",Karla Lewis
315,Labcorp,Health Care: Pharmacy and Other Services,"13,770,000,000", Burlington ,North Carolina,27215,labcorp.com,"65,450",Adam Schechter
316,Western & Southern Financial,"Insurance: Life, Health (Mutual)","13,769,000,000", Cincinnati ,Ohio,45202,westernsouthern.com,"2,744",John Barrett
317,MasTec,Engineering & Construction,"13,760,000,000", Coral Gables ,Florida,33134,mastec.com,"32,000",JosÃ© Mas
318,Sempra,Utilities: Gas and Electric,"13,710,000,000", San Diego ,California,92101,sempra.com,"16,773",Walker Martin
319,State Street,Commercial Banks,"13,630,000,000", Boston ,Massachusetts,2114,statestreet.com,"52,626",Ronald O'Hanley
320,United States Steel,Metals,"13,500,000,000", Pittsburgh ,Pennsylvania,15219,ussteel.com,"22,053",David Burritt
321,DaVita,Health Care: Medical Facilities,"13,320,000,000", Denver ,Colorado,80202,davita.com,"76,000",Javier Rodriguez
322,BrightSpring Health Services,Health Care: Pharmacy and Other Services,"13,300,000,000", Louisville ,Kentucky,40222,brightspringhealth.com,"37,000",Jon Rousseau
323,Erie Insurance,Insurance: Property and Casualty (Mutual),"13,177,000,000", Erie ,Pennsylvania,16530,erieinsurance.com,"6,747",Timothy NeCastro
324,Eversource Energy,Utilities: Gas and Electric,"13,150,000,000", Springfield ,Massachusetts,1104,eversource.com,"10,680",Joseph Nolan Jr.
325,Unum,"Insurance: Life, Health (Stock)","13,070,000,000", Chattanooga ,Tennessee,37402,unum.com,"10,948",Richard McKenney
326,Henry Schein,Wholesalers: Health Care,"12,940,000,000", Melville ,New York,11747,henryschein.com,"25,000",Stanley Bergman
327,GXO Logistics,Transportation and Logistics,"12,920,000,000", Greenwich ,Connecticut,6831,gxo.com,"128,500",Malcolm Wilson
328,Alcoa,Metals,"12,870,000,000", Pittsburgh ,Pennsylvania,15212,alcoa.com,"13,900",William Oplinger
329,DuPont,Chemicals,"12,840,000,000", Wilmington ,Delaware,19805,dupont.com,"24,000",Lori Koch
330,Blackstone,Diversified Financials,"12,790,000,000", New York ,New York,10154,blackstone.com,"4,895",Stephen Schwarzman
331,Entergy,Utilities: Gas and Electric,"12,730,000,000", New Orleans ,Louisiana,70113,entergy.com,"12,267",Andrew Marsh
332,DXC Technology,Information Technology Services,"12,710,000,000", Ashburn ,Virginia,20147,dxc.technology,"130,000",Raul Fernandez
333,Lumen Technologies,Telecommunications,"12,690,000,000", Monroe ,Louisiana,71203,lumen.com,"25,000",Kathleen Johnson
334,Ball,"Packaging, Containers","12,690,000,000", Westminster ,Colorado,80021,ball.com,"16,000",Daniel Fisher
335,Ryder System,Transportation and Logistics,"12,680,000,000", Coral Gables ,Florida,33134,ryder.com,"50,700",Robert Sanchez
336,Kellanova,Food Consumer Products,"12,670,000,000", Chicago ,Illinois,60654,kellanova.com,"24,000",Steven Cahillane
337,ServiceNow,Computer Software,"12,670,000,000", Santa Clara ,California,95054,servicenow.com,"26,293",William McDermott
338,Community Health Systems,Health Care: Medical Facilities,"12,640,000,000", Franklin ,Tennessee,37067,chs.net,"52,500",Kevin Hammons
339,DoorDash,Internet Services and Retailing,"12,640,000,000", San Francisco ,California,94107,doordash.com,"23,700",Tony Xu
340,Chewy,Internet Services and Retailing,"12,580,000,000", Plantation ,Florida,33322,chewy.com,"18,000",Sumit Singh
341,Assurant,Insurance: Property and Casualty (Stock),"12,570,000,000", Atlanta ,Georgia,30339,assurant.com,"14,200",Keith Demmings
342,KLA,Semiconductors and Other Electronic Components,"12,520,000,000", Milpitas ,California,95035,kla.com,"15,115",Richard Wallace
343,Darden Restaurants,Food Services,"12,360,000,000", Orlando ,Florida,32837,darden.com,"191,105",Ricardo Cardenas
344,Las Vegas Sands,"Hotels, Casinos, Resorts","12,260,000,000", Las Vegas ,Nevada,89113,sands.com,"40,100",Robert Goldstein
345,Wayfair,Internet Services and Retailing,"12,240,000,000", Boston ,Massachusetts,2116,wayfair.com,"12,100",Niraj Shah
346,Norfolk Southern,Railroads,"12,230,000,000", Atlanta ,Georgia,30308,norfolksouthern.com,"19,600",Mark George
347,Equitable,"Insurance: Life, Health (Stock)","12,220,000,000", New York ,New York,10105,equitableholdings.com,"10,300",Mark Pearson
348,Crown,"Packaging, Containers","12,140,000,000", Tampa ,Florida,33637,crowncork.com,"23,000",Timothy Donahue
349,Hormel Foods,Food Consumer Products,"12,110,000,000", Austin ,Minnesota,55912,hormelfoods.com,"20,000",James Snee
350,AES,Utilities: Gas and Electric,"12,090,000,000", Arlington ,Virginia,22203,aes.com,"9,100",AndrÃ©s Gluski
351,Arthur J. Gallagher,Diversified Financials,"12,080,000,000", Rolling Meadows ,Illinois,60008,ajg.com,"55,977",Patrick Gallagher Jr.
352,Cincinnati Financial,Insurance: Property and Casualty (Stock),"12,080,000,000", Fairfield ,Ohio,45014,cinfin.com,"5,624",Stephen Spray
353,J.B. Hunt Transport Services,"Trucking, Truck Leasing","12,050,000,000", Lowell ,Arkansas,72745,jbhunt.com,"33,646",Shelley Simpson
354,Air Products & Chemicals,Chemicals,"12,040,000,000", Allentown ,Pennsylvania,18106,airproducts.com,"22,425",Eduardo Menezes
355,Jacobs Solutions,Diversified Outsourcing Services,"12,030,000,000", Dallas ,Texas,75201,jacobs.com,"44,050",Bob Pragada
356,Huntington Ingalls Industries,Aerospace & Defense,"12,010,000,000", Newport News ,Virginia,23607,hii.com,"44,000",Christopher Kastner
357,Hess,"Mining, Crude-Oil Production","12,000,000,000", New York ,New York,10036,hess.com,"1,797",John Hess
358,Ulta Beauty,Specialty Retailers: Other,"11,980,000,000", Bolingbrook ,Illinois,60440,ulta.com,"39,000",Kecia Steelman
359,Airbnb,Internet Services and Retailing,"11,940,000,000", San Francisco ,California,94103,airbnb.com,"7,300",Brian Chesky
360,Mosaic,Chemicals,"11,890,000,000", Tampa ,Florida,33602,mosaicco.com,"13,765",Bruce Bodine
361,Chipotle Mexican Grill,Food Services,"11,790,000,000", Newport Beach ,California,92660,chipotle.com,"130,504",Scott Boatwright
362,Vertex Pharmaceuticals,Pharmaceuticals,"11,720,000,000", Boston ,Massachusetts,2210,vrtx.com,"6,100",Reshma Kewalramani
363,Public Service Enterprise,Utilities: Gas and Electric,"11,720,000,000", Newark ,New Jersey,7102,pseg.com,"13,047",Ralph LaRossa
364,Booz Allen Hamilton,Information Technology Services,"11,710,000,000", McLean ,Virginia,22102,boozallen.com,"34,200",Horacio Rozanski
365,Avis Budget,"Automotive Retailing, Services","11,700,000,000", Parsippany ,New Jersey,7054,avisbudgetgroup.com,"20,500",Joseph Ferraro
366,Owens Corning,"Building Materials, Glass","11,660,000,000", Toledo ,Ohio,43659,owenscorning.com,"25,000",Brian Chambers
367,Graybar Electric,Wholesalers: Diversified,"11,646,000,000", St. Louis ,Missouri,63105,graybar.com,"10,000",Kathleen Mazzarella
368,Andersons,Food Production,"11,600,000,000", Maumee ,Ohio,43537,andersonsinc.com,"2,262",William Krueger
369,Williams,Pipelines,"11,580,000,000", Tulsa ,Oklahoma,74172,williams.com,"5,829",Alan Armstrong
370,Berry Global,"Packaging, Containers","11,500,000,000", Evansville ,Indiana,47710,berryglobal.com,"42,000",Kevin Kwilinski
371,Yum China,Food Services,"11,500,000,000", Plano ,Texas,75074,yumchina.com,"245,500",Joey Wat
372,Hershey,Food Consumer Products,"11,490,000,000", Hershey ,Pennsylvania,17033,thehersheycompany.com,"19,285",Michele Buck
373,Westlake,Chemicals,"11,480,000,000", Houston ,Texas,77056,westlake.com,"15,540",Jean-Marc Gilson
374,Conagra Brands,Food Consumer Products,"11,450,000,000", Chicago ,Illinois,60654,conagrabrands.com,"18,500",Sean Connolly
375,Caesars Entertainment,"Hotels, Casinos, Resorts","11,370,000,000", Reno ,Nevada,89501,caesars.com,"50,000",Thomas Reeg
376,Motorola Solutions,Network and Other Communications Equipment,"11,310,000,000", Chicago ,Illinois,60661,motorolasolutions.com,"21,000",Gregory Brown
377,Oscar Health,Health Care: Insurance and Managed Care,"11,290,000,000", New York ,New York,10013,hioscar.com,"2,400",Mark Bertolini
378,Molson Coors Beverage,Beverages,"11,210,000,000", Chicago ,Illinois,60606,molsoncoors.com,"16,800",Gavin Hattersley
379,Burlington Stores,Specialty Retailers: Apparel,"11,190,000,000", Burlington ,New Jersey,8016,burlingtoninvestors.com,"47,295",Michael OâSullivan
380,Expeditors International of Washington,Transportation and Logistics,"11,170,000,000", Bellevue ,Washington,98006,expeditors.com,"18,917",Daniel Wall
381,International Flavors & Fragrances,Chemicals,"11,070,000,000", New York ,New York,10019,iff.com,"22,400",Erik Fyrwald
382,Baxter International,Medical Products and Equipment,"11,020,000,000", Deerfield ,Illinois,60015,baxter.com,"38,000",Brent Shafer
383,Analog Devices,Semiconductors and Other Electronic Components,"11,020,000,000", Wilmington ,Massachusetts,1887,analog.com,"24,000",Vincent Roche
384,Hilton,"Hotels, Casinos, Resorts","11,000,000,000", McLean ,Virginia,22102,hilton.com,"181,000",Christopher Nassetta
385,Toll Brothers,Homebuilders,"10,970,000,000", Fort Washington ,Pennsylvania,19034,tollbrothers.com,"4,900",Douglas Yearley Jr.
386,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)","10,918,000,000", Minneapolis ,Minnesota,55415,thrivent.com,"3,983",Teresa Rasmussen
387,Quest Diagnostics,Health Care: Pharmacy and Other Services,"10,850,000,000", Secaucus ,New Jersey,7094,questdiagnostics.com,"50,500",James Davis
388,Interpublic,"Advertising, Marketing","10,800,000,000", New York ,New York,10022,interpublic.com,"53,300",Philippe Krakowsky
389,Westinghouse Air Brake Technologies,Industrial Machinery,"10,790,000,000", Pittsburgh ,Pennsylvania,15212,wabteccorp.com,"29,500",Rafael Santana
390,Owens & Minor,Wholesalers: Health Care,"10,770,000,000", Glen Allen ,Virginia,23060,owens-minor.com,"23,200",Edward Pesicka
391,Mohawk Industries,"Home Equipment, Furnishings","10,720,000,000", Calhoun ,Georgia,30701,mohawkind.com,"41,900",Jeffrey Lorberbaum
392,Ebay,Internet Services and Retailing,"10,710,000,000", San Jose ,California,95125,ebay.com,"11,500",Jamie Iannone
393,Delek US,Petroleum Refining,"10,670,000,000", Brentwood ,Tennessee,37027,delekus.com,"1,987",Avigal Soreq
394,NVR,Homebuilders,"10,580,000,000", Reston ,Virginia,20190,nvrinc.com,"7,000",Eugene Bredow
395,Cintas,Diversified Outsourcing Services,"10,560,000,000", Cincinnati ,Ohio,45262,cintas.com,"46,500",Todd Schneider
396,Ally Financial,Diversified Financials,"10,500,000,000", Detroit ,Michigan,48226,ally.com,"10,700",Michael Rhodes
397,Lululemon athletica,Specialty Retailers: Apparel,"10,500,000,000", Sumner ,Washington,98390,lululemon.com,"39,000",Calvin McDonald
398,A-Mark Precious Metals,Wholesalers: Diversified,"10,500,000,000", El Segundo ,California,90245,amark.com,486,Gregory Roberts
399,Fidelity National Information,Financial Data Services,"10,460,000,000", Jacksonville ,Florida,32202,fisglobal.com,"50,000",Stephanie Ferris
400,American Tower,Real Estate,"10,450,000,000", Boston ,Massachusetts,2116,americantower.com,"4,691",Steven Vondran
401,FM,Insurance: Property and Casualty (Stock),"10,414,000,000", Johnston ,Rhode Island,2919,fm.com,"5,845",Malcolm Roberts
402,Autoliv,Motor Vehicles & Parts,"10,400,000,000", Auburn Hills ,Michigan,48326,autoliv.com,"62,266",Mikael Bratt
403,Oshkosh,Construction and Farm Machinery,"10,330,000,000", Oshkosh ,Wisconsin,54902,oshkoshcorp.com,"18,500",John Pfeifer
404,Campbell's,Food Consumer Products,"10,160,000,000", Camden ,New Jersey,8103,thecampbellscompany.com,"14,400",Mick Beekhuizen
405,Western Digital,"Computers, Office Equipment","10,130,000,000", San Jose ,California,95119,westerndigital.com,"51,000",Tiang Yew Tan
406,Global Payments,Financial Data Services,"10,080,000,000", Atlanta ,Georgia,30326,globalpaymentsinc.com,"27,000",Cameron Bready
407,Biogen,Pharmaceuticals,"10,070,000,000", Cambridge ,Massachusetts,2142,biogen.com,"7,605",Christopher Viehbacher
408,AGCO,Construction and Farm Machinery,"10,050,000,000", Duluth ,Georgia,30096,agcocorp.com,"24,000",Eric Hansotia
409,Dana,Motor Vehicles & Parts,"9,960,000,000", Maumee ,Ohio,43537,dana.com,"39,600",Bruce McDonald
410,Welltower,Real Estate,"9,910,000,000", Toledo ,Ohio,43615,welltower.com,685,Shankh Mitra
411,THOR Industries,Motor Vehicles & Parts,"9,830,000,000", Elkhart ,Indiana,46514,thorindustries.com,"22,300",Robert Martin
412,Seaboard,Food Production,"9,820,000,000", Merriam ,Kansas,66202,seaboardcorp.com,"14,000",Robert Steer
413,Intercontinental Exchange,Securities,"9,750,000,000", Atlanta ,Georgia,30328,ice.com,"12,920",Jeffrey Sprecher
414,Concentrix,Information Technology Services,"9,720,000,000", Newark ,California,94560,concentrix.com,"450,000",Christopher Caldwell
415,Celanese,Chemicals,"9,710,000,000", Irving ,Texas,75039,celanese.com,"12,163",Scott Richardson
416,Vertiv,"Electronics, Electrical Equip.","9,700,000,000", Westerville ,Ohio,43082,vertiv.com,"31,000",Giordano Albertazzi
417,Synchrony Financial,Diversified Financials,"9,650,000,000", Stamford ,Connecticut,6902,synchrony.com,"20,000",Brian Doubles
418,Constellation Brands,Beverages,"9,620,000,000", Victor ,New York,14564,cbrands.com,"9,300",William Newlands
419,Intuitive Surgical,Medical Products and Equipment,"9,610,000,000", Sunnyvale ,California,94086,intuitive.com,"15,638",Gary Guthart
420,Palo Alto Networks,Network and Other Communications Equipment,"9,560,000,000", Santa Clara ,California,95054,paloaltonetworks.com,"15,289",Nikesh Arora
421,WEC Energy,Utilities: Gas and Electric,"9,550,000,000", Milwaukee ,Wisconsin,53203,wecenergygroup.com,"7,017",Scott Lauber
422,VF,Apparel,"9,540,000,000", Denver ,Colorado,80202,vfc.com,"24,000",Bracken Darrell
423,SpartanNash,Wholesalers: Food and Grocery,"9,500,000,000", Byron Center ,Michigan,49315,spartannash.com,"15,000",Tony Sarsam
424,QVC,Internet Services and Retailing,"9,500,000,000", Englewood ,Colorado,80112,qvcgrp.com,"18,984",David Rawlinson II
425,Ace Hardware,Wholesalers: Diversified,"9,491,000,000", Oak Brook ,Illinois,60523,acehardware.com,"12,500",John Venhuizen
426,Zoetis,Pharmaceuticals,"9,400,000,000", Parsippany ,New Jersey,7054,zoetis.com,"13,800",Kristin Peck
427,APA,"Mining, Crude-Oil Production","9,380,000,000", Houston ,Texas,77042,apacorp.com,"2,305",John Christmann IV
428,Skechers U.S.A.,Apparel,"9,300,000,000", Manhattan Beach ,California,90266,skechers.com,"15,100",Robert Greenberg
429,Icahn Enterprises,Diversified Financials,"9,260,000,000", Sunny Isles Beach ,Florida,33160,ielp.com,"15,037",Andrew Teno
430,Workday,Computer Software,"9,230,000,000", Pleasanton ,California,94588,workday.com,"20,482",Carl Eschenbach
431,CenterPoint Energy,Utilities: Gas and Electric,"9,110,000,000", Houston ,Texas,77002,centerpointenergy.com,"8,872",Jason Wells
432,JetBlue Airways,Airlines,"9,100,000,000", Long Island City ,New York,11101,jetblue.com,"19,822",Joanna Geraghty
433,Prologis,Real Estate,"9,100,000,000", San Francisco ,California,94111,prologis.com,"2,703",Hamid Moghadam
434,M&T Bank,Commercial Banks,"9,080,000,000", Buffalo ,New York,14203,mtb.com,"22,101",RenÃ© Jones
435,Equinix,Real Estate,"9,080,000,000", Redwood City ,California,94065,equinix.com,"13,606",Adaire Fox-Martin
436,Eastman Chemical,Chemicals,"9,020,000,000", Kingsport ,Tennessee,37660,eastman.com,"14,000",Mark Costa
437,Altice USA,Telecommunications,"9,000,000,000", Long Island City ,New York,11101,alticeusa.com,"10,900",Dennis Mathew
438,PPL,Utilities: Gas and Electric,"8,980,000,000", Allentown ,Pennsylvania,18101,pplweb.com,"6,653",Vincent Sorgi
