Sample,Sample Type,Carbonate Type,Location,Latitude,Longitude,Altitude（m）,Age(Ma),Age1(Ma),Period,Stage,Soil depth(cm),Burial depth（m）,N,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Temperature,δ18O water,Δ47Diagenetic alteration,reference
B11RB48IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,4,3.00 ,8.33 ,/,0.685 ,26.50 ,2.60 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14GB1IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,3,2.01 ,7.79 ,/,0.691 ,24.20 ,1.30 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14GB2ver2IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,4,1.44 ,7.29 ,/,0.687 ,25.60 ,0.90 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14GB3IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,3,2.36 ,7.61 ,/,0.690 ,24.50 ,1.20 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14GB5IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,3,3.34 ,7.61 ,/,0.713 ,17.00 ,-0.30 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14GB7IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,4,2.25 ,8.32 ,/,0.693 ,23.70 ,1.80 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14Mod1IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,5,-0.96 ,7.03 ,/,0.674 ,30.30 ,1.30 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14Mod2Ver2IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,4,0.07 ,7.43 ,/,0.681 ,27.80 ,1.40 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14RB3IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,3,2.38 ,8.49 ,/,0.677 ,29.20 ,3.30 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
B14RB6IZW,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,4,3.03 ,8.55 ,/,0.701 ,23.90 ,1.60 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
RB1,biogenic,calcite,Bermuda,32.40 ,-64.80 ,low elevation,0.013,0.013,Quaternary,Holocene,,,4,2.41 ,8.01 ,/,0.701 ,21.00 ,0.80 ,0,"Zhang, J.Z., Petersen, S.V., Winkelstern, I.Z., Lohmann, K.C., 2021. Seasonally Variable Aquifer Discharge and Cooler Climate in Bermuda During the Last Interglacial Revealed by Subannual Clumped Isotope Analysis. Paleoceanography and Paleoclimatology 36."
Earthworm biospherolit,Earthworm biospherolit,,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,4,-11.48 ,-4.72 ,/,0.745 ,8.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Up-shell,Up-shell,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,2,-6.65 ,-2.31 ,/,0.732 ,12.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
loess doll,loess doll,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,5,-6.98 ,-5.58 ,/,0.699 ,23.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Fine-rhizo B,Fine-rhizo B,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,4,-5.79 ,-5.94 ,/,0.674 ,32.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Fine-rhizo B Alex,Fine-rhizo B Alex,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-6.61 ,-5.87 ,/,0.689 ,27.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Large-rhizo,Large-rhizo,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-7.01 ,-6.11 ,/,0.725 ,15.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Large-rhizo Alex,Large-rhizo Alex,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-8.19 ,-6.01 ,/,0.733 ,12.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Fine-rhizo A,Fine-rhizo A,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-5.77 ,-6.00 ,/,0.712 ,19.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Fine-rhizo A Alex,Fine-rhizo A Alex,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,4,-6.22 ,-5.71 ,/,0.685 ,28.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
bulk loess,bulk loess,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-0.50 ,-5.59 ,/,0.558 ,91.00 ,,1,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Succinella oblonga,Succinella oblonga,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,4,-4.13 ,-4.02 ,/,0.661 ,38.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Pupilla muscorum,Pupilla muscorum,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,4,-6.15 ,-3.54 ,/,0.720 ,16.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Trochulus hispidus,Trochulus hispidus,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-5.75 ,-3.79 ,/,0.687 ,27.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Arianta arbustorum,Arianta arbustorum,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-8.13 ,-2.39 ,/,0.732 ,12.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
bulk paleosol,bulk paleosol,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-1.86 ,-5.31 ,/,0.578 ,78.00 ,,1,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Succinella oblonga,Succinella oblonga,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,5,-3.15 ,-3.81 ,/,0.665 ,36.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Pupilla muscorum,Pupilla muscorum,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,5,-4.76 ,-3.72 ,/,0.706 ,21.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Trochulus hispidus,Trochulus hispidus,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-4.61 ,-3.80 ,/,0.674 ,32.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
Arianta arbustorum,Arianta arbustorum,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,4,-7.96 ,-2.22 ,/,0.723 ,15.00 ,,0,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
bulk loess,bulk loess,aragonite,Nussloch， southwestern Germany ,49.18 ,8.43 ,low elevation,0.13,0.13,Quaternary,Pleistocene,,,3,-0.86 ,-5.44 ,/,0.518 ,120.00 ,,1,"Zamanian, K., Lechler, A.R., Schauer, A.J., Kuzyakov, Y., Huntington, K.W., 2021. The δ13C, δ18O and Δ47 records in biogenic, pedogenic and geogenic carbonate types from paleosol-loess sequence and their paleoenvironmental meaning. Quaternary Research 101, 256-272."
DL786,Cores,calcite,Dali Lake in northern China,25.00 ,100.00 ,low elevation,0.01,0.01,Quaternary,Holocene,,,2,2.87±0.004,-4.04±0.083,,0.744 ,18.4±1.5,,0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
DL787,Cores,calcite,Dali Lake in northern China,25.00 ,100.00 ,low elevation,0.01,0.01,Quaternary,Holocene,,,3,2.71±0.009,-4.54±0.182,,0.751 ,17.0±1.3,,0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
DL814,Cores,calcite,Dali Lake in northern China,25.00 ,100.00 ,low elevation,0.012,0.012,Quaternary,Holocene,,,3,1.54±0.021,-3.35±0.011,,0.746 ,17.9±1.3,,0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
DL895,Cores,calcite,Dali Lake in northern China,25.00 ,100.00 ,low elevation,0.012,0.012,Quaternary,Holocene,,,1,0.89±0.013,-4.69±0.022,,0.765 ,14.1±1.3,,0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
DL981,Cores,calcite,Dali Lake in northern China,25.00 ,100.00 ,low elevation,0.12,0.12,Quaternary,Holocene,,,3,2.28±0.002,-3.38±0.008,,0.764 ,14.6±1.3,,0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
DL1060,Cores,calcite,Dali Lake in northern China,25.00 ,100.00 ,low elevation,0.13,0.13,Quaternary,Holocene,,,3,2.10±0.001,-2.86±0.020,,0.731 ,20.9±1.6,,0,"Yue, J., Xiao, J., Wang, X., Fan, J., Qin, B., 2021. Clumped isotope analysis of lacustrine endogenic carbonates and implications for paleo-temperature reconstruction: A case study from Dali Lake. Science China Earth Sciences 64, 294-306."
KL-Shell-1, fossil shells ,aragonite,KunlunPass，Tibetan Plateau，China,35.00 ,94.50 ,2000-3000m,3.6-4.2,3.9,Neogene,Zanclean,,,,1.30 ,-7.90 ,0.691,,3.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
KL-Shell-1（rpt）, fossil shells ,aragonite,KunlunPass，Tibetan Plateau，China,35.00 ,94.50 ,2000-3000m,3.6-4.2,3.9,Neogene,Zanclean,,,,1.30 ,-7.90 ,0.703,,-1.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
KLPS-15-shells, fossil shells ,aragonite(pure),KunlunPass，Tibetan Plateau，China,35.00 ,94.50 ,2000-3000m,3.6-4.2,3.9,Neogene,Zanclean,,,,-0.90 ,-5.60 ,0.714,,-4.00 ,,NA,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-25a, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,5.3,5.3,Neogene,Zanclean,,,,1.00 ,-1.50 ,0.676,,8.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-19a, fossil shells ,aragonite,Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.4,4.4,Neogene,Zanclean,,,,-0.50 ,-4.00 ,0.685,,5.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-6, fossil shells ,aragonite,Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4,4,Neogene,Zanclean,,,,-0.60 ,-3.30 ,0.716,,-5.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-6a, fossil shells ,aragonite,Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4,4,Neogene,Zanclean,,,,-2.40 ,-3.90 ,0.7,,0.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-9, fossil shells ,aragonite,Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,3.7,3.7,Neogene,Zanclean,,,,-0.10 ,-2.80 ,0.708,,-2.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-19b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.4,4.4,Neogene,Zanclean,,,,1.10 ,-2.50 ,,0.707 ,21.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-20b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.2,4.2,Neogene,Zanclean,,,,-0.30 ,-4.70 ,,0.711 ,19.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-20c, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.2,4.2,Neogene,Zanclean,,,,-0.30 ,-2.70 ,,0.737 ,10.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-24a, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,5.1,5.1,Neogene,Zanclean,,,,1.60 ,-1.00 ,,0.719 ,16.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-24b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,5.1,5.1,Neogene,Zanclean,,,,1.10 ,-1.10 ,,0.738 ,10.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-6b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4,4,Neogene,Zanclean,,,,-1.20 ,-2.90 ,,0.718 ,17.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-9b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,3.7,3.7,Neogene,Zanclean,,,,-0.70 ,-2.20 ,,0.736 ,10.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-19b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.4,4.4,Neogene,Zanclean,,,,1.10 ,-2.60 ,,0.730 ,12.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-19b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.4,4.4,Neogene,Zanclean,,,,1.10 ,-2.60 ,,0.735 ,11.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-20b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.2,4.2,Neogene,Zanclean,,,,-0.30 ,-4.80 ,,0.742 ,8.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-20b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.2,4.2,Neogene,Zanclean,,,,-0.30 ,-4.80 ,,0.692 ,27.00 ,,0,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
TBO7S-21b, fossil shells ,aragonite(pure),Zanda，Tibetan Plateau，China,31.50 ,80.00 ,2000-3000m,4.3,4.3,Neogene,Zanclean,,,,-2.70 ,-2.10 ,,0.725 ,14.00 ,,1,"Wang, Y., Passey, B., Roy, R., Deng, T., Jiang, S., Hannold, C., Wang, X., Lochner, E., Tripati, A., 2021. Clumped isotope thermometry of modern and fossil snail shells from the Himalayan-Tibetan Plateau: Implications for paleoclimate and paleoelevation reconstructions. GSA Bulletin 133, 1370-1380."
