Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin
EK7341,2024-10-29,DXB,LHE,DXB-LHE,Airbus A350-900,325,227,0.7003,3.5,Shoulder,Medium Haul,Medium,81983.65,11215.68,93199.33,21950.0,8400.0,4550.0,12250.0,2275.0,3301.8,3120.45,2160.22,1517.88,13357.08,6165.91,18418.12,4432.68,2306.74,104205.89,-11006.57,-11.81
EK3794,2024-05-25,DXB,CAI,DXB-CAI,Airbus A350-900,325,234,0.7222,3.5,Normal,Short Haul,Medium,71748.97,10404.58,82153.55,19018.22,8400.0,4550.0,12250.0,2275.0,4242.34,3628.92,5400.5,1946.06,10569.9,3671.69,18568.52,2726.8,3374.01,100621.98,-18468.43,-22.48
EK7827,2024-11-24,DXB,BOM,DXB-BOM,Airbus A350-900,325,290,0.8937,3.2,Shoulder,Medium Haul,High,193570.9,25194.52,218765.42,17681.62,7680.0,4160.0,11200.0,2080.0,7868.75,8772.5,5681.76,2291.57,35200.1,7705.16,20071.76,8595.62,2645.09,141633.93,77131.49,35.26
EK2965,2024-03-13,DXB,SFO,DXB-SFO,Boeing 777-300ER,396,277,0.6997,16.5,Shoulder,Long Haul,Medium,316113.59,45330.98,361444.57,152302.51,57750.0,24750.0,74250.0,13200.0,2211.91,6492.04,2284.62,9795.67,52760.16,5295.64,114948.36,19151.94,3615.43,538808.3,-177363.73,-49.07
EK1469,2024-01-16,DXB,MEL,DXB-MEL,Boeing 777-300ER,396,306,0.7732,13.5,Peak,Long Haul,Medium,392865.69,46227.89,439093.58,104907.52,47250.0,20250.0,60750.0,10800.0,4131.97,6914.7,,10390.47,78469.99,8092.84,76772.31,25553.0,4529.34,464756.7,-25663.12,-5.84
EK5864,2024-08-20,DXB,DEL,DXB-DEL,Airbus A350-900,325,259,0.7988,3.5,Low,Medium Haul,High,145562.05,21118.22,166680.27,19863.59,8400.0,4550.0,12250.0,2275.0,6976.39,4120.6,2034.09,2146.41,22206.27,7752.89,15213.21,7973.09,3486.44,119248.0,47432.27,28.46
EK2429,2024-03-05,DXB,BAH,DXB-BAH,Airbus A320,180,144,0.8055,1.3,Shoulder,Short Haul,High,25061.5,3116.77,28178.27,2990.22,1495.0,1014.0,2210.0,364.0,4376.63,2820.1,,881.33,3792.27,2930.98,4991.57,1679.45,1194.24,32873.3,-4695.03,-16.66
EK1247,2024-01-28,DXB,IST,DXB-IST,Airbus A350-900,325,304,0.9383,5.0,Peak,Medium Haul,High,293116.18,32644.76,325760.93,28442.16,12000.0,6500.0,17500.0,3250.0,2458.25,10434.0,5638.94,2277.15,45527.4,7032.59,23338.57,15063.39,4134.62,183597.06,142163.87,43.64
EK3348,2024-04-10,DXB,KHI,DXB-KHI,Airbus A320,180,132,0.7365,2.5,Shoulder,Medium Haul,Medium,99853.92,,112625.75,6469.95,2875.0,1950.0,4250.0,700.0,4652.95,4214.73,3370.6,1561.45,17371.84,2063.25,9151.5,6054.7,1572.66,66258.62,46367.13,41.17
EK7582,2024-10-02,DXB,LAX,DXB-LAX,Boeing 777-300ER,396,316,0.8001,16.0,Shoulder,Long Haul,Medium,327397.19,38722.28,366119.47,123892.41,56000.0,24000.0,72000.0,12800.0,2547.06,10323.22,3153.55,9792.81,53795.82,7559.45,93140.35,19690.92,2914.14,491609.74,-125490.26,-34.28
EK1865,2024-02-20,DXB,BOM,DXB-BOM,Airbus A350-900,325,308,0.95,3.2,Peak,Medium Haul,High,273545.95,37084.3,310630.26,19964.65,7680.0,4160.0,11200.0,2080.0,4908.01,8271.27,5189.8,1553.07,47002.76,6529.0,19387.23,17309.53,3206.99,158442.31,152187.95,48.99
EK1761,2024-02-02,DXB,BAH,DXB-BAH,Airbus A320,180,165,0.9195,1.3,Peak,Short Haul,High,26967.35,3764.69,30732.04,2956.29,1495.0,1014.0,2210.0,364.0,4806.78,3606.8,5865.15,908.1,5059.28,3760.36,5793.73,1315.19,2297.75,41452.43,-10720.39,-34.88
EK8841,2024-12-10,DXB,BKK,DXB-BKK,Airbus A350-900,325,239,0.736,6.5,Peak,Long Haul,Medium,434065.16,51276.65,485341.8,35332.73,15600.0,8450.0,22750.0,4225.0,2908.65,7603.33,2954.23,3120.81,67113.01,4374.29,28625.7,24207.29,2905.72,230170.77,255171.04,52.58
EK4443,2024-06-25,DXB,JED,DXB-JED,Boeing 737-800,189,128,0.6815,3.0,Low,Short Haul,Medium,15694.1,1616.62,17310.72,7114.99,3600.0,2400.0,5400.0,900.0,4164.67,2637.16,5593.38,2387.43,2894.46,2136.3,8704.27,862.22,1452.81,50247.68,-32936.96,-190.27
EK3031,2024-04-17,DXB,MCT,DXB-MCT,Airbus A320,180,155,0.8663,1.2,Shoulder,Short Haul,High,40765.83,5298.55,46064.38,3110.55,1380.0,936.0,2040.0,336.0,3480.63,2988.06,5727.97,645.25,6045.38,2930.27,5139.3,1828.5,2284.05,38871.97,7192.41,15.61
EK8913,2024-12-16,DXB,FRA,DXB-FRA,Boeing 787-9,296,269,0.9102,6.5,Peak,Long Haul,High,459490.48,56632.25,516122.73,37108.63,14300.0,7800.0,20800.0,3900.0,10457.77,3267.88,4811.35,3354.59,75448.46,6353.91,35276.61,16582.63,3260.3,242722.14,273400.59,52.97
EK3542,2024-04-11,DXB,CDG,DXB-CDG,Airbus A380,517,462,0.8941,7.5,Shoulder,Long Haul,High,884632.54,115876.74,1000509.28,95261.46,37500.0,15000.0,45000.0,7500.0,6602.79,6169.31,2711.03,5317.1,156316.02,7629.94,61237.68,57740.97,5876.06,509862.36,490646.93,49.04
EK1425,2024-01-11,DXB,JFK,DXB-JFK,Boeing 787-9,296,265,0.8985,14.0,Peak,Long Haul,High,581931.25,67180.8,649112.06,84551.16,30800.0,16800.0,44800.0,8400.0,6740.78,9255.79,4826.09,9543.19,96520.99,7269.03,61749.59,26809.15,3940.02,412005.79,237106.27,36.53
EK8491,2024-12-23,DXB,BOM,DXB-BOM,Airbus A350-900,325,297,0.915,3.2,Peak,Medium Haul,High,220409.9,26025.89,246435.79,20360.81,7680.0,4160.0,11200.0,2080.0,5457.35,9642.81,2031.91,2411.02,38288.69,5333.74,16773.9,13764.25,3216.42,142400.9,104034.9,42.22
EK4165,2024-05-04,DXB,HKG,DXB-HKG,Airbus A380,517,418,0.8093,8.5,Normal,Long Haul,High,845392.96,90304.71,935697.67,97148.41,42500.0,17000.0,51000.0,8500.0,7680.87,8933.52,5812.74,5081.09,156044.86,7643.74,79108.3,46137.43,4460.48,537051.43,398646.24,42.6
EK5248,2024-07-07,DXB,LHR,DXB-LHR,Airbus A380,517,396,0.7665,7.0,Low,Medium Haul,High,267159.9,39313.14,306473.04,79289.22,35000.0,14000.0,42000.0,7000.0,7215.09,11377.06,4040.88,3012.77,40875.68,10773.47,66255.17,12251.03,5331.48,338421.85,-31948.81,-10.42
EK1228,2024-01-25,DXB,DEL,DXB-DEL,Airbus A350-900,325,308,0.95,3.5,Peak,Medium Haul,High,205438.66,21119.49,226558.15,22157.74,8400.0,4550.0,12250.0,2275.0,4285.54,7026.52,2768.77,1570.75,38626.43,8395.7,21205.48,12017.63,3000.76,148530.33,78027.83,34.44
EK5998,2024-08-19,DXB,KHI,DXB-KHI,Boeing 737-800,189,128,0.6793,2.5,Low,Medium Haul,Medium,93564.74,13161.69,106726.43,6294.78,3000.0,2000.0,4500.0,750.0,3752.47,2430.64,4401.38,1354.06,14960.37,3609.37,8995.76,5757.93,1712.77,63519.54,43206.89,40.48
EK3107,2024-04-16,DXB,RUH,DXB-RUH,Boeing 737-800,189,142,0.7555,2.2,Shoulder,Short Haul,Medium,36449.88,4899.55,41349.43,5538.42,2640.0,1760.0,3960.0,660.0,2102.53,2275.24,2800.39,1095.03,6169.37,2999.23,6850.64,1626.16,2044.39,42521.41,-1171.98,-2.83
EK1693,2024-02-14,DXB,DOH,DXB-DOH,Boeing 737-800,189,179,0.9492,1.5,Peak,Short Haul,High,32645.32,3492.6,36137.93,3467.19,1800.0,1200.0,2700.0,450.0,4280.37,6241.08,2164.14,676.45,4488.94,2973.53,6769.39,1188.1,2363.01,40762.2,-4624.27,-12.8
EK2041,2024-02-16,DXB,LHE,DXB-LHE,Boeing 787-9,296,257,0.8687,3.5,Peak,Medium Haul,Medium,180827.31,26036.46,206863.77,17546.5,7700.0,4200.0,11200.0,2100.0,4340.23,7525.27,3571.29,2731.93,36089.54,6213.21,18122.86,6937.62,2492.67,130771.11,76092.66,36.78
EK6807,2024-09-19,DXB,HKG,DXB-HKG,Airbus A380,517,429,0.8312,8.5,Normal,Long Haul,High,705749.81,94965.7,800715.5,107783.77,42500.0,17000.0,51000.0,8500.0,7583.31,13791.38,4776.72,6698.06,97637.99,8001.71,81272.31,27070.35,5343.95,478959.53,321755.97,40.18
EK2188,2024-02-24,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,355,0.8986,8.5,Peak,Long Haul,High,625594.81,78725.37,704320.18,69135.79,29750.0,12750.0,38250.0,6800.0,6050.52,7641.0,5646.46,4459.33,88059.24,6848.31,46685.41,21585.44,2911.86,346573.37,357746.82,50.79
EK8152,2024-11-21,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,312,0.7901,8.5,Shoulder,Long Haul,High,478880.44,58989.96,537870.39,75071.53,29750.0,12750.0,38250.0,6800.0,6505.57,6929.94,3911.69,6094.23,74002.75,5638.47,50799.07,23118.74,2845.65,342467.65,195402.74,36.33
EK4660,2024-06-09,DXB,KHI,DXB-KHI,Airbus A320,180,111,0.6168,2.5,Low,Medium Haul,Medium,64221.4,6862.73,71084.13,5833.38,2875.0,1950.0,4250.0,700.0,3349.38,2897.36,2621.28,1585.43,12080.16,2311.19,7645.56,4053.27,1394.12,53546.14,17537.99,24.67
EK4813,2024-06-08,DXB,SIN,DXB-SIN,Boeing 777-300ER,396,286,0.7227,7.5,Low,Long Haul,High,467483.01,48334.9,515817.91,59692.76,26250.0,11250.0,33750.0,6000.0,6362.78,7023.95,4845.81,3275.45,78929.93,5240.96,49591.46,23376.95,3154.2,318744.25,197073.65,38.21
EK6777,2024-09-30,DXB,MEL,DXB-MEL,Airbus A350-900,325,251,0.7748,13.5,Normal,Long Haul,Medium,353847.45,43387.21,397234.66,78805.41,32400.0,17550.0,47250.0,8775.0,4581.84,7462.86,4309.19,10677.54,54394.39,7272.04,64383.92,14081.85,3681.11,355625.17,41609.49,10.47
EK7721,2024-11-04,DXB,BAH,DXB-BAH,Boeing 737-800,189,177,0.94,1.3,Shoulder,Short Haul,High,55056.62,6029.14,61085.76,3369.94,1560.0,1040.0,2340.0,390.0,4080.5,4998.07,4992.18,876.64,9475.89,4979.88,7818.02,2288.67,1811.07,50020.87,11064.89,18.11
EK5816,2024-08-08,DXB,AMM,DXB-AMM,Airbus A350-900,325,193,0.595,3.2,Low,Short Haul,Medium,24770.58,3625.24,28395.82,19156.28,7680.0,4160.0,11200.0,2080.0,3434.32,5446.01,3587.39,1913.72,4284.5,4166.63,19105.65,1637.51,2059.19,89911.2,-61515.38,-216.64
EK2128,2024-02-22,DXB,MEL,DXB-MEL,Airbus A350-900,325,289,0.8901,13.5,Peak,Long Haul,Medium,504085.35,55703.9,559789.25,77169.91,32400.0,17550.0,47250.0,8775.0,3535.18,6200.08,4100.49,7552.41,96101.64,8494.37,62743.22,19328.48,3513.01,394713.78,165075.47,29.49
EK6471,2024-09-29,DXB,CAI,DXB-CAI,Boeing 787-9,296,220,0.7439,3.5,Normal,Short Haul,Medium,54720.09,,61519.04,21166.91,7700.0,4200.0,11200.0,2100.0,3475.28,5560.92,2256.98,2584.11,10977.66,6407.96,15477.38,3278.19,2785.86,99171.25,-37652.21,-61.2
EK8518,2024-12-18,DXB,DEL,DXB-DEL,Airbus A350-900,325,289,0.8901,3.5,Peak,Medium Haul,High,173661.68,25726.07,199387.75,22142.91,8400.0,4550.0,12250.0,2275.0,4688.25,8783.92,,2691.86,25065.71,5336.5,22200.15,6348.99,3544.44,133026.48,66361.27,33.28
EK8199,2024-11-18,DXB,CDG,DXB-CDG,Boeing 787-9,296,240,0.8114,7.5,Shoulder,Long Haul,High,293798.45,33824.12,327622.57,40233.97,16500.0,9000.0,24000.0,4500.0,10542.09,6662.74,3814.87,4985.18,55698.08,6963.43,34766.49,13349.46,2744.55,233760.86,93861.71,28.65
EK1058,2024-01-08,DXB,MCT,DXB-MCT,Boeing 737-800,189,179,0.95,1.2,Peak,Short Haul,High,30293.27,3671.57,33964.84,3064.25,1440.0,960.0,2160.0,360.0,3242.55,3035.5,4049.39,764.7,4779.21,2982.74,5819.85,1555.86,1818.45,36032.49,-2067.65,-6.09
EK2669,2024-03-21,DXB,MAA,DXB-MAA,Boeing 787-9,296,195,0.6595,4.5,Shoulder,Medium Haul,Medium,84257.38,11162.48,95419.86,23284.32,9900.0,5400.0,14400.0,2700.0,4352.18,3956.76,2514.38,2964.11,11881.99,4899.07,18387.89,4075.85,2825.98,111542.53,-16122.67,-16.9
EK3275,2024-04-03,DXB,LHR,DXB-LHR,Boeing 777-300ER,396,350,0.8842,7.0,Shoulder,Medium Haul,High,167097.26,18898.62,185995.87,55760.6,24500.0,10500.0,31500.0,5600.0,10412.2,5067.17,5640.08,4869.6,26158.82,8265.16,46473.58,9187.96,3118.63,247053.82,-61057.94,-32.83
EK6747,2024-09-08,DXB,SYD,DXB-SYD,Boeing 787-9,296,245,0.8307,14.5,Normal,Long Haul,High,266114.74,33322.08,299436.81,77771.19,31900.0,17400.0,46400.0,8700.0,8745.67,,3529.94,11019.27,38550.42,7290.15,68787.71,12455.94,2124.7,337923.44,-38486.63,-12.85
EK2313,2024-02-08,DXB,SFO,DXB-SFO,Boeing 777-300ER,396,291,0.7364,16.5,Peak,Long Haul,Medium,409427.26,46620.19,456047.44,128917.16,57750.0,24750.0,74250.0,13200.0,2920.46,8717.58,3356.21,10173.88,73118.57,6239.52,87115.14,20795.95,3698.83,515003.31,-58955.86,-12.93
EK4910,2024-06-10,DXB,FRA,DXB-FRA,Airbus A380,517,416,0.8062,6.5,Low,Long Haul,High,585889.53,81404.7,667294.24,71703.22,32500.0,13000.0,39000.0,6500.0,7794.34,8570.62,3235.71,3586.29,100788.1,10892.4,46024.93,39905.11,6069.78,389570.51,277723.73,41.62
EK1096,2024-01-19,DXB,BAH,DXB-BAH,Airbus A320,180,165,0.918,1.3,Peak,Short Haul,High,45219.48,5081.46,50300.94,3278.96,1495.0,1014.0,2210.0,364.0,4619.41,2290.7,3786.99,552.11,8160.12,2668.3,5840.02,2335.45,1903.84,40518.89,9782.05,19.45
EK4680,2024-06-07,DXB,LHE,DXB-LHE,Airbus A350-900,325,229,0.7053,3.5,Low,Medium Haul,Medium,127686.25,14090.74,141776.99,20347.38,8400.0,4550.0,12250.0,2275.0,2107.66,5485.2,4421.48,2635.57,20370.0,3743.73,15269.18,6153.77,2525.94,110534.91,31242.08,22.04
EK1960,2024-02-14,DXB,BLR,DXB-BLR,Boeing 787-9,296,254,0.86,4.5,Peak,Medium Haul,Medium,96827.41,10301.11,107128.52,23189.93,9900.0,5400.0,14400.0,2700.0,2274.21,8124.24,5717.18,2057.74,17863.46,4712.32,23510.83,6331.01,2911.49,129092.42,-21963.89,-20.5
EK6093,2024-08-05,DXB,SYD,DXB-SYD,Boeing 787-9,296,227,0.7693,14.5,Low,Long Haul,High,398199.26,44274.88,442474.14,87442.08,31900.0,17400.0,46400.0,8700.0,7728.94,4712.06,3624.8,9081.68,56132.0,5037.27,72374.76,24236.39,2489.27,377259.23,65214.91,14.74
EK4328,2024-06-19,DXB,DOH,DXB-DOH,Airbus A320,180,130,0.7249,1.5,Low,Short Haul,High,33805.47,4294.77,38100.25,3939.52,1725.0,1170.0,2550.0,420.0,2326.27,1981.3,3166.09,981.34,6010.92,2813.69,4690.13,1663.45,1742.61,35180.31,2919.93,7.66
EK1877,2024-02-25,DXB,DEL,DXB-DEL,Boeing 787-9,296,262,0.8863,3.5,Peak,Medium Haul,High,148898.16,22225.79,171123.95,18530.45,7700.0,4200.0,11200.0,2100.0,4520.03,5501.15,3143.48,2278.83,25251.51,4931.25,17535.71,8529.63,3146.3,118568.34,52555.61,30.71
EK8011,2024-11-27,DXB,LHE,DXB-LHE,Boeing 787-9,296,220,0.744,3.5,Shoulder,Medium Haul,Medium,90430.67,10067.47,100498.14,18964.11,7700.0,4200.0,11200.0,2100.0,3472.85,3359.02,3714.89,2459.58,15854.15,4764.78,14665.39,5139.78,2240.73,99835.28,662.86,0.66
EK1156,2024-01-16,DXB,CAI,DXB-CAI,Airbus A350-900,325,242,0.7464,3.5,Peak,Short Haul,Medium,54642.98,6805.64,61448.63,19128.92,8400.0,4550.0,12250.0,2275.0,2011.45,3391.74,5295.59,1689.73,9678.49,5373.59,14881.44,3019.94,3591.14,95537.02,-34088.4,-55.47
EK5975,2024-08-09,DXB,HYD,DXB-HYD,Boeing 787-9,296,172,0.5833,4.2,Low,Medium Haul,Medium,97067.0,13051.52,110118.52,23995.22,9240.0,5040.0,13440.0,2520.0,2986.22,3475.95,5177.25,2379.44,16724.82,5011.24,18921.01,6011.94,1611.45,116534.55,-6416.02,-5.83
EK6885,2024-09-06,DXB,CDG,DXB-CDG,Boeing 787-9,296,248,0.8408,7.5,Normal,Long Haul,High,270033.56,36822.44,306856.0,37244.26,16500.0,9000.0,24000.0,4500.0,11582.81,3176.16,2546.2,4593.33,39168.63,3944.3,31464.97,18363.74,2172.81,208257.21,98598.79,32.13
EK1611,2024-01-08,DXB,FRA,DXB-FRA,Boeing 777-300ER,396,353,0.8938,6.5,Peak,Long Haul,High,497743.56,68568.4,566311.95,51275.35,22750.0,9750.0,29250.0,5200.0,8885.59,5537.09,5888.38,3014.55,101136.13,10475.35,40054.18,24108.06,4285.39,321610.07,244701.89,43.21
EK7532,2024-10-22,DXB,CDG,DXB-CDG,Boeing 787-9,296,274,0.9289,7.5,Shoulder,Long Haul,High,497741.24,65218.27,562959.51,40467.53,16500.0,9000.0,24000.0,4500.0,8868.26,6101.25,4786.46,3356.5,98782.97,5463.7,32736.01,19143.95,2714.73,276421.37,286538.14,50.9
EK6665,2024-09-25,DXB,KHI,DXB-KHI,Boeing 737-800,189,130,0.689,2.5,Normal,Medium Haul,Medium,105529.77,15356.98,120886.76,5731.18,3000.0,2000.0,4500.0,750.0,4810.01,4049.69,3385.84,1500.46,17623.08,3514.68,7812.66,6817.07,1212.8,66707.48,54179.28,44.82
EK6100,2024-08-16,DXB,SYD,DXB-SYD,Boeing 787-9,296,229,0.7748,14.5,Low,Long Haul,High,277428.1,38694.5,316122.59,73986.51,31900.0,17400.0,46400.0,8700.0,8292.08,7920.42,4545.0,6769.49,49158.55,6656.33,60380.77,13934.6,2927.51,338971.27,-22848.68,-7.23
EK1447,2024-01-09,DXB,SYD,DXB-SYD,Boeing 777-300ER,396,361,0.9133,14.5,Peak,Long Haul,High,579415.42,61172.61,640588.03,127414.56,50750.0,21750.0,65250.0,11600.0,10097.77,10729.16,2521.23,9215.68,90729.12,9801.34,97324.51,30838.81,3490.06,541512.26,99075.77,15.47
EK2606,2024-03-13,DXB,LHR,DXB-LHR,Airbus A380,517,435,0.8419,7.0,Shoulder,Medium Haul,High,219206.04,28798.32,248004.35,83649.47,35000.0,14000.0,42000.0,7000.0,11381.1,12419.04,2494.01,3228.8,30357.94,7026.19,64365.59,14057.72,3906.1,330885.95,-82881.6,-33.42
EK3776,2024-05-28,DXB,JED,DXB-JED,Airbus A320,180,122,0.6779,3.0,Normal,Short Haul,Medium,23722.28,2637.66,26359.94,6605.75,3450.0,2340.0,5100.0,840.0,3699.56,1791.12,2118.33,1682.42,4184.88,2895.78,6951.73,1450.43,1078.92,44188.92,-17828.98,-67.64
EK2533,2024-03-23,DXB,BOM,DXB-BOM,Boeing 777-300ER,396,330,0.8356,3.2,Shoulder,Medium Haul,High,278245.66,32248.68,310494.34,28145.33,11200.0,4800.0,14400.0,2560.0,4672.07,4854.71,3726.49,1435.44,52749.18,5264.19,19198.41,16113.4,4634.64,173753.86,136740.48,44.04
EK1592,2024-01-03,DXB,FRA,DXB-FRA,Airbus A380,517,487,0.9427,6.5,Peak,Long Haul,High,757941.45,85493.12,843434.57,83187.81,32500.0,13000.0,39000.0,6500.0,6142.07,10632.41,3529.63,4205.65,129453.79,12703.52,64133.22,36438.98,4829.94,446257.01,397177.57,47.09
EK6810,2024-09-30,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,332,0.8388,8.5,Normal,Long Haul,High,731869.93,87299.55,819169.49,69591.28,29750.0,12750.0,38250.0,6800.0,7182.83,5345.18,2825.2,4072.87,116573.16,9875.11,44097.42,40752.67,3645.0,391510.73,427658.76,52.21
EK5742,2024-08-28,DXB,BAH,DXB-BAH,Boeing 737-800,189,142,0.7539,1.3,Low,Short Haul,High,39947.29,,45852.8,3172.01,1560.0,1040.0,2340.0,390.0,2084.71,3691.29,4884.19,967.45,6839.81,2648.45,6636.36,2135.55,1297.94,39687.75,6165.05,13.45
EK8157,2024-11-16,DXB,HKG,DXB-HKG,Boeing 787-9,296,248,0.8385,8.5,Shoulder,Long Haul,High,259733.35,38063.11,297796.46,45982.55,18700.0,10200.0,27200.0,5100.0,7382.23,6914.9,5814.96,4537.24,42989.86,7305.08,33181.37,17378.12,2618.64,235304.96,62491.5,20.98
EK7342,2024-10-05,DXB,LHE,DXB-LHE,Boeing 787-9,296,215,0.7264,3.5,Shoulder,Medium Haul,Medium,112121.71,15122.88,127244.59,21070.49,7700.0,4200.0,11200.0,2100.0,4839.46,3489.76,3497.8,1558.67,19933.23,4546.61,18179.31,7630.7,2773.38,112719.4,14525.19,11.42
EK2670,2024-03-09,DXB,KHI,DXB-KHI,Airbus A320,180,138,0.7693,2.5,Shoulder,Medium Haul,Medium,69718.78,7403.07,77121.84,5891.23,2875.0,1950.0,4250.0,700.0,4889.96,2648.41,5057.79,1141.67,11896.24,3335.0,7829.06,4146.32,1186.37,57797.05,19324.79,25.06
EK2726,2024-03-01,DXB,JFK,DXB-JFK,Boeing 787-9,296,252,0.8526,14.0,Shoulder,Long Haul,High,408449.71,44729.17,453178.88,71653.57,30800.0,16800.0,44800.0,8400.0,9644.13,5164.35,2347.8,8779.49,81279.85,6301.44,65136.42,25800.88,2998.53,379906.46,73272.43,16.17
EK1847,2024-02-14,DXB,AMM,DXB-AMM,Boeing 787-9,296,250,0.8465,3.2,Peak,Short Haul,Medium,47844.09,4869.96,52714.06,19081.33,7040.0,3840.0,10240.0,1920.0,4100.01,6647.62,2415.35,1926.6,6544.31,7022.2,16256.58,2394.57,2117.18,91545.77,-38831.71,-73.66
EK2480,2024-03-25,DXB,CAI,DXB-CAI,Boeing 787-9,296,211,0.714,3.5,Shoulder,Short Haul,Medium,37813.66,4846.17,42659.83,19705.77,7700.0,4200.0,11200.0,2100.0,4663.57,6381.32,3916.53,1734.85,5210.72,5738.59,15147.43,1543.36,1922.68,91164.82,-48504.99,-113.7
EK1624,2024-01-11,DXB,LAX,DXB-LAX,Airbus A350-900,325,247,0.7604,16.0,Peak,Long Haul,Medium,281483.49,41481.53,322965.03,100373.0,38400.0,20800.0,56000.0,10400.0,4140.84,5752.29,4816.87,9293.52,57024.28,7358.9,65350.35,14905.44,3142.5,397757.98,-74792.95,-23.16
EK4491,2024-06-28,DXB,AMM,DXB-AMM,Boeing 787-9,296,196,0.6651,3.2,Low,Short Haul,Medium,25147.82,,28482.58,17500.49,7040.0,3840.0,10240.0,1920.0,3450.01,3257.61,3131.75,1665.07,4344.71,5581.76,13214.23,1321.25,2300.55,78807.43,-50324.85,-176.69
EK4209,2024-05-15,DXB,KUL,DXB-KUL,Boeing 777-300ER,396,298,0.7539,7.5,Normal,Long Haul,Medium,352756.04,46527.73,399283.77,57872.48,26250.0,11250.0,33750.0,6000.0,3494.3,6630.68,3879.29,3725.81,69484.51,6344.15,45290.98,17181.6,3654.24,294808.04,104475.73,26.17
EK4527,2024-06-06,DXB,DEL,DXB-DEL,Boeing 777-300ER,396,284,0.719,3.5,Low,Medium Haul,High,115969.65,15170.48,131140.13,29931.54,12250.0,5250.0,15750.0,2800.0,6079.72,6507.6,5644.23,1952.08,18348.36,5747.73,27759.93,5807.28,4185.92,148014.4,-16874.27,-12.87
EK5252,2024-07-27,DXB,LHR,DXB-LHR,Airbus A380,517,413,0.8001,7.0,Low,Medium Haul,High,276949.35,35876.22,312825.57,87661.44,35000.0,14000.0,42000.0,7000.0,11721.55,14207.43,3765.33,5043.88,48337.11,6735.58,62320.87,12935.41,4033.72,354762.31,-41936.74,-13.41
EK5108,2024-07-15,DXB,RUH,DXB-RUH,Airbus A320,180,131,0.7323,2.2,Low,Short Haul,Medium,19226.68,2209.34,21436.01,4762.01,2530.0,1716.0,3740.0,616.0,3623.72,4462.72,4645.16,1516.95,2693.84,3126.25,6885.55,712.73,1498.43,42529.35,-21093.33,-98.4
EK1756,2024-02-20,DXB,BAH,DXB-BAH,Boeing 737-800,189,167,0.8866,1.3,Peak,Short Haul,High,55580.05,7527.98,63108.03,3181.57,1560.0,1040.0,2340.0,390.0,2665.64,2547.18,2408.7,895.05,7931.07,4007.64,4882.21,3383.93,1972.38,39205.36,23902.66,37.88
EK2623,2024-03-22,DXB,BLR,DXB-BLR,Airbus A350-900,325,215,0.6643,4.5,Shoulder,Medium Haul,Medium,101967.2,14744.76,116711.95,26599.24,10800.0,5850.0,15750.0,2925.0,3733.79,,5239.42,2853.48,14789.29,3512.18,21671.83,4163.64,2276.19,123479.41,-6767.45,-5.8
EK8308,2024-12-23,DXB,DOH,DXB-DOH,Boeing 737-800,189,174,0.9238,1.5,Peak,Short Haul,High,45345.08,4641.36,49986.45,3464.46,1800.0,1200.0,2700.0,450.0,3401.67,5783.49,5350.27,1070.92,8290.85,4781.79,7350.63,2360.58,1974.26,49978.92,7.53,0.02
EK6469,2024-09-28,DXB,CAI,DXB-CAI,Boeing 787-9,296,225,0.7631,3.5,Normal,Short Haul,Medium,37723.67,4954.08,42677.75,20206.48,7700.0,4200.0,11200.0,2100.0,2368.02,4202.18,4041.35,1411.12,7011.43,5712.76,14519.62,2364.91,2254.97,89292.84,-46615.09,-109.23
EK7111,2024-10-22,DXB,JED,DXB-JED,Boeing 737-800,189,148,0.7846,3.0,Shoulder,Short Haul,Medium,22532.77,2285.38,24818.15,7454.76,3600.0,2400.0,5400.0,900.0,2086.57,2689.94,5288.49,1615.65,3321.58,3152.18,8379.19,1333.69,1909.25,49531.31,-24713.16,-99.58
EK4305,2024-05-08,DXB,ORD,DXB-ORD,Airbus A350-900,325,252,0.7755,14.5,Normal,Long Haul,Medium,368819.17,51747.08,420566.25,92363.0,34800.0,18850.0,50750.0,9425.0,2165.92,5684.3,3651.1,6778.6,62245.79,5627.75,74945.25,21334.36,2920.56,391541.64,29024.61,6.9
EK7520,2024-10-04,DXB,KUL,DXB-KUL,Airbus A350-900,325,241,0.7431,7.5,Shoulder,Long Haul,Medium,452823.07,67158.6,519981.67,40736.15,18000.0,9750.0,26250.0,4875.0,2261.32,6935.45,2975.44,5450.65,66889.75,5707.7,38800.34,29263.68,2185.17,260080.63,259901.04,49.98
