Player,Player's Gender,Player's RaceEthnicity,Player Says People Trustworthy,Player Says Students Trustworthy,Player Says Self Trustworthy,TR Player's Sender,TR Sender Gave to Player,TR % Player Returned to Sender,TR % Returned to Sender Rationale,TR Player's Receiver,TR Player Gave to Receiver,TR Gave to Receiver Rationale,TR % Receiver Returned to Player,TR % Returned to Player Rationale,TR Player's NotReturned+Kept+GotBack Score,GRE Player's Sender,GRE Sender Gender,GRE Sender RaceEthnicity,GRE Sender Gave to Player,GRE % Player Returned to Sender,GRE % Returned to Sender Rationale,GRE Player's Receiver,GRE Receiver Gender,GRE Receiver RaceEthnicity,GRE Player Gave to Receiver,GRE Gave to Receiver Rationale,GRE % Receiver Returned to Player,GRE % Returned to Player Rationale,GRE Player NotReturned+Kept+GotBack Score
Captain Obvious,female,white,yes,yes,yes,Blawg,9,50,I want to reward them for their generosity by splitting the points with them.,poetic justice,10,I'm making a risky choice in hopes it'll pay off and the other player pays back my kindness by hopefully giving me half. ,50%,I would share the extra points with other students ,95,RedWineSupernova,female,asian,0,Recvd 0,Their loss. I would've split the points with them.,365 Buttons,female,asian,10,"I'm maximizing the total number of points in the pool, so hopefully she wont hesitate to share the wealth.",40%,Since I'm Asian I feel like 60/40 is fair for #reparations ,40
FtAnastasia,female,middle eastern,no,no,no,KingJames,0,Recvd 0,thats sad ,Pretty Princess,10,hope people maximize ,10%,returning the 10 they gave me,10,plov,"","","0, because they didn't play Stage 1",Recvd 0,sad again,TEMP1064,male,white,10,Women are giving ,No Play: 50%,N/A,50
GoofyGoober,male,white,no,yes,yes,Omega Tron,10,100,he/she gave me 10 so ill give e 10,awesome sauce,5,give partner some love aswell,0%,i want points and theres no harm to keep them all,5,KingJames,male,asian,10,100,still trust them,Omega Tron,female,asian,5,same answer ,0%,they didnt give me a great tradeoff,5
Water Lily,female,white,no,no,no,hxrt,9,50,I want to reciprocate the other student's generosity in the fairest way. ,kslender,5,This is a balanced trust move as there would be stronger incentive to reciprocate without putting everything at risk.,50%,I gave back 50% because I was entrusted with half and this returns that trust fairly. ,75,FerrousTuba,female,hispanic,0,Recvd 0,"No trust was extended by the other student, so there was nothing to reciprocate.",louiefrank42,female,white,5,This choice is the best balance of trust and self-protection.,0%,500 points each is perfectly fair so I will keep my points,5
shane080898,female,white,yes,no,yes,Poison Ivy,5,0,I did the same so we would be even,proteinstyle,5,It will most likely illicit a similar response,50%,its fair to split it half way,80,GamerWorld3,female,hispanic,1,0,I gave 50 so I will not share,Eric Cartman,female,white,5,"I would choose this regardless of race because it is more equal treatment,",0%,"Given the last student gave me zero, I need all the points I can get.",15
Blue Sky,female,white,yes,yes,yes,ariel28,0,Recvd 0,"Because no points were entrusted to me, I could not give anything back.",Crazy Oreo,4,"Hopefully the other person will do the same, so both of us win.",50%,It balances self interest with fairness. It also encurages cooperation. ,26,cardio_girl,female,asian,0,Recvd 0,"Again, it is so unfair, i recieved nothing so I cannot give anything back.",miffy bun,female,hispanic,4,"Again, hopefully the other person will do the same, so both of us win.",30%,I will be keeping more points.,18
LBJ,male,asian,no,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
TEMP1052,female,hispanic,no,no,no,"","","","","","","","","","","","","","","","","","","","","","","",""
magicalduck123,female,hispanic,no,no,yes,Ivy Rain,3,0,they only gave me 3,ChickenNuggets,9,encourages them to reciprocate,50%,seems fair to give them 50%,76,TEMP1061,female,asian,5,0,best outcome for me,Caniac Combo,male,hispanic,5,encourages them to reciprocate,No Play: 50%,N/A,80
Carbine164,male,hispanic,no,no,yes,Baseball 2026,10,50,We both maximize our amount of points fairly ,Omega Tron,10,If the other student splits with me then we both get 50 points ,50%,they were generous and thought about utility maximizing (10 vs 100 points). i shall reward their kindness,100,Astro Dog,female,black,4,0,Since they didn't trust me with all 10 points to get 50 points each then I will keep the 40 points for myself ,Curly Queen,female,hispanic,10,If the other student splits with me then we both get 50 points ,100%,i think that's fair.,140
MrSquiggles,male,hispanic,no,no,no,cardio_girl,5,0,why would i give back points they are willingly giving me,Rodrick7,10,hopefully they will be nice and do the same,0%,Keeping all the points maximizes my own payoff.,50,Georgiana Darcy,female,white,0,Recvd 0,i cant give anything back i didnt get anythi ng in the first place,Baseball 2026,male,white,10,i have the same amount of faith that they will be nice and give me all their points,No Play: 50%,N/A,50
dealer-one-time,male,asian,no,yes,yes,Steve Carrell,10,50,both sexes are similar ,Kali Uches,7,trust creates value and then later i expect reciprocity,70%,I would return the same percentage that the other player chose to offer to me from their points.,102,Pepper Angel,female,asian,1,50,indis share general pools,TEMP1042,male,hispanic,7,same choice; demographics irrelevant here,80%,I would give up 80% just because that sounds fair to me,64
Daniel Craig,male,white,yes,yes,yes,Astro Dog,4,0,im selfish,Anthony Marcus,5,i want to be fair,No Play: 50%,N/A,70,Rainy Day,female,white,0,0,im still selfish,TheGameMan,male,black,5,I want to be fair,20%,This is a fair amount to give back since I still want to gain points.,15
Green Grape,female,black,yes,yes,yes,REDROVER21,2,0,Sorry I want to be greedy. ,Eucalyptus,0,I highly doubt the other player will give any points back to me ,Offer of zero,"They gave me 0, I cannot give them anything. ",30,Redbird,male,hispanic,5,0,I still want to be greedy,Retroactivity,female,white,0,I still doubt they will give me any points back,Offer of zero,was given 0 points,60
ChickenNuggets,female,hispanic,no,yes,yes,magicalduck123,9,50,seems fair to give them 50%,Queen Elizabeth,5,best chance of getting the same amounts back. ,10%,I will give back because they entrusted me with points.,55,Fairouz,male,asian,1,10,they where selfish so i am too ,TEMP1057,female,black,5,i would hope the choice is reciprocated ,50%,I'd want to return their generosity.,39
JustDance,female,black,no,yes,yes,Cinders1,10,20,i need to maximize my points but with kindness ,Feathers Mcgraw,1,I think i will get the most points this way ,100%,"Because of the ""entrusted"" language it seems like this was conditional on me keeping them safe and giving them back.",99,GlossBoss25,female,middle eastern,5,20,need to maximize my points ,ceruleanchameleon,female,middle eastern,2,I dont think the race will change the outcome ,100%,I taking what im getting,68
Curly Queen,female,hispanic,no,yes,yes,Feathers Mcgraw,5,50,fair to give 50 back,Baseball 2026,4,gotta keep it safe,No Play: 50%,N/A,51,Carbine164,male,hispanic,10,100,i think that's fair.,Red Rock,male,white,0,Sorry gotta keep my points up,Offer of zero,they gave me 0 points,10
Eucalyptus,female,hispanic,no,no,no,Green Grape,0,Recvd 0,"They gave me 0, I cannot give them anything. ",Lucy diamond,5,I hope I get another student that also decided on the 50/50 option. ,40%,They gave me points so I feel inclined to give them back points,25,TEMP1066,female,asian,10,50,"If they entrusted me with 100 points, it is only fair I give them half of that. ",REDROVER21,male,white,6,no reason I just decided this aligns with my previous responses,0%,it makes the most sense,54
louiefrank42,female,white,no,no,yes,Rose Skye,5,0,We each got 500 points so I will keep my points since it was a fair exchange,Blawg,5,50/50 split is the most fair.,10%,"I am feeling selfish today, but I will at least let them have their base points back.",60,Water Lily,female,white,5,0,500 points each is perfectly fair so I will keep my points,Ivy Rain,female,hispanic,5,50/50 split is the most fair.,0%,I cannot afford to give back any points. ,55
RigatoniBallerina,female,asian,no,no,yes,Hibiscusohwhateva4.,5,0,want to maximize the number of points i have ,Valencia Orange,5,I chose to give 5 because it shows that I trust without being exploited.,30%,This is close to an equal split,70,TheGameMan,male,black,7,0,want to maximize the number of points i have ,Magic Raccoon,female,white,5,This is the best way to ensure that I have backup while investing enough. ,0%,"I gave the other student 7 x 10 points, so I am at a deficit ",75
White Glint,male,asian,no,no,no,Redbird,5,0,Egoist moment...,Great One,0,Leverage...,Offer of zero,they didnt give me any points,60,Great One,male,white,10,0,"I was a giver last round, want to be a keeper this round.",Queen Elizabeth,female,hispanic,0,Leverage.,Offer of zero,I have no points to give back,110
Poison Ivy,female,white,no,no,yes,Running Duck,1,0,Keeping everything maximizes my own points,shane080898,5,I’d give half because it shows trust and cooperation while still giving the other person a strong incentive,0%,I did the same so we would be even,15,TEMP1067,male,asian,3,0,Keeping all the points maximizes my payoff,Crazy Oreo,female,hispanic,5,I’d give half because it means trust and fairness,50%,The other student truested me by gining me 5 points therefore returning points would be fair.,60
Chicken Tenders,female,white,no,yes,yes,TEMP1066,1,0,why would i give points to someone else,Pepper Angel,0,i cant trust that someone will give to me even tho we would both benefit,Offer of zero,This sucks,20,Edamame,female,asian,5,10,"thank you for the points, here are points for u too  ",RedWineSupernova,female,asian,1,doesnt change much for me but ill give 10 points,0%,"I got 1 point from them, I do not want to give anything back to them",54
PenName001,male,white,no,no,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
pinkprincess,female,black,yes,yes,yes,BobaLover123,5,"","",MCOC13,0,I dont trust that they'll give up points,Offer of zero,"Since I received zero points, there is nothing to return.",10,kslender,female,hispanic,5,"","",TEMP1069,male,asian,0,I dont trust that they'll give up points,No Play: 50%,N/A,10
Hibiscusohwhateva4.,male,asian,yes,yes,yes,SilverSlay,4,60,I would give more to build rapport with the other student and find a way where we can both benefit. ,RigatoniBallerina,5,It's a pretty safe option as I can keep some points while helping out the other student; I hope that I get some multiplied points,0%,want to maximize the number of points i have ,21,REDROVER21,male,white,8,90,"Both of us want to win, so let's do this. ",GlossBoss25,female,middle eastern,5,"Race or ethnicity and gender doesn't determine the amount of points I give, so I'm staying the same. ",20%,"Because the points were split in half, I believe they are a little more trustworthy.",23
TEMP1057,female,black,yes,yes,yes,StonePoet,0,Recvd 0,I have nothing to give back. ,Astro Dog,5,There is little possibility I am getting much from others.,0%,Need points,5,ChickenNuggets,female,hispanic,5,50,I'd want to return their generosity.,GamerWorld3,female,hispanic,5,I still think there is very little incentive for the other student to give many points back.,50%,I will give back what I got.,55
Steve Carrell,male,white,yes,yes,yes,Broadway,1,0,I feel like they kept enough ,dealer-one-time,10,I trust that they will do the same and we both recieve max points,50%,both sexes are similar ,60,TEMP1031,female,white,2,30,I give them back some ,proteinstyle,female,hispanic,10,I trust they will choose the maximum benefit,50%,it is fair to split it half way,64
Tango,female,hispanic,yes,yes,yes,Kali Uches,5,50,"They went half, so I'll go half",UpsideDownInsideOut,10,"If I do this, even if they pick only 10 points, I am in a good place",50%,"They trusted me implicitly, so now I will do what is most fair",75,365 Buttons,female,asian,7,50,"7 or 70 was quite generous, so I'll give half back",Ryomen Sukuna,male,black,10,"Based on the previous game data, this seems like a good choice",30%,"damn all 10, thanks goat",65
TEMP1059,female,hispanic,no,no,no,PomegranateSeed,10,"","",Ryomen Sukuna,5,Because it shows trust and gives both of us a chance to benefit,10%,"gotta be a little nice yknow, give em 5 points so they make 10",10,Baseball 2026,male,white,10,"","",kslender,female,hispanic,5,Because it shows trust and gives both of us a chance to benefit,50%,Same answer,30
TEMP1069,male,asian,no,no,no,Great One,10,"","",Friendly Narwal,3,The ,0%,free points,7,pinkprincess,female,black,0,"","",Poison Ivy,female,white,3,The ,0%,Keeping all the points maximizes my payoff,7
bluecat3,female,hispanic,yes,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Cool Kat,male,hispanic,no,yes,yes,TEMP1042,10,50,"I would like to maintain this ""fair"" behavior ",Pookie LeBron,10,"this isn't a prisoners dilemma game yet so I should trust them, bc why wouldn't they cooperate?",0%,I picked a random choice.,50,"","","","","","","","","","","","","",""
butterfly queen,female,hispanic,no,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","",""
Broadway,male,asian,no,no,no,soup,0,Recvd 0,I have no other choice.,Steve Carrell,1,This is about an even exchange. We both end up with roughly even points.,0%,I feel like they kept enough ,9,PomegranateSeed,female,middle eastern,0,Recvd 0,I have no other choice.,awesome sauce,female,asian,2,"I feel that as a woman they might be more generous, so I am willing to donate more.",0%,no,8
TEMP1066,female,asian,no,no,yes,imbatman,2,30,"By giving them 30% we are now essentially equal in points, give or take a little bit",Chicken Tenders,1,"You still make the other party feel good because they get more points than you, while you still get a large amount of points",0%,why would i give points to someone else,23,bplate survivor,male,middle eastern,0,Recvd 0,I never got any points to make a choice with,Eucalyptus,female,hispanic,10,"I trust this other student, and would think that they would reicprocate trust to me",50%,"If they entrusted me with 100 points, it is only fair I give them half of that. ",50
kslender,female,hispanic,no,no,no,Water Lily,5,50,I gave back 50% because I was entrusted with half and this returns that trust fairly. ,TEMP1063,5,"Keeping 5 pts for me, but since the amount is multiplied hopefully, they get incentivized to give back to me. ",No Play: 50%,N/A,55,TEMP1059,female,hispanic,5,50,Same answer,pinkprincess,female,black,5,"I keep 5 points while showing trust. Since they will get 50 points, I hope this makes them want to do the same.",No Play: 50%,N/A,55
TEMP1061,female,asian,yes,yes,yes,poetic justice,10,0,I take an egoist approach.,Magic Raccoon,0,I’m paired with a random stranger and there is no guarantee they would share any of the multiplied points back with me.,Offer of zero,I don't have a choice,110,hxrt,female,white,9,0,I take an egoist approach.,magicalduck123,female,hispanic,5,I will give 5 points because I feel like at least I know what kind of person I'm paired with. ,0%,best outcome for me,95
King Milton,female,hispanic,no,yes,yes,bplate survivor,0,Recvd 0,"Because the other student sent 0 points, the amount multiplied is also 0, leaving me with nothing to return.",Rosella Bloom,8,Don’t want to give full 10,50%,"I chose to return half because the other student showed trust, and sharing equally is a fair way to reward that trust.",42,dubnation2022,female,black,0,Recvd 0,I received 0 points again. I gotta be more selfish...,Crazy Wrestler,male,hispanic,5,because it feels fair and balanced.,0%,they gave me half so ill keep the half to myself,5
Pepper Angel,female,asian,no,yes,yes,Chicken Tenders,0,Recvd 0,This sucks,Mononoke,1,f they decide to give me less I will be safe,0%, boost most of my points.,9,Rosella Bloom,female,hispanic,4,10,I didn't get any points from the other person last game.,dealer-one-time,male,asian,1,I am not sure if this person will give anything,50%,indis share general pools,50
poetic justice,male,hispanic,no,yes,yes,Captain Obvious,10,50,I would share the extra points with other students ,TEMP1061,10,"Now, that the multiplication came back into play I would decide to multiply it, and hope they do the same. ",0%,I take an egoist approach.,50,miffy bun,female,hispanic,10,50,I would share with the other student ,Friendly Narwal,male,white,0,I feel like a white male would tend to give less. ,Offer of zero,rip,60
Feathers Mcgraw,female,white,yes,yes,yes,JustDance,1,100,"Because of the ""entrusted"" language it seems like this was conditional on me keeping them safe and giving them back.",Curly Queen,5,Because 5 was the most common during last weeks games this seems like the best choice.,50%,fair to give 50 back,30,Omega Tron,female,asian,7,30,This way its even to the amount of generosity I paid forward to the student I lended to!,cardio_girl,female,asian,5,"Regardless of race/ethnicity, I am using the same logic as before. 5 is the most common.",40%,"She split her points evenly with me, so I appreciate that fairness. ",74
Anthony Marcus,male,asian,no,yes,yes,Daniel Craig,5,"","",soup,5,"Sharing half shows trust, leveraging the multiplier for upside while reducing losses if trust is broken.",20%,I think 20 pts vs 40 pts isn't so bad--It would be optimal to take it all and too kind to split it evenly imo,15,Ryomen Sukuna,male,black,10,"","",goldenretriever31,female,white,5,"Five points balance trust and caution, encouraging reciprocity while limiting risk to personal payoff.",50%,I'll be fair because they were fair. ,30
King CDub,male,black,no,no,yes,"","","","","","","","","","",Piggy Pig,female,asian,5,"","","","","","","","","",0
TEMP1063,female,black,no,no,yes,kslender,5,"","",Crazy Wrestler,9,"In the even the other person doesn't give any points back, I will at least have 1. But I think we'd both benefit if they give some back",50%,"the student gave me a lot of points, so id like to share the love",46,"","","","","","","","","","","","","",""
TEMP1064,male,white,no,yes,yes,"","","","","","","","","","",FtAnastasia,female,middle eastern,10,"","","","","","","","","",0
Random Bobby,male,asian,no,no,no,"","","","","","","","","","","","","","","","","","","","","","","",""
GamerWorld3,female,hispanic,no,yes,yes,Pretty Princess,5,70,I like this division,hxrt,1,9 and 10 are not far apart.,50%,50/50,29,TEMP1057,female,black,5,50,I will give back what I got.,shane080898,female,white,1,Keep the difference not too drastic.,0%,I gave 50 so I will not share,34
REDROVER21,male,white,yes,yes,yes,Georgiana Darcy,0,30,it makes the most sense,Green Grape,2,it is the most logical option ,0%,Sorry I want to be greedy. ,8,Eucalyptus,female,hispanic,6,0,it makes the most sense,Hibiscusohwhateva4.,male,asian,8,it is the most logical option ,90%,"Both of us want to win, so let's do this. ",134
goldenretriever31,female,white,no,yes,yes,Rainy Day,0,Recvd 0,"Hell no, absolutely not. Nope. ",BobaLover123,7,I don't even know at this point. 3 and 7 are my favorite numbers so I guess this works? Hopefully my partner is generous?,50%,I will reward them for trusting me with half the points,38,Anthony Marcus,male,asian,5,50,I'll be fair because they were fair. ,VenusPhoenix,female,asian,7,I don't think this changes my response. Same as previous.,50%,Women solidarity :),63
SilverSlay,male,asian,no,no,no,TEMP1041,5,20,I will give them at least some of their points back as they gave me a very nice offer.,Hibiscusohwhateva4.,4,"Paired with a random student, I'll trust the student enough to give back some points, but not all of course.",60%,I would give more to build rapport with the other student and find a way where we can both benefit. ,70,67onthebeat,female,hispanic,8,30,"For their extreme generosity, I will give them more points than I gave to the random student.",67onthebeat,female,hispanic,3,I'll give away a modest amount of points. I believe that trust is the most important part of success in this class.,30%,"I am confused by the rules now, but if my though process is right I am doing unto this person what they do unto me.",72

