Location,Latitude,Longitude,Paleoaltitude (m),Age (Ma),Evidences for Age,AgeMethod(radiometric / astro / magneto / bio / event / inferred),Sample Type,Carbonate Type,Lab,Scale,O17 correct,Reaction T (°C),Acid Fractionation,Calibration,Evidences for temperature,Diagenesis,Reference
 the Nansha Islands in the South China  Sea ,10.5N,115E,,Miocence/Plioc.,,,core,calcite," the State Key Laboratory of Isotope Geochemistry (SKLaBIG) at the Guangzhou Institute of Geochemistry, Chinese 
Academy of Sciences, Guangzhou, China",ARF,Y,90,0.088,Petersen et al. (2019),SST,0,"Guo, Y., Deng, W., Liu, X., Kong, K., Yan, W., Wei, G., 2021. Clumped isotope geochemistry of island carbonates in the South China Sea: Implications for early diagenesis and dolomitization. Marine Geology 437."
 southwestern South Dakota，USA,44N,102W,,73Ma-75Ma,"Ar/Ar age is reported as 2 SD (Cobban et al., 2006; Landman et al., 2018b).",radiometric , Carbonate cements,calcite," Department of Geosciences at 
Stony Brook University, New York, USA",ARF,Y,90,0.092,Bonifacie et al. (2017),MAT,0/1,"Gao, Y., Henkes, G.A., Cochran, J.K., Landman, N.H., 2021. Temperatures of Late Cretaceous (Campanian) methane-derived authigenic carbonates from the Western Interior Seaway, South Dakota, USA, using clumped isotopes. GSA Bulletin."
" Amargosa Desert, Nevada, 
USA",36.42N,116.29E,,Holocene,The age intervals of the samples analyzed in this study correspond to the chronology of Winograd et al. (2006)(see also Landwehr et al. (2011)). ,radiometric ,core,calcite,/,ARF,/,90,,,/,,"Bajnai, D., Coplen, T.B., Methner, K., Löffler, N., Krsnik, E., Fiebig, J., 2021. Devils Hole Calcite Was Precipitated at ±1°C Stable Aquifer Temperatures During the Last Half Million Years. Geophysical Research Letters 48."
"Hainan，Yunnan,China and Pasadena，USA",,,,morden,,," land-snail shells, ",calcite, Caltech ,ARF,Y,90,0.088,Petersen et al. (2019),MAT,0,"Dong, J., Eiler, J., An, Z., Li, X., Liu, W., Hu, J., 2021. Clumped isotopic compositions of cultured and natural land-snail shells and their implications. Palaeogeography, Palaeoclimatology, Palaeoecology 577."
the Gulf of Panama ,8.3N-8.8N,79W,,morden,,,shell，biogenic,calcite,/,ARF,Y,70,0.062,Bernasconi et al. (2018),MAT,0,"Caldarescu, D.E., Sadatzki, H., Andersson, C., Schäfer, P., Fortunato, H., Meckler, A.N., 2021. Clumped isotope thermometry in bivalve shells: A tool for reconstructing seasonal upwelling. Geochimica et Cosmochimica Acta 294, 174-191."
Gonjo Basin，SE Tibetan Plateau，China,32N,98E,"According to our elevation results, the Gonjo Basin was at relatively low elevation (∼0.7 km) during the early Eocene (54-50 Ma) and rose to high elevation (∼3.8 km) in the middle Eocene (44-40Ma). These estimates indicate the Gonjo Basin experienced a surface uplift of ∼3.1 km between the early and middle Eocene.",40Ma-55Ma,"Zircon crystals were separated from volcanic and sandstone samples, and analyzed on a New Wave UP 193FX Excimer laser (New Wave Instrument, USA) coupled to an Agilent 7500a inductively coupled plasma mass spectrometer (LA-ICP-MS) at the Key laboratory of Continental Collision and Plateau Uplift, Institute of Tibetan Plateau Research, Chinese Academy of Sciences (refer to supplementary materials for laboratory analysis methods and data deduction details).",radiometric ,nodule，mudstone，limestone,calcite,"the Key Laboratory of Cenozoic
Geology and Environment, Institute of Geology and Geophysics,
Chinese Academy of Sciences, ",ARF,/,25,,Zaarur et al. (2013),"The temperature derived from T (47) indicates a MAAT of 24 ± 4 ◦C in the Gonjo
Basin during the early Eocene, which was relatively warm","it is still reasonable to suppose that samples with T (τ47)
over 40 ◦C have experienced diagenetic alteration due to the influence of the geothermal events.The temperature derived from T (τ47) indicates a MAAT of 24 ± 4 ◦C in the Gonjo
Basin during the early Eocene","Xiong, Z., Ding, L., Spicer, R.A., Farnsworth, A., Wang, X., Valdes, P.J., Su, T., Zhang, Q., Zhang, L., Cai, F., Wang, H., Li, Z., Song, P., Guo, X., Yue, Y., 2020. The early Eocene rise of the Gonjo Basin, SE Tibet: From low desert to high forest. Earth and Planetary Science Letters 543."
northern Denmark,56.56N,8.54E,,Eocene,"Ash layer -17 was dated in 2007 by Ar/Ar as 55.1 Ma21. Since then, the calibration for the Fish Canyon Tuff has changed and the recalibrated age is closer to 55.6 ± 1 Ma Stokke et al.22 . An ash layer in Svalbard, equivalent to the -31 layer in the Fur Formation18 has been dated at 55.765 ± 0.086 Ma23. Closer to the glendonite-bearing horizons, Westerhold et al.24 place ash horizon +19 at about 55.4 Ma, based on cyclostratigraphy. ",radiometric ,glendonite calcite,calcite,"ETH, Zurich",ARF,Y,70,,Kele et al. (2015),SST,NA,"Vickers, M.L., Lengger, S.K., Bernasconi, S.M., Thibault, N., Schultz, B.P., Fernandez, A., Ullmann, C.V., McCormack, P., Bjerrum, C.J., Rasmussen, J.A., Hougard, I.W., Korte, C., 2020. Cold spells in the Nordic Seas during the early Eocene Greenhouse. Nat Commun 11, 4713."
"Olenitsa, Kola peninsula, Russia",66.28N,35.19E,,morden,,,,calcite,"ETH, Zurich",ARF,Y,70,,,SST,NA,"Vickers, M.L., Lengger, S.K., Bernasconi, S.M., Thibault, N., Schultz, B.P., Fernandez, A., Ullmann, C.V., McCormack, P., Bjerrum, C.J., Rasmussen, J.A., Hougard, I.W., Korte, C., 2020. Cold spells in the Nordic Seas during the early Eocene Greenhouse. Nat Commun 11, 4713."
,,,,57Ma-55Ma,"Locations, palaeosols and siderites are described in detail in the Supplementary Information and ref. ",inferred, pedogenic siderite ,siderite,,ARF,,,,,"Thus, we consider that 
the reconstructed temperatures are representative of MAT from the 
tropics to temperate latitudes (0–51°N/S)，",0,"van Dijk, J., Fernandez, A., Bernasconi, S.M., Caves Rugenstein, J.K., Passey, S.R., White, T., 2020. Spatial pattern of super-greenhouse warmth controlled by elevated specific humidity. Nature Geoscience 13, 739-744."
the Northern coast of Cyprus,35.17N,33.28E,,125-170ka,"25 ages were determined at Xi’an Jiaotong University (China), using the procedures for uranium and thorium chemical separation and purification described in Edwards et al. (1987) and Cheng et al. (2013; 2016). ；he age model was constructed using the Constructing Proxy Records from Age models (COPRA) routine (Breitenbach et al., 2012), based on polynomial interpolation and 5000 Monte Carlo simulations for each segment of the stalagmite (Fig. 3). ",radiometric ,Stalagmites,calcite,MAT 253 Plus,ARF,/,90,,Kluge et al. (2015),Cave Teamperature,NA,"Nehme, C., Kluge, T., Verheyden, S., Nader, F., Charalambidou, I., Weissbach, T., Gucel, S., Cheng, H., Edwards, R.L., Satterfield, L., Eiche, E., Claeys, P., 2020. Speleothem record from Pentadactylos cave (Cyprus): new insights into climatic variations during MIS 6 and MIS 5 in the Eastern Mediterranean. Quaternary Science Reviews 250."
" the Swiss part of 
the North Alpine Foreland Basin (NAFB)",47.38N,8.54E,,13.97Ma-17.61Ma,"The original magnetostratigraphy29 has been revised24,30, assigning the base of the section to chron 5Dr (17.533–17.717 Ma) and the youngest reversal to either chron 5ACr (14.163–14.070 Ma) or chron 5ABr (13.608–13.739 Ma; ages after ref. 31). Here, we follow the latter age model (chron 5ABr) as it yields a more conservative approach for the timing and duration of the temperature decline leading into the MMCT.",magneto,soil carbonate,calcite,the Goethe University - Senckenberg BiK-F Joint Stable Isotope  Facility Frankfurt (Germany),ARF,/,90,0.069,Wacker et al. (2014),"ST before 14.5 Ma, MAT after 14.5 Ma
Δ47 temperatures from the Swiss NAFB reflect summer temperatures exclusively and that a change in rainfall 
seasonality and thus soil carbonate formation seasonality played an important role in determining T(Δ47) values 
during the MMCT"," indicating that the nodular carbonate formed 
within the soil column and did not experience any diagenetic alteration and isotopic exchange","Methner, K., Campani, M., Fiebig, J., Loffler, N., Kempf, O., Mulch, A., 2020. Middle Miocene long-term continental temperature change in and out of pace with marine climate records. Sci Rep 10, 7989."
"Dracoisen Nunatak, NE Svalbard",79.20N,18.34E,,Cryogenian/Tonian,"The Petrovbreen Member lacks direct geochronological constraints but has been correlated to the first glacial episode of the Cryogenian (Halverson et al., 2018; Hoffman et al., 2012), termed the Sturtian glaciation,based on a few lines of evidence.",bio，event,carbonate(natural),calcite,the Bergmann Lab,ARF,Y,70,0.062,Bernasconi et al. (2018),/,1,"Mackey, T.J., Jost, A.B., Creveling, J.R., Bergmann, K.D., 2020. A Decrease to Low Carbonate Clumped Isotope Temperatures in Cryogenian Strata. AGU Advances 1."
"Great Salt Lake, UT,USA",41N,112W,,morden,,,"Water, sediments, microbialite, microbial mat",,Caltech,CDES,/,90,0.082,Ghosh et al. (2006),/,0/1,"Ingalls, M., Frantz, C.M., Snell, K.E., Trower, E.J., 2020. Carbonate facies-specific stable isotope data record climate, hydrology, and microbial communities in Great Salt Lake, UT. Geobiology."
Chinese Loess Plateau,"35.7N,34.5N",109E,,LGM/modern,"Therefore, we comprehensively studied the clumped and stableisotopes (Δ47, δ13Cshell, δ18Oshell, and δ18Obody water) of modern and last glacial fossil land snail shells from the Luochuan and Weinan sections on the central and southern CLP.",inferred,snail shells,,Caltech,ARF,Y,90,0.088,Petersen et al. (2019),/,0,"Dong, J., Eiler, J., An, Z., Wu, N., Liu, W., Li, X., Kitchen, N., Lu, F., 2020. Clumped and stable isotopes of land snail shells on the Chinese Loess Plateau and their climatic implications. Chemical Geology 533."
"Xining Basin, China",36.67N,101.83E,"Page et al. (2019) suggested that ""Magnetostratigraphic dating indicates relatively low and continuous sediment accumulation rates in the Xining Basin, from its 55–50 Ma formation to its partitioning and uplift ca. 15 Ma"".",43.4Ma-24.4Ma,"Ages were determined from the available paleomagnetic and cyclostratigraphic data, with an estimated uncertainty of ~0.1 m.y. per sample.",magneto,Carbonate-bearing mudstones,Calcite,University of Washington/Goethe University Frankfurt,ARF,Y,90,0.082,Kelson et al. (2017),"summer T Page et al. (2019) suggested that ""The range of Eocene TΔ47 values (20–35 °C) is very similar to late Eocene summer temperature of coastal China (~25 °C) estimated from pollen assemblages"".",0,"Page, M., Licht, A., Dupont-Nivet, G., Meijer, N., Barbolini, N., Hoorn, C., Schauer, A., Huntington, K., Bajnai, D., Fiebig, J., Mulch, A., Guo, Z., 2019. Synchronous cooling and decline in monsoonal rainfall in northeastern Tibet during the fall into the Oligocene icehouse. Geology 47, 203-206."
"Utah, USA",37.625N,111.88W,"Snell et al. (2014) suggested that ""the North Horn Formation is thought to have been at low elevation during deposition"" and ""...was <200 km west of the shoreline of the Western Interior Seaway (WIS), which is marked by age-equivalent alternating marine/non-marine sedimentary rocks..."".",75Ma,"Numerous bentonitic ash layers are intercalated between the TMF paleosols. These bentonites were described and dated by Rogers et al. (1993) and Foreman et al. (2008),yielding 40Ar/39Ar ages ranging from 79.72 ± 0.03 Ma at 80 m above the base of the TMF, to 77.52 ± 0.03 Ma at 265 m above the base of the TMF. The latter age comes from a bentonite sample collected from the Hagan's Crossing locality measured and sampled as part of this study. Age constraints for the KF come from four bentonite ash layers sampled by Roberts et al.(2005), which yielded 40Ar/39Ar ages ranging from 75.96 ± 0.02 Ma at 80 m above the base of the KF, to 74.21 ± 0.11 Ma at 790 m above the base of the KF.",radiometric ,Palesol carbonate,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),"summer t Burgener et al. (2019) suggested that ""Our interpretation agrees with the interpretation presented in Snell et al. (2014), which is that carbonate clumped isotope temperatures from the TMF and from the Upper Cretaceous North Horn and Sheep Pass Formation (Member B) yielded a summer season bias"".",0,"Burgener, L., Hyland, E., Huntington, K.W., Kelson, J.R., Sewall, J.O., 2019. Revisiting the equable climate problem during the Late Cretaceous greenhouse using paleosol carbonate clumped isotope temperatures from the Campanian of the Western Interior Basin, USA. Palaeogeography, Palaeoclimatology, Palaeoecology 516, 244-267."
"Songliao Basin, NE China",44.21N,124.26E,"Zhang et al. (2016) suggested that ""the extension regime prevailed in Songliao Basin and seawater",65.52Ma-75.77Ma,"By using thorium (Th) data from the Sifang-tai and Mingshui Formations, an astronomical time scale was established by tuning filtered 405k.y. eccentricity cycles to the astronomical solution La2010d, which calibrates the timing of the polarity chron C29r-C30n boundary (342.1± 1.4 m in depth) to ca. 66.30 Ma and the K-Pg boundary (318 ± 1.2 m in depth) to ca. 66.00 Ma (Wu et al., 2014).",magneto,Palesol carbonate,Calcite,JHU/Heidelberg,ARF,N,90,0.082,Passey and Henkes (2012),"Zhang et al. (2018) suggested that ""the soil carbonate likely formed immediately before the cooling effects of the monsoon rains and after the hottest part of the summer. In the Songliao Basin, monsoonal rainfall immediately followed the hottest part of summer"" and ""our values are consistent with terrestrial climate
records from similar paleolatitudes across the Late Cretaceous–early Paleogene in North America based on temperature estimates from fossil plants (annual temperatures + 15 °C) and clumped isotopes of fossil bivalves and paleosol carbonates (summer temperatures)"".",0,"Zhang, L.M., Wang, C.S., Wignall, P.B., Kluge, T., Wan, X.Q., Wang, Q., Gao, Y., 2018. Deccan volcanism caused coupled pCO2 and terrestrial temperature rises, and pre-impact extinctions in northern China. Geology 46, 271-274."
"Big Bend National Park, Texas, USA",29.41N,103.15W,"kelson et al. (2018) suggested that ""during the Paleogene, the basin was close to the proto-Gulf of Mexico shoreline and thus preserves a record of a more coastal environment than exists at modern Big Bend"".",66Ma-52Ma,"An age model for these sediments was developed using carbon isotope stratigraphy, magnetostratigraphy, and sparse vertebrate fossils (Bataille et al., 2016, 2018; Rapp et al., 1983; Schiebout et al., 1987) and agrees well with a paleomagnetically constrained age model for a section with overlapping stratigraphic coverage that is exposed about 38 km to the west (Leslie et al., 2018).",magneto，bio,Palesol carbonate,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),"summer T Kelson et al. (2018) suggested that ""Mineralogical, geochemical, and thermal modeling evidence suggests that the measured isotopic values preserve primary environmental signals with a summer bias…"".",0,"Kelson, J.R., Watford, D., Bataille, C., Huntington, K.W., Hyland, E., Bowen, G.J., 2018. Warm terrestrial subtropics during the Paleocene and Eocene: Carbonate clumped isotope (∆47) evidence from the Tornillo Basin, Texas (USA). Paleoceanography and Paleoclimatology."
"Tianshui Basin, Gansu, China",34.96N,105.56E,"Hui et al. (2011) suggested that ""the basin sits at the junction of the monsoon region, the northwest arid area, and the Tibetan Plateau"" and ""has an altitude of 1540 m at the top"".",17Ma-6Ma,"The Yanwan section was dated by magnetostratigraphy to extend from 17.1 to 6.1 Ma (Zhang et al., 2013a)；The sedimentation rates in the Yanwan section remain stable during the Miocene (Zhang et al., 2013a), and we therefore calculated the age of each stratigraphic level at which carbonate nodules were sampled by linear interpolation；We thus conservatively assign error bars on age by assigning the oldest possible age as the age of the stratigraphic layer in which the samples were collected and the youngest possible age as 10,000 yr younger than the age of the stratigraphic layer at the top of the relevant paleosol. This results in an average age error approximated by a uniform distribution within the window ±0.01 Ma.",magneto,Palesol carbonate,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),MAT（personal interpretation）,0,"Ji, S., Nie, J., Lechler, A., Huntington, K.W., Heitmann, E.O., Breecker, D.O., 2018. A symmetrical CO 2 peak and asymmetrical climate change during the middle Miocene. Earth and Planetary Science Letters 499, 134-144."
"South Pass, Wyoming, USA",42.24N,108.53W,"Mix et al. (2011) suggested that the Green River Basin was one of ""lakes in Laramide foreland show capture of waters from highlands"".",50Ma-52Ma,"The targeted early Eocene locality is the Green River Basin (GRB) in southwestern Wyoming (USA; Fig. 1). The GRB sequence is composed of a series of terrestrial clastic rocks deposited during the early Eocene and EECO as a result of Laramide synorogenic fluvial and lacustrine sedimentation along the margin of endorheic paleo-lake Gosiute (e.g.,Clyde et al., 2001; Smith et al., 2008, 2010, 2015).",inferred,Palesol carbonate,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),"Hyland et al. (2018) suggested that ""our resultant clumped isotope-based temperature estimates are mostly in agreement with both regional climate model predictions of summer month air temperatures and paleobotanical coexistence estimates of WMMTs"".",0,"Hyland, E.G., Huntington, K.W., Sheldon, N.D., Reichgelt, T., 2018. Temperature seasonality in the North American continental interior during the early Eocene climatic optimum. Climate of the Past Discussions, 1-39."
"South Texas, USA",28N-29N,97W,"Godfrey et al. (2018) suggested that ""the Oligocene and Miocene aggradation of fluvial deposits in the south Texas Coastal Plains deposited sedimentary rocks that contain abundant continental carbonates"".",Oligocene and Miocene,"1Catahoula Formation: 40Ar/39Ar dating of sanidine from basal ash bed (30.654 ± 0.055 Ma) and U-Pb dating of syndepositional air-fall zircons (30.36 ± 0.27 Ma, 28.36 ± 0.12 Ma)，Correlation with subsurface Frio Formation and overlying sandstone bearing Oligocene foraminiferal assemblages (Textularia warreni, Heterostegina texana, Marginulina texana) 2Oakville Formation: Vertebrate fossils (Protohippus medius, Protohippus perditus, Protohippus placidus, Aphelops meridianus) indicating late middle to late Miocene age 3Fleming Formation:Marine fossil assemblages (bivalves, scaphopods, gastropods) from subsurface down-dip equivalent indicating early to middle Miocene age 4Goliad Formation: Vertebrate fossil assemblages of Clarendonian North American Land Mammal stage constraining upper age (middle Miocene to earliest Pliocene)，Down-dip correlation with subsurface Amphistegina B shale constraining basal age (middle Miocene)","1Catahoula Formation: radiometric, bio 2Oakville Formation: bio 3Fleming Formation: bio 4Goliad Formation: bio, inferred",Pedogenic nodule/Pedogenic rhizolith/Groundwater carbonate cement,Calcite,"University of California, Los Angeles",ARF,N,90,0.082,Petersen (Pers. Comm.),"Godfrey et al. (2018) suggested that ""the range of our T(Δ47) (23–28 °C) are consistent to, or slightly higher than the range of modern MAT and WMMT (21–27 °C) in the study area"".",0,"Godfrey, C., Fan, M., Jesmok, G., Upadhyay, D., Tripati, A., 2018. Petrography and stable isotope geochemistry of Oligocene-Miocene continental carbonates in south Texas: Implications for paleoclimate and paleoenvironment near sea-level. Sedimentary Geology 367, 69-83."
"Channeled Scabland–Palouse,Wahington, USA",46.3N-46.8N,118.36W-118.49W,NA,late Pleistocene–Holocene,"For this study, we present conventional (δ18O, δ13C) and clumped (Δ47) isotopic analyses and new radiocarbon data for loess–paleosol carbonates from two Palouse sections, CLY-1/3 (46.31348°N, 118.48927°W) and WA-5(46.77343°N, 118.35604°W; Fig. 1), that have been subject to priorstratigraphic and isotopic study (McDonald and Busacca, 1990, 1992; Sweeney et al., 2004; Takeuchi et al., 2009; McDonald et al., 2012).",inferred,Paleosol carbonate/Soil carbonate,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),/,0,"Lechler, A.R., Huntington, K.W., Breecker, D.O., Sweeney, M.R., Schauer, A.J., 2018. Loess–paleosol carbonate clumped isotope record of late Pleistocene–Holocene climate change in the Palouse region, Washington State, USA. Quaternary Research, 1-17."
"northwestern Gansu Province,China",39.90N,96.8E,NA(gan su),Aptian,"Biostratigraphy indicates Hauterivian–Barremian; C-isotope chemostratigraphy correlates Xiagou Fm. with the Aptian Selli Event; U-Pb zircon ages support Aptian; overlying Zhonggou Fm. sporopollen suggests Aptian–Albian, consistent with an Aptian age.","Bio, Event, Radiometric, Inferred",lacustrine dolomite,dolomite,JHU,ARF,N,90,0.092,Bonifacie et al. (2017),the temperature estimates at the least provide a maximum temperature estimate for the Xiagou Formation lacustrine environment.,,"Suarez, M.B., Ludvigson, G.A., González, L.A., You, H.-L., 2017. Continental Paleotemperatures From An Early Cretaceous Dolomitic Lake, Gansu Province, China. Journal of Sedimentary Research 87, 486-499."
"Barrancas Blancas in the eastern Atacama Desert,Chile",24.80S,68.29W,3000m>（personal interpretation）,"6.4Ma,10Ma","Radiometric U–Pb dating was used to establish the relative stratigraphic order of the travertine deposits; U–Pb analyses were performed on high-U carbonate precipitates, and ages reported with 2σ uncertainties.",radiometric ,Travertine,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),Paleospring Temperature,NA,"Quade, J., Rasbury, E.T., Huntington, K.W., Hudson, A.M., Vonhof, H., Anchukaitis, K., Betancourt, J., Latorre, C., Pepper, M., 2017. Isotopic characterization of late Neogene travertine deposits at Barrancas Blancas in the eastern Atacama Desert, Chile. Chemical Geology 466, 41-56."
Great Basin USA,42.70N,120.5W,1300m,Holocene,,,Tufas/shell,Calcite,University of Washington,ARF,Y,90,0.082,Kelson et al. (2017),MAT before 14ka,0,"Hudson, A.M., Quade, J., Ali, G., Boyle, D., Bassett, S., Huntington, K.W., De los Santos, M.G., Cohen, A.S., Lin, K., Wang, X., 2017. Stable C, O and clumped isotope systematics and 14 C geochronology of carbonates from the Quaternary Chewaucan closed-basin lake system, Great Basin, USA: Implications for paleoenvironmental reconstructions using carbonates. Geochimica et Cosmochimica Acta 212, 274-302."
"eastern Wyoming, USA",42.62N-42.75N,105.25W-105.50W,<1500m,32.3Ma-34.85Ma,"The ages are constrained by multiple datable volcanic tuffs within the White River Formation. Biotite and sanidine 40Ar/39Ar^{40}Ar/^{39}Ar40Ar/39Ar ages place tuff 3c at 34.48 ± 0.08 Ma and tuff 5 at 33.91 ± 0.06 Ma and 33.59 ± 0.02 Ma, respectively. Zircon U–Pb dating gives tuff 5 an age of 34.0 ± 0.2 Ma and tuff 7 an age of 32.9 ± 0.2 Ma. These volcanic ash beds are regionally traceable and their zircon U–Pb ages were used as depositional ages of tuffs 5 and 7. Sample ages between tuff 3c, 5, and 7 were assigned by linear interpolation of sedimentation rates, yielding ages between 34.9 Ma and 32.3 Ma across the Eocene–Oligocene transition.",radiometric ；inferred,Paleosol carbonate,Calcite,JHU/UCLA,ARF,N,90,0.082,Defliese et al. (2015),"Fan et al. (2017) suggested that ""A recent calibration study of modern vadose pedogenic carbonate suggested that T(Δ47) values in Wyoming and Nebraska record soil carbonate formation conditions during summer months, consistent with other calibration studies in climate with strong summer soil drying"" and ""...it is likely that the formation of vadose nonpedogenic carbonate is biased toward unreasonably hot temperatures"".",0,"Fan, M., Ayyash, S.A., Tripati, A., Passey, B.H., Griffith, E.M., 2017. Terrestrial cooling and changes in hydroclimate in the continental interior of the United States across the Eocene-Oligocene boundary. Geological Society of America Bulletin."
"southern Sage Creek Basin, SW Montana, USA",45.00N,112.5W,2000m,38.6Ma-41.1Ma,"Biostratigraphic, paleomagnetic and radiometric dating constrain the ages of the Sage Creek Basin deposits. Based on vertebrate fossil assemblages, Paleogene sediments can be divided into the Bridgerian Sage Creek Formation (∼51.0–46.3 Ma), the Uintan Dell Beds (46.3–40.0 Ma), and the Chadronian–Orellan Cook Ranch member (37–32 Ma). These age zones were confirmed by paleomagnetic and geochronologic analyses.",Biostratigraphic; Magnetostratigraphic; Radiometric; Inferred,Paleosol carbonate,Calcite,Goethe University Frankfurt,ARF,N,90,0.069,Wacker et al. (2014),"Methner et al. (2016) suggested that ""Δ47 carbonate formation temperatures are significantly higher when compared to modeled (7.3◦C) and calculated (13.4◦C) MAAT, consistent with warm season soil carbonate formation"".",0,"Methner, K., Mulch, A., Fiebig, J., Wacker, U., Gerdes, A., Graham, S.A., Chamberlain, C.P., 2016. Rapid Middle Eocene temperature change in western North America. Earth and Planetary Science Letters 450, 132-139."
Eastern Andean piedmont of central Argentina,33.00S,69W,500m-1000m,Late Pleistocene–Holocene,,,Soil carbonate,Calcite,University of Washington,ARF,N,90,0.082,Kluge et al. (2015); Zaarur et al. (2013),,0,"Ringham, M.C., Hoke, G.D., Huntington, K.W., Aranibar, J.N., 2016. Influence of vegetation type and site-to-site variability on soil carbonate clumped isotope records, Andean piedmont of Central Argentina (32-34°S). Earth and Planetary Science Letters 440, 1-11."
northern Altiplano plateau,14.00S,71W,4000m,18.7Ma-5.4Ma,"Depositional ages are constrained by new U–Pb zircon ages from primary tuffs in Members B and C, supplemented by published 40Ar/39Ar ages. The Atunhuasi tuff at the top of Member A provides the oldest constraint at 18.74 ± 0.19 Ma. The Yauri tuff in mid-Member B yields 40Ar/39Ar biotite and sanidine ages of 12.82 ± 1.08 Ma, 12.09 ± 0.18 Ma, and 11.99 ± 0.27 Ma, consistent with our weighted mean U–Pb age of 12.3 ± 1.0 Ma (2σ). A tuff near the top of Member B provides a weighted mean age of 9.1 ± 0.7 Ma (2σ). A tuff ~50 m below the top of Member C yields a weighted mean age of 4.8 ± 1.1 Ma (2σ), constraining continued deposition into the Pliocene. Detrital U–Pb analyses provide the oldest Member C constraint at 5.4 ± 1.0 Ma (2σ) and the youngest basin age at 3.9 ± 0.1 Ma (2σ).",Radiometric; Inferred,Limestone/Calcrete/Paleosol nodule/Mari,Calcite,Caltech,ARF,N,90,/,Ghosh et al. (2006),ST＞30℃，MAT<30℃,0/1,"Kar, N., Garzione, C.N., Jaramillo, C., Shanahan, T., Carlotto, V., Pullen, A., Moreno, F., Anderson, V., Moreno, E., Eiler, J., 2016. Rapid regional surface uplift of the northern Altiplano plateau revealed by multiproxy paleoclimate reconstruction. Earth and Planetary Science Letters 447, 33-47."
"The Satpura Basin,Central India",22.00N,78E,/,68Ma-269Ma,"Ages of the Satpura Basin paleosols range from 269 to 68 Ma based on index fossils including vertebrate fauna and diatoms, with ages recently redefined by new vertebrate fossil discoveries. Relative ages were also obtained from the stratigraphic position of beds with respect to strata of known age. Floral and faunal fossil records provide biostratigraphic age estimates for the Motur, Pachmarhi, Denwa, Bagra, and Lameta formations. The Talchir Formation is placed at Permo-Carboniferous (290 Ma). The Motur, Pachmarhi, Denwa, and Lameta formations are dated to 269 ± 4 Ma (Early–Middle Permian), 248 ± 4 Ma (Late Lower–Middle Triassic), 243 ± 3 Ma (Early–Middle Triassic), and 68 ± 4 Ma (Late Cretaceous). The Bagra Formation, lacking fossils, is considered equivalent to or younger than the Denwa Formation and around Late Triassic, younger than Denwa but older or equivalent to Late Jurassic–Early Cretaceous (135 ± 14 Ma).",bio; inferred,Palesol carbonate,Calcite,/,ARF,N,25,/,Dennis et al. (2011),/,0/1,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
"The Elqui and Turbio valleys, Chile",30.00S,70W-71W,400m-4700m,350-9960 BP,,,Soil carbonate,Calcite,University of Washington,ARF,N,90,0.082,Kluge et al. (2015),/,0,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
"Jiaolai Basin,China",36.00N,120E,＞2000m,early Cretaceous,"The section ages were constrained using biostratigraphy, radiometric dating, magnetostratigraphy, and astronomical tuning. In the Shuinan Formation (Lower Cretaceous), biostratigraphy assigns an Early Cretaceous age, supported by ~130 Ma zircon U–Pb and hornblende ⁴⁰Ar–³⁹Ar ages from interbedded basalts (AgeMethod: bio; radiometric). The Xingezhuang–Hongtuya formations (Upper Cretaceous) are Campanian based on biostratigraphy; detrital zircon U–Pb ages (≤77.3 Ma) and a ⁴⁰Ar–³⁹Ar age of 73.5 ± 0.3 Ma constrain the interval, with final sample ages inferred from the sedimentation rate (AgeMethod: bio; radiometric; inferred). The Jiaozhou Formation (Paleocene) is dated biostratigraphically, with samples at 250–550 m placed in the Paleocene but lacking precise numerical ages (AgeMethod: bio; inferred). In the Mingshui Formation, magnetozones C32n–C29r indicate a Late Campanian–Early Danian age, refined by tuning 405-kyr eccentricity cycles to the La2010d solution (AgeMethod: magneto; astro).",radiometric / astro / magneto / bio /inferred,Lake carbonate/Palesol carbonate,Calcite,Johns Hopkins University,ARF,N,90,0.082,Passey and Henkes (2012),summer T we infer that the Late Cretaceous samples from Jiaolai Basin formed during the summer (see section 5.4).,0/1,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
