year,date,stage,home_team,away_team,home_goals,away_goals,winner,match_id
1994,1994-06-26,Round of 16,Italy,Sweden,1,0,Italy,381
1994,1994-06-26,Group Stage,Tunisia,Egypt,1,1,Draw,382
1994,1994-06-26,Round of 16,Uruguay,Cameroon,1,2,Cameroon,383
1994,1994-06-27,Group Stage,England,Ghana,1,0,England,384
1998,1998-06-10,Group Stage,Argentina,USA,1,2,USA,385
1998,1998-06-10,Group Stage,Argentina,Mexico,2,0,Argentina,386
1998,1998-06-10,Group Stage,Portugal,Brazil,2,0,Portugal,387
1998,1998-06-10,Group Stage,South Korea,Algeria,1,3,Algeria,388
1998,1998-06-11,Group Stage,Denmark,South Korea,3,1,Denmark,389
1998,1998-06-11,Group Stage,Denmark,Japan,0,0,Draw,390
1998,1998-06-11,Round of 16,Uruguay,Switzerland,2,2,Draw,391
1998,1998-06-11,Group Stage,Italy,Ghana,0,2,Ghana,392
1998,1998-06-11,Round of 16,USA,Saudi Arabia,1,1,Draw,393
1998,1998-06-12,Group Stage,Denmark,England,1,1,Draw,394
1998,1998-06-12,Group Stage,Australia,Sweden,3,1,Australia,395
1998,1998-06-12,Group Stage,Germany,Portugal,3,1,Germany,396
1998,1998-06-12,Group Stage,France,Costa Rica,0,2,Costa Rica,397
1998,1998-06-13,Group Stage,Cameroon,Belgium,3,1,Cameroon,398
1998,1998-06-13,Group Stage,Italy,Mexico,2,3,Mexico,399
1998,1998-06-13,Group Stage,Poland,Cameroon,2,1,Poland,400
1998,1998-06-13,Group Stage,England,Uruguay,1,1,Draw,401
1998,1998-06-13,Round of 16,Egypt,South Korea,1,1,Draw,402
1998,1998-06-13,Group Stage,Netherlands,Tunisia,0,2,Tunisia,403
1998,1998-06-14,Group Stage,England,Costa Rica,2,2,Draw,404
1998,1998-06-14,Group Stage,Costa Rica,Iran,0,1,Iran,405
1998,1998-06-15,Third Place,Brazil,Italy,2,1,Brazil,406
1998,1998-06-15,Group Stage,Spain,Croatia,1,1,Draw,407
1998,1998-06-15,Round of 16,USA,Italy,0,0,Draw,408
1998,1998-06-17,Group Stage,Costa Rica,South Korea,2,3,South Korea,409
1998,1998-06-17,Group Stage,Ghana,Australia,1,0,Ghana,410
1998,1998-06-17,Group Stage,Morocco,Sweden,2,2,Draw,411
1998,1998-06-17,Group Stage,Saudi Arabia,USA,2,1,Saudi Arabia,412
1998,1998-06-17,Group Stage,Sweden,Argentina,1,0,Sweden,413
1998,1998-06-18,Group Stage,Iran,Senegal,0,1,Senegal,414
1998,1998-06-18,Final,Netherlands,England,1,2,England,415
1998,1998-06-18,Group Stage,England,Senegal,1,2,Senegal,416
1998,1998-06-18,Round of 16,Poland,France,1,1,Draw,417
1998,1998-06-18,Round of 16,Algeria,Japan,0,0,Draw,418
1998,1998-06-18,Group Stage,Portugal,Poland,2,3,Poland,419
1998,1998-06-18,Group Stage,Italy,Japan,0,1,Japan,420
1998,1998-06-18,Group Stage,Uruguay,Saudi Arabia,1,1,Draw,421
1998,1998-06-18,Group Stage,Croatia,USA,1,2,USA,422
1998,1998-06-19,Group Stage,Morocco,Nigeria,0,0,Draw,423
1998,1998-06-19,Group Stage,Germany,South Korea,0,1,South Korea,424
1998,1998-06-19,Group Stage,Ghana,England,2,2,Draw,425
1998,1998-06-19,Quarter-finals,Germany,Iran,0,0,Draw,426
1998,1998-06-19,Quarter-finals,Australia,Denmark,0,0,Draw,427
1998,1998-06-20,Group Stage,Denmark,Cameroon,2,2,Draw,428
1998,1998-06-20,Group Stage,Argentina,Iran,1,0,Argentina,429
1998,1998-06-21,Round of 16,Switzerland,Brazil,1,1,Draw,430
1998,1998-06-21,Group Stage,Spain,Iran,1,2,Iran,431
1998,1998-06-21,Semi-finals,Portugal,USA,2,1,Portugal,432
1998,1998-06-21,Group Stage,France,Brazil,0,2,Brazil,433
1998,1998-06-21,Semi-finals,Switzerland,Spain,1,0,Switzerland,434
1998,1998-06-21,Quarter-finals,Croatia,Algeria,1,1,Draw,435
1998,1998-06-21,Group Stage,Cameroon,Costa Rica,0,1,Costa Rica,436
1998,1998-06-22,Group Stage,France,Saudi Arabia,1,1,Draw,437
1998,1998-06-23,Group Stage,Germany,Nigeria,1,0,Germany,438
1998,1998-06-23,Group Stage,South Korea,Belgium,1,1,Draw,439
1998,1998-06-24,Group Stage,Denmark,Spain,1,2,Spain,440
1998,1998-06-25,Round of 16,Uruguay,Italy,2,1,Uruguay,441
1998,1998-06-25,Group Stage,Denmark,Argentina,1,1,Draw,442
1998,1998-06-25,Group Stage,Argentina,USA,1,2,USA,443
1998,1998-06-25,Group Stage,Senegal,Cameroon,1,1,Draw,444
1998,1998-06-25,Group Stage,Brazil,USA,1,1,Draw,445
1998,1998-06-25,Group Stage,Switzerland,Sweden,1,0,Switzerland,446
1998,1998-06-26,Group Stage,Uruguay,Costa Rica,0,3,Costa Rica,447
1998,1998-06-27,Quarter-finals,Algeria,Argentina,1,0,Algeria,448
2002,2002-06-10,Group Stage,Sweden,Portugal,0,1,Portugal,449
2002,2002-06-10,Round of 16,Saudi Arabia,USA,1,1,Draw,450
2002,2002-06-11,Quarter-finals,USA,Spain,2,2,Draw,451
2002,2002-06-11,Group Stage,USA,Australia,2,1,USA,452
2002,2002-06-12,Group Stage,Denmark,Ghana,2,2,Draw,453
2002,2002-06-13,Group Stage,Costa Rica,Denmark,0,1,Denmark,454
2002,2002-06-13,Group Stage,Morocco,Argentina,1,2,Argentina,455
2002,2002-06-13,Group Stage,Belgium,Saudi Arabia,1,2,Saudi Arabia,456
2002,2002-06-13,Round of 16,Italy,Nigeria,0,2,Nigeria,457
2002,2002-06-13,Group Stage,Senegal,Belgium,0,1,Belgium,458
2002,2002-06-14,Semi-finals,Japan,Switzerland,1,1,Draw,459
2002,2002-06-14,Semi-finals,Uruguay,Egypt,1,0,Uruguay,460
2002,2002-06-15,Group Stage,Japan,Netherlands,1,0,Japan,461
2002,2002-06-15,Group Stage,Cameroon,Uruguay,0,1,Uruguay,462
2002,2002-06-15,Group Stage,Switzerland,Denmark,0,2,Denmark,463
2002,2002-06-15,Round of 16,Senegal,Australia,1,1,Draw,464
2002,2002-06-16,Group Stage,Germany,England,1,2,England,465
2002,2002-06-16,Quarter-finals,France,Portugal,2,1,France,466
2002,2002-06-16,Round of 16,Denmark,Brazil,0,1,Brazil,467
2002,2002-06-16,Group Stage,Algeria,Belgium,1,1,Draw,468
2002,2002-06-17,Group Stage,Ghana,Italy,1,1,Draw,469
2002,2002-06-17,Group Stage,Australia,Netherlands,1,1,Draw,470
2002,2002-06-17,Group Stage,Poland,Portugal,0,1,Portugal,471
2002,2002-06-18,Group Stage,Cameroon,Italy,1,2,Italy,472
2002,2002-06-18,Group Stage,Costa Rica,Switzerland,2,3,Switzerland,473
2002,2002-06-18,Group Stage,Mexico,Croatia,1,1,Draw,474
2002,2002-06-18,Quarter-finals,France,Australia,1,1,Draw,475
2002,2002-06-19,Group Stage,Belgium,Japan,0,1,Japan,476
2002,2002-06-19,Group Stage,France,Saudi Arabia,1,1,Draw,477
2002,2002-06-19,Group Stage,Belgium,Germany,1,3,Germany,478
2002,2002-06-20,Quarter-finals,Spain,Nigeria,1,1,Draw,479
2002,2002-06-20,Group Stage,USA,Belgium,2,1,USA,480
2002,2002-06-20,Group Stage,Ghana,Saudi Arabia,1,2,Saudi Arabia,481
2002,2002-06-20,Round of 16,Mexico,Argentina,2,0,Mexico,482
2002,2002-06-21,Group Stage,Morocco,Mexico,0,0,Draw,483
2002,2002-06-21,Group Stage,Netherlands,Nigeria,1,2,Nigeria,484
2002,2002-06-21,Group Stage,Mexico,USA,1,0,Mexico,485
2002,2002-06-21,Group Stage,Nigeria,USA,2,1,Nigeria,486
2002,2002-06-22,Group Stage,Japan,Morocco,3,1,Japan,487
2002,2002-06-22,Group Stage,Brazil,Poland,0,0,Draw,488
2002,2002-06-22,Group Stage,Croatia,Costa Rica,2,0,Croatia,489
2002,2002-06-23,Group Stage,South Korea,Brazil,0,1,Brazil,490
2002,2002-06-23,Group Stage,England,Argentina,1,2,Argentina,491
2002,2002-06-23,Group Stage,Sweden,South Korea,1,1,Draw,492
2002,2002-06-23,Round of 16,Croatia,England,1,1,Draw,493
2002,2002-06-24,Group Stage,Cameroon,France,1,1,Draw,494
2002,2002-06-24,Group Stage,Senegal,Switzerland,0,1,Switzerland,495
2002,2002-06-24,Group Stage,Nigeria,France,2,0,Nigeria,496
2002,2002-06-24,Group Stage,Sweden,Nigeria,2,1,Sweden,497
2002,2002-06-24,Group Stage,Senegal,Iran,1,1,Draw,498
2002,2002-06-24,Round of 16,USA,South Korea,1,0,USA,499
2002,2002-06-25,Third Place,Tunisia,Iran,1,1,Draw,500
2002,2002-06-25,Final,Cameroon,Sweden,2,2,Draw,501
2002,2002-06-25,Group Stage,South Korea,Cameroon,2,0,South Korea,502
2002,2002-06-25,Group Stage,England,Brazil,2,2,Draw,503
2002,2002-06-25,Group Stage,Tunisia,Costa Rica,0,2,Costa Rica,504
2002,2002-06-25,Group Stage,Costa Rica,Germany,2,2,Draw,505
2002,2002-06-25,Round of 16,Iran,Algeria,0,1,Algeria,506
2002,2002-06-26,Group Stage,Germany,Morocco,1,1,Draw,507
2002,2002-06-26,Group Stage,Iran,Switzerland,2,2,Draw,508
2002,2002-06-26,Group Stage,Netherlands,Australia,3,2,Netherlands,509
2002,2002-06-26,Group Stage,Spain,USA,2,1,Spain,510
2002,2002-06-27,Group Stage,Brazil,Japan,1,0,Brazil,511
2002,2002-06-27,Group Stage,Tunisia,Australia,0,2,Australia,512
2006,2006-06-10,Group Stage,Belgium,Mexico,2,1,Belgium,513
2006,2006-06-10,Round of 16,Portugal,England,0,1,England,514
2006,2006-06-10,Group Stage,Switzerland,England,2,1,Switzerland,515
2006,2006-06-11,Group Stage,Japan,Argentina,2,2,Draw,516
2006,2006-06-11,Group Stage,Sweden,USA,1,3,USA,517
2006,2006-06-11,Group Stage,Sweden,Poland,2,0,Sweden,518
2006,2006-06-11,Group Stage,Portugal,Ghana,1,3,Ghana,519
2006,2006-06-11,Group Stage,USA,Algeria,0,0,Draw,520
2006,2006-06-12,Group Stage,Senegal,Costa Rica,0,3,Costa Rica,521
2006,2006-06-13,Round of 16,Denmark,Iran,1,2,Iran,522
2006,2006-06-13,Group Stage,Brazil,Japan,2,1,Brazil,523
2006,2006-06-13,Round of 16,Egypt,Tunisia,2,0,Egypt,524
2006,2006-06-13,Semi-finals,Uruguay,Egypt,1,1,Draw,525
2006,2006-06-13,Group Stage,Algeria,Croatia,1,1,Draw,526
2006,2006-06-14,Group Stage,Croatia,Cameroon,1,1,Draw,527
2006,2006-06-14,Group Stage,Denmark,Belgium,1,1,Draw,528
2006,2006-06-14,Group Stage,Italy,Senegal,2,2,Draw,529
2006,2006-06-14,Round of 16,Italy,Costa Rica,0,1,Costa Rica,530
2006,2006-06-14,Group Stage,Argentina,Denmark,0,1,Denmark,531
2006,2006-06-14,Group Stage,Argentina,Australia,2,2,Draw,532
2006,2006-06-15,Group Stage,Germany,Nigeria,1,1,Draw,533
2006,2006-06-15,Round of 16,Egypt,Spain,2,1,Egypt,534
2006,2006-06-15,Group Stage,Tunisia,Cameroon,1,1,Draw,535
2006,2006-06-15,Group Stage,Algeria,France,3,1,Algeria,536
2006,2006-06-15,Group Stage,Denmark,Australia,1,1,Draw,537
2006,2006-06-16,Group Stage,Mexico,Ghana,1,2,Ghana,538
2006,2006-06-16,Group Stage,USA,Costa Rica,0,2,Costa Rica,539
2006,2006-06-17,Group Stage,Switzerland,Netherlands,3,2,Switzerland,540
2006,2006-06-17,Group Stage,Uruguay,England,1,3,England,541
2006,2006-06-17,Group Stage,Iran,Cameroon,1,1,Draw,542
2006,2006-06-18,Group Stage,Japan,Poland,2,3,Poland,543
2006,2006-06-18,Third Place,Argentina,Portugal,0,2,Portugal,544
2006,2006-06-18,Quarter-finals,Morocco,Italy,1,0,Morocco,545
2006,2006-06-18,Quarter-finals,Ghana,Argentina,2,1,Ghana,546
2006,2006-06-19,Group Stage,Costa Rica,Uruguay,1,0,Costa Rica,547
2006,2006-06-19,Group Stage,Uruguay,Saudi Arabia,2,2,Draw,548
2006,2006-06-19,Group Stage,Saudi Arabia,Brazil,1,1,Draw,549
2006,2006-06-20,Group Stage,France,Netherlands,2,1,France,550
2006,2006-06-20,Group Stage,Japan,Argentina,2,1,Japan,551
2006,2006-06-20,Group Stage,Belgium,Tunisia,2,0,Belgium,552
2006,2006-06-20,Semi-finals,Iran,Saudi Arabia,0,1,Saudi Arabia,553
2006,2006-06-21,Group Stage,Ghana,Senegal,1,2,Senegal,554
2006,2006-06-21,Quarter-finals,Morocco,Poland,1,1,Draw,555
2006,2006-06-21,Group Stage,Sweden,Italy,2,1,Sweden,556
2006,2006-06-21,Group Stage,France,Croatia,3,1,France,557
2006,2006-06-21,Round of 16,Tunisia,Netherlands,1,1,Draw,558
2006,2006-06-22,Group Stage,USA,Argentina,1,1,Draw,559
2006,2006-06-22,Group Stage,Ghana,Belgium,2,1,Ghana,560
2006,2006-06-22,Quarter-finals,South Korea,Saudi Arabia,2,0,South Korea,561
2006,2006-06-23,Group Stage,Australia,Costa Rica,1,2,Costa Rica,562
2006,2006-06-23,Group Stage,Denmark,Netherlands,2,0,Denmark,563
2006,2006-06-23,Round of 16,Iran,Senegal,1,0,Iran,564
2006,2006-06-24,Group Stage,Egypt,Australia,3,1,Egypt,565
2006,2006-06-24,Final,South Korea,Spain,1,0,South Korea,566
2006,2006-06-25,Group Stage,Portugal,Nigeria,1,1,Draw,567
2006,2006-06-25,Group Stage,Argentina,Algeria,0,1,Algeria,568
2006,2006-06-25,Group Stage,Switzerland,Egypt,2,1,Switzerland,569
2006,2006-06-25,Round of 16,Saudi Arabia,Senegal,0,0,Draw,570
2006,2006-06-26,Group Stage,Italy,Netherlands,3,1,Italy,571
2006,2006-06-26,Group Stage,Spain,Sweden,1,2,Sweden,572
2006,2006-06-26,Group Stage,Argentina,Belgium,1,2,Belgium,573
2006,2006-06-27,Group Stage,Japan,Mexico,1,1,Draw,574
2006,2006-06-27,Group Stage,Uruguay,Costa Rica,0,2,Costa Rica,575
2006,2006-06-27,Group Stage,Tunisia,France,1,2,France,576
2010,2010-06-10,Group Stage,Cameroon,Portugal,1,0,Cameroon,577
2010,2010-06-10,Group Stage,Netherlands,Switzerland,1,0,Netherlands,578
2010,2010-06-10,Final,Switzerland,Mexico,2,0,Switzerland,579
2010,2010-06-10,Group Stage,Costa Rica,Australia,1,0,Costa Rica,580
2010,2010-06-11,Group Stage,USA,Uruguay,2,0,USA,581
2010,2010-06-11,Group Stage,Australia,England,0,1,England,582
2010,2010-06-11,Group Stage,Portugal,Morocco,3,1,Portugal,583
2010,2010-06-11,Group Stage,Japan,Iran,1,3,Iran,584
2010,2010-06-11,Round of 16,Cameroon,Netherlands,0,1,Netherlands,585
2010,2010-06-11,Group Stage,Sweden,Spain,2,1,Sweden,586
2010,2010-06-11,Group Stage,Belgium,Mexico,1,2,Mexico,587
2010,2010-06-12,Semi-finals,Spain,Netherlands,2,2,Draw,588
2010,2010-06-12,Group Stage,Tunisia,Cameroon,2,2,Draw,589
2010,2010-06-12,Round of 16,Uruguay,Sweden,1,2,Sweden,590
2010,2010-06-12,Group Stage,Spain,Egypt,0,1,Egypt,591
2010,2010-06-12,Group Stage,Denmark,Cameroon,2,0,Denmark,592
2010,2010-06-13,Group Stage,Nigeria,Iran,3,2,Nigeria,593
2010,2010-06-13,Group Stage,Egypt,Saudi Arabia,1,0,Egypt,594
2010,2010-06-13,Group Stage,Morocco,Nigeria,1,1,Draw,595
2010,2010-06-13,Group Stage,Australia,Denmark,1,0,Australia,596
2010,2010-06-14,Group Stage,Brazil,Costa Rica,2,2,Draw,597
2010,2010-06-14,Group Stage,Ghana,Cameroon,1,3,Cameroon,598
2010,2010-06-15,Group Stage,Sweden,Costa Rica,2,0,Sweden,599
2010,2010-06-15,Group Stage,Switzerland,Germany,0,1,Germany,600
2010,2010-06-15,Group Stage,Saudi Arabia,Netherlands,1,2,Netherlands,601
2010,2010-06-15,Group Stage,Germany,Sweden,0,1,Sweden,602
2010,2010-06-16,Group Stage,Cameroon,Uruguay,3,2,Cameroon,603
2010,2010-06-16,Third Place,Australia,USA,1,1,Draw,604
2010,2010-06-16,Round of 16,Croatia,Argentina,0,1,Argentina,605
2010,2010-06-17,Round of 16,South Korea,Italy,0,2,Italy,606
2010,2010-06-18,Group Stage,France,Saudi Arabia,0,2,Saudi Arabia,607
2010,2010-06-18,Group Stage,Nigeria,Sweden,3,1,Nigeria,608
2010,2010-06-19,Quarter-finals,Saudi Arabia,Uruguay,0,0,Draw,609
2010,2010-06-19,Quarter-finals,USA,Japan,0,1,Japan,610
2010,2010-06-20,Group Stage,Switzerland,Australia,3,2,Switzerland,611
2010,2010-06-20,Round of 16,Senegal,Croatia,1,0,Senegal,612
2010,2010-06-20,Round of 16,Brazil,Croatia,0,1,Croatia,613
2010,2010-06-20,Group Stage,Australia,Nigeria,1,3,Nigeria,614
2010,2010-06-20,Group Stage,Iran,Algeria,1,1,Draw,615
2010,2010-06-20,Group Stage,Spain,Ghana,1,2,Ghana,616
2010,2010-06-21,Group Stage,Cameroon,Senegal,1,1,Draw,617
2010,2010-06-21,Round of 16,Saudi Arabia,Tunisia,2,2,Draw,618
2010,2010-06-22,Group Stage,Saudi Arabia,England,1,1,Draw,619
2010,2010-06-22,Quarter-finals,Denmark,Ghana,0,1,Ghana,620
2010,2010-06-22,Quarter-finals,Sweden,Belgium,1,0,Sweden,621
2010,2010-06-23,Group Stage,Germany,Brazil,1,1,Draw,622
2010,2010-06-23,Group Stage,Ghana,Denmark,3,0,Ghana,623
2010,2010-06-23,Group Stage,Iran,Poland,0,2,Poland,624
2010,2010-06-23,Semi-finals,Senegal,Germany,1,1,Draw,625
2010,2010-06-23,Group Stage,Denmark,France,2,3,France,626
2010,2010-06-23,Group Stage,Ghana,Belgium,3,1,Ghana,627
2010,2010-06-23,Group Stage,Belgium,Senegal,1,0,Belgium,628
2010,2010-06-23,Round of 16,Ghana,Costa Rica,0,1,Costa Rica,629
2010,2010-06-24,Group Stage,Uruguay,Germany,2,2,Draw,630
2010,2010-06-25,Group Stage,Germany,Uruguay,0,1,Uruguay,631
2010,2010-06-25,Group Stage,Spain,England,1,0,Spain,632
2010,2010-06-25,Group Stage,USA,Nigeria,2,0,USA,633
2010,2010-06-25,Group Stage,Germany,Portugal,2,3,Portugal,634
2010,2010-06-25,Group Stage,Egypt,Spain,0,1,Spain,635
2010,2010-06-26,Group Stage,Saudi Arabia,Switzerland,1,2,Switzerland,636
2010,2010-06-26,Group Stage,Italy,Spain,2,0,Italy,637
2010,2010-06-27,Group Stage,Mexico,Croatia,3,2,Mexico,638
2010,2010-06-27,Group Stage,USA,Spain,1,1,Draw,639
2010,2010-06-27,Group Stage,Morocco,Germany,2,3,Germany,640
2014,2014-06-10,Group Stage,Argentina,Senegal,0,0,Draw,641
2014,2014-06-10,Group Stage,Belgium,Japan,2,2,Draw,642
2014,2014-06-10,Quarter-finals,Croatia,Saudi Arabia,1,0,Croatia,643
2014,2014-06-11,Group Stage,England,Mexico,1,1,Draw,644
2014,2014-06-11,Round of 16,Tunisia,Spain,2,0,Tunisia,645
2014,2014-06-11,Group Stage,Brazil,Japan,0,3,Japan,646
2014,2014-06-11,Round of 16,Portugal,Cameroon,1,1,Draw,647
2014,2014-06-12,Quarter-finals,Morocco,Mexico,1,0,Morocco,648
2014,2014-06-12,Group Stage,Argentina,Portugal,1,0,Argentina,649
2014,2014-06-12,Group Stage,Argentina,Italy,0,1,Italy,650
2014,2014-06-13,Group Stage,Denmark,Saudi Arabia,0,2,Saudi Arabia,651
2014,2014-06-13,Group Stage,South Korea,Egypt,0,2,Egypt,652
2014,2014-06-14,Group Stage,USA,Nigeria,1,1,Draw,653
2014,2014-06-14,Group Stage,Japan,Switzerland,0,2,Switzerland,654
2014,2014-06-15,Group Stage,Netherlands,Sweden,0,2,Sweden,655
2014,2014-06-15,Group Stage,Portugal,Senegal,2,1,Portugal,656
2014,2014-06-15,Round of 16,Brazil,England,1,1,Draw,657
2014,2014-06-16,Group Stage,Uruguay,Germany,1,0,Uruguay,658
2014,2014-06-16,Group Stage,Argentina,Switzerland,1,3,Switzerland,659
2014,2014-06-16,Group Stage,South Korea,Sweden,0,1,Sweden,660
2014,2014-06-16,Group Stage,Netherlands,Cameroon,1,2,Cameroon,661
2014,2014-06-16,Group Stage,Poland,USA,1,1,Draw,662
2014,2014-06-17,Group Stage,Croatia,Portugal,3,2,Croatia,663
2014,2014-06-18,Group Stage,Egypt,Cameroon,2,2,Draw,664
2014,2014-06-18,Group Stage,Poland,Nigeria,0,1,Nigeria,665
2014,2014-06-18,Group Stage,Mexico,Germany,1,1,Draw,666
2014,2014-06-18,Group Stage,Egypt,Denmark,1,0,Egypt,667
2014,2014-06-19,Third Place,Mexico,Ghana,1,0,Mexico,668
2014,2014-06-19,Group Stage,Australia,Egypt,2,0,Australia,669
2014,2014-06-19,Group Stage,Australia,Denmark,2,2,Draw,670
2014,2014-06-20,Group Stage,Saudi Arabia,Mexico,2,0,Saudi Arabia,671
2014,2014-06-20,Final,Algeria,Australia,1,1,Draw,672
2014,2014-06-21,Semi-finals,Nigeria,Denmark,0,0,Draw,673
2014,2014-06-21,Group Stage,Sweden,England,3,0,Sweden,674
2014,2014-06-21,Group Stage,France,Senegal,2,2,Draw,675
2014,2014-06-21,Round of 16,South Korea,Denmark,0,1,Denmark,676
2014,2014-06-21,Group Stage,Japan,Egypt,0,1,Egypt,677
2014,2014-06-22,Group Stage,Portugal,Denmark,1,1,Draw,678
2014,2014-06-22,Round of 16,France,Netherlands,2,2,Draw,679
2014,2014-06-22,Group Stage,Nigeria,France,1,3,France,680
2014,2014-06-22,Group Stage,Brazil,Argentina,0,1,Argentina,681
2014,2014-06-23,Group Stage,Croatia,Nigeria,1,3,Nigeria,682
2014,2014-06-23,Group Stage,Brazil,South Korea,1,1,Draw,683
2014,2014-06-23,Group Stage,Croatia,Morocco,1,3,Morocco,684
2014,2014-06-23,Round of 16,Argentina,Italy,0,2,Italy,685
2014,2014-06-24,Semi-finals,Croatia,Poland,1,0,Croatia,686
2014,2014-06-24,Group Stage,Netherlands,Italy,1,0,Netherlands,687
2014,2014-06-24,Quarter-finals,Australia,Switzerland,0,1,Switzerland,688
2014,2014-06-24,Group Stage,Morocco,Ghana,3,2,Morocco,689
2014,2014-06-24,Group Stage,Uruguay,Japan,1,3,Japan,690
2014,2014-06-24,Group Stage,Italy,Brazil,3,1,Italy,691
2014,2014-06-25,Group Stage,Switzerland,Sweden,0,0,Draw,692
2014,2014-06-25,Round of 16,Morocco,Iran,2,0,Morocco,693
2014,2014-06-25,Group Stage,Tunisia,USA,2,1,Tunisia,694
2014,2014-06-25,Group Stage,France,USA,1,2,USA,695
2014,2014-06-25,Group Stage,Switzerland,Uruguay,1,1,Draw,696
2014,2014-06-25,Quarter-finals,Switzerland,Egypt,1,2,Egypt,697
2014,2014-06-26,Group Stage,Algeria,Costa Rica,0,2,Costa Rica,698
2014,2014-06-26,Group Stage,France,Switzerland,3,1,France,699
2014,2014-06-26,Group Stage,Tunisia,Sweden,1,2,Sweden,700
2014,2014-06-27,Round of 16,Morocco,South Korea,1,1,Draw,701
2014,2014-06-27,Group Stage,Netherlands,Morocco,2,1,Netherlands,702
2014,2014-06-27,Group Stage,Cameroon,Portugal,1,1,Draw,703
2014,2014-06-27,Group Stage,Germany,Algeria,2,1,Germany,704
2018,2018-06-10,Group Stage,Portugal,Germany,0,0,Draw,705
2018,2018-06-10,Group Stage,Brazil,USA,1,0,Brazil,706
2018,2018-06-10,Group Stage,Ghana,Uruguay,2,0,Ghana,707
2018,2018-06-10,Group Stage,Belgium,Sweden,2,1,Belgium,708
2018,2018-06-11,Group Stage,Brazil,Algeria,1,2,Algeria,709
2018,2018-06-12,Semi-finals,Uruguay,Japan,1,1,Draw,710
2018,2018-06-12,Group Stage,France,Costa Rica,1,2,Costa Rica,711
2018,2018-06-12,Round of 16,Iran,Senegal,1,1,Draw,712
2018,2018-06-13,Group Stage,Switzerland,Iran,0,0,Draw,713
2018,2018-06-14,Third Place,Iran,Ghana,1,2,Ghana,714
2018,2018-06-14,Group Stage,Tunisia,Egypt,1,1,Draw,715
2018,2018-06-14,Quarter-finals,Sweden,Netherlands,1,1,Draw,716
2018,2018-06-15,Group Stage,Germany,Poland,1,0,Germany,717
2018,2018-06-15,Group Stage,Senegal,Germany,2,0,Senegal,718
2018,2018-06-15,Group Stage,Saudi Arabia,Netherlands,1,2,Netherlands,719
2018,2018-06-15,Round of 16,Saudi Arabia,Iran,1,2,Iran,720
2018,2018-06-15,Round of 16,Iran,Uruguay,1,0,Iran,721
2018,2018-06-16,Round of 16,Spain,USA,1,1,Draw,722
2018,2018-06-16,Quarter-finals,France,Sweden,0,2,Sweden,723
2018,2018-06-16,Group Stage,Brazil,Argentina,1,2,Argentina,724
2018,2018-06-16,Group Stage,Iran,Italy,3,2,Iran,725
2018,2018-06-16,Group Stage,Tunisia,England,0,3,England,726
2018,2018-06-16,Group Stage,Algeria,Senegal,1,0,Algeria,727
2018,2018-06-16,Group Stage,Morocco,Tunisia,1,2,Tunisia,728
2018,2018-06-17,Group Stage,Saudi Arabia,Ghana,1,3,Ghana,729
2018,2018-06-17,Group Stage,Portugal,Morocco,1,2,Morocco,730
2018,2018-06-17,Group Stage,Denmark,Cameroon,0,0,Draw,731
2018,2018-06-17,Quarter-finals,South Korea,Spain,2,0,South Korea,732
2018,2018-06-17,Group Stage,Poland,Italy,0,2,Italy,733
2018,2018-06-17,Group Stage,USA,Australia,1,2,Australia,734
2018,2018-06-18,Group Stage,Poland,England,0,1,England,735
2018,2018-06-18,Group Stage,Poland,Croatia,3,1,Poland,736
2018,2018-06-18,Group Stage,Portugal,Switzerland,1,3,Switzerland,737
2018,2018-06-18,Group Stage,Senegal,Egypt,1,1,Draw,738
2018,2018-06-20,Group Stage,Denmark,Uruguay,1,1,Draw,739
2018,2018-06-20,Group Stage,Saudi Arabia,Nigeria,2,1,Saudi Arabia,740
2018,2018-06-20,Group Stage,Denmark,Argentina,1,0,Denmark,741
2018,2018-06-20,Group Stage,USA,Japan,1,1,Draw,742
2018,2018-06-20,Group Stage,Denmark,Uruguay,2,0,Denmark,743
2018,2018-06-21,Group Stage,Algeria,Germany,1,1,Draw,744
2018,2018-06-22,Group Stage,Argentina,Italy,3,1,Argentina,745
2018,2018-06-23,Round of 16,USA,Costa Rica,1,0,USA,746
2018,2018-06-23,Group Stage,Uruguay,Ghana,2,3,Ghana,747
2018,2018-06-23,Group Stage,Costa Rica,England,0,0,Draw,748
2018,2018-06-23,Group Stage,Uruguay,Senegal,2,0,Uruguay,749
2018,2018-06-23,Group Stage,France,England,1,2,England,750
2018,2018-06-23,Group Stage,Costa Rica,Brazil,1,1,Draw,751
2018,2018-06-23,Group Stage,Australia,Belgium,1,1,Draw,752
2018,2018-06-23,Final,Argentina,Mexico,1,0,Argentina,753
2018,2018-06-23,Group Stage,Denmark,Sweden,0,1,Sweden,754
2018,2018-06-24,Group Stage,Iran,Mexico,0,1,Mexico,755
2018,2018-06-24,Round of 16,Croatia,Portugal,1,2,Portugal,756
2018,2018-06-25,Group Stage,England,Uruguay,2,0,England,757
2018,2018-06-26,Group Stage,Japan,Mexico,0,1,Mexico,758
2018,2018-06-26,Group Stage,South Korea,Morocco,2,1,South Korea,759
2018,2018-06-26,Group Stage,Brazil,Egypt,1,0,Brazil,760
2018,2018-06-27,Group Stage,USA,Uruguay,2,0,USA,761
2018,2018-06-27,Semi-finals,Algeria,England,0,1,England,762
